,sindresorhus/type-fest,definitelytyped/definitelytyped,microsoft/TypeScript
2020-04-03,0,18,7
2020-04-04,0,5,1
2020-04-05,4,0,0
2020-04-06,0,29,2
2020-04-07,0,32,7
2020-04-08,2,23,7
2020-04-09,0,17,13
2020-04-10,0,18,9
2020-04-11,0,24,2
2020-04-12,0,1,0
2020-04-13,0,41,8
2020-04-14,0,1,3
2020-04-15,0,32,9
2020-04-16,0,14,1
2020-04-17,0,41,2
2020-04-18,0,1,0
2020-04-19,0,0,3
2020-04-20,0,3,11
2020-04-21,1,3,14
2020-04-22,0,3,10
2020-04-23,0,36,4
2020-04-24,0,6,14
2020-04-25,0,0,3
2020-04-26,0,46,0
2020-04-27,0,83,4
2020-04-28,0,7,7
2020-04-29,0,4,6
2020-04-30,0,5,9
2020-05-01,0,10,0
2020-05-02,0,1,1
2020-05-03,0,3,0
2020-05-04,0,46,9
2020-05-05,0,17,5
2020-05-06,2,11,14
2020-05-07,0,10,8
2020-05-08,0,8,8
2020-05-09,0,5,1
2020-05-10,0,6,0
2020-05-11,0,23,13
2020-05-12,0,44,14
2020-05-13,0,66,2
2020-05-14,0,37,4
2020-05-15,0,35,4
2020-05-16,0,0,23
2020-05-17,0,4,1
2020-05-18,0,34,7
2020-05-19,0,90,15
2020-05-20,0,26,17
2020-05-21,2,33,15
2020-05-22,0,9,19
2020-05-23,0,4,5
2020-05-24,0,3,0
2020-05-25,0,4,7
2020-05-26,2,16,14
2020-05-27,0,46,8
2020-05-28,0,12,2
2020-05-29,0,18,39
2020-05-30,0,25,4
2020-05-31,0,2,2
2020-06-01,0,16,16
2020-06-02,0,9,6
2020-06-03,0,13,7
2020-06-04,0,39,8
2020-06-05,0,11,9
2020-06-06,0,3,0
2020-06-07,0,1,0
2020-06-08,0,15,0
2020-06-09,2,22,7
2020-06-10,0,20,7
2020-06-11,0,15,5
2020-06-12,0,30,6
2020-06-13,0,4,4
2020-06-14,0,4,0
2020-06-15,0,5,4
2020-06-16,0,26,13
2020-06-17,0,13,12
2020-06-18,0,9,11
2020-06-19,0,3,15
2020-06-20,0,2,1
2020-06-21,0,23,1
2020-06-22,0,14,8
2020-06-23,0,44,14
2020-06-24,0,59,8
2020-06-25,0,31,5
2020-06-26,0,16,13
2020-06-27,2,3,0
2020-06-28,0,7,3
2020-06-29,0,19,10
2020-06-30,0,7,13
2020-07-01,0,12,5
2020-07-02,0,5,8
2020-07-03,0,2,7
2020-07-04,0,3,3
2020-07-05,0,2,0
2020-07-06,0,69,10
2020-07-07,0,43,21
2020-07-08,0,13,19
2020-07-09,0,4,7
2020-07-10,0,51,10
2020-07-11,0,8,1
2020-07-12,0,19,0
2020-07-13,0,15,8
2020-07-14,0,14,6
2020-07-15,0,11,7
2020-07-16,0,6,5
2020-07-17,0,11,6
2020-07-18,0,21,0
2020-07-19,0,1,0
2020-07-20,0,21,1
2020-07-21,0,26,7
2020-07-22,0,17,8
2020-07-23,0,24,1
2020-07-24,0,15,3
2020-07-25,0,2,0
2020-07-26,0,3,0
2020-07-27,0,11,5
2020-07-28,0,30,3
2020-07-29,0,15,3
2020-07-30,0,12,11
2020-07-31,0,22,1
2020-08-01,0,7,1
2020-08-02,0,5,0
2020-08-03,0,7,12
2020-08-04,0,4,11
2020-08-05,0,11,8
2020-08-06,0,22,4
2020-08-07,0,4,1
2020-08-08,0,16,1
2020-08-09,0,4,0
2020-08-10,0,13,2
2020-08-11,0,13,2
2020-08-12,0,28,2
2020-08-13,0,30,5
2020-08-14,0,17,3
2020-08-15,0,4,1
2020-08-16,0,8,1
2020-08-17,0,20,5
2020-08-18,0,6,11
2020-08-19,0,19,9
2020-08-20,0,12,8
2020-08-21,1,33,8
2020-08-22,0,7,5
2020-08-23,0,19,1
2020-08-24,0,11,2
2020-08-25,0,12,6
2020-08-26,0,22,6
2020-08-27,0,29,10
2020-08-28,0,66,4
2020-08-29,0,5,4
2020-08-30,0,10,0
2020-08-31,0,25,4
2020-09-01,0,23,6
2020-09-02,0,16,3
2020-09-03,0,22,4
2020-09-04,0,5,8
2020-09-05,0,4,4
2020-09-06,0,4,0
2020-09-07,0,6,0
2020-09-08,0,62,11
2020-09-09,0,23,4
2020-09-10,0,34,13
2020-09-11,0,50,12
2020-09-12,0,5,6
2020-09-13,0,2,2
2020-09-14,0,69,12
2020-09-15,0,16,10
2020-09-16,0,26,4
2020-09-17,0,50,4
2020-09-18,0,30,3
2020-09-19,0,4,3
2020-09-20,0,2,0
2020-09-21,0,52,7
2020-09-22,0,64,10
2020-09-23,0,208,11
2020-09-24,0,26,8
2020-09-25,0,19,11
2020-09-26,0,6,6
2020-09-27,0,2,2
2020-09-28,0,13,4
2020-09-29,2,43,8
2020-09-30,2,59,5
2020-10-01,0,37,11
2020-10-02,0,13,8
2020-10-03,0,30,2
2020-10-04,0,5,0
2020-10-05,0,26,11
2020-10-06,0,10,21
2020-10-07,0,7,14
2020-10-08,0,24,5
2020-10-09,0,18,11
2020-10-10,0,10,2
2020-10-11,0,9,1
2020-10-12,0,38,9
2020-10-13,3,40,7
2020-10-14,0,6,7
2020-10-15,0,23,7
2020-10-16,0,61,0
2020-10-17,0,13,3
2020-10-18,0,4,0
2020-10-19,0,12,13
2020-10-20,0,55,3
2020-10-21,0,16,7
2020-10-22,0,17,7
2020-10-23,0,19,8
2020-10-24,0,14,3
2020-10-25,0,13,0
2020-10-26,0,21,8
2020-10-27,0,14,18
2020-10-28,0,39,13
2020-10-29,0,23,9
2020-10-30,0,23,12
2020-10-31,0,9,1
2020-11-01,0,2,1
2020-11-02,0,16,15
2020-11-03,0,24,11
2020-11-04,0,18,5
2020-11-05,0,17,3
2020-11-06,0,17,10
2020-11-07,0,19,2
2020-11-08,0,1,0
2020-11-09,0,34,3
2020-11-10,0,21,8
2020-11-11,0,18,15
2020-11-12,3,14,6
2020-11-13,0,6,1
2020-11-14,0,5,0
2020-11-15,0,7,1
2020-11-16,2,31,1
2020-11-17,0,42,1
2020-11-18,0,11,4
2020-11-19,0,24,2
2020-11-20,1,18,4
2020-11-21,0,12,2
2020-11-22,0,3,0
2020-11-23,0,27,3
2020-11-24,1,26,12
2020-11-25,5,11,5
2020-11-26,0,5,4
2020-11-27,2,1,1
2020-11-28,0,3,0
2020-11-29,0,3,0
2020-11-30,0,13,5
2020-12-01,0,21,10
2020-12-02,0,46,7
2020-12-03,1,30,8
2020-12-04,0,13,7
2020-12-05,0,4,5
2020-12-06,0,4,1
2020-12-07,1,12,4
2020-12-08,0,37,5
2020-12-09,0,13,10
2020-12-10,0,23,4
2020-12-11,0,13,5
2020-12-12,0,13,2
2020-12-13,0,5,1
2020-12-14,0,24,1
2020-12-15,0,15,5
2020-12-16,3,21,5
2020-12-17,0,3,5
2020-12-18,0,19,11
2020-12-19,0,7,2
2020-12-20,0,2,0
2020-12-21,0,10,1
2020-12-22,0,19,6
2020-12-23,0,30,2
2020-12-24,0,6,1
2020-12-25,0,4,0
2020-12-26,0,3,0
2020-12-27,0,2,0
2020-12-28,0,11,4
2020-12-29,0,12,0
2020-12-30,0,6,4
2020-12-31,1,5,1
2021-01-01,0,32,1
2021-01-02,0,5,1
2021-01-03,1,9,0
2021-01-04,0,8,13
2021-01-05,0,16,4
2021-01-06,0,18,3
2021-01-07,0,24,2
2021-01-08,0,27,6
2021-01-09,0,4,3
2021-01-10,0,11,3
2021-01-11,0,29,3
2021-01-12,0,18,6
2021-01-13,0,18,2
2021-01-14,0,34,2
2021-01-15,0,15,6
2021-01-16,0,8,3
2021-01-17,0,4,0
2021-01-18,0,25,2
2021-01-19,0,14,3
2021-01-20,0,17,7
2021-01-21,0,14,2
2021-01-22,0,14,3
2021-01-23,0,3,3
2021-01-24,0,2,0
2021-01-25,1,32,8
2021-01-26,0,22,1
2021-01-27,0,12,4
2021-01-28,0,19,3
2021-01-29,0,16,7
2021-01-30,0,6,0
2021-01-31,0,9,0
2021-02-01,0,14,2
2021-02-02,0,18,4
2021-02-03,0,15,7
2021-02-04,0,29,8
2021-02-05,0,18,6
2021-02-06,0,8,0
2021-02-07,0,7,1
2021-02-08,0,15,2
2021-02-09,0,14,4
2021-02-10,0,9,3
2021-02-11,0,11,5
2021-02-12,2,17,7
2021-02-13,0,13,2
2021-02-14,0,8,1
2021-02-15,2,11,1
2021-02-16,0,9,6
2021-02-17,0,37,3
2021-02-18,0,26,11
2021-02-19,0,25,6
2021-02-20,0,6,1
2021-02-21,0,3,1
2021-02-22,2,13,2
2021-02-23,0,8,7
2021-02-24,0,9,6
2021-02-25,0,9,8
2021-02-26,0,7,4
2021-02-27,0,6,1
2021-02-28,0,7,1
2021-03-01,0,24,7
2021-03-02,0,9,7
2021-03-03,0,9,8
2021-03-04,0,5,5
2021-03-05,0,10,6
2021-03-06,0,8,3
2021-03-07,0,73,1
2021-03-08,1,27,1
2021-03-09,0,17,5
2021-03-10,2,16,6
2021-03-11,0,13,11
2021-03-12,0,18,5
2021-03-13,0,6,3
2021-03-14,0,3,0
2021-03-15,0,41,0
2021-03-16,0,28,5
2021-03-17,0,10,0
2021-03-18,0,5,2
2021-03-19,1,11,5
2021-03-20,1,21,3
2021-03-21,1,3,1
2021-03-22,2,17,5
2021-03-23,2,13,1
2021-03-24,0,22,2
2021-03-25,0,39,6
2021-03-26,0,16,7
2021-03-27,0,6,2
2021-03-28,0,2,2
2021-03-29,0,11,4
2021-03-30,0,23,9
2021-03-31,0,16,3
2021-04-01,0,13,2
2021-04-02,0,22,2
2021-04-03,0,7,1
2021-04-04,0,3,1
2021-04-05,0,11,13
2021-04-06,0,15,7
2021-04-07,0,21,9
2021-04-08,0,24,2
2021-04-09,0,13,3
2021-04-10,0,7,1
2021-04-11,0,4,0
2021-04-12,0,12,3
2021-04-13,2,6,8
2021-04-14,0,16,3
2021-04-15,0,10,3
2021-04-16,0,8,2
2021-04-17,0,9,2
2021-04-18,1,5,1
2021-04-19,0,9,7
2021-04-20,0,16,6
2021-04-21,0,3,5
2021-04-22,0,28,4
2021-04-23,0,16,4
2021-04-24,0,3,2
2021-04-25,0,4,1
2021-04-26,0,42,3
2021-04-27,0,12,4
2021-04-28,0,16,6
2021-04-29,0,8,5
2021-04-30,0,8,5
2021-05-01,0,2,0
2021-05-02,0,3,1
2021-05-03,1,5,1
2021-05-04,1,47,0
2021-05-05,1,14,5
2021-05-06,0,30,7
2021-05-07,2,11,10
2021-05-08,2,8,1
2021-05-09,0,12,1
2021-05-10,0,37,3
2021-05-11,0,15,2
2021-05-12,0,21,3
2021-05-13,0,26,3
2021-05-14,0,22,0
2021-05-15,0,4,1
2021-05-16,0,6,0
2021-05-17,0,12,1
2021-05-18,2,57,6
2021-05-19,2,69,6
2021-05-20,0,25,9
2021-05-21,0,32,3
2021-05-22,0,23,1
2021-05-23,0,18,0
2021-05-24,0,148,8
2021-05-25,0,14,6
2021-05-26,0,28,11
2021-05-27,0,20,4
2021-05-28,0,24,4
2021-05-29,0,7,2
2021-05-30,0,8,0
2021-05-31,0,12,0
2021-06-01,2,21,3
2021-06-02,0,21,3
2021-06-03,0,17,7
2021-06-04,0,23,5
2021-06-05,0,2,1
2021-06-06,0,5,0
2021-06-07,0,23,2
2021-06-08,0,22,4
2021-06-09,0,21,1
2021-06-10,0,15,4
2021-06-11,0,12,3
2021-06-12,0,11,1
2021-06-13,0,6,2
2021-06-14,0,14,2
2021-06-15,0,9,3
2021-06-16,2,7,5
2021-06-17,1,14,6
2021-06-18,0,26,6
2021-06-19,0,9,1
2021-06-20,0,5,1
2021-06-21,0,13,7
2021-06-22,0,11,6
2021-06-23,0,26,7
2021-06-24,0,11,6
2021-06-25,0,31,9
2021-06-26,0,3,4
2021-06-27,0,4,4
2021-06-28,0,13,7
2021-06-29,0,10,6
2021-06-30,0,14,3
2021-07-01,0,50,3
2021-07-02,0,20,2
2021-07-03,0,6,2
2021-07-04,0,6,3
2021-07-05,0,13,1
2021-07-06,0,16,5
2021-07-07,0,20,3
2021-07-08,2,30,3
2021-07-09,0,22,1
2021-07-10,0,3,2
2021-07-11,0,6,2
2021-07-12,0,14,3
2021-07-13,0,17,5
2021-07-14,0,14,5
2021-07-15,0,14,2
2021-07-16,0,16,12
2021-07-17,0,3,4
2021-07-18,0,4,2
2021-07-19,0,27,3
2021-07-20,0,17,1
2021-07-21,0,7,3
2021-07-22,0,16,1
2021-07-23,0,7,3
2021-07-24,0,4,1
2021-07-25,0,6,1
2021-07-26,0,13,6
2021-07-27,0,40,1
2021-07-28,0,17,2
2021-07-29,2,18,6
2021-07-30,0,11,7
2021-07-31,2,4,1
2021-08-01,0,2,1
2021-08-02,0,11,10
2021-08-03,2,22,5
2021-08-04,1,16,7
2021-08-05,3,16,5
2021-08-06,5,13,9
2021-08-07,0,8,4
2021-08-08,1,1,5
2021-08-09,0,16,2
2021-08-10,0,23,6
2021-08-11,0,18,1
2021-08-12,0,15,2
2021-08-13,0,12,5
2021-08-14,1,15,2
2021-08-15,0,5,0
2021-08-16,0,15,4
2021-08-17,0,11,4
2021-08-18,0,13,2
2021-08-19,0,8,3
2021-08-20,1,14,4
2021-08-21,0,10,2
2021-08-22,0,5,0
2021-08-23,3,31,3
2021-08-24,0,22,5
2021-08-25,0,18,3
2021-08-26,0,10,4
2021-08-27,0,12,1
2021-08-28,0,15,2
2021-08-29,0,14,1
2021-08-30,1,16,4
2021-08-31,0,11,1
2021-09-01,0,9,4
2021-09-02,0,17,4
2021-09-03,0,9,5
2021-09-04,0,3,2
2021-09-05,3,6,0
2021-09-06,0,27,1
2021-09-07,0,29,3
2021-09-08,0,11,8
2021-09-09,0,14,5
2021-09-10,11,5,7
2021-09-11,0,9,4
2021-09-12,0,5,2
2021-09-13,0,13,4
2021-09-14,0,39,3
2021-09-15,0,20,6
2021-09-16,0,25,9
2021-09-17,3,14,6
2021-09-18,0,8,0
2021-09-19,2,6,0
2021-09-20,0,19,4
2021-09-21,0,31,8
2021-09-22,1,8,8
2021-09-23,0,13,5
2021-09-24,0,8,6
2021-09-25,0,25,3
2021-09-26,1,9,5
2021-09-27,0,12,13
2021-09-28,0,9,6
2021-09-29,0,19,8
2021-09-30,0,23,7
2021-10-01,0,30,10
2021-10-02,0,7,3
2021-10-03,0,8,2
2021-10-04,0,10,2
2021-10-05,0,16,5
2021-10-06,0,17,5
2021-10-07,0,41,5
2021-10-08,0,18,2
2021-10-09,0,4,1
2021-10-10,1,0,0
2021-10-11,3,15,2
2021-10-12,2,24,2
2021-10-13,0,23,3
2021-10-14,0,44,7
2021-10-15,0,45,6
2021-10-16,0,3,2
2021-10-17,2,14,1
2021-10-18,0,12,4
2021-10-19,0,21,4
2021-10-20,0,21,4
2021-10-21,0,18,5
2021-10-22,0,14,7
2021-10-23,0,12,2
2021-10-24,0,11,3
2021-10-25,0,27,4
2021-10-26,0,8,4
2021-10-27,3,9,3
2021-10-28,0,39,4
2021-10-29,0,15,10
2021-10-30,0,5,1
2021-10-31,0,9,0
2021-11-01,0,12,4
2021-11-02,0,23,9
2021-11-03,0,29,4
2021-11-04,1,12,2
2021-11-05,1,15,3
2021-11-06,0,6,0
2021-11-07,0,11,0
2021-11-08,0,30,2
2021-11-09,3,11,5
2021-11-10,0,8,0
2021-11-11,0,4,2
2021-11-12,1,20,2
2021-11-13,0,13,0
2021-11-14,0,6,0
2021-11-15,0,40,1
2021-11-16,0,18,2
2021-11-17,2,19,3
2021-11-18,0,19,3
2021-11-19,0,14,2
2021-11-20,0,7,1
2021-11-21,1,8,0
2021-11-22,0,12,0
2021-11-23,2,13,0
2021-11-24,0,8,2
2021-11-25,0,23,0
2021-11-26,0,4,0
2021-11-27,0,1,2
2021-11-28,0,7,0
2021-11-29,0,21,3
2021-11-30,4,21,3
2021-12-01,4,24,1
2021-12-02,0,23,2
2021-12-03,0,14,7
2021-12-04,0,4,2
2021-12-05,0,3,0
2021-12-06,0,24,5
2021-12-07,0,18,6
2021-12-08,0,13,4
2021-12-09,0,15,6
2021-12-10,0,8,1
2021-12-11,0,6,1
2021-12-12,0,5,0
2021-12-13,0,12,3
2021-12-14,0,8,3
2021-12-15,0,7,2
2021-12-16,0,16,5
2021-12-17,0,7,2
2021-12-18,0,1,0
2021-12-19,0,4,1
2021-12-20,0,7,1
2021-12-21,0,7,1
2021-12-22,0,4,0
2021-12-23,0,9,2
2021-12-24,0,2,1
2021-12-25,0,5,0
2021-12-26,0,9,0
2021-12-27,0,4,1
2021-12-28,0,6,0
2021-12-29,0,11,0
2021-12-30,0,5,0
2021-12-31,0,18,0
2022-01-01,0,11,0
2022-01-02,0,9,1
2022-01-03,0,26,1
2022-01-04,0,12,3
2022-01-05,0,14,1
2022-01-06,5,19,3
2022-01-07,1,15,7
2022-01-08,1,7,1
2022-01-09,2,8,0
2022-01-10,0,34,1
2022-01-11,0,17,6
2022-01-12,0,11,2
2022-01-13,0,17,4
2022-01-14,0,6,4
2022-01-15,0,1,1
2022-01-16,0,5,1
2022-01-17,2,20,0
2022-01-18,0,10,8
2022-01-19,0,23,9
2022-01-20,3,18,9
2022-01-21,1,19,3
2022-01-22,0,5,1
2022-01-23,0,2,1
2022-01-24,0,18,1
2022-01-25,0,21,5
2022-01-26,0,9,7
2022-01-27,4,19,8
2022-01-28,0,15,8
2022-01-29,0,8,4
2022-01-30,0,3,3
2022-01-31,3,10,1
2022-02-01,0,20,8
2022-02-02,0,6,4
2022-02-03,0,12,4
2022-02-04,0,9,4
2022-02-05,0,9,3
2022-02-06,0,9,1
2022-02-07,0,12,4
2022-02-08,2,10,7
2022-02-09,1,8,4
2022-02-10,0,14,5
2022-02-11,0,2,9
2022-02-12,0,10,4
2022-02-13,0,3,1
2022-02-14,0,13,4
2022-02-15,0,11,12
2022-02-16,0,7,4
2022-02-17,0,8,11
2022-02-18,0,8,7
2022-02-19,2,4,1
2022-02-20,0,4,2
2022-02-21,0,11,1
2022-02-22,0,12,2
2022-02-23,0,19,2
2022-02-24,0,15,1
2022-02-25,0,14,6
2022-02-26,0,2,0
2022-02-27,0,6,0
2022-02-28,0,11,4
2022-03-01,0,31,3
2022-03-02,0,23,4
2022-03-03,0,9,4
2022-03-04,0,12,8
2022-03-05,0,10,7
2022-03-06,0,1,0
2022-03-07,0,17,2
2022-03-08,0,9,2
2022-03-09,0,7,6
2022-03-10,0,15,1
2022-03-11,0,8,5
2022-03-12,0,8,2
2022-03-13,0,1,0
2022-03-14,0,17,4
2022-03-15,0,13,2
2022-03-16,1,17,7
2022-03-17,0,10,6
2022-03-18,0,10,0
2022-03-19,2,17,0
2022-03-20,0,4,1
2022-03-21,0,23,1
2022-03-22,0,6,7
2022-03-23,0,21,6
2022-03-24,0,13,4
2022-03-25,0,16,5
2022-03-26,0,6,1
2022-03-27,0,4,1
2022-03-28,0,11,4
2022-03-29,0,36,2
2022-03-30,2,19,8
2022-03-31,2,19,2
2022-04-01,0,6,5
2022-04-02,0,2,1
2022-04-03,0,1,1
2022-04-04,0,12,12
2022-04-05,0,10,13
2022-04-06,0,2,7
2022-04-07,0,11,7
2022-04-08,0,10,13
2022-04-09,1,15,2
2022-04-10,0,2,1
2022-04-11,0,13,6
2022-04-12,0,11,3
2022-04-13,0,21,3
2022-04-14,0,29,8
2022-04-15,0,7,3
2022-04-16,0,5,0
2022-04-17,0,4,0
