,node-red/node-red,ioBroker/ioBroker,home-assistant/core
2022-08-12,5,0,29
2022-08-13,1,0,16
2022-08-14,5,0,6
2022-08-15,0,0,31
2022-08-16,1,0,51
2022-08-17,1,0,33
2022-08-18,2,0,42
2022-08-19,0,0,30
2022-08-20,0,0,23
2022-08-21,0,0,13
2022-08-22,0,0,24
2022-08-23,0,0,15
2022-08-24,0,0,23
2022-08-25,0,0,47
2022-08-26,0,0,37
2022-08-27,1,0,14
2022-08-28,0,0,14
2022-08-29,0,0,36
2022-08-30,1,0,45
2022-08-31,0,0,47
2022-09-01,0,0,33
2022-09-02,5,0,32
2022-09-03,6,0,18
2022-09-04,4,0,38
2022-09-05,1,0,45
2022-09-06,4,0,64
2022-09-07,0,0,33
2022-09-08,1,0,48
2022-09-09,0,0,26
2022-09-10,1,0,51
2022-09-11,0,0,24
2022-09-12,10,0,36
2022-09-13,2,0,84
2022-09-14,0,0,41
2022-09-15,5,0,45
2022-09-16,1,0,20
2022-09-17,1,0,29
2022-09-18,3,0,50
2022-09-19,1,0,43
2022-09-20,2,0,23
2022-09-21,0,0,36
2022-09-22,2,0,45
2022-09-23,0,0,28
2022-09-24,0,0,7
2022-09-25,0,0,19
2022-09-26,0,0,59
2022-09-27,0,0,31
2022-09-28,0,0,62
2022-09-29,5,0,63
2022-09-30,1,0,36
2022-10-01,0,0,20
2022-10-02,1,0,48
2022-10-03,0,0,43
2022-10-04,14,0,50
2022-10-05,0,0,33
2022-10-06,0,0,34
2022-10-07,0,0,35
2022-10-08,0,0,28
2022-10-09,0,0,32
2022-10-10,0,0,54
2022-10-11,0,0,44
2022-10-12,2,0,36
2022-10-13,0,0,23
2022-10-14,0,0,69
2022-10-15,0,0,10
2022-10-16,4,0,20
2022-10-17,0,0,24
2022-10-18,0,0,35
2022-10-19,0,0,31
2022-10-20,0,0,47
2022-10-21,0,0,38
2022-10-22,0,0,18
2022-10-23,0,0,34
2022-10-24,0,0,35
2022-10-25,4,0,51
2022-10-26,0,0,64
2022-10-27,0,0,42
2022-10-28,0,0,20
2022-10-29,4,0,53
2022-10-30,0,0,20
2022-10-31,2,0,58
2022-11-01,5,0,51
2022-11-02,0,2,39
2022-11-03,0,0,32
2022-11-04,1,0,8
2022-11-05,2,0,16
2022-11-06,0,0,16
2022-11-07,11,0,33
2022-11-08,0,0,87
2022-11-09,1,1,28
2022-11-10,1,0,20
2022-11-11,0,0,11
2022-11-12,0,0,6
2022-11-13,0,0,22
2022-11-14,0,0,19
2022-11-15,3,0,29
2022-11-16,0,0,91
2022-11-17,0,0,44
2022-11-18,0,1,17
2022-11-19,0,0,14
2022-11-20,0,0,29
2022-11-21,0,0,24
2022-11-22,0,0,31
2022-11-23,0,0,25
2022-11-24,0,0,46
2022-11-25,0,0,29
2022-11-26,0,0,16
