,evanw/esbuild,parcel-bundler/parcel,fredkschott/snowpack
2020-01-15,1,1,17
2020-01-16,0,3,11
2020-01-17,0,2,3
2020-01-18,15,4,6
2020-01-19,22,1,6
2020-01-20,2,0,3
2020-01-21,6,1,1
2020-01-22,0,1,3
2020-01-23,0,4,3
2020-01-24,0,2,3
2020-01-25,0,1,4
2020-01-26,23,1,0
2020-01-27,0,2,1
2020-01-28,0,1,0
2020-01-29,0,1,0
2020-01-30,0,1,0
2020-01-31,1,1,0
2020-02-01,0,3,0
2020-02-02,0,0,1
2020-02-03,0,7,4
2020-02-04,0,0,7
2020-02-05,0,6,5
2020-02-06,0,0,0
2020-02-07,0,2,3
2020-02-08,0,1,9
2020-02-09,0,0,0
2020-02-10,0,4,0
2020-02-11,0,5,0
2020-02-12,0,5,0
2020-02-13,0,5,12
2020-02-14,0,5,5
2020-02-15,2,3,1
2020-02-16,1,1,7
2020-02-17,5,1,1
2020-02-18,6,1,5
2020-02-19,0,1,5
2020-02-20,0,1,4
2020-02-21,0,1,2
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,1,0
2020-02-25,0,5,7
2020-02-26,0,3,2
2020-02-27,0,2,2
2020-02-28,0,0,1
2020-02-29,0,0,0
2020-03-01,0,1,2
2020-03-02,0,0,0
2020-03-03,0,2,0
2020-03-04,0,2,7
2020-03-05,0,3,1
2020-03-06,0,2,1
2020-03-07,0,1,0
2020-03-08,0,1,2
2020-03-09,0,2,4
2020-03-10,0,0,0
2020-03-11,0,2,0
2020-03-12,0,0,0
2020-03-13,0,1,0
2020-03-14,5,1,0
2020-03-15,0,1,0
2020-03-16,0,0,0
2020-03-17,0,4,0
2020-03-18,0,0,0
2020-03-19,0,1,0
2020-03-20,0,3,0
2020-03-21,0,6,0
2020-03-22,0,1,0
2020-03-23,0,1,0
2020-03-24,0,6,2
2020-03-25,0,4,0
2020-03-26,0,5,0
2020-03-27,0,3,0
2020-03-28,0,1,0
2020-03-29,0,0,0
2020-03-30,0,1,9
2020-03-31,3,4,0
2020-04-01,0,4,0
2020-04-02,0,0,9
2020-04-03,0,3,3
2020-04-04,0,2,0
2020-04-05,0,1,0
2020-04-06,4,2,0
2020-04-07,13,2,10
2020-04-08,0,2,1
2020-04-09,3,2,1
2020-04-10,0,1,0
2020-04-11,5,4,0
2020-04-12,4,0,0
2020-04-13,117,0,0
2020-04-14,1,5,1
2020-04-15,8,4,4
2020-04-16,12,2,1
2020-04-17,12,2,0
2020-04-18,7,1,0
2020-04-19,7,0,0
2020-04-20,5,1,1
2020-04-21,4,0,1
2020-04-22,2,1,1
2020-04-23,15,2,9
2020-04-24,0,4,1
2020-04-25,0,0,1
2020-04-26,1,0,2
2020-04-27,0,0,3
2020-04-28,0,3,0
2020-04-29,5,3,0
2020-04-30,2,7,4
2020-05-01,3,1,0
2020-05-02,11,0,0
2020-05-03,8,0,0
2020-05-04,16,0,19
2020-05-05,12,2,22
2020-05-06,26,1,22
2020-05-07,16,4,20
2020-05-08,7,1,5
2020-05-09,8,3,10
2020-05-10,2,2,13
2020-05-11,0,3,13
2020-05-12,0,2,8
2020-05-13,7,4,20
2020-05-14,4,0,5
2020-05-15,0,0,14
2020-05-16,0,0,17
2020-05-17,2,0,10
2020-05-18,5,0,11
2020-05-19,0,3,9
2020-05-20,0,0,6
2020-05-21,5,2,12
2020-05-22,8,0,10
2020-05-23,41,0,16
2020-05-24,4,0,21
2020-05-25,9,0,17
2020-05-26,16,0,4
2020-05-27,2,1,25
2020-05-28,3,0,10
2020-05-29,6,0,10
2020-05-30,0,0,16
2020-05-31,0,0,5
2020-06-01,0,1,31
2020-06-02,0,0,12
2020-06-03,3,1,15
2020-06-04,3,2,6
2020-06-05,9,0,16
2020-06-06,5,2,0
2020-06-07,13,2,1
2020-06-08,7,2,25
2020-06-09,11,1,2
2020-06-10,3,1,18
2020-06-11,16,0,8
2020-06-12,6,0,17
2020-06-13,0,1,0
2020-06-14,7,2,2
2020-06-15,7,2,4
2020-06-16,3,3,7
2020-06-17,0,1,8
2020-06-18,0,2,5
2020-06-19,4,1,4
2020-06-20,14,2,1
2020-06-21,13,3,2
2020-06-22,9,6,4
2020-06-23,6,3,11
2020-06-24,5,0,6
2020-06-25,0,1,1
2020-06-26,0,3,6
2020-06-27,2,0,1
2020-06-28,9,0,4
2020-06-29,9,0,0
2020-06-30,12,0,7
2020-07-01,1,1,5
2020-07-02,10,1,5
2020-07-03,4,2,0
2020-07-04,10,0,0
2020-07-05,13,0,0
2020-07-06,25,3,1
2020-07-07,12,3,0
2020-07-08,13,0,1
2020-07-09,10,1,0
2020-07-10,4,1,2
2020-07-11,17,3,0
2020-07-12,9,4,0
2020-07-13,0,1,0
2020-07-14,0,0,0
2020-07-15,0,1,0
2020-07-16,3,0,3
2020-07-17,0,2,9
2020-07-18,1,3,0
2020-07-19,8,3,0
2020-07-20,4,0,0
2020-07-21,0,2,1
2020-07-22,0,0,5
2020-07-23,0,1,3
2020-07-24,1,0,7
2020-07-25,11,2,0
2020-07-26,0,0,1
2020-07-27,3,0,297
2020-07-28,4,0,9
2020-07-29,14,1,4
2020-07-30,6,1,23
2020-07-31,11,0,22
2020-08-01,1,0,1
2020-08-02,2,1,2
2020-08-03,8,2,6
2020-08-04,1,1,7
2020-08-05,4,0,2
2020-08-06,0,2,3
2020-08-07,2,0,7
2020-08-08,5,0,3
2020-08-09,3,0,0
2020-08-10,10,4,0
2020-08-11,4,0,3
2020-08-12,10,0,2
2020-08-13,11,2,5
2020-08-14,14,0,12
2020-08-15,14,2,4
2020-08-16,4,0,3
2020-08-17,3,2,5
2020-08-18,2,2,3
2020-08-19,0,0,4
2020-08-20,0,4,0
2020-08-21,3,1,17
2020-08-22,0,1,10
2020-08-23,0,2,13
2020-08-24,0,0,2
2020-08-25,2,4,7
2020-08-26,5,1,6
2020-08-27,4,0,27
2020-08-28,0,0,8
2020-08-29,0,0,2
2020-08-30,0,1,0
2020-08-31,0,0,6
2020-09-01,11,1,3
2020-09-02,17,1,6
2020-09-03,5,0,10
2020-09-04,15,0,10
2020-09-05,7,1,1
2020-09-06,9,0,0
2020-09-07,4,6,3
2020-09-08,3,0,5
2020-09-09,5,1,5
2020-09-10,4,1,3
2020-09-11,15,1,10
2020-09-12,7,0,6
2020-09-13,6,1,2
2020-09-14,5,0,13
2020-09-15,0,1,2
2020-09-16,0,1,7
2020-09-17,0,2,28
2020-09-18,2,4,6
2020-09-19,13,0,0
2020-09-20,0,0,5
2020-09-21,0,0,5
2020-09-22,1,0,3
2020-09-23,4,0,0
2020-09-24,6,1,3
2020-09-25,0,1,5
2020-09-26,6,0,16
2020-09-27,33,1,1
2020-09-28,0,0,13
2020-09-29,25,1,10
2020-09-30,6,2,2
2020-10-01,3,1,20
2020-10-02,0,1,23
2020-10-03,6,0,6
2020-10-04,0,1,6
2020-10-05,0,0,10
2020-10-06,3,3,24
2020-10-07,3,1,4
2020-10-08,13,0,15
2020-10-09,0,0,6
2020-10-10,3,0,10
2020-10-11,0,0,11
2020-10-12,1,4,18
2020-10-13,7,1,14
2020-10-14,2,0,7
2020-10-15,0,0,6
2020-10-16,6,0,23
2020-10-17,0,0,6
2020-10-18,7,0,18
2020-10-19,1,1,6
2020-10-20,5,1,10
2020-10-21,5,2,5
2020-10-22,1,0,1
2020-10-23,0,0,0
2020-10-24,3,1,0
2020-10-25,7,2,0
2020-10-26,5,1,2
2020-10-27,0,0,12
2020-10-28,18,2,0
2020-10-29,0,0,8
2020-10-30,0,3,20
2020-10-31,0,0,10
2020-11-01,10,0,1
2020-11-02,0,0,3
2020-11-03,9,0,1
2020-11-04,0,0,0
2020-11-05,6,1,5
2020-11-06,0,1,7
2020-11-07,5,0,2
2020-11-08,0,2,3
2020-11-09,0,0,2
2020-11-10,5,1,12
2020-11-11,6,1,4
2020-11-12,2,1,9
2020-11-13,9,1,0
2020-11-14,3,1,1
2020-11-15,5,0,2
2020-11-16,6,0,2
2020-11-17,9,0,10
2020-11-18,12,5,3
2020-11-19,17,1,8
2020-11-20,10,1,7
2020-11-21,8,3,0
2020-11-22,0,3,1
2020-11-23,14,2,4
2020-11-24,3,0,0
2020-11-25,8,0,3
2020-11-26,4,0,16
2020-11-27,2,0,4
2020-11-28,2,0,8
2020-11-29,2,0,8
2020-11-30,2,1,4
2020-12-01,0,1,29
2020-12-02,0,1,16
2020-12-03,0,1,19
2020-12-04,2,0,11
2020-12-05,12,1,9
2020-12-06,5,2,7
2020-12-07,0,3,21
2020-12-08,8,2,13
2020-12-09,0,1,2
2020-12-10,1,1,16
2020-12-11,5,0,37
2020-12-12,7,0,7
2020-12-13,0,1,12
2020-12-14,5,2,9
2020-12-15,2,2,20
2020-12-16,0,0,9
2020-12-17,0,1,1
2020-12-18,6,3,14
2020-12-19,0,1,4
2020-12-20,5,0,5
2020-12-21,8,0,3
2020-12-22,0,0,2
2020-12-23,0,3,0
2020-12-24,0,1,0
2020-12-25,0,1,0
2020-12-26,0,0,0
2020-12-27,0,0,6
2020-12-28,0,1,0
2020-12-29,12,3,2
2020-12-30,0,1,0
2020-12-31,8,4,0
2021-01-01,7,0,0
2021-01-02,12,4,0
2021-01-03,7,4,0
2021-01-04,0,3,10
2021-01-05,0,2,1
2021-01-06,8,1,2
2021-01-07,3,4,4
2021-01-08,0,2,11
2021-01-09,0,2,4
2021-01-10,0,2,0
2021-01-11,0,1,3
2021-01-12,2,2,44
2021-01-13,6,5,80
2021-01-14,6,3,36
2021-01-15,2,0,6
2021-01-16,0,2,26
2021-01-17,4,2,6
2021-01-18,3,1,6
2021-01-19,0,2,0
2021-01-20,3,1,0
2021-01-21,2,5,0
2021-01-22,4,3,4
2021-01-23,1,0,0
2021-01-24,0,0,0
2021-01-25,4,2,5
2021-01-26,13,1,2
2021-01-27,0,2,3
2021-01-28,2,2,0
2021-01-29,0,0,0
2021-01-30,16,0,21
2021-01-31,2,2,0
2021-02-01,6,2,0
2021-02-02,0,4,0
2021-02-03,4,4,0
2021-02-04,19,3,4
2021-02-05,6,1,0
2021-02-06,1,0,0
2021-02-07,0,0,0
2021-02-08,12,3,0
2021-02-09,4,2,6
2021-02-10,4,0,0
2021-02-11,9,6,0
2021-02-12,1,4,0
2021-02-13,11,3,0
2021-02-14,6,4,0
2021-02-15,1,0,0
2021-02-16,2,1,8
2021-02-17,6,1,0
2021-02-18,34,2,0
2021-02-19,9,3,0
2021-02-20,5,1,0
2021-02-21,9,1,0
2021-02-22,2,1,2
2021-02-23,13,1,7
2021-02-24,6,1,5
2021-02-25,7,1,2
2021-02-26,1,1,0
2021-02-27,2,0,0
2021-02-28,2,2,18
2021-03-01,5,1,0
2021-03-02,0,0,0
2021-03-03,2,1,0
2021-03-04,4,1,0
2021-03-05,5,3,1
2021-03-06,6,0,0
2021-03-07,4,1,0
2021-03-08,2,0,3
2021-03-09,35,1,20
2021-03-10,3,3,3
2021-03-11,3,0,0
2021-03-12,10,2,7
2021-03-13,1,1,3
2021-03-14,3,0,5
2021-03-15,4,1,14
2021-03-16,2,0,5
2021-03-17,5,1,12
2021-03-18,4,0,3
2021-03-19,10,0,41
2021-03-20,7,1,3
2021-03-21,2,1,0
2021-03-22,0,0,0
2021-03-23,2,1,7
2021-03-24,3,0,0
2021-03-25,21,0,0
2021-03-26,10,0,0
2021-03-27,6,0,0
2021-03-28,8,0,0
2021-03-29,16,1,0
2021-03-30,5,0,7
2021-03-31,1,0,44
2021-04-01,6,0,5
2021-04-02,15,1,5
2021-04-03,19,1,0
2021-04-04,0,0,4
2021-04-05,0,0,1
2021-04-06,0,1,0
2021-04-07,5,0,0
2021-04-08,0,1,0
2021-04-09,2,0,0
2021-04-10,9,0,5
2021-04-11,45,1,4
2021-04-12,2,2,0
2021-04-13,7,1,1
2021-04-14,4,1,5
2021-04-15,4,0,6
2021-04-16,2,1,5
2021-04-17,5,0,0
2021-04-18,0,0,0
2021-04-19,0,1,8
2021-04-20,1,0,4
2021-04-21,0,0,2
2021-04-22,11,0,0
2021-04-23,10,0,4
2021-04-24,3,0,0
2021-04-25,3,0,0
2021-04-26,8,1,0
2021-04-27,4,2,0
2021-04-28,8,1,0
2021-04-29,0,2,13
2021-04-30,4,0,16
2021-05-01,3,0,0
2021-05-02,3,0,1
2021-05-03,5,0,0
2021-05-04,0,1,0
2021-05-05,5,1,1
2021-05-06,11,2,0
2021-05-07,1,0,0
2021-05-08,4,0,0
2021-05-09,0,1,0
2021-05-10,0,1,0
2021-05-11,2,3,0
2021-05-12,0,2,1
2021-05-13,1,5,8
2021-05-14,9,3,0
2021-05-15,6,1,0
2021-05-16,10,1,0
2021-05-17,2,2,0
2021-05-18,7,2,0
2021-05-19,2,0,0
2021-05-20,0,4,16
2021-05-21,5,1,4
2021-05-22,5,0,0
