,MonoGame/MonoGame,4ian/GDevelop,godotengine/godot
2021-04-10,0,1,10
2021-04-11,0,7,14
2021-04-12,2,1,18
2021-04-13,1,2,14
2021-04-14,0,1,26
2021-04-15,0,0,18
2021-04-16,0,0,24
2021-04-17,0,2,10
2021-04-18,0,2,8
2021-04-19,0,0,10
2021-04-20,0,1,18
2021-04-21,0,0,6
2021-04-22,0,0,12
2021-04-23,0,2,19
2021-04-24,0,2,4
2021-04-25,0,1,9
2021-04-26,1,0,9
2021-04-27,0,1,34
2021-04-28,2,1,24
2021-04-29,0,1,8
2021-04-30,0,3,18
2021-05-01,0,1,8
2021-05-02,0,2,8
2021-05-03,0,0,27
2021-05-04,0,1,31
2021-05-05,0,0,22
2021-05-06,0,2,33
2021-05-07,0,3,23
2021-05-08,0,0,8
2021-05-09,0,8,24
2021-05-10,0,0,10
2021-05-11,0,3,13
2021-05-12,0,2,9
2021-05-13,0,3,13
2021-05-14,0,0,20
2021-05-15,6,2,8
2021-05-16,0,0,10
2021-05-17,0,1,27
2021-05-18,0,1,15
2021-05-19,0,0,29
2021-05-20,0,1,33
2021-05-21,0,2,29
2021-05-22,0,0,27
2021-05-23,0,0,13
2021-05-24,3,1,29
2021-05-25,2,5,26
2021-05-26,0,2,17
2021-05-27,0,3,8
2021-05-28,0,1,6
2021-05-29,0,0,8
2021-05-30,0,2,4
2021-05-31,0,2,36
2021-06-01,0,0,27
2021-06-02,3,1,8
2021-06-03,0,0,41
2021-06-04,0,1,34
2021-06-05,0,2,9
2021-06-06,0,4,7
2021-06-07,0,1,32
2021-06-08,0,0,22
2021-06-09,0,2,13
2021-06-10,0,0,13
2021-06-11,0,5,34
2021-06-12,0,5,12
2021-06-13,0,0,33
2021-06-14,0,2,38
2021-06-15,0,0,33
2021-06-16,0,5,30
2021-06-17,0,1,32
2021-06-18,0,0,27
2021-06-19,0,0,24
2021-06-20,0,0,18
2021-06-21,0,0,13
2021-06-22,0,2,4
2021-06-23,0,0,19
2021-06-24,0,0,17
2021-06-25,0,2,9
2021-06-26,0,0,3
2021-06-27,0,0,4
2021-06-28,0,0,20
2021-06-29,0,0,42
2021-06-30,1,1,25
2021-07-01,1,1,26
2021-07-02,4,0,29
2021-07-03,0,2,23
2021-07-04,0,1,16
2021-07-05,0,0,14
2021-07-06,0,5,40
2021-07-07,0,1,25
2021-07-08,0,1,11
2021-07-09,0,2,11
2021-07-10,0,4,11
2021-07-11,0,6,17
2021-07-12,0,3,27
2021-07-13,0,5,43
2021-07-14,0,4,12
2021-07-15,0,2,30
2021-07-16,0,0,10
2021-07-17,0,1,19
2021-07-18,0,0,10
2021-07-19,0,2,25
2021-07-20,0,3,45
2021-07-21,1,1,39
2021-07-22,1,1,23
2021-07-23,0,0,31
2021-07-24,0,0,17
2021-07-25,0,0,24
2021-07-26,0,0,41
2021-07-27,0,1,24
2021-07-28,0,0,15
2021-07-29,0,0,30
2021-07-30,0,0,45
2021-07-31,0,1,23
2021-08-01,0,3,22
2021-08-02,0,2,32
2021-08-03,0,3,32
2021-08-04,0,4,16
2021-08-05,0,3,25
2021-08-06,0,0,36
2021-08-07,0,1,19
2021-08-08,0,0,11
2021-08-09,0,1,40
2021-08-10,1,0,34
2021-08-11,0,1,48
2021-08-12,0,4,74
2021-08-13,1,2,56
2021-08-14,0,0,17
2021-08-15,0,0,12
2021-08-16,0,5,50
2021-08-17,0,4,44
2021-08-18,0,2,44
2021-08-19,0,3,19
2021-08-20,0,4,24
2021-08-21,0,0,13
2021-08-22,0,0,34
2021-08-23,0,3,34
2021-08-24,0,2,23
2021-08-25,0,2,34
2021-08-26,1,0,21
2021-08-27,0,3,34
2021-08-28,0,1,23
2021-08-29,0,0,15
2021-08-30,0,3,25
2021-08-31,3,2,21
2021-09-01,0,0,27
2021-09-02,1,0,20
2021-09-03,1,1,18
2021-09-04,0,0,5
2021-09-05,0,0,9
2021-09-06,0,3,18
2021-09-07,0,3,35
2021-09-08,0,0,19
2021-09-09,2,3,16
2021-09-10,1,0,24
2021-09-11,1,0,15
2021-09-12,0,0,12
2021-09-13,0,5,43
2021-09-14,0,2,57
2021-09-15,0,1,76
2021-09-16,0,3,41
2021-09-17,1,0,26
2021-09-18,3,2,9
2021-09-19,0,4,6
2021-09-20,0,1,41
2021-09-21,0,1,51
2021-09-22,0,7,31
2021-09-23,0,6,17
2021-09-24,0,8,43
2021-09-25,0,0,18
2021-09-26,0,0,13
2021-09-27,0,0,34
2021-09-28,0,0,35
2021-09-29,0,5,50
2021-09-30,0,6,44
2021-10-01,0,8,42
2021-10-02,0,0,7
2021-10-03,0,2,8
2021-10-04,0,4,47
2021-10-05,0,4,43
2021-10-06,0,2,34
2021-10-07,0,8,48
2021-10-08,0,4,30
2021-10-09,0,0,23
2021-10-10,0,0,7
2021-10-11,0,2,29
2021-10-12,0,0,43
2021-10-13,3,0,33
2021-10-14,2,3,35
2021-10-15,0,1,35
2021-10-16,0,0,15
2021-10-17,1,0,9
2021-10-18,2,1,32
2021-10-19,0,0,28
2021-10-20,0,2,27
2021-10-21,0,3,33
2021-10-22,0,2,31
2021-10-23,0,0,19
2021-10-24,3,1,13
2021-10-25,0,4,20
2021-10-26,3,0,26
2021-10-27,0,2,24
2021-10-28,0,4,30
2021-10-29,0,1,34
2021-10-30,0,0,15
2021-10-31,0,0,15
2021-11-01,0,3,29
2021-11-02,0,1,22
2021-11-03,0,0,25
2021-11-04,0,2,23
2021-11-05,0,0,12
2021-11-06,0,0,14
2021-11-07,0,4,17
2021-11-08,0,1,29
2021-11-09,0,2,26
2021-11-10,0,1,28
2021-11-11,0,3,25
2021-11-12,0,2,28
2021-11-13,0,0,10
2021-11-14,0,0,5
2021-11-15,0,1,23
2021-11-16,0,5,15
2021-11-17,0,0,26
2021-11-18,0,0,27
2021-11-19,0,2,33
2021-11-20,0,3,22
2021-11-21,0,2,12
2021-11-22,0,0,28
2021-11-23,0,4,31
2021-11-24,0,8,14
2021-11-25,0,1,26
2021-11-26,0,0,19
2021-11-27,0,2,7
2021-11-28,0,0,7
2021-11-29,0,2,24
2021-11-30,0,2,26
2021-12-01,0,3,28
2021-12-02,0,5,27
2021-12-03,0,4,32
2021-12-04,0,0,6
2021-12-05,0,1,11
2021-12-06,0,0,39
2021-12-07,0,1,18
2021-12-08,0,1,14
2021-12-09,0,1,23
2021-12-10,0,5,44
2021-12-11,0,1,13
2021-12-12,0,1,15
2021-12-13,0,0,14
2021-12-14,0,2,12
2021-12-15,0,6,34
2021-12-16,0,1,23
2021-12-17,0,4,11
2021-12-18,0,0,7
2021-12-19,0,0,1
2021-12-20,0,0,9
2021-12-21,0,2,24
2021-12-22,0,2,7
2021-12-23,0,4,13
2021-12-24,0,2,9
2021-12-25,0,1,2
2021-12-26,0,1,6
2021-12-27,0,4,4
2021-12-28,0,4,9
2021-12-29,0,1,6
2021-12-30,0,1,10
2021-12-31,0,0,8
2022-01-01,0,0,3
2022-01-02,0,2,13
2022-01-03,0,2,20
2022-01-04,0,2,46
2022-01-05,0,1,51
2022-01-06,0,3,58
2022-01-07,0,3,35
2022-01-08,0,1,22
2022-01-09,0,1,15
2022-01-10,0,10,32
2022-01-11,1,3,22
2022-01-12,0,4,48
2022-01-13,0,3,32
2022-01-14,0,4,34
2022-01-15,0,1,15
2022-01-16,0,1,16
2022-01-17,0,1,41
2022-01-18,0,1,45
2022-01-19,0,3,40
2022-01-20,0,1,37
2022-01-21,0,1,21
2022-01-22,0,6,29
2022-01-23,0,8,29
2022-01-24,0,1,31
2022-01-25,0,1,28
2022-01-26,3,2,18
2022-01-27,0,7,24
2022-01-28,0,2,42
2022-01-29,0,2,10
2022-01-30,0,0,12
2022-01-31,0,3,31
2022-02-01,0,3,26
2022-02-02,0,4,23
2022-02-03,0,2,39
2022-02-04,0,2,36
2022-02-05,0,0,35
2022-02-06,0,0,33
2022-02-07,0,1,38
2022-02-08,0,0,65
2022-02-09,0,2,37
2022-02-10,0,2,47
2022-02-11,0,4,38
2022-02-12,0,0,41
2022-02-13,0,3,10
2022-02-14,0,1,37
2022-02-15,0,0,30
2022-02-16,0,4,40
2022-02-17,0,4,27
2022-02-18,0,2,25
2022-02-19,0,1,23
2022-02-20,0,1,16
2022-02-21,0,3,21
2022-02-22,0,6,22
2022-02-23,0,1,21
2022-02-24,0,2,14
2022-02-25,0,3,10
2022-02-26,0,0,8
2022-02-27,0,0,8
2022-02-28,0,1,22
2022-03-01,0,4,20
2022-03-02,0,3,17
2022-03-03,0,2,20
2022-03-04,0,5,56
2022-03-05,0,0,23
2022-03-06,0,0,21
2022-03-07,0,2,28
2022-03-08,0,2,24
2022-03-09,0,2,31
2022-03-10,0,3,27
2022-03-11,0,4,23
2022-03-12,0,0,20
2022-03-13,0,1,31
2022-03-14,0,0,21
2022-03-15,0,1,25
2022-03-16,0,4,25
2022-03-17,0,2,33
2022-03-18,0,0,41
2022-03-19,0,0,7
2022-03-20,0,0,18
2022-03-21,0,4,25
2022-03-22,0,0,27
2022-03-23,0,1,14
2022-03-24,0,1,16
2022-03-25,0,1,28
2022-03-26,0,0,14
2022-03-27,0,1,25
2022-03-28,0,2,51
2022-03-29,0,1,31
2022-03-30,0,0,30
2022-03-31,0,0,36
2022-04-01,0,4,27
2022-04-02,0,0,2
2022-04-03,0,0,8
2022-04-04,0,1,38
2022-04-05,0,1,26
2022-04-06,0,5,20
2022-04-07,0,0,13
2022-04-08,0,1,16
2022-04-09,0,0,8
2022-04-10,0,0,8
2022-04-11,0,1,36
2022-04-12,0,1,35
2022-04-13,0,1,36
2022-04-14,0,3,9
2022-04-15,0,2,5
2022-04-16,0,0,8
2022-04-17,0,0,12
2022-04-18,0,0,1
2022-04-19,0,2,15
2022-04-20,2,2,11
2022-04-21,0,2,3
2022-04-22,1,1,17
2022-04-23,2,2,6
2022-04-24,4,2,14
2022-04-25,2,1,34
2022-04-26,7,1,31
2022-04-27,3,3,41
2022-04-28,1,3,31
2022-04-29,2,2,25
2022-04-30,4,0,18
2022-05-01,1,0,13
2022-05-02,0,3,21
2022-05-03,2,0,27
2022-05-04,1,2,24
2022-05-05,2,3,48
2022-05-06,1,3,19
2022-05-07,0,1,7
2022-05-08,0,1,8
2022-05-09,0,0,17
2022-05-10,0,3,33
2022-05-11,0,1,18
2022-05-12,6,4,39
2022-05-13,1,6,23
2022-05-14,1,0,5
2022-05-15,0,0,6
2022-05-16,0,8,53
2022-05-17,0,0,48
2022-05-18,0,4,33
2022-05-19,0,5,15
2022-05-20,0,4,30
2022-05-21,1,2,11
2022-05-22,0,1,13
2022-05-23,0,4,32
2022-05-24,0,4,33
2022-05-25,0,10,34
2022-05-26,0,0,15
2022-05-27,0,4,15
2022-05-28,0,0,8
2022-05-29,0,0,7
2022-05-30,0,1,9
2022-05-31,0,1,21
2022-06-01,0,8,21
2022-06-02,0,2,17
2022-06-03,0,7,26
2022-06-04,0,0,10
2022-06-05,0,0,13
2022-06-06,0,2,12
2022-06-07,0,2,29
2022-06-08,0,6,27
2022-06-09,0,2,21
2022-06-10,0,0,35
2022-06-11,0,0,12
2022-06-12,1,1,18
2022-06-13,1,4,25
2022-06-14,1,1,35
2022-06-15,0,2,32
2022-06-16,0,4,30
2022-06-17,0,0,29
2022-06-18,0,0,9
2022-06-19,0,0,23
2022-06-20,0,0,20
2022-06-21,0,3,12
2022-06-22,1,0,27
2022-06-23,0,0,52
2022-06-24,0,0,23
2022-06-25,2,0,16
2022-06-26,0,0,14
2022-06-27,0,4,23
2022-06-28,0,2,35
2022-06-29,0,0,19
2022-06-30,4,4,26
2022-07-01,0,1,28
2022-07-02,0,1,16
2022-07-03,0,2,19
2022-07-04,0,0,23
2022-07-05,0,2,25
2022-07-06,0,5,33
2022-07-07,0,1,26
2022-07-08,0,2,23
2022-07-09,0,0,5
2022-07-10,0,0,9
2022-07-11,0,3,7
2022-07-12,0,2,7
2022-07-13,0,8,32
2022-07-14,1,0,12
2022-07-15,0,0,9
2022-07-16,0,0,13
2022-07-17,0,0,24
2022-07-18,0,7,34
2022-07-19,0,0,24
2022-07-20,0,0,30
2022-07-21,0,1,31
2022-07-22,0,4,32
2022-07-23,0,0,12
2022-07-24,9,4,26
2022-07-25,9,4,33
2022-07-26,14,5,45
2022-07-27,0,2,62
2022-07-28,0,2,40
2022-07-29,0,7,54
2022-07-30,0,0,34
2022-07-31,0,0,48
2022-08-01,0,3,42
2022-08-02,0,1,54
2022-08-03,1,6,37
2022-08-04,0,3,62
2022-08-05,0,7,49
2022-08-06,0,0,19
2022-08-07,0,0,32
2022-08-08,0,2,46
2022-08-09,0,2,31
2022-08-10,0,2,36
2022-08-11,1,4,16
2022-08-12,0,7,21
2022-08-13,0,0,8
2022-08-14,0,0,8
2022-08-15,0,0,26
2022-08-16,0,5,10
2022-08-17,0,3,15
2022-08-18,0,2,44
2022-08-19,0,0,30
2022-08-20,0,0,15
2022-08-21,0,2,5
2022-08-22,0,3,89
2022-08-23,1,0,65
2022-08-24,0,1,58
2022-08-25,0,3,69
2022-08-26,0,3,56
2022-08-27,0,0,39
2022-08-28,1,3,26
2022-08-29,0,2,47
2022-08-30,0,6,72
2022-08-31,0,2,38
2022-09-01,0,2,60
2022-09-02,0,1,46
2022-09-03,0,0,25
2022-09-04,0,0,14
2022-09-05,0,4,43
2022-09-06,0,1,46
2022-09-07,0,0,65
2022-09-08,0,0,35
2022-09-09,0,3,23
2022-09-10,1,0,15
2022-09-11,0,0,9
2022-09-12,3,2,30
2022-09-13,8,3,44
2022-09-14,0,7,47
2022-09-15,0,2,29
2022-09-16,0,4,47
2022-09-17,0,0,32
2022-09-18,2,0,25
2022-09-19,0,2,55
2022-09-20,0,1,38
2022-09-21,0,2,47
2022-09-22,0,2,19
2022-09-23,0,3,26
2022-09-24,0,0,17
2022-09-25,0,0,26
2022-09-26,0,0,39
2022-09-27,0,3,30
2022-09-28,0,5,43
2022-09-29,0,5,19
2022-09-30,0,3,35
2022-10-01,0,0,7
2022-10-02,0,0,12
2022-10-03,0,1,62
2022-10-04,0,5,54
2022-10-05,0,1,63
2022-10-06,0,4,35
2022-10-07,0,4,36
2022-10-08,0,0,23
2022-10-09,0,0,23
2022-10-10,0,0,42
2022-10-11,0,1,55
2022-10-12,0,5,27
2022-10-13,0,5,46
2022-10-14,0,3,25
2022-10-15,0,0,17
2022-10-16,0,2,17
2022-10-17,0,1,30
2022-10-18,0,2,24
2022-10-19,0,2,30
2022-10-20,0,2,19
2022-10-21,0,7,20
2022-10-22,0,1,16
2022-10-23,0,0,13
2022-10-24,0,4,23
2022-10-25,0,3,15
2022-10-26,0,2,13
2022-10-27,0,3,30
2022-10-28,0,3,25
2022-10-29,0,3,15
2022-10-30,0,2,12
2022-10-31,0,3,81
2022-11-01,0,0,24
2022-11-02,0,3,73
2022-11-03,0,3,25
2022-11-04,0,3,25
2022-11-05,0,1,11
2022-11-06,0,0,21
2022-11-07,0,7,19
2022-11-08,0,2,19
2022-11-09,0,4,15
2022-11-10,0,5,13
2022-11-11,0,0,41
2022-11-12,0,0,20
2022-11-13,0,0,21
2022-11-14,0,2,53
2022-11-15,0,6,52
2022-11-16,0,1,24
2022-11-17,0,0,46
2022-11-18,0,3,31
2022-11-19,0,0,20
2022-11-20,0,0,37
2022-11-21,0,1,27
2022-11-22,0,1,40
2022-11-23,0,3,41
2022-11-24,0,2,53
2022-11-25,0,4,38
2022-11-26,0,0,8
2022-11-27,0,1,11
2022-11-28,0,6,39
2022-11-29,0,1,35
2022-11-30,0,5,35
2022-12-01,0,3,29
2022-12-02,0,6,30
2022-12-03,0,0,19
2022-12-04,0,2,28
2022-12-05,0,2,45
2022-12-06,0,4,57
2022-12-07,0,6,51
2022-12-08,0,8,17
2022-12-09,0,7,29
2022-12-10,0,0,32
2022-12-11,0,0,33
2022-12-12,0,13,49
2022-12-13,0,7,40
2022-12-14,0,2,23
2022-12-15,0,1,54
2022-12-16,0,3,27
2022-12-17,0,0,51
2022-12-18,0,0,12
2022-12-19,0,6,29
2022-12-20,0,5,35
2022-12-21,0,6,59
2022-12-22,0,7,22
2022-12-23,0,9,42
2022-12-24,0,2,10
2022-12-25,0,0,3
2022-12-26,0,5,10
2022-12-27,0,3,8
2022-12-28,0,0,9
2022-12-29,0,1,14
2022-12-30,0,3,10
2022-12-31,0,0,4
2023-01-01,0,0,10
2023-01-02,0,2,8
2023-01-03,0,4,54
2023-01-04,0,1,9
2023-01-05,0,4,30
2023-01-06,0,1,28
2023-01-07,0,0,22
2023-01-08,0,1,33
2023-01-09,0,7,45
2023-01-10,0,3,34
2023-01-11,0,3,46
2023-01-12,0,3,67
2023-01-13,0,2,58
2023-01-14,0,3,27
2023-01-15,0,2,25
2023-01-16,0,7,67
2023-01-17,0,5,40
2023-01-18,0,5,52
2023-01-19,0,1,57
2023-01-20,0,7,52
2023-01-21,0,3,49
2023-01-22,1,3,36
2023-01-23,0,0,70
2023-01-24,0,3,36
2023-01-25,0,0,60
2023-01-26,0,0,81
2023-01-27,0,2,63
2023-01-28,0,2,33
2023-01-29,0,0,33
2023-01-30,0,3,65
2023-01-31,0,4,85
2023-02-01,0,5,70
2023-02-02,0,10,58
2023-02-03,0,2,43
2023-02-04,0,0,14
2023-02-05,0,0,5
2023-02-06,0,3,66
2023-02-07,0,1,45
2023-02-08,0,2,28
2023-02-09,0,4,35
2023-02-10,0,4,42
2023-02-11,0,0,59
2023-02-12,0,0,30
2023-02-13,0,3,62
2023-02-14,0,6,39
2023-02-15,0,4,35
2023-02-16,0,6,65
2023-02-17,0,2,53
2023-02-18,0,1,12
2023-02-19,0,1,17
2023-02-20,0,5,44
2023-02-21,0,6,55
2023-02-22,0,3,44
2023-02-23,0,6,29
2023-02-24,0,12,30
2023-02-25,3,2,13
2023-02-26,0,0,32
2023-02-27,0,6,30
2023-02-28,0,4,10
2023-03-01,0,8,12
2023-03-02,0,4,28
2023-03-03,0,2,31
2023-03-04,0,0,11
2023-03-05,0,0,21
2023-03-06,0,0,46
2023-03-07,0,5,34
2023-03-08,0,2,30
2023-03-09,0,7,28
2023-03-10,0,6,36
2023-03-11,0,0,5
2023-03-12,0,0,8
2023-03-13,0,2,5
2023-03-14,0,4,9
2023-03-15,0,0,35
2023-03-16,0,4,34
2023-03-17,0,3,4
2023-03-18,0,0,4
2023-03-19,0,2,7
2023-03-20,0,7,25
2023-03-21,0,4,16
2023-03-22,0,1,8
2023-03-23,0,4,5
2023-03-24,0,7,3
2023-03-25,0,0,27
2023-03-26,0,3,7
2023-03-27,0,5,26
2023-03-28,0,3,8
2023-03-29,0,3,7
2023-03-30,0,2,15
2023-03-31,0,5,15
2023-04-01,0,0,5
2023-04-02,0,0,13
2023-04-03,0,2,46
2023-04-04,0,6,10
2023-04-05,0,3,26
2023-04-06,0,1,11
2023-04-07,0,3,25
2023-04-08,0,0,19
2023-04-09,1,1,6
2023-04-10,0,0,31
2023-04-11,0,4,43
2023-04-12,0,2,34
2023-04-13,0,7,30
2023-04-14,0,0,9
2023-04-15,0,1,6
2023-04-16,0,0,9
2023-04-17,0,0,28
2023-04-18,15,3,41
2023-04-19,3,2,14
2023-04-20,4,3,26
2023-04-21,0,3,13
2023-04-22,0,0,10
2023-04-23,0,0,10
2023-04-24,0,0,27
2023-04-25,0,2,36
2023-04-26,0,1,28
2023-04-27,0,0,31
2023-04-28,1,2,21
2023-04-29,0,0,8
2023-04-30,0,0,4
2023-05-01,0,1,11
2023-05-02,0,2,8
2023-05-03,0,1,20
2023-05-04,0,1,4
2023-05-05,1,0,27
2023-05-06,0,0,11
2023-05-07,1,0,11
2023-05-08,0,0,51
2023-05-09,0,1,34
2023-05-10,0,0,33
2023-05-11,0,1,34
2023-05-12,0,3,56
2023-05-13,0,1,9
2023-05-14,0,1,9
2023-05-15,0,1,42
2023-05-16,0,3,20
2023-05-17,0,4,33
2023-05-18,0,3,25
2023-05-19,0,9,24
2023-05-20,0,0,13
2023-05-21,0,0,8
2023-05-22,0,5,49
2023-05-23,0,10,30
2023-05-24,0,4,45
2023-05-25,0,5,17
2023-05-26,0,1,30
2023-05-27,0,0,23
2023-05-28,0,0,8
2023-05-29,0,0,52
2023-05-30,0,1,47
2023-05-31,0,1,35
2023-06-01,0,3,13
2023-06-02,0,1,39
2023-06-03,0,1,9
2023-06-04,0,0,4
2023-06-05,0,0,31
2023-06-06,0,2,29
2023-06-07,0,4,42
2023-06-08,0,2,29
2023-06-09,0,5,47
2023-06-10,0,0,15
2023-06-11,0,1,9
2023-06-12,0,2,70
2023-06-13,0,2,38
2023-06-14,0,7,39
2023-06-15,0,2,60
2023-06-16,0,2,45
2023-06-17,0,0,6
2023-06-18,0,0,32
2023-06-19,0,1,54
2023-06-20,0,2,56
2023-06-21,0,7,45
2023-06-22,0,5,42
2023-06-23,0,1,33
2023-06-24,0,0,8
2023-06-25,0,0,7
2023-06-26,0,2,35
2023-06-27,0,0,12
