,highcharts/highcharts,d3/d3,chartjs/chart.js
2013-03-17,0,0,2
2013-03-18,0,0,3
2013-03-19,1,22,1
2013-03-20,1,1,1
2013-03-21,5,10,0
2013-03-22,8,2,0
2013-03-23,1,0,0
2013-03-24,3,2,0
2013-03-25,4,2,6
2013-03-26,0,3,0
2013-03-27,0,1,0
2013-03-28,0,0,0
2013-03-29,0,0,0
2013-03-30,0,1,0
2013-03-31,0,2,0
2013-04-01,0,0,0
2013-04-02,11,5,0
2013-04-03,5,6,0
2013-04-04,3,0,0
2013-04-05,9,1,0
2013-04-06,0,0,0
2013-04-07,0,5,0
2013-04-08,3,0,0
2013-04-09,11,0,0
2013-04-10,1,0,0
2013-04-11,9,4,0
2013-04-12,2,0,2
2013-04-13,0,0,1
2013-04-14,0,0,0
2013-04-15,2,1,1
2013-04-16,1,0,0
2013-04-17,3,5,0
2013-04-18,2,2,0
2013-04-19,7,3,0
2013-04-20,0,1,0
2013-04-21,0,0,0
2013-04-22,3,0,0
2013-04-23,0,0,0
2013-04-24,2,0,0
2013-04-25,6,2,0
2013-04-26,0,0,0
2013-04-27,0,0,0
2013-04-28,0,0,0
2013-04-29,2,0,0
2013-04-30,0,12,0
2013-05-01,3,1,0
2013-05-02,1,0,0
2013-05-03,3,0,0
2013-05-04,0,1,0
2013-05-05,0,1,0
2013-05-06,2,0,0
2013-05-07,5,1,0
2013-05-08,2,2,0
2013-05-09,0,0,0
2013-05-10,0,0,0
2013-05-11,4,0,0
2013-05-12,0,0,0
2013-05-13,0,1,0
2013-05-14,0,0,0
2013-05-15,3,8,0
2013-05-16,1,0,0
2013-05-17,3,1,0
2013-05-18,0,0,0
2013-05-19,0,6,0
2013-05-20,1,16,0
2013-05-21,8,1,0
2013-05-22,2,2,0
2013-05-23,9,1,0
2013-05-24,5,3,0
2013-05-25,0,2,0
2013-05-26,3,1,0
2013-05-27,4,0,0
2013-05-28,0,21,0
2013-05-29,4,9,0
2013-05-30,2,25,0
2013-05-31,4,0,1
2013-06-01,0,2,0
2013-06-02,0,1,0
2013-06-03,2,2,0
2013-06-04,2,3,0
2013-06-05,4,0,1
2013-06-06,4,0,0
2013-06-07,2,0,0
2013-06-08,1,5,0
2013-06-09,0,0,0
2013-06-10,7,0,0
2013-06-11,6,5,1
2013-06-12,10,4,0
2013-06-13,19,5,1
2013-06-14,11,2,1
2013-06-15,0,0,0
2013-06-16,0,0,0
2013-06-17,8,0,0
2013-06-18,8,4,0
2013-06-19,16,5,0
2013-06-20,6,2,0
2013-06-21,15,3,0
2013-06-22,1,0,0
2013-06-23,0,0,0
2013-06-24,10,3,0
2013-06-25,3,5,0
2013-06-26,8,5,0
2013-06-27,4,6,0
2013-06-28,0,2,0
2013-06-29,0,6,0
2013-06-30,0,5,0
2013-07-01,4,7,0
2013-07-02,3,4,0
