,bitcoinj/bitcoinj,bitcoin/bitcoin,libbitcoin/libbitcoin-system
2019-07-19,0,11,2.0
2019-07-20,3,0,-0.20000000000000018
2019-07-21,0,1,-0.09000000000000007
2019-07-22,0,7,-0.057000000000000044
2019-07-23,0,8,-0.04132499999999985
2019-07-24,0,25,-0.032233499999999894
2019-07-25,0,7,0.973675975
2019-07-26,4,6,0.8778126075
2019-07-27,0,18,-0.16413662603125007
2019-07-28,0,4,-0.09029770507187501
2019-07-29,0,15,-0.04916249999999994
2019-07-30,0,16,6.9632207500000005
2019-07-31,0,15,-0.7292787625000006
2019-08-01,0,12,-0.33925570875000016
2019-08-02,0,11,-0.2201620092656251
2019-08-03,0,1,-0.16260466555156194
2019-08-04,0,1,-0.1212161025359371
2019-08-05,0,6,0.9078659125000003
2019-08-06,0,8,-0.17765587374999986
2019-08-07,0,3,-0.11197819110937487
2019-08-08,1,2,-0.08729196775156237
2019-08-09,2,8,1.9793375
2019-08-10,0,1,-0.21611675000000014
2019-08-11,0,6,-0.10316201250000002
2019-08-12,0,5,-0.06809369625000002
2019-08-13,0,6,-0.05089331301562482
2019-08-14,0,31,-0.040632352535937374
2019-08-15,0,20,3.973675975
2019-08-16,0,23,4.577812607499999
2019-08-17,0,1,-0.6991366260312506
2019-08-18,0,4,1.6442022949281248
2019-08-19,0,20,0.5748500000000001
2019-08-20,0,8,-0.3577794999999996
2019-08-21,0,6,-0.23523179999999966
2019-08-22,0,7,-0.18000984749999954
2019-08-23,0,12,-0.14663773331249955
2019-08-24,0,11,-0.12387775022187465
2019-08-25,0,5,-0.07734366767968728
2019-08-26,0,9,-0.030230322281249916
2019-08-27,1,9,-0.026366018087499932
2019-08-28,0,11,-0.008398852535937478
2019-08-29,0,21,0.0
2019-08-30,0,9,6.0
2019-08-31,3,5,-0.6000000000000005
2019-09-01,0,1,-0.2700000000000002
2019-09-02,0,4,10.829
2019-09-03,0,13,0.7760249999999995
2019-09-04,0,11,1.2082994999999999
2019-09-05,0,14,10.317527925
2019-09-06,0,8,-1.5408496775
2019-09-07,0,5,-0.8280191280937496
2019-09-08,0,10,-0.5822337527156244
2019-09-09,0,9,-0.4078756837499986
2019-09-10,0,10,-0.331047110671874
2019-09-11,3,5,-0.27849353392656173
2019-09-12,0,8,-0.15796498985312454
2019-09-13,0,7,-0.1220491482437497
2019-09-14,0,4,-0.09238737789531226
2019-09-15,0,4,0.0
2019-09-16,0,16,0.0
2019-09-17,0,13,0.0
2019-09-18,1,13,0.0
2019-09-19,0,16,0.0
2019-09-20,0,9,0.0
2019-09-21,0,4,1.0
2019-09-22,0,5,-0.10000000000000009
2019-09-23,0,7,0.955
2019-09-24,0,7,-0.12850000000000011
2019-09-25,0,11,0.9343375
2019-09-26,0,12,-0.14461675000000007
2019-09-27,0,4,2.9211754875000002
2019-09-28,0,2,-0.3557104462500002
2019-09-29,0,1,-0.17839282551562496
2019-09-30,0,26,0.8788907012140625
2019-10-01,3,23,-0.1847178255156248
2019-10-02,0,27,-0.11284279878593734
2019-10-03,0,11,-0.07755435051562488
2019-10-04,0,7,-0.06234244128593731
2019-10-05,0,1,-0.04482168904687488
2019-10-06,0,3,-0.03835857010781239
2019-10-07,0,6,-0.011093696249999967
2019-10-08,1,19,-0.009568313015624975
2019-10-09,0,25,-0.008398852535937478
2019-10-10,0,20,0.0
2019-10-11,0,7,1.0
2019-10-12,0,4,-0.10000000000000009
2019-10-13,1,6,0.955
2019-10-14,0,16,-0.12850000000000011
2019-10-15,0,20,-0.06566249999999996
2019-10-16,0,10,0.95538325
2019-10-17,0,11,-0.13382451249999996
2019-10-18,0,17,-0.07221044624999995
2019-10-19,0,1,-0.05123032551562495
2019-10-20,0,4,0.9598449512140627
2019-10-21,3,18,1.874314936984375
2019-10-22,4,7,-0.2665608650359377
2019-10-23,0,15,-0.12959369625000006
2019-10-24,0,26,-0.08723081301562494
2019-10-25,0,17,-0.06584060253593726
2019-10-26,0,11,1.9546044875000002
2019-10-27,0,1,-0.23741772125000007
2019-10-28,0,21,6.878244294484375
2019-10-29,0,20,6.215464521432812
2019-10-30,0,32,2.9268772949281243
2019-10-31,0,10,-0.9467335000000006
2019-11-01,0,19,3.449538475
2019-11-02,0,23,-0.7936421424999995
2019-11-03,0,6,-0.4867379635312492
2019-11-04,0,29,-0.36505466632187433
2019-11-05,0,41,-0.27993211485937414
2019-11-06,2,25,-0.2346119438609368
2019-11-07,0,17,4.850286730185938
2019-11-08,0,17,-0.5779701951437503
2019-11-09,0,3,-0.2632732520625001
2019-11-10,5,8,-0.17609541014375002
2019-11-11,0,11,-0.10331249999999961
2019-11-12,0,18,-0.08058374999999973
2019-11-13,0,16,-0.06581006249999981
2019-11-14,0,7,-0.05546848124999983
2019-11-15,0,11,0.9521584349218751
2019-11-16,0,3,-0.14199426267968748
2019-11-17,0,3,-0.04500000000000003
2019-11-18,0,26,-0.028500000000000022
2019-11-19,0,19,-0.020662499999999924
2019-11-20,4,16,-0.016116749999999947
2019-11-21,1,18,-0.01316201249999996
2019-11-22,0,18,-0.011093696249999967
2019-11-23,0,9,-0.009568313015624975
2019-11-24,0,14,-0.008398852535937478
2019-11-25,0,14,0.0
2019-11-26,5,13,0.0
2019-11-27,0,3,0.0
2019-11-28,0,3,10.0
2019-11-29,1,3,-1.0000000000000009
2019-11-30,0,2,-0.45000000000000034
2019-12-01,0,3,-0.2850000000000002
2019-12-02,0,6,-0.20662499999999923
2019-12-03,0,9,-0.16116749999999946
2019-12-04,0,10,-0.13162012499999962
2019-12-05,0,15,-0.11093696249999967
2019-12-06,0,27,-0.09568313015624975
2019-12-07,0,4,-0.08398852535937479
2019-12-08,3,4,0.0
2019-12-09,0,19,0.0
2019-12-10,0,18,0.0
2019-12-11,0,13,0.0
2019-12-12,0,15,0.0
2019-12-13,0,12,0.0
2019-12-14,1,1,0.0
2019-12-15,0,8,0.0
2019-12-16,0,19,0.0
2019-12-17,0,13,0.0
2019-12-18,0,7,0.0
2019-12-19,0,7,0.0
2019-12-20,0,2,0.0
2019-12-21,0,0,0.0
2019-12-22,0,1,0.0
2019-12-23,0,3,0.0
2019-12-24,0,0,0.0
2019-12-25,0,1,0.0
2019-12-26,0,1,0.0
2019-12-27,0,2,0.0
2019-12-28,0,4,0.0
2019-12-29,0,2,0.0
2019-12-30,0,3,0.0
2019-12-31,0,4,0.0
2020-01-01,0,0,0.0
2020-01-02,0,13,0.0
2020-01-03,0,19,0.0
2020-01-04,0,7,0.0
2020-01-05,0,4,0.0
2020-01-06,0,5,0.0
2020-01-07,0,12,0.0
2020-01-08,0,13,0.0
2020-01-09,0,7,0.0
2020-01-10,0,4,0.0
2020-01-11,0,3,0.0
2020-01-12,1,1,0.0
2020-01-13,0,8,0.0
2020-01-14,0,13,0.0
2020-01-15,0,9,0.0
2020-01-16,0,12,0.0
2020-01-17,0,8,0.0
2020-01-18,0,3,0.0
2020-01-19,0,2,0.0
2020-01-20,0,4,0.0
2020-01-21,0,1,0.0
2020-01-22,0,16,0.0
2020-01-23,4,26,0.0
2020-01-24,0,2,0.0
2020-01-25,0,3,0.0
2020-01-26,0,3,0.0
2020-01-27,0,10,0.0
2020-01-28,0,18,0.0
2020-01-29,0,12,0.0
2020-01-30,1,18,0.0
2020-01-31,0,14,0.0
2020-02-01,0,4,0.0
2020-02-02,0,2,0.0
2020-02-03,0,8,0.0
2020-02-04,0,6,0.0
2020-02-05,0,12,0.0
2020-02-06,0,8,0.0
2020-02-07,0,4,0.0
2020-02-08,0,0,0.0
2020-02-09,0,7,0.0
2020-02-10,0,19,0.0
2020-02-11,0,11,0.0
2020-02-12,0,11,0.0
2020-02-13,0,12,0.0
2020-02-14,0,5,0.0
2020-02-15,0,2,0.0
2020-02-16,3,6,0.0
2020-02-17,0,6,0.0
2020-02-18,0,4,0.0
2020-02-19,0,11,0.0
2020-02-20,0,3,0.0
2020-02-21,0,9,0.0
2020-02-22,0,2,0.0
2020-02-23,0,0,0.0
2020-02-24,0,1,0.0
2020-02-25,0,13,0.0
2020-02-26,0,4,0.0
2020-02-27,4,6,0.0
2020-02-28,3,23,0.0
2020-02-29,2,2,0.0
2020-03-01,0,2,0.0
2020-03-02,0,15,0.0
2020-03-03,0,2,0.0
2020-03-04,9,17,0.0
2020-03-05,2,18,0.0
2020-03-06,1,13,0.0
2020-03-07,4,21,0.0
2020-03-08,1,4,0.0
2020-03-09,0,26,0.0
2020-03-10,0,16,0.0
2020-03-11,2,43,0.0
2020-03-12,1,9,0.0
2020-03-13,5,6,0.0
2020-03-14,0,4,0.0
2020-03-15,0,9,0.0
2020-03-16,0,14,0.0
2020-03-17,0,19,0.0
2020-03-18,0,11,0.0
2020-03-19,1,13,0.0
2020-03-20,0,1,0.0
2020-03-21,0,7,0.0
2020-03-22,0,8,0.0
2020-03-23,0,7,0.0
2020-03-24,0,15,0.0
2020-03-25,0,13,0.0
2020-03-26,0,19,0.0
2020-03-27,0,23,0.0
2020-03-28,0,6,0.0
2020-03-29,0,9,0.0
2020-03-30,0,13,0.0
2020-03-31,0,26,0.0
2020-04-01,0,10,0.0
2020-04-02,0,36,0.0
2020-04-03,0,16,0.0
2020-04-04,0,11,0.0
2020-04-05,0,7,0.0
2020-04-06,0,34,0.0
2020-04-07,0,10,0.0
2020-04-08,1,30,0.0
2020-04-09,0,10,0.0
2020-04-10,0,21,0.0
2020-04-11,0,9,0.0
2020-04-12,0,16,0.0
2020-04-13,1,17,0.0
2020-04-14,0,11,0.0
2020-04-15,0,28,0.0
2020-04-16,2,22,0.0
2020-04-17,0,23,0.0
2020-04-18,0,4,0.0
2020-04-19,0,12,0.0
2020-04-20,0,11,0.0
2020-04-21,0,15,0.0
2020-04-22,1,18,0.0
2020-04-23,2,61,0.0
2020-04-24,0,14,0.0
2020-04-25,2,9,0.0
2020-04-26,1,14,0.0
2020-04-27,0,12,0.0
2020-04-28,0,20,0.0
2020-04-29,0,22,0.0
2020-04-30,0,26,0.0
2020-05-01,0,24,0.0
2020-05-02,0,3,0.0
2020-05-03,2,6,0.0
2020-05-04,0,15,0.0
2020-05-05,0,26,0.0
2020-05-06,0,11,0.0
2020-05-07,0,17,0.0
2020-05-08,0,14,0.0
2020-05-09,1,5,0.0
2020-05-10,0,10,1.0
2020-05-11,0,8,-0.10000000000000009
2020-05-12,4,24,0.955
2020-05-13,0,21,-0.12850000000000011
2020-05-14,0,15,-0.06566249999999996
2020-05-15,0,9,-0.04461674999999997
2020-05-16,0,3,-0.03382451249999988
2020-05-17,2,6,-0.027210446249999916
2020-05-18,0,13,-0.022730325515624934
2020-05-19,0,24,-0.019492548785937445
2020-05-20,0,10,-0.009568313015624975
2020-05-21,0,27,-0.008398852535937478
2020-05-22,0,14,0.0
2020-05-23,0,11,0.0
2020-05-24,0,3,0.0
2020-05-25,0,22,0.0
2020-05-26,0,17,0.0
2020-05-27,0,14,0.0
