,commaai/openpilot,apolloauto/apollo,carla-simulator/carla
2021-09-04,4,1.0,0
2021-09-05,0,-0.3999999999999999,0
2021-09-06,11,0.88,0
2021-09-07,20,-0.4639999999999999,0
2021-09-08,9,-0.16160000000000005,0
2021-09-09,6,0.906048,6
2021-09-10,8,0.5354368,0
2021-09-11,4,0.4316774400000001,0
2021-09-12,8,-0.6221189119999999,0
2021-09-13,6,-0.2567687168,0
2021-09-14,19,0.849292288,0
2021-09-15,9,-0.5073133568,1
2021-09-16,11,-0.19128576000000003,20
2021-09-17,10,-0.120489472,0
2021-09-18,5,-0.08792442880000004,0
2021-09-19,10,-0.05790586880000001,0
2021-09-20,4,-0.035761356800000005,2
2021-09-21,10,-0.018370559999999994,0
2021-09-22,7,-0.015155711999999993,0
2021-09-23,15,-0.012798156799999997,0
2021-09-24,14,0.0,0
2021-09-25,4,0.0,0
2021-09-26,0,0.0,0
2021-09-27,4,0.0,0
2021-09-28,12,0.0,3
2021-09-29,13,0.0,0
2021-09-30,7,0.0,0
2021-10-01,8,0.0,0
2021-10-02,2,0.0,0
2021-10-03,2,0.0,0
2021-10-04,20,0.0,1
2021-10-05,7,0.0,5
2021-10-06,7,0.0,0
2021-10-07,24,0.0,0
2021-10-08,11,0.0,0
2021-10-09,4,1.0,0
2021-10-10,10,-0.3999999999999999,0
2021-10-11,10,-0.12,1
2021-10-12,11,0.9359999999999999,0
2021-10-13,8,-0.44159999999999994,0
2021-10-14,13,-0.149952,0
2021-10-15,11,-0.0869632,0
2021-10-16,9,-0.05997056000000004,0
2021-10-17,2,-0.04510771200000001,0
2021-10-18,15,0.9642386432,6
2021-10-19,10,-0.4183705599999999,0
2021-10-20,12,-0.13515571199999998,0
2021-10-21,12,-0.0767981568,0
2021-10-22,4,-0.04160000000000005,0
2021-10-23,8,-0.029952000000000017,0
2021-10-24,1,-0.022963200000000007,0
2021-10-25,10,0.98162944,0
2021-10-26,13,-0.4151557119999999,4
2021-10-27,11,1.8672018432,1
2021-10-28,14,-0.8639999999999999,1
2021-10-29,18,-0.2816,0
2021-10-30,7,-0.157952,0
2021-10-31,3,-0.1061632000000001,0
2021-11-01,12,0.92172544,0
2021-11-02,11,0.5389178880000001,0
2021-11-03,1,-0.5695392767999998,1
2021-11-04,14,0.7856885760000001,0
2021-11-05,7,-0.5311963136,17
2021-11-06,0,-0.19155200000000006,0
2021-11-07,1,-0.11691520000000002,0
2021-11-08,13,0.9170662399999999,9
2021-11-09,10,-0.4634782719999999,11
2021-11-10,14,-0.1709170688,3
2021-11-11,11,0.9048312832000001,1
2021-11-12,16,-0.456755712,0
2021-11-13,7,-0.16275015680000002,0
2021-11-14,5,-0.0869632,0
2021-11-15,6,-0.05997056000000004,3
2021-11-16,19,0.954892288,0
2021-11-17,29,-0.43576135679999994,0
2021-11-18,22,-0.13837055999999998,0
2021-11-19,15,0.9208442880000001,2
2021-11-20,5,0.5456018432,0
2021-11-21,7,-0.5499519999999999,0
2021-11-22,5,3.7930368,0
2021-11-23,5,-1.7239705599999997,0
2021-11-24,13,-0.566707712,0
2021-11-25,2,0.6782866432,0
2021-11-26,10,1.3922662399999999,0
2021-11-27,3,-1.0733342719999999,0
2021-11-28,6,-0.4238066688,0
2021-11-29,18,0.7441196031999999,0
2021-11-30,11,0.426225152,0
2021-12-01,10,0.3459401728,0
2021-12-02,15,3.3517030400000003,0
2021-12-03,7,-1.8774968319999996,0
2021-12-04,6,-0.6586615808,0
2021-12-05,12,-0.37611151360000006,0
2021-12-06,10,-0.2376857600000002,0
2021-12-07,11,-0.17629747200000007,0
2021-12-08,15,-0.1381772288,0
2021-12-09,11,-0.10143610879999997,0
2021-12-10,2,-0.07342100479999997,0
2021-12-11,8,1.9488073728,0
2021-12-12,5,-0.7999999999999998,0
2021-12-13,7,-0.24,0
2021-12-14,20,-0.128,0
2021-12-15,15,-0.0832000000000001,0
2021-12-16,9,-0.059904000000000034,0
2021-12-17,4,5.9540736,0
2021-12-18,3,-2.4367411199999993,0
2021-12-19,1,-0.750311424,0
2021-12-20,2,-0.4095963136,0
2021-12-21,6,-0.24960000000000027,0
2021-12-22,3,-0.1797120000000001,0
2021-12-23,2,-0.13777920000000005,0
2021-12-24,4,2.88977664,0
2021-12-25,0,-1.2909342719999997,0
2021-12-26,0,-0.43678894079999997,0
2021-12-27,5,2.808,0
2021-12-28,6,-0.32479999999999976,0
2021-12-29,1,-0.849856,0
2021-12-30,0,-0.38088960000000005,0
2021-12-31,1,-0.24391168000000013,0
2022-01-01,5,-0.17692313600000006,0
2022-01-02,8,-0.13723607040000002,0
2022-01-03,11,-0.07807487999999999,0
2022-01-04,40,-0.06383769599999997,0
2022-01-05,13,-0.053550182399999986,0
2022-01-06,8,-0.012798156799999997,0
2022-01-07,8,0.0,0
2022-01-08,2,0.0,0
2022-01-09,2,0.0,0
2022-01-10,16,0.0,0
2022-01-11,7,0.0,7
2022-01-12,11,0.0,0
2022-01-13,13,0.0,0
2022-01-14,22,1.0,0
2022-01-15,3,-0.3999999999999999,0
2022-01-16,2,-0.12,0
2022-01-17,8,-0.064,0
2022-01-18,9,-0.04160000000000005,0
2022-01-19,8,-0.029952000000000017,0
2022-01-20,6,-0.022963200000000007,0
2022-01-21,5,-0.018370559999999994,0
2022-01-22,6,-0.015155711999999993,0
2022-01-23,0,-0.012798156799999997,0
2022-01-24,7,0.0,0
2022-01-25,12,0.0,0
2022-01-26,8,0.0,0
2022-01-27,16,0.0,0
2022-01-28,15,0.0,0
2022-01-29,3,0.0,0
2022-01-30,7,0.0,0
2022-01-31,5,0.0,0
2022-02-01,4,0.0,0
2022-02-02,2,0.0,0
2022-02-03,5,0.0,7
2022-02-04,1,0.0,0
2022-02-05,5,0.0,0
2022-02-06,5,0.0,0
2022-02-07,4,0.0,0
2022-02-08,4,0.0,16
2022-02-09,6,0.0,0
2022-02-10,9,0.0,0
2022-02-11,11,0.0,0
