,opencv/opencv,scikit-image/scikit-image,davisking/dlib
2022-07-11,0,2,1
2022-07-12,9,0,3
2022-07-13,5,0,5
2022-07-14,6,0,0
2022-07-15,4,0,0
2022-07-16,3,2,0
2022-07-17,0,3,0
2022-07-18,2,0,0
2022-07-19,10,0,1
2022-07-20,3,0,0
2022-07-21,4,0,0
2022-07-22,3,0,0
2022-07-23,0,0,1
2022-07-24,7,0,0
2022-07-25,2,1,0
2022-07-26,4,0,0
2022-07-27,2,0,0
2022-07-28,3,0,0
2022-07-29,0,0,0
2022-07-30,0,0,1
2022-07-31,1,0,3
2022-08-01,3,0,2
2022-08-02,10,0,0
2022-08-03,7,0,0
2022-08-04,0,0,2
2022-08-05,9,1,0
2022-08-06,0,0,0
2022-08-07,2,0,0
2022-08-08,2,0,0
2022-08-09,0,1,2
2022-08-10,1,0,0
2022-08-11,3,0,0
2022-08-12,7,0,0
2022-08-13,1,0,0
2022-08-14,4,0,1
2022-08-15,5,0,0
2022-08-16,2,0,0
2022-08-17,2,0,1
2022-08-18,5,0,0
2022-08-19,3,3,0
2022-08-20,1,0,0
2022-08-21,1,1,0
2022-08-22,6,0,0
2022-08-23,2,2,0
2022-08-24,2,0,0
2022-08-25,2,0,0
2022-08-26,10,3,1
2022-08-27,0,1,0
2022-08-28,2,0,0
2022-08-29,8,2,1
2022-08-30,6,0,0
2022-08-31,6,1,0
2022-09-01,0,0,3
2022-09-02,3,1,0
2022-09-03,1,0,0
2022-09-04,1,0,0
2022-09-05,5,2,2
2022-09-06,6,0,0
2022-09-07,4,0,0
2022-09-08,2,0,0
2022-09-09,4,3,2
2022-09-10,2,1,0
2022-09-11,2,0,1
2022-09-12,7,0,0
2022-09-13,7,0,0
2022-09-14,12,1,0
2022-09-15,11,0,0
2022-09-16,8,3,0
2022-09-17,0,1,0
2022-09-18,2,0,0
2022-09-19,11,1,1
2022-09-20,6,1,0
2022-09-21,3,3,0
2022-09-22,0,1,0
2022-09-23,1,0,0
2022-09-24,0,2,0
2022-09-25,1,0,0
2022-09-26,5,0,0
2022-09-27,5,2,0
2022-09-28,6,3,0
2022-09-29,7,1,0
2022-09-30,2,1,0
2022-10-01,3,0,0
2022-10-02,0,0,0
2022-10-03,16,1,0
2022-10-04,14,1,0
2022-10-05,3,2,0
2022-10-06,4,0,0
2022-10-07,6,0,0
2022-10-08,3,0,0
2022-10-09,1,3,1
2022-10-10,2,0,0
2022-10-11,3,1,0
2022-10-12,5,5,0
2022-10-13,5,2,0
2022-10-14,4,3,0
2022-10-15,1,1,0
2022-10-16,2,0,0
2022-10-17,5,6,0
2022-10-18,5,1,0
2022-10-19,7,1,0
2022-10-20,2,1,0
2022-10-21,5,0,0
2022-10-22,0,1,0
2022-10-23,2,0,0
2022-10-24,5,0,0
2022-10-25,4,0,0
2022-10-26,4,0,0
2022-10-27,2,1,0
2022-10-28,4,1,0
2022-10-29,1,0,0
2022-10-30,1,0,0
2022-10-31,7,1,1
2022-11-01,1,0,0
2022-11-02,2,1,1
2022-11-03,3,3,0
2022-11-04,0,0,0
2022-11-05,0,0,0
2022-11-06,0,2,0
2022-11-07,2,0,0
2022-11-08,1,0,0
2022-11-09,0,0,1
2022-11-10,1,0,2
2022-11-11,3,1,0
2022-11-12,0,0,1
2022-11-13,0,0,0
2022-11-14,1,0,0
2022-11-15,4,0,0
2022-11-16,7,0,0
2022-11-17,4,1,0
2022-11-18,2,1,0
2022-11-19,0,0,0
2022-11-20,4,0,0
2022-11-21,8,0,0
2022-11-22,3,3,0
2022-11-23,0,0,0
2022-11-24,0,1,0
2022-11-25,4,0,0
2022-11-26,0,0,0
2022-11-27,1,1,0
2022-11-28,6,0,2
2022-11-29,4,1,1
2022-11-30,7,2,0
2022-12-01,3,2,0
2022-12-02,2,2,0
2022-12-03,7,1,0
2022-12-04,0,0,0
2022-12-05,0,0,0
2022-12-06,2,0,0
2022-12-07,3,0,0
2022-12-08,8,1,0
2022-12-09,3,1,2
2022-12-10,2,0,0
2022-12-11,1,0,0
2022-12-12,2,0,0
2022-12-13,6,0,0
2022-12-14,9,0,0
2022-12-15,7,1,0
2022-12-16,6,1,2
2022-12-17,1,2,0
2022-12-18,5,0,0
2022-12-19,6,0,0
2022-12-20,6,0,0
2022-12-21,19,0,0
2022-12-22,6,0,0
2022-12-23,12,0,0
2022-12-24,3,0,0
2022-12-25,5,0,0
2022-12-26,9,0,0
2022-12-27,7,0,0
2022-12-28,7,0,0
2022-12-29,0,0,0
2022-12-30,1,0,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,0,0,0
2023-01-03,2,0,1
2023-01-04,0,0,1
2023-01-05,0,0,0
2023-01-06,0,0,0
2023-01-07,0,0,0
2023-01-08,2,1,0
2023-01-09,12,1,0
2023-01-10,2,0,0
2023-01-11,4,0,0
2023-01-12,2,0,0
2023-01-13,1,1,0
2023-01-14,0,1,0
2023-01-15,0,0,0
2023-01-16,2,0,0
2023-01-17,1,2,0
2023-01-18,4,3,0
2023-01-19,2,9,0
2023-01-20,4,1,0
2023-01-21,1,1,0
2023-01-22,0,0,0
2023-01-23,4,1,0
2023-01-24,0,3,0
2023-01-25,2,2,0
2023-01-26,1,0,0
2023-01-27,3,2,0
2023-01-28,5,0,0
2023-01-29,0,0,1
2023-01-30,2,2,1
2023-01-31,2,1,0
2023-02-01,2,11,0
2023-02-02,2,1,0
2023-02-03,1,4,2
2023-02-04,0,2,0
2023-02-05,2,0,0
2023-02-06,5,4,0
2023-02-07,2,2,0
2023-02-08,4,3,0
2023-02-09,1,2,0
2023-02-10,3,0,0
2023-02-11,2,0,4
2023-02-12,0,0,0
2023-02-13,1,3,0
2023-02-14,3,1,0
2023-02-15,2,1,0
2023-02-16,1,3,0
2023-02-17,7,7,0
2023-02-18,0,8,0
2023-02-19,0,0,0
2023-02-20,1,3,0
2023-02-21,3,0,1
2023-02-22,1,3,0
2023-02-23,1,1,0
2023-02-24,0,4,1
2023-02-25,0,0,0
2023-02-26,0,3,0
2023-02-27,2,1,0
2023-02-28,0,5,0
2023-03-01,1,3,0
2023-03-02,0,1,2
2023-03-03,0,0,0
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,0,4,0
2023-03-07,1,1,0
2023-03-08,0,0,0
2023-03-09,0,4,0
2023-03-10,4,1,0
2023-03-11,1,3,2
2023-03-12,0,2,2
2023-03-13,4,2,0
2023-03-14,8,2,0
2023-03-15,5,0,1
2023-03-16,0,0,0
2023-03-17,5,1,1
2023-03-18,0,0,1
2023-03-19,1,0,0
2023-03-20,3,0,0
2023-03-21,12,0,0
2023-03-22,6,0,0
2023-03-23,2,3,2
2023-03-24,8,2,3
2023-03-25,0,0,2
2023-03-26,2,0,1
2023-03-27,3,2,1
2023-03-28,0,0,0
2023-03-29,1,0,0
2023-03-30,1,1,1
2023-03-31,0,1,0
2023-04-01,2,0,1
2023-04-02,8,0,0
2023-04-03,3,0,0
2023-04-04,2,4,1
2023-04-05,2,6,1
2023-04-06,7,5,0
2023-04-07,4,2,1
2023-04-08,1,1,1
2023-04-09,0,0,1
2023-04-10,3,6,0
2023-04-11,8,2,0
2023-04-12,5,3,0
2023-04-13,2,0,5
2023-04-14,3,1,1
2023-04-15,1,2,1
2023-04-16,0,0,0
2023-04-17,3,0,0
2023-04-18,5,0,0
2023-04-19,2,0,1
2023-04-20,5,1,0
2023-04-21,4,0,0
2023-04-22,2,0,5
2023-04-23,1,0,0
2023-04-24,7,1,0
2023-04-25,3,1,0
2023-04-26,4,1,0
2023-04-27,3,1,0
2023-04-28,4,1,0
2023-04-29,0,0,0
2023-04-30,2,0,0
2023-05-01,3,0,0
2023-05-02,0,0,0
2023-05-03,1,0,0
2023-05-04,5,0,0
2023-05-05,9,0,0
2023-05-06,0,0,2
2023-05-07,0,0,0
2023-05-08,0,1,0
2023-05-09,0,0,2
2023-05-10,6,2,0
2023-05-11,1,3,0
2023-05-12,0,1,0
2023-05-13,0,2,0
2023-05-14,0,0,2
2023-05-15,4,1,0
2023-05-16,9,4,2
2023-05-17,10,0,0
2023-05-18,5,9,2
2023-05-19,6,3,1
2023-05-20,0,0,0
2023-05-21,1,0,0
2023-05-22,7,1,0
2023-05-23,4,1,0
2023-05-24,6,2,1
2023-05-25,9,6,0
2023-05-26,13,3,0
2023-05-27,3,1,0
2023-05-28,0,0,0
2023-05-29,5,0,0
2023-05-30,5,0,0
2023-05-31,1,10,0
2023-06-01,4,6,0
2023-06-02,5,4,1
2023-06-03,1,1,1
2023-06-04,1,0,0
2023-06-05,2,4,0
2023-06-06,3,9,0
2023-06-07,5,3,0
2023-06-08,4,1,0
2023-06-09,8,6,0
2023-06-10,3,2,0
2023-06-11,1,2,0
2023-06-12,2,1,1
2023-06-13,8,1,0
2023-06-14,8,12,0
2023-06-15,11,10,0
2023-06-16,15,3,0
2023-06-17,1,2,0
2023-06-18,0,0,0
2023-06-19,1,0,0
2023-06-20,13,0,0
2023-06-21,7,0,0
2023-06-22,6,0,0
2023-06-23,12,0,0
2023-06-24,0,0,0
2023-06-25,1,0,0
2023-06-26,0,0,0
2023-06-27,2,0,0
2023-06-28,5,1,0
2023-06-29,0,0,1
2023-06-30,0,1,0
2023-07-01,1,0,0
2023-07-02,1,1,0
2023-07-03,8,2,0
2023-07-04,7,0,0
2023-07-05,2,1,0
2023-07-06,2,0,0
2023-07-07,3,2,0
2023-07-08,0,7,1
2023-07-09,0,3,0
2023-07-10,10,0,1
