,cypress-io/cypress,seleniumhq/selenium,DevExpress/testcafe
2019-06-20,2,12,0
2019-06-21,2,2,0
2019-06-22,0,0,0
2019-06-23,0,1,0
2019-06-24,5,7,0
2019-06-25,9,0,0
2019-06-26,4,1,1
2019-06-27,4,4,0
2019-06-28,4,3,2
2019-06-29,9,1,0
2019-06-30,4,0,0
2019-07-01,4,12,1
2019-07-02,4,0,10
2019-07-03,5,8,0
2019-07-04,0,25,3
2019-07-05,0,0,10
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,2,12,0
2019-07-09,13,12,1
2019-07-10,3,5,4
2019-07-11,2,10,3
2019-07-12,6,10,1
2019-07-13,0,9,0
2019-07-14,0,0,0
2019-07-15,4,0,0
2019-07-16,5,6,1
2019-07-17,8,8,5
2019-07-18,6,6,1
2019-07-19,1,2,0
2019-07-20,0,6,0
2019-07-21,0,1,0
2019-07-22,4,2,2
2019-07-23,5,0,0
2019-07-24,1,3,1
2019-07-25,4,0,2
2019-07-26,6,4,1
2019-07-27,0,2,0
2019-07-28,0,0,0
2019-07-29,12,0,1
2019-07-30,4,0,2
2019-07-31,1,0,2
2019-08-01,7,13,4
2019-08-02,2,6,0
2019-08-03,0,13,0
2019-08-04,1,0,0
2019-08-05,8,5,0
2019-08-06,3,0,11
2019-08-07,2,0,3
2019-08-08,1,14,4
2019-08-09,2,1,1
2019-08-10,0,0,0
2019-08-11,0,0,0
2019-08-12,0,0,0
2019-08-13,1,9,0
2019-08-14,0,0,1
2019-08-15,0,0,4
2019-08-16,0,0,2
2019-08-17,0,0,0
2019-08-18,0,1,0
2019-08-19,0,2,5
2019-08-20,0,0,1
2019-08-21,1,0,1
2019-08-22,1,2,1
2019-08-23,0,0,0
2019-08-24,0,9,0
2019-08-25,0,0,0
2019-08-26,2,4,0
2019-08-27,0,12,5
2019-08-28,0,6,3
2019-08-29,2,0,2
2019-08-30,0,2,0
2019-08-31,0,1,0
2019-09-01,0,0,0
2019-09-02,0,1,4
2019-09-03,1,5,2
2019-09-04,0,13,2
2019-09-05,0,8,4
2019-09-06,0,4,2
2019-09-07,0,0,0
2019-09-08,0,2,0
2019-09-09,7,6,2
2019-09-10,3,7,3
2019-09-11,0,5,4
2019-09-12,1,0,7
2019-09-13,0,0,1
2019-09-14,0,0,0
2019-09-15,0,11,0
2019-09-16,0,6,4
2019-09-17,5,2,1
2019-09-18,0,6,4
2019-09-19,1,6,0
2019-09-20,2,2,0
2019-09-21,0,8,0
2019-09-22,0,0,0
2019-09-23,2,1,3
2019-09-24,4,5,2
2019-09-25,9,14,1
2019-09-26,8,6,1
2019-09-27,4,3,0
2019-09-28,0,8,0
2019-09-29,8,12,0
2019-09-30,2,2,0
2019-10-01,2,13,0
2019-10-02,3,5,3
2019-10-03,2,7,0
2019-10-04,1,7,0
2019-10-05,0,5,0
2019-10-06,0,2,0
2019-10-07,3,7,0
2019-10-08,0,1,2
2019-10-09,4,1,3
2019-10-10,4,2,3
2019-10-11,10,5,0
2019-10-12,2,6,5
2019-10-13,0,0,0
2019-10-14,0,4,1
2019-10-15,2,16,1
2019-10-16,4,3,4
2019-10-17,5,9,3
2019-10-18,1,4,2
2019-10-19,0,2,0
2019-10-20,0,0,0
2019-10-21,2,7,2
2019-10-22,4,1,1
2019-10-23,11,0,0
2019-10-24,5,0,3
2019-10-25,4,2,0
2019-10-26,0,1,0
2019-10-27,0,2,0
2019-10-28,0,2,2
2019-10-29,17,3,0
2019-10-30,9,20,0
2019-10-31,16,2,2
2019-11-01,0,3,0
2019-11-02,0,0,0
2019-11-03,0,6,0
2019-11-04,2,3,0
2019-11-05,1,9,4
2019-11-06,3,0,3
2019-11-07,12,2,1
2019-11-08,11,4,2
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,0,10,1
2019-11-12,1,10,1
2019-11-13,2,3,0
2019-11-14,2,1,4
2019-11-15,5,1,2
2019-11-16,0,4,0
2019-11-17,0,5,0
2019-11-18,3,2,0
2019-11-19,4,4,2
