,pi-hole/pi-hole,NLnetLabs/unbound,AdguardTeam/AdGuardHome
2018-10-30,0,0,11
2018-10-31,3,0,1
2018-11-01,6,0,1
2018-11-02,2,0,3
2018-11-03,3,0,0
2018-11-04,0,0,0
2018-11-05,0,0,12
2018-11-06,0,1,5
2018-11-07,3,0,0
2018-11-08,5,0,2
2018-11-09,4,0,8
2018-11-10,2,0,2
2018-11-11,1,0,0
2018-11-12,0,0,1
2018-11-13,3,0,0
2018-11-14,0,1,0
2018-11-15,0,0,0
2018-11-16,0,0,2
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,1,1,2
2018-11-20,0,3,4
2018-11-21,2,2,2
2018-11-22,0,9,3
2018-11-23,0,0,0
2018-11-24,0,0,0
2018-11-25,1,0,3
2018-11-26,1,4,24
2018-11-27,2,10,3
2018-11-28,0,2,12
2018-11-29,1,7,5
2018-11-30,0,2,0
2018-12-01,1,0,0
2018-12-02,0,0,0
2018-12-03,0,9,0
2018-12-04,0,1,0
2018-12-05,1,0,51
2018-12-06,3,1,9
2018-12-07,0,0,2
2018-12-08,1,0,0
2018-12-09,1,0,0
2018-12-10,3,6,0
2018-12-11,0,2,2
2018-12-12,1,1,0
2018-12-13,0,0,0
2018-12-14,0,0,0
2018-12-15,0,0,0
2018-12-16,0,0,0
2018-12-17,0,0,5
2018-12-18,2,0,1
2018-12-19,1,0,1
2018-12-20,0,0,0
2018-12-21,1,0,0
2018-12-22,0,0,0
2018-12-23,0,0,0
2018-12-24,0,0,10
2018-12-25,2,0,1
2018-12-26,0,0,3
2018-12-27,1,0,0
2018-12-28,1,0,30
2018-12-29,0,0,18
2018-12-30,0,0,0
2018-12-31,0,0,4
2019-01-01,2,0,0
2019-01-02,3,0,0
2019-01-03,3,0,0
2019-01-04,1,0,6
2019-01-05,1,0,2
2019-01-06,0,0,0
2019-01-07,1,3,0
2019-01-08,0,2,0
2019-01-09,1,1,1
2019-01-10,0,0,0
2019-01-11,0,1,1
2019-01-12,0,0,0
2019-01-13,2,0,0
2019-01-14,0,1,0
2019-01-15,0,3,5
2019-01-16,0,1,3
2019-01-17,0,2,0
2019-01-18,0,0,0
2019-01-19,2,0,1
2019-01-20,3,0,0
2019-01-21,0,7,0
2019-01-22,0,7,0
2019-01-23,0,14,0
2019-01-24,7,6,0
2019-01-25,0,6,10
2019-01-26,0,0,0
2019-01-27,1,0,0
2019-01-28,1,4,0
2019-01-29,1,4,2
2019-01-30,0,1,4
2019-01-31,2,9,0
2019-02-01,3,0,0
2019-02-02,6,0,0
2019-02-03,14,0,0
2019-02-04,0,3,2
2019-02-05,5,2,8
2019-02-06,6,0,30
2019-02-07,0,1,15
2019-02-08,4,2,1
2019-02-09,0,0,0
2019-02-10,1,0,4
2019-02-11,1,5,7
2019-02-12,0,0,4
2019-02-13,0,0,0
2019-02-14,0,1,0
2019-02-15,0,0,42
2019-02-16,1,0,0
2019-02-17,0,0,0
2019-02-18,3,3,4
2019-02-19,1,0,16
2019-02-20,0,1,11
2019-02-21,0,3,8
2019-02-22,4,0,10
2019-02-23,3,0,0
2019-02-24,0,0,2
2019-02-25,0,1,10
2019-02-26,0,0,2
2019-02-27,1,4,30
2019-02-28,0,3,13
2019-03-01,2,1,2
2019-03-02,2,7,0
2019-03-03,1,0,0
2019-03-04,0,0,0
2019-03-05,0,1,1
2019-03-06,0,0,13
2019-03-07,0,1,6
2019-03-08,0,0,0
2019-03-09,0,0,0
2019-03-10,0,0,0
2019-03-11,0,0,4
2019-03-12,0,1,4
2019-03-13,0,0,1
2019-03-14,2,0,2
2019-03-15,2,0,21
2019-03-16,1,0,0
2019-03-17,0,0,0
2019-03-18,0,2,2
2019-03-19,0,1,18
2019-03-20,0,0,12
2019-03-21,0,1,0
2019-03-22,0,0,7
2019-03-23,1,0,0
2019-03-24,1,1,3
2019-03-25,0,2,0
2019-03-26,0,0,1
2019-03-27,0,0,2
2019-03-28,0,0,7
2019-03-29,2,0,2
2019-03-30,0,0,0
2019-03-31,0,0,0
2019-04-01,0,0,1
2019-04-02,0,3,1
2019-04-03,0,3,1
2019-04-04,0,1,14
2019-04-05,0,4,3
2019-04-06,0,0,0
2019-04-07,2,0,0
2019-04-08,0,5,0
2019-04-09,0,0,0
2019-04-10,0,1,0
2019-04-11,0,6,1
2019-04-12,0,0,0
2019-04-13,0,0,0
2019-04-14,1,0,0
2019-04-15,0,1,5
2019-04-16,1,2,6
2019-04-17,1,0,5
2019-04-18,0,13,2
2019-04-19,0,0,0
2019-04-20,0,0,0
2019-04-21,0,0,0
2019-04-22,0,0,2
2019-04-23,3,0,34
2019-04-24,9,0,5
2019-04-25,10,7,0
2019-04-26,12,0,0
2019-04-27,4,0,0
2019-04-28,5,0,2
2019-04-29,3,15,0
2019-04-30,1,0,0
2019-05-01,14,12,0
2019-05-02,1,4,0
2019-05-03,4,1,0
2019-05-04,8,2,0
2019-05-05,2,1,0
2019-05-06,0,3,2
2019-05-07,3,2,0
2019-05-08,2,1,1
2019-05-09,1,1,0
2019-05-10,2,0,0
2019-05-11,3,0,0
2019-05-12,6,0,0
2019-05-13,0,2,4
2019-05-14,3,0,2
2019-05-15,0,0,6
2019-05-16,0,2,0
2019-05-17,1,0,21
2019-05-18,2,1,0
2019-05-19,1,0,0
2019-05-20,0,1,3
2019-05-21,6,0,0
2019-05-22,1,0,0
2019-05-23,0,0,2
2019-05-24,0,1,5
2019-05-25,0,0,0
2019-05-26,0,0,0
2019-05-27,2,1,4
2019-05-28,0,2,45
2019-05-29,0,1,1
2019-05-30,6,0,4
2019-05-31,4,0,4
2019-06-01,3,0,0
2019-06-02,0,0,0
2019-06-03,4,1,13
2019-06-04,1,3,11
2019-06-05,2,1,2
2019-06-06,0,1,23
2019-06-07,0,0,5
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,3,0,2
2019-06-11,0,2,0
2019-06-12,1,9,0
2019-06-13,1,0,0
2019-06-14,1,1,0
2019-06-15,4,0,0
2019-06-16,9,0,0
2019-06-17,3,3,0
2019-06-18,0,10,1
2019-06-19,0,0,0
2019-06-20,0,0,2
2019-06-21,0,0,0
2019-06-22,0,0,0
2019-06-23,0,0,0
2019-06-24,0,2,1
2019-06-25,2,2,3
2019-06-26,1,0,4
2019-06-27,2,0,11
2019-06-28,0,0,0
2019-06-29,3,0,0
2019-06-30,10,0,0
2019-07-01,2,0,6
2019-07-02,0,0,4
2019-07-03,5,0,2
2019-07-04,5,0,4
2019-07-05,7,1,18
2019-07-06,6,0,0
2019-07-07,3,0,0
2019-07-08,5,0,4
2019-07-09,3,1,2
2019-07-10,3,0,0
2019-07-11,4,0,0
2019-07-12,1,1,2
2019-07-13,1,0,0
2019-07-14,0,0,0
2019-07-15,0,0,7
2019-07-16,0,2,8
2019-07-17,0,0,4
2019-07-18,1,0,0
2019-07-19,0,2,13
2019-07-20,4,0,0
2019-07-21,0,0,0
2019-07-22,5,0,4
2019-07-23,0,1,3
2019-07-24,0,0,6
2019-07-25,0,0,0
2019-07-26,0,0,0
2019-07-27,0,0,0
2019-07-28,0,0,0
2019-07-29,1,3,5
2019-07-30,1,0,0
2019-07-31,0,0,4
2019-08-01,0,6,0
2019-08-02,0,0,4
2019-08-03,0,0,0
2019-08-04,1,0,0
2019-08-05,7,0,13
2019-08-06,1,0,1
2019-08-07,0,2,1
2019-08-08,0,3,4
2019-08-09,0,0,0
2019-08-10,0,0,0
2019-08-11,0,0,1
2019-08-12,1,3,0
2019-08-13,0,1,7
2019-08-14,2,6,3
2019-08-15,1,7,0
2019-08-16,0,5,8
2019-08-17,1,0,0
2019-08-18,0,0,0
2019-08-19,0,1,5
2019-08-20,7,0,7
2019-08-21,17,1,1
2019-08-22,6,4,7
2019-08-23,1,3,6
2019-08-24,2,0,0
2019-08-25,1,0,0
2019-08-26,2,0,1
2019-08-27,1,1,1
2019-08-28,0,0,1
2019-08-29,1,0,4
2019-08-30,1,0,6
2019-08-31,2,0,0
2019-09-01,3,0,0
2019-09-02,1,3,3
2019-09-03,2,1,2
2019-09-04,2,1,17
2019-09-05,0,0,0
2019-09-06,1,0,0
2019-09-07,6,0,0
2019-09-08,1,0,0
2019-09-09,0,5,2
2019-09-10,0,0,1
2019-09-11,0,1,3
2019-09-12,0,0,19
2019-09-13,0,0,3
2019-09-14,0,0,0
2019-09-15,1,0,0
2019-09-16,0,0,6
2019-09-17,3,0,5
2019-09-18,1,1,0
2019-09-19,0,11,10
2019-09-20,0,8,0
2019-09-21,0,1,0
2019-09-22,2,0,0
