,netdata/netdata,grafana/grafana,cacti/cacti
2021-08-17,2,20,0
2021-08-18,4,23,1
2021-08-19,3,20,0
2021-08-20,1,11,0
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,1,21,0
2021-08-24,4,19,0
2021-08-25,4,15,0
2021-08-26,5,15,0
2021-08-27,3,23,2
2021-08-28,1,1,6
2021-08-29,0,2,2
2021-08-30,1,9,0
2021-08-31,2,16,3
2021-09-01,1,25,1
2021-09-02,0,17,0
2021-09-03,1,5,0
2021-09-04,2,0,0
2021-09-05,1,0,4
2021-09-06,1,12,1
2021-09-07,2,20,2
2021-09-08,5,19,3
2021-09-09,3,23,0
2021-09-10,1,21,1
2021-09-11,0,0,0
2021-09-12,0,1,0
2021-09-13,0,26,0
2021-09-14,3,18,0
2021-09-15,9,25,4
2021-09-16,4,17,0
2021-09-17,4,22,0
2021-09-18,0,0,0
2021-09-19,2,1,2
2021-09-20,11,23,0
2021-09-21,10,15,0
2021-09-22,4,14,0
2021-09-23,8,24,0
2021-09-24,5,2,0
2021-09-25,2,2,8
2021-09-26,1,0,0
2021-09-27,5,17,0
2021-09-28,10,18,0
2021-09-29,5,26,0
2021-09-30,4,21,3
2021-10-01,4,21,0
2021-10-02,1,0,3
2021-10-03,0,0,1
2021-10-04,4,14,0
2021-10-05,7,12,0
2021-10-06,6,22,2
2021-10-07,6,19,0
2021-10-08,5,15,1
2021-10-09,1,0,0
2021-10-10,0,0,26
2021-10-11,3,18,5
2021-10-12,8,27,0
2021-10-13,3,15,0
2021-10-14,2,23,0
2021-10-15,5,15,2
2021-10-16,2,1,11
2021-10-17,1,0,0
2021-10-18,4,21,0
2021-10-19,7,22,51
2021-10-20,5,27,2
2021-10-21,8,22,6
2021-10-22,10,18,4
2021-10-23,1,0,2
2021-10-24,1,0,1
2021-10-25,3,15,4
2021-10-26,7,26,5
2021-10-27,8,24,3
2021-10-28,2,18,0
2021-10-29,3,21,0
2021-10-30,0,0,0
2021-10-31,0,0,0
2021-11-01,6,16,2
2021-11-02,3,36,0
2021-11-03,7,21,0
2021-11-04,5,17,0
2021-11-05,3,20,0
2021-11-06,2,2,0
2021-11-07,0,1,3
2021-11-08,5,16,0
2021-11-09,6,28,0
2021-11-10,2,25,0
2021-11-11,8,27,0
2021-11-12,2,20,0
2021-11-13,0,1,0
2021-11-14,0,2,4
2021-11-15,7,26,1
2021-11-16,5,23,0
2021-11-17,7,36,1
2021-11-18,4,31,2
2021-11-19,3,36,0
2021-11-20,0,2,1
2021-11-21,0,0,0
2021-11-22,5,17,1
2021-11-23,0,25,0
2021-11-24,2,36,0
2021-11-25,3,16,1
2021-11-26,3,20,0
2021-11-27,0,0,6
2021-11-28,0,0,7
2021-11-29,4,31,3
2021-11-30,5,16,2
2021-12-01,5,25,0
2021-12-02,2,21,0
2021-12-03,0,14,0
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,3,14,1
2021-12-07,5,10,0
2021-12-08,2,10,0
2021-12-09,4,10,27
2021-12-10,3,4,26
2021-12-11,0,0,1
2021-12-12,0,0,0
2021-12-13,5,18,0
2021-12-14,4,27,3
2021-12-15,3,20,1
2021-12-16,0,18,1
2021-12-17,3,17,0
2021-12-18,0,2,0
2021-12-19,0,1,23
2021-12-20,6,23,0
2021-12-21,4,20,6
2021-12-22,7,11,0
2021-12-23,6,9,1
2021-12-24,0,2,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,4,0
2021-12-28,0,6,0
2021-12-29,0,1,3
2021-12-30,0,4,1
2021-12-31,2,0,1
2022-01-01,0,0,0
2022-01-02,0,0,3
2022-01-03,0,8,3
2022-01-04,4,24,1
2022-01-05,1,19,0
2022-01-06,0,14,0
2022-01-07,0,26,0
2022-01-08,0,0,2
2022-01-09,0,0,0
2022-01-10,12,21,0
2022-01-11,8,18,0
2022-01-12,5,15,0
2022-01-13,8,19,0
2022-01-14,5,14,0
2022-01-15,1,0,0
2022-01-16,0,0,0
2022-01-17,3,19,1
2022-01-18,13,15,0
2022-01-19,15,19,0
2022-01-20,6,19,0
2022-01-21,5,22,0
2022-01-22,1,1,0
2022-01-23,0,1,0
2022-01-24,2,17,2
2022-01-25,2,17,45
2022-01-26,4,15,0
2022-01-27,4,21,0
2022-01-28,4,17,0
2022-01-29,1,1,27
2022-01-30,0,0,69
2022-01-31,1,30,2
2022-02-01,2,22,0
2022-02-02,5,25,0
2022-02-03,3,33,2
2022-02-04,4,26,27
2022-02-05,1,1,3
2022-02-06,0,0,29
2022-02-07,2,25,0
2022-02-08,5,39,3
2022-02-09,2,40,2
2022-02-10,8,36,0
2022-02-11,6,33,0
2022-02-12,1,0,1
2022-02-13,0,0,6
2022-02-14,4,1,1
2022-02-15,4,27,15
2022-02-16,5,25,2
2022-02-17,11,30,0
2022-02-18,7,28,2
2022-02-19,2,2,13
2022-02-20,1,0,12
2022-02-21,10,17,35
2022-02-22,12,13,5
2022-02-23,7,20,8
2022-02-24,7,25,30
2022-02-25,6,22,2
2022-02-26,2,1,0
2022-02-27,1,0,27
2022-02-28,7,17,3
2022-03-01,7,18,18
2022-03-02,6,27,14
2022-03-03,8,33,4
2022-03-04,4,23,1
2022-03-05,0,0,0
2022-03-06,2,0,0
2022-03-07,4,8,0
2022-03-08,11,11,0
2022-03-09,9,11,2
2022-03-10,6,12,6
2022-03-11,6,11,11
2022-03-12,1,1,3
2022-03-13,1,0,7
2022-03-14,11,17,3
2022-03-15,12,18,25
2022-03-16,12,21,13
2022-03-17,7,19,4
2022-03-18,8,17,2
2022-03-19,1,1,3
2022-03-20,0,0,2
2022-03-21,5,25,1
2022-03-22,5,19,2
2022-03-23,7,22,0
2022-03-24,10,18,0
2022-03-25,3,12,2
2022-03-26,1,4,0
2022-03-27,0,0,0
2022-03-28,9,0,1
2022-03-29,4,23,4
2022-03-30,11,26,1
2022-03-31,11,31,2
2022-04-01,7,24,0
2022-04-02,1,2,24
2022-04-03,0,0,1
2022-04-04,7,28,0
2022-04-05,5,32,2
2022-04-06,7,35,1
2022-04-07,3,19,0
2022-04-08,3,22,0
2022-04-09,1,0,2
2022-04-10,0,0,0
2022-04-11,12,15,3
2022-04-12,8,33,6
2022-04-13,7,27,8
2022-04-14,3,23,16
2022-04-15,8,13,53
2022-04-16,1,0,8
2022-04-17,0,0,0
2022-04-18,2,4,3
2022-04-19,10,13,4
2022-04-20,11,41,4
2022-04-21,2,35,0
2022-04-22,2,22,0
2022-04-23,2,2,1
2022-04-24,1,2,4
2022-04-25,8,19,1
2022-04-26,4,22,0
2022-04-27,7,24,0
2022-04-28,8,38,0
2022-04-29,2,28,0
2022-04-30,1,0,1
2022-05-01,0,0,1
2022-05-02,15,22,2
2022-05-03,12,26,1
2022-05-04,8,31,1
2022-05-05,9,36,0
2022-05-06,5,24,1
2022-05-07,4,0,0
2022-05-08,1,1,1
2022-05-09,6,6,0
2022-05-10,8,4,0
2022-05-11,9,8,0
2022-05-12,5,13,0
2022-05-13,7,8,0
2022-05-14,3,0,0
2022-05-15,3,2,1
2022-05-16,11,28,0
2022-05-17,10,35,0
2022-05-18,7,29,1
2022-05-19,4,30,0
2022-05-20,7,27,0
2022-05-21,3,5,0
2022-05-22,1,4,0
2022-05-23,7,62,0
2022-05-24,10,36,0
2022-05-25,4,39,0
2022-05-26,4,36,0
2022-05-27,8,9,0
2022-05-28,2,1,0
2022-05-29,1,0,0
2022-05-30,3,24,0
2022-05-31,9,39,0
2022-06-01,7,35,0
2022-06-02,7,37,0
2022-06-03,4,32,0
2022-06-04,1,5,2
2022-06-05,0,3,0
2022-06-06,5,15,1
2022-06-07,4,33,0
2022-06-08,5,31,1
2022-06-09,3,38,1
2022-06-10,4,29,5
2022-06-11,1,3,5
2022-06-12,0,0,0
2022-06-13,4,32,1
2022-06-14,9,40,4
2022-06-15,7,24,1
2022-06-16,12,25,3
2022-06-17,8,34,42
2022-06-18,1,1,12
2022-06-19,0,0,34
2022-06-20,4,30,3
2022-06-21,3,30,6
2022-06-22,8,40,6
2022-06-23,4,29,2
2022-06-24,2,21,6
2022-06-25,2,1,0
2022-06-26,2,0,6
2022-06-27,9,29,0
2022-06-28,12,22,3
2022-06-29,8,34,0
2022-06-30,19,27,28
2022-07-01,4,2,2
2022-07-02,1,0,0
2022-07-03,0,0,1
2022-07-04,2,17,0
2022-07-05,6,14,1
2022-07-06,8,39,1
2022-07-07,8,46,1
2022-07-08,6,27,0
2022-07-09,2,1,0
2022-07-10,1,0,0
2022-07-11,6,19,3
2022-07-12,9,20,0
2022-07-13,8,20,0
2022-07-14,4,37,0
2022-07-15,2,22,0
2022-07-16,1,1,0
2022-07-17,0,1,0
2022-07-18,2,24,0
2022-07-19,3,37,3
2022-07-20,5,33,6
2022-07-21,4,22,0
2022-07-22,3,23,4
2022-07-23,1,7,0
2022-07-24,1,3,0
2022-07-25,3,31,0
2022-07-26,4,28,0
2022-07-27,4,32,0
2022-07-28,7,22,0
2022-07-29,5,18,0
2022-07-30,1,0,0
2022-07-31,0,0,1
2022-08-01,4,30,0
2022-08-02,5,30,0
2022-08-03,4,42,0
2022-08-04,7,18,0
2022-08-05,5,5,0
2022-08-06,2,0,0
2022-08-07,1,0,4
2022-08-08,2,30,0
2022-08-09,4,26,25
2022-08-10,3,37,6
2022-08-11,4,34,0
2022-08-12,3,26,4
2022-08-13,5,2,0
2022-08-14,1,0,1
2022-08-15,3,9,0
2022-08-16,4,21,0
