,definitelytyped/definitelytyped,microsoft/TypeScript,sindresorhus/type-fest
2023-05-13,4,2,0
2023-05-14,2,1,0
2023-05-15,7,4,0
2023-05-16,8,3,0
2023-05-17,9,3,1
2023-05-18,6,4,0
2023-05-19,3,3,0
2023-05-20,0,4,3
2023-05-21,7,1,0
2023-05-22,13,4,0
2023-05-23,8,1,0
2023-05-24,12,11,0
2023-05-25,6,4,0
2023-05-26,3,7,0
2023-05-27,3,0,0
2023-05-28,5,0,0
2023-05-29,3,0,0
2023-05-30,5,5,3
2023-05-31,5,1,0
2023-06-01,3,5,0
2023-06-02,3,3,0
2023-06-03,0,1,0
2023-06-04,0,0,1
2023-06-05,5,5,0
2023-06-06,18,5,0
2023-06-07,4,2,0
2023-06-08,21,6,0
2023-06-09,3,4,0
2023-06-10,5,1,0
2023-06-11,3,1,0
2023-06-12,13,5,0
2023-06-13,13,6,0
2023-06-14,6,2,2
2023-06-15,2,1,0
2023-06-16,8,2,0
2023-06-17,0,1,0
2023-06-18,0,0,0
2023-06-19,11,0,0
2023-06-20,7,5,1
2023-06-21,5,3,0
2023-06-22,3,4,0
2023-06-23,9,5,0
2023-06-24,2,1,0
2023-06-25,3,1,0
2023-06-26,6,9,0
2023-06-27,5,5,0
2023-06-28,8,2,1
2023-06-29,14,4,0
2023-06-30,7,6,0
2023-07-01,0,2,0
2023-07-02,2,0,0
2023-07-03,3,3,0
2023-07-04,1,1,0
2023-07-05,10,2,0
2023-07-06,9,4,0
2023-07-07,12,3,0
2023-07-08,2,1,0
2023-07-09,5,0,3
2023-07-10,9,3,0
2023-07-11,5,1,0
2023-07-12,12,4,0
2023-07-13,9,5,0
2023-07-14,3,2,0
2023-07-15,2,1,0
2023-07-16,2,0,9
2023-07-17,7,2,0
2023-07-18,3,3,0
2023-07-19,4,3,0
2023-07-20,6,7,0
2023-07-21,3,4,0
2023-07-22,4,1,0
2023-07-23,1,1,0
2023-07-24,10,6,0
2023-07-25,20,2,0
2023-07-26,9,3,0
2023-07-27,6,1,1
2023-07-28,7,6,0
2023-07-29,3,1,0
2023-07-30,2,0,2
2023-07-31,19,3,0
2023-08-01,10,2,0
2023-08-02,6,2,0
2023-08-03,7,6,0
2023-08-04,8,2,0
2023-08-05,8,4,0
2023-08-06,3,1,0
2023-08-07,12,7,0
2023-08-08,8,5,4
2023-08-09,11,5,0
2023-08-10,4,1,0
2023-08-11,7,2,0
2023-08-12,3,1,0
2023-08-13,1,0,1
2023-08-14,11,7,1
2023-08-15,8,8,0
2023-08-16,1,8,0
2023-08-17,4,4,0
2023-08-18,7,0,0
2023-08-19,2,1,0
2023-08-20,3,0,0
2023-08-21,5,1,0
2023-08-22,8,3,0
2023-08-23,5,8,0
2023-08-24,12,8,1
2023-08-25,3,2,1
2023-08-26,4,5,3
2023-08-27,0,0,2
2023-08-28,8,11,0
2023-08-29,6,4,0
2023-08-30,11,4,0
2023-08-31,7,2,0
2023-09-01,6,3,0
2023-09-02,6,1,0
2023-09-03,4,1,0
2023-09-04,3,0,1
2023-09-05,7,1,0
2023-09-06,8,4,0
2023-09-07,3,2,0
2023-09-08,7,2,0
2023-09-09,5,1,0
2023-09-10,1,0,0
2023-09-11,14,3,0
2023-09-12,12,5,0
2023-09-13,16,13,0
2023-09-14,7,4,0
2023-09-15,12,4,0
2023-09-16,10,1,0
2023-09-17,2,1,0
2023-09-18,13,2,0
2023-09-19,8,5,0
2023-09-20,9,5,0
2023-09-21,6,6,0
2023-09-22,8,11,0
2023-09-23,5,3,0
2023-09-24,5,1,0
2023-09-25,10,3,0
2023-09-26,13,5,3
2023-09-27,9,3,0
2023-09-28,2,2,0
2023-09-29,4,8,0
2023-09-30,3,1,3
2023-10-01,2,1,0
2023-10-02,15,4,0
2023-10-03,12,3,0
2023-10-04,20,5,0
2023-10-05,12,5,0
2023-10-06,9,2,0
2023-10-07,6,1,2
2023-10-08,7,1,0
2023-10-09,31,3,0
2023-10-10,22,4,0
2023-10-11,15,1,0
2023-10-12,15,4,0
2023-10-13,9,2,0
2023-10-14,5,1,0
2023-10-15,1,1,0
2023-10-16,5,4,1
2023-10-17,13,1,3
2023-10-18,18,1,3
2023-10-19,18,4,0
2023-10-20,6,2,0
2023-10-21,1,1,3
2023-10-22,6,0,0
2023-10-23,5,2,1
2023-10-24,5,5,1
2023-10-25,11,5,6
2023-10-26,11,5,1
2023-10-27,11,3,0
2023-10-28,2,5,0
2023-10-29,4,1,0
2023-10-30,14,4,1
2023-10-31,9,2,0
2023-11-01,8,1,0
2023-11-02,6,3,1
2023-11-03,12,10,0
2023-11-04,4,1,1
2023-11-05,5,1,0
2023-11-06,9,3,0
2023-11-07,9,3,1
2023-11-08,7,2,4
2023-11-09,5,3,2
2023-11-10,7,1,0
2023-11-11,3,0,1
2023-11-12,2,0,0
2023-11-13,3,4,4
2023-11-14,3,2,0
2023-11-15,4,5,3
2023-11-16,12,6,0
2023-11-17,4,4,4
2023-11-18,1,1,1
2023-11-19,0,1,0
2023-11-20,12,4,1
2023-11-21,16,13,2
2023-11-22,15,5,0
2023-11-23,9,0,0
2023-11-24,3,0,1
2023-11-25,1,0,0
2023-11-26,2,0,0
2023-11-27,9,5,0
2023-11-28,21,7,1
2023-11-29,10,10,0
2023-11-30,9,10,0
2023-12-01,10,4,0
2023-12-02,7,2,2
2023-12-03,16,0,0
2023-12-04,66,3,2
2023-12-05,38,3,0
2023-12-06,76,3,0
2023-12-07,11,5,1
2023-12-08,10,7,0
2023-12-09,4,0,0
2023-12-10,0,1,0
2023-12-11,9,7,0
2023-12-12,24,2,0
2023-12-13,10,6,0
2023-12-14,6,0,0
2023-12-15,25,4,1
2023-12-16,5,1,0
2023-12-17,6,0,0
2023-12-18,9,1,0
2023-12-19,4,1,0
2023-12-20,3,1,0
2023-12-21,12,1,0
2023-12-22,7,0,0
2023-12-23,2,0,0
2023-12-24,2,0,0
2023-12-25,3,0,0
2023-12-26,8,1,0
2023-12-27,21,0,2
2023-12-28,17,0,0
2023-12-29,14,0,0
2023-12-30,6,1,0
2023-12-31,1,0,0
2024-01-01,21,0,0
2024-01-02,17,9,1
2024-01-03,16,3,0
2024-01-04,4,5,1
2024-01-05,5,3,0
2024-01-06,6,1,0
2024-01-07,2,0,0
2024-01-08,11,2,0
2024-01-09,12,9,0
2024-01-10,5,5,0
2024-01-11,8,7,0
2024-01-12,5,3,0
2024-01-13,1,1,0
2024-01-14,5,0,0
2024-01-15,5,1,0
2024-01-16,10,6,0
2024-01-17,9,2,0
2024-01-18,5,3,0
2024-01-19,9,9,0
2024-01-20,5,1,0
2024-01-21,4,0,2
2024-01-22,14,2,1
2024-01-23,6,2,0
2024-01-24,7,2,2
2024-01-25,21,3,0
2024-01-26,16,1,0
2024-01-27,5,1,0
2024-01-28,5,2,0
2024-01-29,11,4,0
2024-01-30,8,4,2
2024-01-31,11,3,0
2024-02-01,23,4,0
2024-02-02,5,3,0
2024-02-03,9,0,0
2024-02-04,4,1,0
2024-02-05,9,1,0
2024-02-06,11,1,0
2024-02-07,18,5,0
2024-02-08,15,1,0
2024-02-09,8,2,0
2024-02-10,4,1,0
2024-02-11,4,1,0
2024-02-12,14,3,0
2024-02-13,11,6,0
2024-02-14,5,2,0
2024-02-15,13,4,0
2024-02-16,5,5,0
2024-02-17,6,1,0
2024-02-18,2,0,0
2024-02-19,8,1,0
2024-02-20,6,3,0
2024-02-21,7,3,0
2024-02-22,11,4,2
2024-02-23,23,8,0
2024-02-24,10,1,0
2024-02-25,0,1,0
2024-02-26,27,4,0
2024-02-27,20,3,0
2024-02-28,10,5,0
2024-02-29,34,2,0
2024-03-01,24,5,0
2024-03-02,5,4,0
2024-03-03,2,1,0
2024-03-04,13,6,3
2024-03-05,14,0,2
2024-03-06,7,3,0
2024-03-07,8,1,0
2024-03-08,8,4,2
2024-03-09,1,0,0
2024-03-10,2,1,0
2024-03-11,10,7,0
2024-03-12,3,6,1
2024-03-13,3,4,0
2024-03-14,7,3,0
2024-03-15,7,9,0
2024-03-16,2,2,1
2024-03-17,7,1,0
2024-03-18,20,7,2
2024-03-19,19,5,2
2024-03-20,10,6,3
2024-03-21,21,7,0
2024-03-22,20,1,1
2024-03-23,5,0,0
2024-03-24,1,0,2
2024-03-25,14,8,0
2024-03-26,8,4,0
2024-03-27,4,15,0
2024-03-28,8,5,0
2024-03-29,9,9,0
2024-03-30,8,1,1
2024-03-31,2,0,1
2024-04-01,6,2,0
2024-04-02,5,7,4
2024-04-03,14,7,1
2024-04-04,13,11,0
2024-04-05,16,5,0
2024-04-06,1,1,0
2024-04-07,6,1,0
2024-04-08,5,4,1
2024-04-09,22,4,1
2024-04-10,11,3,1
2024-04-11,7,2,0
2024-04-12,6,8,1
2024-04-13,3,1,1
2024-04-14,6,0,0
2024-04-15,13,2,0
2024-04-16,7,6,0
2024-04-17,7,5,0
2024-04-18,5,5,0
2024-04-19,12,17,0
2024-04-20,3,1,0
2024-04-21,1,0,0
2024-04-22,3,1,2
2024-04-23,3,0,0
2024-04-24,3,5,3
2024-04-25,3,5,0
2024-04-26,3,6,0
2024-04-27,4,0,0
2024-04-28,0,0,0
2024-04-29,5,4,6
2024-04-30,3,3,0
2024-05-01,14,4,2
2024-05-02,12,1,0
2024-05-03,11,1,0
2024-05-04,5,0,0
2024-05-05,1,0,0
2024-05-06,8,4,2
2024-05-07,4,6,0
2024-05-08,4,4,0
2024-05-09,2,2,0
2024-05-10,5,6,0
2024-05-11,3,0,0
2024-05-12,3,0,0
