,jesseduffield/lazygit,jonas/tig,dandavison/delta
2023-08-23,0,0,0.0
2023-08-24,1,0,0.0
2023-08-25,2,0,0.0
2023-08-26,0,0,0.0
2023-08-27,2,0,0.0
2023-08-28,19,0,0.0
2023-08-29,16,0,0.0
2023-08-30,4,0,0.0
2023-08-31,2,5,0.0
2023-09-01,1,0,0.0
2023-09-02,0,0,0.0
2023-09-03,0,0,0.0
2023-09-04,11,0,0.0
2023-09-05,5,0,0.0
2023-09-06,3,0,0.0
2023-09-07,0,0,0.0
2023-09-08,0,0,0.0
2023-09-09,7,0,0.0
2023-09-10,6,0,0.0
2023-09-11,2,0,0.0
2023-09-12,1,0,0.0
2023-09-13,2,0,0.0
2023-09-14,0,0,0.0
2023-09-15,1,0,0.0
2023-09-16,0,0,0.0
2023-09-17,0,0,0.0
2023-09-18,13,0,0.0
2023-09-19,1,0,0.0
2023-09-20,14,0,0.0
2023-09-21,0,0,0.0
2023-09-22,1,0,0.0
2023-09-23,0,0,0.0
2023-09-24,1,0,0.0
2023-09-25,12,0,0.0
2023-09-26,1,0,0.0
2023-09-27,0,0,0.0
2023-09-28,6,0,0.0
2023-09-29,3,0,0.0
2023-09-30,11,0,0.0
2023-10-01,2,0,0.0
2023-10-02,1,0,0.0
2023-10-03,6,0,0.0
2023-10-04,5,0,0.0
2023-10-05,0,0,0.0
2023-10-06,0,0,0.0
2023-10-07,0,0,0.0
2023-10-08,9,0,0.0
2023-10-09,1,0,0.0
2023-10-10,7,0,0.0
2023-10-11,0,0,0.0
2023-10-12,0,0,0.0
2023-10-13,0,0,0.0
2023-10-14,1,0,0.0
2023-10-15,2,0,0.0
2023-10-16,9,0,0.0
2023-10-17,0,0,0.0
2023-10-18,4,0,0.0
2023-10-19,0,0,0.0
2023-10-20,0,0,0.0
2023-10-21,0,4,0.0
2023-10-22,0,0,0.0
2023-10-23,0,0,0.0
2023-10-24,3,1,0.0
2023-10-25,0,0,0.0
2023-10-26,2,0,0.0
2023-10-27,2,0,0.0
2023-10-28,0,2,0.0
2023-10-29,0,3,0.0
2023-10-30,1,0,0.0
2023-10-31,0,0,0.0
2023-11-01,0,0,0.0
2023-11-02,0,2,0.0
2023-11-03,0,0,0.0
2023-11-04,3,0,0.0
2023-11-05,0,0,0.0
2023-11-06,0,0,0.0
2023-11-07,0,0,0.0
2023-11-08,0,0,0.0
2023-11-09,0,0,0.0
2023-11-10,1,0,0.0
2023-11-11,0,0,0.0
2023-11-12,0,0,0.0
2023-11-13,0,0,0.0
2023-11-14,0,0,0.0
2023-11-15,0,0,0.0
2023-11-16,0,0,0.0
2023-11-17,0,0,0.0
2023-11-18,2,0,2.0
2023-11-19,2,0,-0.20000000000000018
2023-11-20,0,0,-0.8400000000000001
2023-11-21,0,0,2.768
2023-11-22,2,0,-1.9232000000000002
2023-11-23,0,0,-0.43929599999999996
2023-11-24,0,0,-0.2243584
2023-11-25,0,0,-0.14340607999999994
2023-11-26,0,0,-0.10215014400000003
2023-11-27,0,0,-0.07761008640000006
2023-11-28,0,0,-0.047278387200000035
2023-11-29,1,0,-0.031021056000000026
2023-11-30,4,0,-0.025506201600000028
2023-12-01,3,0,0.0
2023-12-02,5,0,0.0
2023-12-03,0,0,0.0
2023-12-04,0,0,0.0
2023-12-05,0,0,0.0
2023-12-06,3,0,0.0
2023-12-07,7,0,1.0
2023-12-08,0,0,-0.6000000000000001
2023-12-09,11,0,-0.12
2023-12-10,5,0,-0.055999999999999994
2023-12-11,0,0,-0.03359999999999997
2023-12-12,0,0,-0.022848000000000004
2023-12-13,0,0,0.9832448
2023-12-14,0,0,-0.61292544
2023-12-15,3,0,-0.130340352
2023-12-16,0,0,-0.0645020672
2023-12-17,0,0,-0.03359999999999997
2023-12-18,0,0,-0.022848000000000004
2023-12-19,0,0,-0.01675520000000001
2023-12-20,0,0,-0.012925440000000009
2023-12-21,0,0,-0.01034035200000001
