,apache/struts,spring-projects/spring-framework,apache/tomcat
2013-04-08,1,0,4
2013-04-09,1,0,7
2013-04-10,1,0,0
2013-04-11,0,0,1
2013-04-12,0,1,0
2013-04-13,0,3,0
2013-04-14,0,0,0
2013-04-15,0,17,2
2013-04-16,0,0,3
2013-04-17,2,6,0
2013-04-18,5,0,2
2013-04-19,0,1,16
2013-04-20,0,0,0
2013-04-21,0,1,0
2013-04-22,0,1,2
2013-04-23,0,15,9
2013-04-24,0,2,2
2013-04-25,2,3,9
2013-04-26,3,2,2
2013-04-27,0,2,0
2013-04-28,0,6,3
2013-04-29,0,1,16
2013-04-30,0,11,5
2013-05-01,0,2,15
2013-05-02,0,6,12
2013-05-03,0,11,11
2013-05-04,0,0,7
2013-05-05,0,2,1
2013-05-06,0,13,1
2013-05-07,0,12,4
2013-05-08,1,5,1
2013-05-09,0,8,7
2013-05-10,1,8,17
2013-05-11,0,0,3
2013-05-12,0,0,3
2013-05-13,0,1,4
2013-05-14,0,12,10
2013-05-15,0,8,12
2013-05-16,1,8,8
2013-05-17,4,3,8
2013-05-18,0,0,0
2013-05-19,1,0,1
2013-05-20,3,0,7
2013-05-21,1,0,8
2013-05-22,5,7,6
2013-05-23,8,0,11
2013-05-24,2,0,12
2013-05-25,2,0,1
2013-05-26,0,1,1
2013-05-27,1,0,2
2013-05-28,1,5,8
2013-05-29,2,0,7
2013-05-30,2,8,9
2013-05-31,3,1,4
2013-06-01,1,0,0
2013-06-02,0,0,5
2013-06-03,0,7,8
2013-06-04,0,4,12
2013-06-05,0,0,4
2013-06-06,3,0,0
2013-06-07,0,0,0
2013-06-08,0,7,0
2013-06-09,0,4,0
2013-06-10,1,3,3
2013-06-11,0,3,13
2013-06-12,2,4,14
2013-06-13,6,7,12
2013-06-14,4,4,24
2013-06-15,0,7,0
2013-06-16,0,4,8
2013-06-17,0,3,7
2013-06-18,0,2,18
2013-06-19,0,9,3
2013-06-20,2,3,21
2013-06-21,0,8,10
2013-06-22,0,1,2
2013-06-23,0,2,2
2013-06-24,0,8,10
2013-06-25,0,2,11
2013-06-26,0,5,17
2013-06-27,0,4,15
2013-06-28,2,6,12
2013-06-29,0,1,0
2013-06-30,0,0,0
2013-07-01,0,6,16
2013-07-02,0,0,21
2013-07-03,1,0,28
2013-07-04,0,8,16
2013-07-05,1,4,7
2013-07-06,1,1,2
2013-07-07,0,1,3
2013-07-08,0,1,22
2013-07-09,0,0,21
2013-07-10,1,3,15
2013-07-11,0,2,12
2013-07-12,8,4,13
2013-07-13,0,1,6
2013-07-14,0,0,15
2013-07-15,5,2,24
2013-07-16,2,1,14
2013-07-17,2,6,12
2013-07-18,0,8,5
2013-07-19,0,14,4
2013-07-20,0,0,6
2013-07-21,2,2,9
2013-07-22,0,12,5
2013-07-23,0,5,10
2013-07-24,1,15,1
2013-07-25,2,1,7
2013-07-26,1,0,0
2013-07-27,0,1,0
2013-07-28,1,0,3
2013-07-29,2,2,7
2013-07-30,2,12,7
2013-07-31,0,5,9
2013-08-01,2,6,9
2013-08-02,1,8,4
2013-08-03,0,2,0
2013-08-04,0,0,9
2013-08-05,0,8,6
2013-08-06,0,4,1
2013-08-07,0,3,11
2013-08-08,0,3,8
2013-08-09,1,3,1
2013-08-10,0,1,3
2013-08-11,0,0,1
2013-08-12,0,4,15
2013-08-13,0,5,2
2013-08-14,0,2,16
2013-08-15,0,0,13
2013-08-16,0,0,5
2013-08-17,0,0,0
2013-08-18,0,0,1
2013-08-19,0,0,10
2013-08-20,0,14,7
2013-08-21,0,9,3
2013-08-22,0,11,4
2013-08-23,0,4,8
2013-08-24,0,0,2
2013-08-25,0,0,0
2013-08-26,0,2,1
2013-08-27,0,18,7
2013-08-28,0,16,18
2013-08-29,0,17,14
2013-08-30,0,0,19
2013-08-31,0,0,0
2013-09-01,0,0,0
2013-09-02,0,12,20
2013-09-03,1,7,18
2013-09-04,14,8,9
2013-09-05,0,0,11
2013-09-06,1,2,3
2013-09-07,3,2,0
2013-09-08,0,0,0
2013-09-09,0,1,19
2013-09-10,7,0,4
2013-09-11,4,1,12
2013-09-12,0,3,12
2013-09-13,0,0,1
2013-09-14,0,4,3
2013-09-15,0,0,0
2013-09-16,0,0,22
2013-09-17,2,0,11
2013-09-18,0,0,9
2013-09-19,2,0,13
2013-09-20,0,2,3
2013-09-21,0,0,0
2013-09-22,1,0,0
2013-09-23,1,5,3
2013-09-24,1,2,6
2013-09-25,0,13,4
2013-09-26,0,13,11
2013-09-27,0,4,2
2013-09-28,0,6,0
2013-09-29,0,0,4
2013-09-30,0,5,11
2013-10-01,0,5,11
2013-10-02,0,6,11
2013-10-03,0,2,6
2013-10-04,0,4,10
2013-10-05,0,0,3
2013-10-06,0,0,8
2013-10-07,0,3,12
2013-10-08,0,8,20
2013-10-09,0,0,9
2013-10-10,1,7,17
2013-10-11,1,5,7
2013-10-12,0,0,1
2013-10-13,0,1,5
2013-10-14,0,7,1
2013-10-15,0,13,16
2013-10-16,4,1,11
2013-10-17,2,7,3
2013-10-18,8,17,2
2013-10-19,0,2,0
2013-10-20,0,0,3
2013-10-21,5,8,3
2013-10-22,3,2,11
2013-10-23,8,4,0
2013-10-24,3,0,3
2013-10-25,0,8,0
2013-10-26,0,21,0
2013-10-27,0,5,0
2013-10-28,2,7,3
2013-10-29,2,13,8
2013-10-30,1,14,6
2013-10-31,0,13,2
2013-11-01,0,6,6
2013-11-02,0,1,0
2013-11-03,0,1,0
2013-11-04,1,7,18
2013-11-05,0,13,25
2013-11-06,0,2,5
2013-11-07,0,2,10
2013-11-08,0,5,17
2013-11-09,0,0,25
2013-11-10,0,1,3
2013-11-11,0,2,7
2013-11-12,0,2,3
2013-11-13,0,2,10
2013-11-14,0,0,10
2013-11-15,0,5,8
2013-11-16,0,0,3
2013-11-17,2,1,15
2013-11-18,0,4,12
2013-11-19,1,5,9
2013-11-20,1,16,8
2013-11-21,1,11,7
2013-11-22,0,10,14
2013-11-23,0,0,0
2013-11-24,0,1,4
2013-11-25,0,4,8
2013-11-26,0,15,21
2013-11-27,0,1,5
2013-11-28,0,0,5
2013-11-29,3,0,8
2013-11-30,3,0,1
2013-12-01,0,0,0
2013-12-02,0,20,2
2013-12-03,0,18,3
2013-12-04,0,2,4
2013-12-05,0,2,5
2013-12-06,0,7,2
2013-12-07,0,0,2
2013-12-08,1,3,0
2013-12-09,0,6,13
2013-12-10,0,10,3
2013-12-11,1,28,5
2013-12-12,0,12,6
2013-12-13,0,4,14
2013-12-14,0,0,2
2013-12-15,0,0,0
2013-12-16,0,6,11
2013-12-17,1,11,10
2013-12-18,0,1,9
2013-12-19,0,6,2
2013-12-20,0,3,1
2013-12-21,0,1,0
2013-12-22,0,0,0
2013-12-23,0,5,2
2013-12-24,0,3,1
2013-12-25,0,0,1
2013-12-26,0,0,1
2013-12-27,0,0,5
2013-12-28,1,1,5
2013-12-29,0,2,0
2013-12-30,2,4,1
2013-12-31,1,0,0
2014-01-01,0,1,0
2014-01-02,2,4,0
2014-01-03,1,16,1
2014-01-04,0,5,0
2014-01-05,0,6,0
2014-01-06,0,5,1
2014-01-07,0,1,4
2014-01-08,2,1,4
2014-01-09,0,0,11
2014-01-10,2,7,11
2014-01-11,0,0,1
2014-01-12,0,0,0
2014-01-13,0,11,3
2014-01-14,4,8,4
2014-01-15,4,13,4
2014-01-16,0,9,3
2014-01-17,0,6,8
2014-01-18,0,0,6
2014-01-19,1,0,7
2014-01-20,5,16,5
2014-01-21,1,19,8
2014-01-22,0,29,3
2014-01-23,0,3,18
2014-01-24,0,12,85
2014-01-25,0,12,2
2014-01-26,0,1,1
2014-01-27,0,7,5
2014-01-28,0,12,0
2014-01-29,0,0,11
2014-01-30,0,2,5
2014-01-31,2,6,3
2014-02-01,0,10,0
2014-02-02,0,0,0
2014-02-03,2,5,7
2014-02-04,0,7,8
2014-02-05,0,7,5
2014-02-06,0,11,6
2014-02-07,0,9,8
2014-02-08,0,6,0
2014-02-09,0,4,0
2014-02-10,0,3,7
2014-02-11,0,9,8
2014-02-12,0,10,5
2014-02-13,0,9,2
2014-02-14,0,10,1
2014-02-15,0,0,3
2014-02-16,7,0,6
2014-02-17,9,2,4
2014-02-18,2,5,3
2014-02-19,3,4,7
2014-02-20,0,0,6
2014-02-21,0,1,5
2014-02-22,0,7,0
2014-02-23,0,2,0
2014-02-24,0,5,4
2014-02-25,3,6,4
2014-02-26,0,7,1
2014-02-27,0,4,3
2014-02-28,2,25,0
2014-03-01,8,1,0
2014-03-02,4,1,7
2014-03-03,1,4,1
2014-03-04,0,6,6
2014-03-05,0,14,11
2014-03-06,14,13,6
2014-03-07,6,4,1
2014-03-08,0,0,3
2014-03-09,7,0,0
2014-03-10,0,11,16
2014-03-11,0,5,9
2014-03-12,0,3,14
2014-03-13,7,8,13
2014-03-14,0,6,16
2014-03-15,0,1,6
2014-03-16,0,6,0
2014-03-17,1,7,11
2014-03-18,3,13,5
2014-03-19,5,6,5
2014-03-20,4,6,3
2014-03-21,2,8,11
2014-03-22,5,0,1
2014-03-23,0,6,7
2014-03-24,2,25,7
2014-03-25,0,17,18
2014-03-26,0,16,16
2014-03-27,5,6,8
2014-03-28,5,6,1
2014-03-29,0,1,0
2014-03-30,2,3,0
2014-03-31,0,6,0
2014-04-01,0,13,3
2014-04-02,0,7,2
2014-04-03,0,1,6
2014-04-04,0,7,9
2014-04-05,0,0,0
2014-04-06,10,3,0
2014-04-07,0,3,2
2014-04-08,0,5,3
2014-04-09,0,14,2
2014-04-10,1,5,1
2014-04-11,1,4,3
2014-04-12,0,0,7
2014-04-13,3,7,5
2014-04-14,3,3,1
2014-04-15,0,5,3
2014-04-16,0,5,10
2014-04-17,0,7,9
2014-04-18,0,4,3
2014-04-19,1,0,0
2014-04-20,0,0,1
2014-04-21,0,4,0
2014-04-22,1,31,13
2014-04-23,0,10,4
2014-04-24,8,5,14
2014-04-25,4,8,15
2014-04-26,3,0,7
2014-04-27,0,5,15
2014-04-28,4,6,9
2014-04-29,0,15,1
2014-04-30,0,14,0
2014-05-01,4,8,0
2014-05-02,8,3,0
2014-05-03,8,0,0
2014-05-04,3,0,0
2014-05-05,4,1,0
2014-05-06,0,9,0
2014-05-07,0,2,4
2014-05-08,4,4,16
2014-05-09,0,6,8
2014-05-10,0,0,4
2014-05-11,0,1,3
2014-05-12,4,5,11
2014-05-13,2,1,15
2014-05-14,7,3,5
2014-05-15,0,10,5
2014-05-16,1,5,10
2014-05-17,0,0,0
2014-05-18,0,2,1
2014-05-19,3,16,8
2014-05-20,0,5,13
2014-05-21,2,1,15
2014-05-22,0,0,5
2014-05-23,4,3,1
2014-05-24,0,2,1
2014-05-25,0,0,0
2014-05-26,0,3,12
2014-05-27,0,5,5
2014-05-28,0,4,3
2014-05-29,0,2,11
2014-05-30,1,13,5
2014-05-31,0,0,0
2014-06-01,2,0,2
2014-06-02,0,2,5
2014-06-03,2,0,8
2014-06-04,0,7,10
2014-06-05,3,6,8
2014-06-06,0,12,14
2014-06-07,0,3,0
2014-06-08,0,0,0
2014-06-09,0,3,4
2014-06-10,0,10,5
2014-06-11,0,8,8
2014-06-12,0,4,4
2014-06-13,0,2,3
2014-06-14,0,0,1
2014-06-15,0,0,1
2014-06-16,2,5,10
2014-06-17,0,1,6
2014-06-18,3,1,8
2014-06-19,0,7,10
2014-06-20,0,2,4
2014-06-21,0,0,8
2014-06-22,0,1,4
2014-06-23,0,0,18
2014-06-24,1,8,3
2014-06-25,0,17,7
2014-06-26,0,16,9
2014-06-27,8,9,9
2014-06-28,0,2,0
2014-06-29,0,12,0
2014-06-30,0,6,5
2014-07-01,0,19,0
2014-07-02,0,14,1
2014-07-03,0,5,8
2014-07-04,0,6,9
2014-07-05,0,2,0
2014-07-06,0,0,2
2014-07-07,0,12,5
2014-07-08,3,2,9
2014-07-09,7,16,12
2014-07-10,0,13,5
2014-07-11,4,3,4
2014-07-12,0,4,2
2014-07-13,0,0,5
2014-07-14,0,6,1
2014-07-15,0,13,2
2014-07-16,0,23,0
2014-07-17,0,6,1
2014-07-18,0,24,1
2014-07-19,0,5,0
2014-07-20,2,1,0
2014-07-21,0,0,0
2014-07-22,0,14,0
2014-07-23,0,6,0
2014-07-24,0,17,5
2014-07-25,0,1,0
2014-07-26,0,0,0
2014-07-27,0,0,1
2014-07-28,8,11,5
2014-07-29,6,14,11
2014-07-30,7,10,10
2014-07-31,1,7,10
2014-08-01,2,6,13
2014-08-02,0,2,0
2014-08-03,0,0,0
2014-08-04,2,5,11
2014-08-05,4,1,7
2014-08-06,2,3,5
2014-08-07,4,6,17
2014-08-08,0,10,14
2014-08-09,0,7,0
2014-08-10,0,0,4
2014-08-11,0,6,10
2014-08-12,0,9,14
2014-08-13,2,9,5
2014-08-14,0,8,1
2014-08-15,0,7,9
2014-08-16,0,1,0
2014-08-17,0,1,0
2014-08-18,3,13,6
2014-08-19,0,10,6
2014-08-20,0,8,3
2014-08-21,5,8,4
2014-08-22,2,10,5
2014-08-23,0,0,0
2014-08-24,0,1,0
2014-08-25,6,3,4
2014-08-26,3,3,12
2014-08-27,0,4,10
2014-08-28,1,2,1
2014-08-29,0,10,1
2014-08-30,0,2,0
2014-08-31,6,8,0
2014-09-01,0,8,12
2014-09-02,0,12,23
2014-09-03,0,15,12
2014-09-04,0,12,4
2014-09-05,0,2,3
2014-09-06,0,0,0
2014-09-07,0,2,8
2014-09-08,0,0,8
2014-09-09,0,3,13
2014-09-10,0,0,27
2014-09-11,0,0,12
2014-09-12,0,6,35
2014-09-13,0,0,0
2014-09-14,0,0,1
2014-09-15,0,0,2
2014-09-16,5,7,6
2014-09-17,0,7,8
2014-09-18,0,9,0
2014-09-19,0,11,0
2014-09-20,0,3,0
2014-09-21,1,4,1
2014-09-22,2,15,8
2014-09-23,2,0,10
2014-09-24,0,15,18
2014-09-25,0,5,29
2014-09-26,0,18,9
2014-09-27,1,0,3
2014-09-28,0,2,1
2014-09-29,0,8,10
2014-09-30,1,26,11
2014-10-01,1,7,9
2014-10-02,0,6,8
2014-10-03,0,3,7
2014-10-04,0,0,0
2014-10-05,0,1,0
2014-10-06,0,7,3
2014-10-07,0,7,5
2014-10-08,0,4,17
2014-10-09,0,0,6
2014-10-10,0,2,6
2014-10-11,0,0,0
2014-10-12,0,0,4
2014-10-13,2,6,25
2014-10-14,0,7,13
2014-10-15,1,4,7
2014-10-16,0,4,9
2014-10-17,0,7,13
2014-10-18,0,0,0
2014-10-19,0,0,3
2014-10-20,0,7,2
2014-10-21,0,15,6
2014-10-22,0,6,6
2014-10-23,0,10,14
2014-10-24,0,8,11
2014-10-25,0,1,5
2014-10-26,0,2,6
2014-10-27,0,14,18
2014-10-28,0,11,2
2014-10-29,0,10,42
2014-10-30,0,7,8
2014-10-31,0,7,0
2014-11-01,0,10,8
2014-11-02,0,3,0
2014-11-03,0,7,16
2014-11-04,0,0,25
2014-11-05,0,1,1
2014-11-06,0,5,3
2014-11-07,0,2,2
2014-11-08,0,0,2
2014-11-09,0,1,2
2014-11-10,1,2,32
2014-11-11,0,4,0
2014-11-12,3,0,20
2014-11-13,1,3,2
2014-11-14,4,0,1
2014-11-15,0,0,1
2014-11-16,0,0,1
2014-11-17,3,0,5
2014-11-18,0,0,7
2014-11-19,0,0,0
2014-11-20,0,2,5
2014-11-21,6,1,5
2014-11-22,0,11,9
2014-11-23,0,0,34
2014-11-24,0,8,10
2014-11-25,0,3,10
2014-11-26,0,6,2
2014-11-27,0,5,4
2014-11-28,0,5,9
2014-11-29,0,2,2
2014-11-30,0,0,5
2014-12-01,0,7,13
2014-12-02,1,9,6
2014-12-03,0,9,10
2014-12-04,0,4,1
2014-12-05,1,8,19
2014-12-06,0,0,3
2014-12-07,0,5,8
2014-12-08,0,4,11
2014-12-09,1,5,6
2014-12-10,0,9,16
2014-12-11,0,2,13
2014-12-12,0,2,13
2014-12-13,0,2,4
2014-12-14,0,0,16
2014-12-15,0,1,11
2014-12-16,2,2,15
2014-12-17,0,0,11
2014-12-18,0,3,7
2014-12-19,0,0,8
2014-12-20,12,0,3
2014-12-21,2,0,0
2014-12-22,0,14,0
2014-12-23,16,7,9
2014-12-24,0,0,0
2014-12-25,0,0,0
2014-12-26,2,1,0
2014-12-27,0,0,0
2014-12-28,0,2,0
2014-12-29,2,11,1
2014-12-30,2,10,0
2014-12-31,5,4,0
2015-01-01,0,1,13
2015-01-02,2,3,0
2015-01-03,0,0,0
2015-01-04,0,1,0
2015-01-05,0,2,1
2015-01-06,0,2,3
2015-01-07,0,3,2
2015-01-08,0,6,33
2015-01-09,0,1,19
2015-01-10,0,5,0
2015-01-11,0,0,0
2015-01-12,0,2,11
2015-01-13,0,1,10
2015-01-14,1,0,0
2015-01-15,0,0,25
2015-01-16,0,1,6
2015-01-17,0,2,0
2015-01-18,0,0,0
2015-01-19,0,0,4
2015-01-20,1,11,11
2015-01-21,4,3,8
2015-01-22,0,7,13
2015-01-23,0,4,22
2015-01-24,0,1,6
2015-01-25,0,0,0
2015-01-26,0,4,6
2015-01-27,1,0,10
2015-01-28,0,0,14
2015-01-29,0,1,18
2015-01-30,0,0,14
2015-01-31,0,0,0
2015-02-01,1,0,6
2015-02-02,2,4,2
2015-02-03,0,3,5
2015-02-04,1,0,10
2015-02-05,0,1,14
2015-02-06,0,0,2
2015-02-07,0,0,0
2015-02-08,0,0,1
2015-02-09,0,3,0
2015-02-10,0,16,10
2015-02-11,0,4,5
2015-02-12,0,6,17
2015-02-13,0,0,8
2015-02-14,0,0,7
2015-02-15,1,0,7
2015-02-16,1,4,21
2015-02-17,2,3,16
2015-02-18,0,16,4
2015-02-19,0,10,1
2015-02-20,0,5,2
2015-02-21,0,0,2
2015-02-22,0,0,14
2015-02-23,0,3,16
2015-02-24,0,4,17
2015-02-25,0,7,5
2015-02-26,0,10,3
2015-02-27,0,16,37
2015-02-28,0,7,3
2015-03-01,0,0,0
2015-03-02,0,6,7
2015-03-03,0,0,13
2015-03-04,0,1,8
2015-03-05,0,8,4
2015-03-06,4,16,5
2015-03-07,1,9,3
2015-03-08,0,0,2
2015-03-09,0,2,4
2015-03-10,0,4,7
2015-03-11,0,2,17
2015-03-12,0,0,5
2015-03-13,0,12,7
2015-03-14,0,1,4
2015-03-15,0,0,0
2015-03-16,0,5,7
2015-03-17,0,10,6
2015-03-18,0,2,6
2015-03-19,5,5,8
2015-03-20,0,16,3
2015-03-21,0,2,2
2015-03-22,0,3,0
2015-03-23,0,12,9
2015-03-24,0,12,4
2015-03-25,0,3,0
2015-03-26,0,2,4
2015-03-27,0,2,0
2015-03-28,0,1,2
2015-03-29,0,0,2
2015-03-30,1,12,0
2015-03-31,0,8,10
2015-04-01,0,11,15
2015-04-02,1,5,1
2015-04-03,1,4,1
2015-04-04,0,0,0
2015-04-05,0,0,0
2015-04-06,0,2,1
2015-04-07,6,5,3
2015-04-08,0,2,12
2015-04-09,0,1,13
2015-04-10,0,2,6
2015-04-11,0,0,0
2015-04-12,0,0,0
2015-04-13,0,7,12
2015-04-14,0,7,5
2015-04-15,0,6,2
2015-04-16,0,11,1
2015-04-17,0,5,6
2015-04-18,3,7,0
2015-04-19,1,7,0
2015-04-20,0,6,0
2015-04-21,0,5,3
2015-04-22,0,10,4
2015-04-23,0,8,3
2015-04-24,0,9,4
2015-04-25,0,0,0
2015-04-26,0,3,0
2015-04-27,0,3,6
2015-04-28,0,0,7
2015-04-29,1,0,11
2015-04-30,2,2,15
2015-05-01,7,0,9
2015-05-02,0,3,0
2015-05-03,6,0,1
2015-05-04,0,17,0
2015-05-05,0,23,6
2015-05-06,5,19,7
2015-05-07,0,16,15
2015-05-08,0,9,3
2015-05-09,0,9,0
2015-05-10,0,3,0
2015-05-11,0,8,8
2015-05-12,0,5,10
2015-05-13,0,8,11
2015-05-14,0,6,0
2015-05-15,2,5,1
2015-05-16,0,2,3
2015-05-17,0,4,0
2015-05-18,0,17,6
2015-05-19,0,6,4
2015-05-20,0,9,9
2015-05-21,1,7,25
2015-05-22,2,29,6
2015-05-23,0,14,4
2015-05-24,0,6,1
2015-05-25,7,0,0
2015-05-26,11,0,21
2015-05-27,7,3,14
2015-05-28,6,2,20
2015-05-29,1,11,8
2015-05-30,1,0,0
2015-05-31,0,19,0
2015-06-01,0,11,18
2015-06-02,0,2,11
2015-06-03,0,2,12
2015-06-04,0,11,14
2015-06-05,0,5,8
2015-06-06,0,0,0
2015-06-07,6,0,0
2015-06-08,5,2,20
2015-06-09,1,1,25
2015-06-10,4,4,20
2015-06-11,3,8,4
2015-06-12,6,5,13
2015-06-13,0,5,2
2015-06-14,1,1,1
2015-06-15,1,21,9
2015-06-16,3,12,8
