,bitcoinj/bitcoinj,bitcoin/bitcoin,libbitcoin/libbitcoin-system
2019-05-19,7,3,0
2019-05-20,1,9,0
2019-05-21,1,3,0
2019-05-22,0,8,0
2019-05-23,0,10,0
2019-05-24,3,4,1
2019-05-25,2,5,1
2019-05-26,0,1,0
2019-05-27,0,1,0
2019-05-28,0,16,0
2019-05-29,0,20,0
2019-05-30,1,2,0
2019-05-31,0,1,0
2019-06-01,1,0,0
2019-06-02,0,5,0
2019-06-03,0,8,2
2019-06-04,1,3,2
2019-06-05,0,9,0
2019-06-06,0,15,0
2019-06-07,0,14,0
2019-06-08,0,3,0
2019-06-09,0,0,0
2019-06-10,0,1,0
2019-06-11,0,5,0
2019-06-12,1,2,0
2019-06-13,0,11,0
2019-06-14,0,10,0
2019-06-15,0,0,0
2019-06-16,0,4,3
2019-06-17,1,8,0
2019-06-18,0,14,0
2019-06-19,1,12,0
2019-06-20,1,13,0
2019-06-21,0,9,0
2019-06-22,0,1,0
2019-06-23,4,2,0
2019-06-24,0,4,0
2019-06-25,0,8,0
2019-06-26,0,10,0
2019-06-27,0,4,0
2019-06-28,0,3,0
2019-06-29,0,8,0
2019-06-30,0,3,0
2019-07-01,0,5,0
2019-07-02,0,15,0
2019-07-03,1,15,0
2019-07-04,0,4,0
2019-07-05,4,7,0
2019-07-06,0,2,0
2019-07-07,1,4,0
2019-07-08,0,28,0
2019-07-09,0,19,0
2019-07-10,1,10,0
2019-07-11,0,4,0
2019-07-12,0,9,0
2019-07-13,0,0,0
2019-07-14,0,0,0
2019-07-15,3,5,0
2019-07-16,0,8,0
2019-07-17,0,8,0
2019-07-18,0,12,0
2019-07-19,0,11,2
2019-07-20,3,0,0
2019-07-21,0,1,0
2019-07-22,0,7,0
2019-07-23,0,8,0
2019-07-24,0,25,0
2019-07-25,0,7,1
2019-07-26,4,6,1
2019-07-27,0,18,0
2019-07-28,0,4,0
2019-07-29,0,15,0
2019-07-30,0,16,7
2019-07-31,0,15,0
2019-08-01,0,12,0
2019-08-02,0,11,0
2019-08-03,0,1,0
2019-08-04,0,1,0
2019-08-05,0,6,1
2019-08-06,0,8,0
2019-08-07,0,3,0
2019-08-08,1,2,0
2019-08-09,2,8,2
2019-08-10,0,1,0
2019-08-11,0,6,0
2019-08-12,0,5,0
2019-08-13,0,6,0
2019-08-14,0,31,0
2019-08-15,0,20,4
2019-08-16,0,23,5
2019-08-17,0,1,0
2019-08-18,0,4,2
2019-08-19,0,20,1
2019-08-20,0,8,0
2019-08-21,0,6,0
2019-08-22,0,7,0
2019-08-23,0,12,0
2019-08-24,0,11,0
2019-08-25,0,5,0
2019-08-26,0,9,0
2019-08-27,1,9,0
2019-08-28,0,11,0
2019-08-29,0,21,0
2019-08-30,0,9,6
2019-08-31,3,5,0
2019-09-01,0,1,0
2019-09-02,0,4,11
2019-09-03,0,13,2
2019-09-04,0,11,2
2019-09-05,0,14,11
2019-09-06,0,8,0
2019-09-07,0,5,0
2019-09-08,0,10,0
2019-09-09,0,9,0
2019-09-10,0,10,0
2019-09-11,3,5,0
2019-09-12,0,8,0
2019-09-13,0,7,0
2019-09-14,0,4,0
2019-09-15,0,4,0
2019-09-16,0,16,0
2019-09-17,0,13,0
