,diaspora/diaspora,mastodon/mastodon,friendica/friendica
2016-02-20,0,1,0
2016-02-21,7,0,0
2016-02-22,8,3,1
2016-02-23,8,4,8
2016-02-24,4,10,8
2016-02-25,5,0,3
2016-02-26,3,3,0
2016-02-27,0,2,1
2016-02-28,0,7,2
2016-02-29,0,2,6
2016-03-01,1,0,44
2016-03-02,3,0,7
2016-03-03,8,0,1
2016-03-04,26,0,9
2016-03-05,11,4,4
2016-03-06,3,4,20
2016-03-07,12,4,4
2016-03-08,7,1,3
2016-03-09,1,0,4
2016-03-10,0,0,2
2016-03-11,0,3,4
2016-03-12,1,3,21
2016-03-13,1,0,8
2016-03-14,0,4,7
2016-03-15,0,0,4
2016-03-16,0,13,7
2016-03-17,0,1,3
2016-03-18,5,9,6
2016-03-19,0,11,1
2016-03-20,2,2,4
2016-03-21,6,13,5
2016-03-22,10,6,3
2016-03-23,2,0,7
2016-03-24,0,6,5
2016-03-25,0,8,0
2016-03-26,0,6,0
2016-03-27,1,3,3
2016-03-28,0,0,5
2016-03-29,0,0,1
2016-03-30,14,0,7
2016-03-31,3,0,3
2016-04-01,0,0,5
2016-04-02,0,0,9
2016-04-03,2,0,16
2016-04-04,3,0,2
2016-04-05,1,0,2
2016-04-06,0,0,5
2016-04-07,2,0,3
2016-04-08,1,0,1
2016-04-09,0,0,1
2016-04-10,0,0,3
2016-04-11,1,0,1
2016-04-12,0,0,1
2016-04-13,7,0,7
2016-04-14,0,0,9
2016-04-15,0,0,5
2016-04-16,0,0,12
2016-04-17,0,0,16
2016-04-18,1,0,8
2016-04-19,1,0,13
2016-04-20,0,0,32
2016-04-21,4,0,11
2016-04-22,0,0,4
2016-04-23,0,0,6
2016-04-24,0,0,4
2016-04-25,2,0,22
2016-04-26,0,0,6
2016-04-27,2,0,6
2016-04-28,1,0,11
2016-04-29,0,0,11
2016-04-30,0,0,2
2016-05-01,0,0,210
2016-05-02,0,0,6
2016-05-03,1,0,5
2016-05-04,1,0,6
2016-05-05,3,0,8
2016-05-06,5,0,17
2016-05-07,2,0,3
2016-05-08,2,0,0
2016-05-09,0,0,2
2016-05-10,0,0,2
2016-05-11,1,0,5
2016-05-12,62,0,5
2016-05-13,1,0,3
2016-05-14,0,0,0
2016-05-15,0,0,5
2016-05-16,0,0,5
2016-05-17,3,0,0
2016-05-18,0,0,6
2016-05-19,0,0,6
2016-05-20,0,0,5
2016-05-21,3,0,2
2016-05-22,0,0,5
2016-05-23,0,0,8
2016-05-24,0,0,2
2016-05-25,0,0,6
2016-05-26,0,0,6
2016-05-27,1,0,5
2016-05-28,0,0,7
2016-05-29,0,0,14
2016-05-30,0,0,12
2016-05-31,3,0,4
2016-06-01,0,0,23
2016-06-02,0,0,5
2016-06-03,0,0,4
2016-06-04,0,0,8
2016-06-05,0,0,9
2016-06-06,1,0,20
2016-06-07,8,0,15
2016-06-08,2,0,9
2016-06-09,2,0,7
2016-06-10,0,0,15
2016-06-11,0,0,15
2016-06-12,3,0,24
2016-06-13,0,0,14
2016-06-14,1,0,4
2016-06-15,0,0,5
2016-06-16,24,0,4
2016-06-17,1,0,11
2016-06-18,10,0,7
2016-06-19,20,0,5
2016-06-20,9,0,13
2016-06-21,0,0,5
2016-06-22,0,0,4
2016-06-23,0,0,5
2016-06-24,0,0,3
2016-06-25,0,0,12
2016-06-26,115,0,4
2016-06-27,15,0,4
2016-06-28,7,0,2
2016-06-29,2,0,7
2016-06-30,1,0,11
2016-07-01,0,0,3
2016-07-02,0,0,19
2016-07-03,4,0,7
2016-07-04,1,0,4
2016-07-05,8,0,5
2016-07-06,1,0,0
2016-07-07,1,0,7
2016-07-08,2,0,5
2016-07-09,5,0,4
2016-07-10,0,0,11
2016-07-11,4,0,7
2016-07-12,1,0,2
2016-07-13,0,0,8
2016-07-14,0,0,5
2016-07-15,3,0,11
2016-07-16,3,0,1
2016-07-17,5,0,2
2016-07-18,2,0,1
2016-07-19,0,0,2
2016-07-20,2,0,0
2016-07-21,0,0,5
2016-07-22,0,0,2
2016-07-23,0,0,1
2016-07-24,0,0,3
2016-07-25,0,0,2
2016-07-26,0,0,9
2016-07-27,0,0,2
2016-07-28,0,0,7
2016-07-29,0,0,0
2016-07-30,0,0,3
2016-07-31,1,0,0
2016-08-01,4,0,12
2016-08-02,0,0,8
2016-08-03,0,0,9
2016-08-04,0,0,19
2016-08-05,1,0,3
2016-08-06,0,0,6
2016-08-07,6,0,2
2016-08-08,43,0,14
2016-08-09,15,0,6
2016-08-10,20,0,12
2016-08-11,30,0,7
2016-08-12,14,0,2
2016-08-13,11,0,9
2016-08-14,40,0,16
2016-08-15,7,0,0
2016-08-16,3,0,2
2016-08-17,3,1,5
2016-08-18,16,6,1
2016-08-19,0,0,2
2016-08-20,2,0,1
2016-08-21,22,0,0
2016-08-22,9,0,0
2016-08-23,0,0,8
2016-08-24,0,6,0
2016-08-25,0,1,0
2016-08-26,3,1,1
2016-08-27,0,0,5
2016-08-28,0,0,0
2016-08-29,0,0,2
2016-08-30,0,0,0
2016-08-31,0,5,3
2016-09-01,8,4,4
2016-09-02,0,1,1
2016-09-03,5,3,4
2016-09-04,37,9,2
