,alacritty/alacritty,eugeny/tabby,gnome-terminator/terminator
2016-12-23,0,1,1.0
2016-12-24,1,0,0.8
2016-12-25,1,2,-0.28
2016-12-26,1,1,-0.1280000000000001
2016-12-27,2,1,0.9184
2016-12-28,2,1,0.740864
2016-12-29,6,0,-0.32596480000000005
2016-12-30,5,1,0.8346444799999999
2016-12-31,1,0,-0.31291443199999996
2017-01-01,2,0,-0.1659930624
2017-01-02,5,0,-0.10643415040000004
2017-01-03,7,0,-0.07095552000000002
2017-01-04,3,0,-0.056850431999999965
2017-01-05,8,0,0.9527141376000001
2017-01-06,23,0,-0.22939607039999993
2017-01-07,33,0,-0.09438771200000001
2017-01-08,7,0,-0.060469350399999997
2017-01-09,8,0,-0.03360000000000001
2017-01-10,4,0,-0.025536000000000014
2017-01-11,2,0,-0.02042880000000001
2017-01-12,3,0,2.98307328
2017-01-13,2,2,0.38561228800000025
2017-01-14,0,0,-0.45246935040000014
2017-01-15,0,0,-0.22400000000000017
2017-01-16,1,0,1.8512
2017-01-17,0,0,0.489792
2017-01-18,0,5,0.5531775999999998
2017-01-19,5,0,-0.44720896000000016
2017-01-20,0,0,-0.255289856
2017-01-21,3,0,-0.1844677631999999
2017-01-22,0,0,-0.11246295040000001
2017-01-23,8,0,0.92018176
2017-01-24,2,0,0.7338690560000001
2017-01-25,1,0,0.6637468672000001
2017-01-26,3,0,-0.3548570624
2017-01-27,0,0,-0.17406935040000007
2017-01-28,1,0,-0.10713600000000006
2017-01-29,1,0,-0.07956480000000005
2017-01-30,5,0,0.93710848
2017-01-31,0,0,-0.25174323199999993
2017-02-01,0,0,10.8762162176
2017-02-02,2,0,-0.2748570623999993
2017-02-03,3,0,-1.3260693504000005
2017-02-04,1,0,0.2864639999999995
2017-02-05,0,0,-0.6860288000000002
2017-02-06,3,0,6.55497728
2017-02-07,4,0,-0.7381765119999999
2017-02-08,2,0,-1.0331208704000006
2017-02-09,0,0,0.3663457280000003
2017-02-10,2,0,0.3304329216000004
2017-02-11,4,0,0.4657825791999999
2017-02-12,1,0,0.48907468799999987
2017-02-13,1,0,6.4870148096
2017-02-14,1,0,-1.7047767039999995
2017-02-15,1,0,-0.7892379648000003
2017-02-16,0,0,0.5550391295999997
2017-02-17,2,0,0.487520768
2017-02-18,1,0,1.4770354176
2017-02-19,0,0,0.2852146176
2017-02-20,0,0,-0.5869441024000002
2017-02-21,0,0,1.6516806656000003
2017-02-22,4,0,0.3515497472000002
2017-02-23,2,0,-0.48202752000000015
2017-02-24,0,0,-0.27370803200000016
2017-02-25,1,0,-0.1963393024
2017-02-26,0,0,3.8571565056
2017-02-27,2,0,0.0942799872000003
2017-02-28,0,0,1.4132484095999998
2017-03-01,1,0,0.282297856
2017-03-02,10,0,-0.5817264128
2017-03-03,1,0,0.6757866495999998
2017-03-04,1,0,-0.4224512000000001
2017-03-05,0,2,-0.2528076800000002
2017-03-06,10,0,-0.18887116799999984
2017-03-07,1,0,0.8478526464000001
2017-03-08,2,0,-0.2837074943999998
2017-03-09,0,0,0.8602447872000001
2017-03-10,0,0,-0.27739607039999997
2017-03-11,0,0,-0.12798771200000003
2017-03-12,0,0,-0.08600535040000001
2017-03-13,0,0,1.9459712
2017-03-14,0,0,-0.4424627199999999
2017-03-15,0,0,-0.1948165120000001
2017-03-16,0,0,-0.12539607040000006
2017-03-17,0,0,-0.08158771199999997
2017-03-18,0,2,-0.06354135039999999
2017-03-19,0,0,-0.04085760000000002
2017-03-20,0,1,-0.03385344000000002
2017-03-21,0,1,-0.02877542399999988
2017-03-22,0,1,0.9750612992000001
2017-03-23,0,3,-0.19999999999999996
2017-03-24,0,2,-0.08000000000000007
2017-03-25,0,2,-0.048000000000000036
2017-03-26,0,1,-0.03360000000000001
2017-03-27,1,0,-0.025536000000000014
2017-03-28,0,0,-0.02042880000000001
2017-03-29,0,2,-0.01692672000000001
2017-03-30,0,1,-0.01438771199999994
2017-03-31,0,0,-0.012469350399999964
2017-04-01,0,0,0.0
2017-04-02,0,1,0.0
2017-04-03,0,0,0.0
2017-04-04,9,1,0.0
2017-04-05,0,1,1.0
2017-04-06,0,3,-0.19999999999999996
2017-04-07,0,0,-0.08000000000000007
2017-04-08,0,4,-0.048000000000000036
2017-04-09,0,0,-0.03360000000000001
2017-04-10,0,0,-0.025536000000000014
2017-04-11,0,3,-0.02042880000000001
2017-04-12,0,1,-0.01692672000000001
2017-04-13,0,0,-0.01438771199999994
2017-04-14,0,4,0.9875306496
2017-04-15,0,2,0.8
2017-04-16,0,5,-0.28
2017-04-17,0,4,-0.1280000000000001
2017-04-18,0,0,-0.08160000000000005
2017-04-19,7,0,0.9408639999999999
2017-04-20,6,2,-0.24596479999999998
2017-04-21,1,0,-0.11735552000000009
2017-04-22,0,0,-0.07931443199999999
2017-04-23,2,3,-0.060457062399999914
2017-04-24,0,1,-0.03800535039999998
2017-04-25,0,0,-0.02042880000000001
2017-04-26,0,0,-0.01692672000000001
2017-04-27,0,1,-0.01438771199999994
2017-04-28,0,4,-0.012469350399999964
2017-04-29,0,1,0.0
2017-04-30,0,3,0.0
2017-05-01,10,5,0.0
2017-05-02,0,0,0.0
2017-05-03,3,0,0.0
2017-05-04,0,0,0.0
2017-05-05,0,0,0.0
2017-05-06,3,0,0.0
2017-05-07,3,0,0.0
2017-05-08,1,0,0.0
2017-05-09,0,0,0.0
2017-05-10,3,0,0.0
2017-05-11,0,1,0.0
2017-05-12,1,0,1.0
2017-05-13,0,2,-0.19999999999999996
2017-05-14,0,1,-0.08000000000000007
2017-05-15,0,0,-0.048000000000000036
2017-05-16,0,0,-0.03360000000000001
2017-05-17,0,0,-0.025536000000000014
2017-05-18,0,0,-0.02042880000000001
2017-05-19,0,0,-0.01692672000000001
2017-05-20,0,0,-0.01438771199999994
2017-05-21,0,0,-0.012469350399999964
2017-05-22,0,0,0.0
2017-05-23,0,0,0.0
2017-05-24,5,0,0.0
2017-05-25,2,0,0.0
2017-05-26,0,0,1.0
2017-05-27,0,0,-0.19999999999999996
2017-05-28,6,0,-0.08000000000000007
2017-05-29,3,0,-0.048000000000000036
2017-05-30,0,0,-0.03360000000000001
2017-05-31,4,0,-0.025536000000000014
2017-06-01,2,1,-0.02042880000000001
2017-06-02,0,0,0.9830732799999999
2017-06-03,0,5,-0.2143877119999999
2017-06-04,1,1,-0.09246935040000004
2017-06-05,0,0,-0.048000000000000036
2017-06-06,2,0,-0.03360000000000001
2017-06-07,1,0,-0.025536000000000014
2017-06-08,0,0,-0.02042880000000001
2017-06-09,0,1,-0.01692672000000001
2017-06-10,0,0,0.9856122880000001
2017-06-11,1,0,-0.21246935039999992
2017-06-12,0,0,-0.08000000000000007
2017-06-13,0,0,-0.048000000000000036
2017-06-14,2,0,-0.03360000000000001
2017-06-15,0,0,-0.025536000000000014
2017-06-16,0,0,0.9795712
2017-06-17,0,0,-0.21692671999999996
2017-06-18,0,0,-0.09438771200000001
2017-06-19,3,0,-0.060469350399999997
2017-06-20,6,3,0.9664
2017-06-21,0,2,-0.22553599999999996
2017-06-22,0,0,-0.10042880000000008
2017-06-23,1,1,-0.06492672000000005
2017-06-24,0,26,0.952012288
2017-06-25,0,0,-0.23800535039999993
2017-06-26,0,2,-0.10042880000000008
2017-06-27,2,4,-0.06492672000000005
2017-06-28,0,1,-0.04798771199999995
2017-06-29,0,1,-0.03800535039999998
2017-06-30,0,14,-0.02042880000000001
2017-07-01,2,5,0.9830732799999999
2017-07-02,1,0,-0.2143877119999999
2017-07-03,0,9,-0.09246935040000004
2017-07-04,1,8,0.952
2017-07-05,0,18,-0.23359999999999997
2017-07-06,0,3,-0.10553600000000009
2017-07-07,0,0,-0.06842880000000004
2017-07-08,2,1,-0.050526720000000025
2017-07-09,0,0,-0.03992371199999995
2017-07-10,0,9,-0.03289815039999998
2017-07-11,0,0,-0.01692672000000001
2017-07-12,0,2,0.9856122880000001
2017-07-13,0,0,-0.21246935039999992
2017-07-14,0,0,-0.08000000000000007
2017-07-15,0,8,-0.048000000000000036
2017-07-16,0,0,-0.03360000000000001
2017-07-17,0,0,-0.025536000000000014
2017-07-18,0,0,-0.02042880000000001
2017-07-19,1,0,-0.01692672000000001
2017-07-20,2,2,-0.01438771199999994
2017-07-21,1,0,-0.012469350399999964
2017-07-22,0,0,0.0
2017-07-23,0,1,0.0
2017-07-24,0,3,0.0
2017-07-25,1,2,1.0
2017-07-26,0,4,-0.19999999999999996
2017-07-27,0,1,-0.08000000000000007
2017-07-28,5,1,-0.048000000000000036
2017-07-29,0,1,-0.03360000000000001
2017-07-30,0,4,-0.025536000000000014
2017-07-31,1,1,-0.02042880000000001
2017-08-01,0,0,-0.01692672000000001
2017-08-02,0,5,0.9856122880000001
2017-08-03,0,0,-0.21246935039999992
2017-08-04,0,9,-0.08000000000000007
2017-08-05,0,4,-0.048000000000000036
2017-08-06,0,0,-0.03360000000000001
2017-08-07,0,2,-0.025536000000000014
2017-08-08,1,0,-0.02042880000000001
2017-08-09,0,0,-0.01692672000000001
2017-08-10,0,0,-0.01438771199999994
2017-08-11,6,5,-0.012469350399999964
2017-08-12,1,0,0.0
2017-08-13,0,1,0.0
2017-08-14,0,0,0.0
2017-08-15,0,0,0.0
2017-08-16,0,0,0.0
2017-08-17,0,0,0.0
2017-08-18,0,1,0.0
2017-08-19,0,0,0.0
2017-08-20,1,2,0.0
2017-08-21,1,0,0.0
2017-08-22,2,0,0.0
2017-08-23,0,0,0.0
2017-08-24,0,0,0.0
2017-08-25,0,0,0.0
2017-08-26,0,1,0.0
2017-08-27,0,0,0.0
2017-08-28,1,0,0.0
2017-08-29,8,0,0.0
2017-08-30,0,3,0.0
2017-08-31,0,0,1.0
2017-09-01,0,0,-0.19999999999999996
2017-09-02,2,0,-0.08000000000000007
2017-09-03,0,0,-0.048000000000000036
2017-09-04,0,0,-0.03360000000000001
2017-09-05,6,0,-0.025536000000000014
2017-09-06,0,1,-0.02042880000000001
2017-09-07,0,0,-0.01692672000000001
2017-09-08,0,0,-0.01438771199999994
2017-09-09,0,8,-0.012469350399999964
2017-09-10,0,1,0.0
2017-09-11,1,0,0.0
2017-09-12,0,0,0.0
2017-09-13,0,0,0.0
2017-09-14,0,0,0.0
2017-09-15,0,0,0.0
2017-09-16,0,0,0.0
2017-09-17,0,0,0.0
2017-09-18,0,0,1.0
2017-09-19,0,0,0.8
2017-09-20,0,0,-0.28
2017-09-21,0,0,-0.1280000000000001
2017-09-22,0,0,-0.08160000000000005
2017-09-23,0,0,-0.05913600000000002
2017-09-24,0,0,0.9540352
2017-09-25,0,0,0.7626444800000001
2017-09-26,0,0,-0.311314432
2017-09-27,0,0,-0.15485706240000002
2017-09-28,1,3,-0.0940693504
2017-09-29,0,0,-0.05913600000000002
2017-09-30,2,0,-0.04596480000000003
2017-10-01,0,0,-0.03735552000000002
2017-10-02,0,0,-0.03131443199999995
2017-10-03,0,0,-0.026857062399999902
2017-10-04,1,0,-0.012469350399999964
2017-10-05,0,0,0.0
2017-10-06,2,0,0.0
2017-10-07,1,5,0.0
2017-10-08,0,3,0.0
2017-10-09,11,0,0.0
2017-10-10,0,0,0.0
2017-10-11,0,0,0.0
2017-10-12,0,0,1.0
2017-10-13,0,1,-0.19999999999999996
2017-10-14,2,0,-0.08000000000000007
2017-10-15,2,0,-0.048000000000000036
2017-10-16,1,0,-0.03360000000000001
2017-10-17,3,0,-0.025536000000000014
2017-10-18,0,0,-0.02042880000000001
2017-10-19,0,0,-0.01692672000000001
2017-10-20,1,1,-0.01438771199999994
2017-10-21,4,1,-0.012469350399999964
2017-10-22,4,3,0.0
2017-10-23,0,2,0.0
2017-10-24,0,0,0.0
2017-10-25,0,0,0.0
2017-10-26,0,0,0.0
2017-10-27,2,0,0.0
2017-10-28,0,0,0.0
2017-10-29,0,0,0.0
2017-10-30,2,0,0.0
2017-10-31,1,1,1.0
2017-11-01,0,0,-0.19999999999999996
