,gocolly/colly,puppeteer/puppeteer,seleniumhq/selenium
2021-09-28,0,1.0,38
2021-09-29,0,4.9,17
2021-09-30,1,0.4549999999999995,11
2021-10-01,0,-0.35350000000000026,3
2021-10-02,0,0.7918375,0
2021-10-03,0,-0.24792924999999966,0
2021-10-04,0,2.8405917375000005,2
2021-10-05,0,0.57847949125,1
2021-10-06,0,0.6661386932343751,0
2021-10-07,0,4.686049136135938,8
2021-10-08,0,3.299787911804687,14
2021-10-09,0,-0.7420052987859378,4
2021-10-10,0,-0.40833360051562495,1
2021-10-11,0,-0.288271203785937,9
2021-10-12,0,0.7838056022031257,12
2021-10-13,0,-0.27613562937343705,16
2021-10-14,0,-0.17108369680156216,5
2021-10-15,0,-0.12911520261406226,3
2021-10-16,0,-0.10093001474218721,0
2021-10-17,0,-0.049712160143749864,1
2021-10-18,0,-0.01316201249999996,7
2021-10-19,0,1.98890630375,8
2021-10-20,0,-0.20956831301562515,14
2021-10-21,0,-0.09839885253593754,5
2021-10-22,0,-0.057000000000000044,7
2021-10-23,0,-0.04132499999999985,0
2021-10-24,0,-0.032233499999999894,0
2021-10-25,0,0.973675975,12
2021-10-26,0,-0.12218739250000002,1
2021-10-27,0,2.93586337396875,3
2021-10-28,0,0.6547022949281247,1
2021-10-29,0,0.7443374999999999,3
2021-10-30,0,-0.24661675000000013,0
2021-10-31,0,-0.1486495124999998,1
2021-11-01,0,-0.10860644624999977,0
2021-11-02,0,0.9141663994843753,2
2021-11-03,0,0.8290412962140626,8
2021-11-04,0,-0.19796064779687497,4
2021-11-05,0,-0.11935856687343743,8
2021-11-06,0,-0.0671296655515624,0
2021-11-07,0,-0.04517810253593735,0
2021-11-08,0,-0.02927876249999991,2
2021-11-09,0,0.9757442912500001,6
2021-11-10,0,0.879337990734375,0
2021-11-11,0,1.8370328344484375,0
2021-11-12,0,-0.2818988525359377,0
2021-11-13,0,-0.13916250000000002,0
2021-11-14,0,-0.09377924999999993,0
2021-11-15,0,1.9293962375000002,3
2021-11-16,0,0.74351079125,10
2021-11-17,0,-0.23698603426562503,17
2021-11-18,0,-0.14215455805156246,12
2021-11-19,0,0.9026395214328127,5
2021-11-20,0,-0.16969370507187487,0
2021-11-21,0,-0.0874407749999999,0
2021-11-22,0,-0.06384940499999991,9
2021-11-23,0,0.9491071777187502,6
2021-11-24,0,-0.14248276808749996,3
2021-11-25,0,-0.06656086503593747,0
2021-11-26,0,1.96040630375,7
2021-11-27,0,-0.2302308130156251,4
2021-11-28,0,-0.11451560253593748,1
2021-11-29,0,3.9298379875,6
2021-11-30,0,-0.4524186962500002,7
2021-12-01,0,-0.22180181301562502,21
2021-12-02,0,-0.1487228775359375,3
2021-12-03,0,0.8951626075000003,3
2021-12-04,0,-0.18360362603124983,0
2021-12-05,0,-0.11444575507187482,0
2021-12-06,0,-0.07287478499999989,0
2021-12-07,0,1.9410642479375002,0
2021-12-08,0,-0.24971216014375003,2
2021-12-09,0,3.8968379875,2
2021-12-10,0,2.5319063037499996,3
2021-12-11,0,-0.5308933130156253,0
2021-12-12,0,-0.28963235253593755,4
2021-12-13,0,0.8055259750000003,6
2021-12-14,0,-0.24864189249999957,3
2021-12-15,0,1.8348650739687504,1
2021-12-16,0,-0.3291585275718749,3
2021-12-17,2,-0.18221684081249978,4
2021-12-18,1,-0.13541709919062483,0
