,bitcoinj/bitcoinj,bitcoin/bitcoin,libbitcoin/libbitcoin-system
2023-05-19,0,10,0
2023-05-20,0,14,0
2023-05-21,0,1,0
2023-05-22,0,13,0
2023-05-23,4,6,0
2023-05-24,3,7,0
2023-05-25,0,13,0
2023-05-26,0,15,0
2023-05-27,0,3,0
2023-05-28,0,1,0
2023-05-29,0,17,0
2023-05-30,0,18,0
2023-05-31,0,11,0
2023-06-01,3,7,0
2023-06-02,0,10,0
2023-06-03,0,1,0
2023-06-04,1,4,0
2023-06-05,0,7,0
2023-06-06,0,1,0
2023-06-07,0,4,0
2023-06-08,0,12,0
2023-06-09,5,4,0
2023-06-10,0,2,0
2023-06-11,0,0,0
2023-06-12,0,17,0
2023-06-13,6,10,0
2023-06-14,0,20,0
2023-06-15,0,14,0
2023-06-16,0,5,0
2023-06-17,0,2,0
2023-06-18,0,1,0
2023-06-19,0,10,0
2023-06-20,0,13,0
2023-06-21,0,19,0
2023-06-22,0,10,0
2023-06-23,0,34,0
2023-06-24,0,0,0
2023-06-25,0,0,0
2023-06-26,0,7,0
2023-06-27,0,21,0
2023-06-28,0,24,0
2023-06-29,0,22,0
2023-06-30,0,16,0
2023-07-01,0,3,0
2023-07-02,0,0,0
2023-07-03,0,7,0
2023-07-04,0,5,0
2023-07-05,1,0,0
2023-07-06,0,13,0
2023-07-07,1,18,0
2023-07-08,0,1,0
2023-07-09,0,1,0
2023-07-10,1,12,0
2023-07-11,0,8,0
2023-07-12,0,10,0
2023-07-13,0,9,0
2023-07-14,1,10,0
2023-07-15,0,0,0
2023-07-16,7,3,0
2023-07-17,0,12,0
2023-07-18,2,10,0
2023-07-19,0,21,0
2023-07-20,1,16,0
2023-07-21,0,11,0
2023-07-22,0,6,0
2023-07-23,0,1,0
2023-07-24,0,19,0
2023-07-25,0,26,0
2023-07-26,0,17,0
2023-07-27,4,10,0
2023-07-28,2,3,0
2023-07-29,0,0,0
2023-07-30,0,3,0
2023-07-31,1,7,0
2023-08-01,4,14,0
2023-08-02,0,7,0
2023-08-03,0,25,0
2023-08-04,0,6,0
2023-08-05,0,15,0
2023-08-06,0,1,0
2023-08-07,0,14,0
2023-08-08,25,7,0
2023-08-09,11,8,0
2023-08-10,10,7,0
2023-08-11,1,3,0
2023-08-12,0,0,0
2023-08-13,0,1,0
2023-08-14,0,15,0
2023-08-15,0,9,0
2023-08-16,0,6,0
2023-08-17,0,26,4
2023-08-18,0,14,0
2023-08-19,0,0,0
2023-08-20,0,0,1
2023-08-21,0,5,0
2023-08-22,0,17,0
2023-08-23,15,30,0
2023-08-24,0,30,0
2023-08-25,10,11,0
2023-08-26,0,2,0
2023-08-27,0,8,0
2023-08-28,0,8,0
2023-08-29,0,9,0
2023-08-30,0,10,0
2023-08-31,0,7,0
2023-09-01,9,8,0
2023-09-02,5,1,0
2023-09-03,0,1,0
2023-09-04,0,5,0
2023-09-05,3,14,0
2023-09-06,1,9,0
2023-09-07,6,19,0
2023-09-08,0,7,0
2023-09-09,0,2,0
2023-09-10,0,5,0
2023-09-11,0,3,0
2023-09-12,23,23,0
2023-09-13,0,28,0
2023-09-14,8,21,0
2023-09-15,0,16,0
2023-09-16,9,2,0
2023-09-17,0,0,0
2023-09-18,0,1,0
2023-09-19,1,16,0
2023-09-20,0,16,0
2023-09-21,7,6,0
2023-09-22,0,3,0
2023-09-23,0,2,0
2023-09-24,0,1,0
2023-09-25,7,1,0
2023-09-26,0,2,0
2023-09-27,0,13,0
2023-09-28,0,6,0
2023-09-29,0,10,0
2023-09-30,6,24,0
2023-10-01,6,0,0
2023-10-02,8,32,0
2023-10-03,1,29,0
2023-10-04,0,31,0
2023-10-05,1,29,0
2023-10-06,0,14,0
2023-10-07,0,2,0
2023-10-08,0,31,0
2023-10-09,1,18,0
2023-10-10,0,12,0
2023-10-11,1,8,0
2023-10-12,1,15,0
2023-10-13,0,27,0
2023-10-14,0,0,0
2023-10-15,1,3,0
2023-10-16,0,10,0
2023-10-17,0,11,0
2023-10-18,0,7,0
2023-10-19,0,14,0
2023-10-20,0,25,0
2023-10-21,0,0,0
2023-10-22,0,0,0
2023-10-23,0,17,0
2023-10-24,13,18,0
2023-10-25,0,8,0
2023-10-26,0,10,0
2023-10-27,0,2,0
2023-10-28,0,0,0
2023-10-29,0,3,0
2023-10-30,0,18,0
2023-10-31,0,11,0
2023-11-01,0,12,0
2023-11-02,0,11,0
2023-11-03,0,21,0
2023-11-04,0,1,0
2023-11-05,0,6,0
2023-11-06,0,7,0
2023-11-07,0,16,0
2023-11-08,0,17,0
2023-11-09,0,15,0
2023-11-10,2,18,0
2023-11-11,0,1,0
2023-11-12,0,0,0
2023-11-13,0,25,0
2023-11-14,0,11,0
2023-11-15,0,6,0
2023-11-16,2,20,0
2023-11-17,0,17,0
2023-11-18,0,0,0
2023-11-19,3,1,0
2023-11-20,0,6,0
2023-11-21,1,4,0
2023-11-22,0,23,0
2023-11-23,0,10,0
2023-11-24,0,6,0
2023-11-25,0,4,0
2023-11-26,0,2,0
2023-11-27,0,2,0
2023-11-28,0,21,0
2023-11-29,0,13,0
2023-11-30,0,14,0
2023-12-01,0,7,0
2023-12-02,0,1,0
2023-12-03,0,1,0
2023-12-04,0,20,0
2023-12-05,1,14,0
2023-12-06,0,11,0
2023-12-07,0,15,0
2023-12-08,1,22,0
2023-12-09,0,6,0
2023-12-10,0,1,0
2023-12-11,0,20,0
2023-12-12,0,14,0
2023-12-13,0,10,0
2023-12-14,0,12,0
2023-12-15,0,13,0
2023-12-16,0,0,0
2023-12-17,0,1,0
2023-12-18,4,6,0
2023-12-19,2,3,0
2023-12-20,3,4,0
2023-12-21,0,9,0
2023-12-22,0,4,0
2023-12-23,0,1,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,0,0
2023-12-27,0,4,0
2023-12-28,0,0,0
2023-12-29,0,0,0
2023-12-30,0,0,0
2023-12-31,0,1,0
2024-01-01,0,0,0
2024-01-02,0,7,0
2024-01-03,0,2,0
2024-01-04,0,9,0
2024-01-05,0,14,0
2024-01-06,0,2,0
2024-01-07,0,2,0
2024-01-08,0,12,0
2024-01-09,0,12,0
2024-01-10,1,7,0
2024-01-11,0,22,0
2024-01-12,0,9,0
2024-01-13,0,1,0
2024-01-14,0,0,0
2024-01-15,0,11,0
2024-01-16,2,20,0
2024-01-17,0,7,0
2024-01-18,0,10,0
2024-01-19,0,9,0
2024-01-20,0,2,0
2024-01-21,0,0,0
2024-01-22,0,6,0
2024-01-23,0,16,0
2024-01-24,0,6,0
2024-01-25,0,23,0
2024-01-26,0,11,0
2024-01-27,0,0,3
2024-01-28,0,0,0
2024-01-29,0,11,10
2024-01-30,0,10,0
2024-01-31,4,13,0
2024-02-01,0,18,0
2024-02-02,0,3,0
2024-02-03,0,3,0
2024-02-04,0,0,0
2024-02-05,0,8,0
2024-02-06,0,11,0
2024-02-07,1,15,0
2024-02-08,0,15,2
2024-02-09,1,21,1
2024-02-10,0,3,0
2024-02-11,0,4,0
2024-02-12,0,14,3
2024-02-13,0,18,1
2024-02-14,0,1,5
2024-02-15,0,10,0
2024-02-16,0,11,0
2024-02-17,0,1,4
2024-02-18,0,1,5
2024-02-19,0,4,1
2024-02-20,0,14,2
2024-02-21,0,14,1
2024-02-22,0,2,1
2024-02-23,0,3,0
2024-02-24,1,0,8
2024-02-25,0,0,1
2024-02-26,0,15,2
2024-02-27,0,19,5
2024-02-28,0,24,0
2024-02-29,0,17,2
2024-03-01,0,25,1
2024-03-02,0,3,0
2024-03-03,0,1,0
2024-03-04,0,11,0
2024-03-05,0,16,2
2024-03-06,0,6,1
2024-03-07,0,9,0
2024-03-08,0,11,0
2024-03-09,0,3,0
2024-03-10,1,2,0
2024-03-11,2,20,8
2024-03-12,0,28,3
2024-03-13,0,10,0
2024-03-14,1,12,1
2024-03-15,1,7,1
2024-03-16,0,0,3
2024-03-17,0,5,4
2024-03-18,0,28,0
2024-03-19,0,10,0
2024-03-20,0,18,0
2024-03-21,0,12,0
2024-03-22,0,11,1
2024-03-23,0,3,2
2024-03-24,0,0,2
2024-03-25,0,13,0
2024-03-26,0,29,0
2024-03-27,0,14,0
2024-03-28,0,6,8
2024-03-29,0,7,9
2024-03-30,0,1,0
2024-03-31,0,1,0
2024-04-01,0,9,0
2024-04-02,0,15,0
2024-04-03,0,4,0
2024-04-04,0,12,0
2024-04-05,0,8,2
2024-04-06,0,9,0
2024-04-07,3,6,0
2024-04-08,0,5,0
2024-04-09,0,16,0
2024-04-10,1,10,3
2024-04-11,0,5,5
2024-04-12,0,5,1
2024-04-13,0,0,0
2024-04-14,0,1,2
2024-04-15,0,13,0
2024-04-16,0,22,2
2024-04-17,0,12,0
2024-04-18,0,12,0
2024-04-19,0,12,0
2024-04-20,0,0,1
2024-04-21,1,1,0
2024-04-22,0,14,0
2024-04-23,10,7,0
2024-04-24,0,20,0
2024-04-25,0,20,0
2024-04-26,0,16,0
2024-04-27,7,2,0
2024-04-28,0,9,4
2024-04-29,8,11,11
2024-04-30,0,15,0
2024-05-01,0,15,5
2024-05-02,0,10,0
2024-05-03,0,23,0
2024-05-04,0,6,0
2024-05-05,1,4,0
2024-05-06,0,11,0
2024-05-07,0,8,0
2024-05-08,1,10,2
2024-05-09,0,14,3
2024-05-10,0,6,0
2024-05-11,0,6,0
2024-05-12,0,4,0
2024-05-13,0,12,0
2024-05-14,4,26,0
2024-05-15,0,12,0
2024-05-16,0,34,3
2024-05-17,0,6,0
2024-05-18,0,1,0
2024-05-19,0,0,0
2024-05-20,0,5,0
2024-05-21,0,19,1
2024-05-22,0,18,5
2024-05-23,0,16,3
2024-05-24,0,9,7
