,vercel/next.js,denoland/fresh,alephjs/aleph.js
2021-08-07,0,0,0
2021-08-08,1,1,0
2021-08-09,8,0,0
2021-08-10,7,0,0
2021-08-11,17,0,2
2021-08-12,16,0,0
2021-08-13,15,0,0
2021-08-14,12,0,0
2021-08-15,5,0,0
2021-08-16,10,0,0
2021-08-17,8,0,1
2021-08-18,10,0,4
2021-08-19,9,0,5
2021-08-20,7,0,0
2021-08-21,0,0,4
2021-08-22,1,0,14
2021-08-23,6,0,12
2021-08-24,10,0,1
2021-08-25,12,0,13
2021-08-26,3,0,1
2021-08-27,2,0,13
2021-08-28,1,0,1
2021-08-29,1,0,9
2021-08-30,7,0,0
2021-08-31,9,0,0
2021-09-01,6,1,5
2021-09-02,16,0,2
2021-09-03,7,0,0
2021-09-04,1,0,2
2021-09-05,1,0,20
2021-09-06,13,0,0
2021-09-07,18,0,5
2021-09-08,6,0,0
2021-09-09,8,0,0
2021-09-10,4,0,2
2021-09-11,3,0,3
2021-09-12,1,0,0
2021-09-13,14,0,0
2021-09-14,5,0,0
2021-09-15,11,0,0
2021-09-16,18,0,10
2021-09-17,13,0,3
2021-09-18,2,0,13
2021-09-19,2,0,4
2021-09-20,7,0,15
2021-09-21,19,0,0
2021-09-22,9,0,1
2021-09-23,4,0,3
2021-09-24,6,0,6
2021-09-25,0,9,5
2021-09-26,2,2,6
2021-09-27,6,0,1
2021-09-28,10,1,0
2021-09-29,10,0,0
2021-09-30,9,0,0
2021-10-01,8,0,0
2021-10-02,1,0,0
2021-10-03,2,0,0
2021-10-04,6,3,0
2021-10-05,16,0,0
2021-10-06,14,0,0
2021-10-07,5,0,0
2021-10-08,6,0,0
2021-10-09,6,0,2
2021-10-10,10,0,0
2021-10-11,21,0,0
2021-10-12,6,0,0
2021-10-13,17,0,5
2021-10-14,9,0,0
2021-10-15,16,0,0
2021-10-16,5,0,0
2021-10-17,7,0,1
2021-10-18,17,0,0
2021-10-19,11,0,0
2021-10-20,16,0,0
2021-10-21,17,1,0
2021-10-22,16,0,0
2021-10-23,7,0,0
2021-10-24,13,0,0
2021-10-25,21,0,0
2021-10-26,41,1,0
2021-10-27,26,0,0
2021-10-28,27,0,2
2021-10-29,14,0,0
2021-10-30,13,0,0
2021-10-31,3,0,0
2021-11-01,14,3,0
2021-11-02,18,0,0
2021-11-03,24,0,0
2021-11-04,14,0,0
2021-11-05,10,0,0
2021-11-06,6,0,0
2021-11-07,2,0,0
2021-11-08,18,0,0
2021-11-09,23,0,0
2021-11-10,6,0,0
2021-11-11,24,0,0
2021-11-12,7,0,0
2021-11-13,5,0,0
2021-11-14,6,0,0
2021-11-15,22,0,0
2021-11-16,15,0,0
2021-11-17,12,0,0
2021-11-18,10,0,0
2021-11-19,10,0,0
2021-11-20,2,0,0
2021-11-21,10,0,0
