,vercel/next.js,nuxt/nuxt,remix-run/remix
2021-02-01,5,1,3
2021-02-02,4,1,3
2021-02-03,7,1,5
2021-02-04,5,0,3
2021-02-05,6,2,9
2021-02-06,1,0,2
2021-02-07,5,0,0
2021-02-08,0,1,0
2021-02-09,5,2,9
2021-02-10,0,0,7
2021-02-11,5,0,8
2021-02-12,4,0,3
2021-02-13,0,0,0
2021-02-14,0,0,0
2021-02-15,2,0,2
2021-02-16,6,3,12
2021-02-17,3,6,1
2021-02-18,7,6,2
2021-02-19,6,5,0
2021-02-20,1,0,1
2021-02-21,1,0,0
2021-02-22,5,8,0
2021-02-23,3,0,3
2021-02-24,10,0,3
2021-02-25,6,0,6
2021-02-26,2,1,0
2021-02-27,3,0,0
2021-02-28,0,0,0
2021-03-01,7,1,0
2021-03-02,9,0,1
2021-03-03,8,0,0
2021-03-04,5,0,1
2021-03-05,4,2,2
2021-03-06,0,0,1
2021-03-07,1,0,0
2021-03-08,11,0,1
2021-03-09,7,0,11
2021-03-10,3,1,17
2021-03-11,3,0,3
2021-03-12,6,0,6
2021-03-13,0,0,2
2021-03-14,1,0,4
2021-03-15,8,0,0
2021-03-16,9,0,0
2021-03-17,5,4,0
2021-03-18,11,1,1
2021-03-19,10,0,0
2021-03-20,2,0,1
2021-03-21,0,0,0
2021-03-22,8,0,0
2021-03-23,11,0,0
2021-03-24,10,0,0
2021-03-25,1,0,5
2021-03-26,6,0,11
2021-03-27,0,0,8
2021-03-28,3,7,3
2021-03-29,12,2,3
2021-03-30,3,1,17
2021-03-31,4,0,5
2021-04-01,7,0,0
2021-04-02,7,4,0
2021-04-03,0,4,0
2021-04-04,2,19,0
2021-04-05,4,1,2
2021-04-06,6,13,0
2021-04-07,4,1,1
2021-04-08,8,2,1
2021-04-09,3,10,0
2021-04-10,0,0,0
2021-04-11,2,2,0
2021-04-12,10,7,0
2021-04-13,5,0,0
2021-04-14,5,0,2
2021-04-15,7,4,3
2021-04-16,4,4,0
2021-04-17,6,2,0
2021-04-18,6,4,0
2021-04-19,11,7,0
2021-04-20,34,12,2
2021-04-21,8,4,21
2021-04-22,9,0,6
2021-04-23,5,8,3
2021-04-24,1,0,0
2021-04-25,3,0,5
2021-04-26,3,0,2
2021-04-27,3,0,4
2021-04-28,8,12,11
2021-04-29,3,6,7
2021-04-30,7,0,2
2021-05-01,1,0,3
2021-05-02,0,0,1
2021-05-03,2,0,0
2021-05-04,1,0,3
2021-05-05,10,0,2
2021-05-06,5,1,2
2021-05-07,14,0,0
2021-05-08,0,0,3
2021-05-09,0,0,0
2021-05-10,14,0,6
2021-05-11,6,0,16
2021-05-12,6,0,6
2021-05-13,9,0,3
2021-05-14,10,0,0
2021-05-15,1,0,1
2021-05-16,5,0,0
2021-05-17,5,0,3
2021-05-18,8,0,0
2021-05-19,15,1,9
2021-05-20,3,4,0
2021-05-21,1,0,2
2021-05-22,3,0,0
2021-05-23,2,0,0
2021-05-24,7,8,6
2021-05-25,1,0,1
2021-05-26,2,3,0
2021-05-27,3,1,0
2021-05-28,6,0,1
2021-05-29,3,0,0
2021-05-30,0,0,0
2021-05-31,1,0,0
2021-06-01,4,0,0
2021-06-02,8,0,0
2021-06-03,8,1,0
2021-06-04,3,4,2
2021-06-05,3,0,1
2021-06-06,1,0,0
2021-06-07,15,4,0
2021-06-08,18,9,0
2021-06-09,17,0,0
2021-06-10,9,0,0
2021-06-11,15,0,0
2021-06-12,2,0,0
2021-06-13,3,0,0
2021-06-14,10,11,0
2021-06-15,13,0,0
2021-06-16,22,9,0
2021-06-17,17,3,1
2021-06-18,10,6,0
2021-06-19,0,0,0
2021-06-20,4,0,0
2021-06-21,4,2,0
2021-06-22,12,1,0
2021-06-23,6,0,0
2021-06-24,9,4,0
2021-06-25,7,2,0
2021-06-26,0,0,0
2021-06-27,0,0,0
2021-06-28,6,0,0
2021-06-29,5,1,0
2021-06-30,10,8,0
2021-07-01,13,2,0
2021-07-02,12,1,0
2021-07-03,0,0,0
2021-07-04,1,0,0
2021-07-05,2,0,0
2021-07-06,9,0,0
2021-07-07,10,2,0
2021-07-08,7,0,0
2021-07-09,7,0,0
2021-07-10,3,0,0
2021-07-11,2,0,0
2021-07-12,19,5,0
2021-07-13,5,0,0
2021-07-14,4,3,0
2021-07-15,8,11,0
2021-07-16,13,1,0
2021-07-17,0,0,0
2021-07-18,0,0,0
2021-07-19,9,1,0
2021-07-20,20,2,0
2021-07-21,5,2,0
2021-07-22,12,1,0
2021-07-23,11,5,0
2021-07-24,2,0,0
2021-07-25,9,0,0
2021-07-26,6,9,0
2021-07-27,10,1,0
2021-07-28,3,8,0
2021-07-29,7,1,0
2021-07-30,2,2,0
2021-07-31,1,3,0
2021-08-01,2,0,0
2021-08-02,9,0,0
2021-08-03,11,0,0
2021-08-04,6,0,3
2021-08-05,9,0,0
2021-08-06,7,0,0
2021-08-07,0,0,0
2021-08-08,1,0,0
2021-08-09,8,12,1
2021-08-10,7,3,0
2021-08-11,17,6,0
2021-08-12,16,0,3
2021-08-13,15,0,0
2021-08-14,12,0,0
2021-08-15,5,0,0
2021-08-16,10,2,0
2021-08-17,8,0,0
2021-08-18,10,0,3
2021-08-19,9,1,0
2021-08-20,7,0,4
2021-08-21,0,0,1
2021-08-22,1,0,0
2021-08-23,6,0,3
2021-08-24,10,1,2
2021-08-25,12,0,7
2021-08-26,3,1,2
2021-08-27,2,2,0
2021-08-28,1,0,1
2021-08-29,1,0,0
2021-08-30,7,3,0
2021-08-31,9,0,0
2021-09-01,6,1,8
2021-09-02,16,0,2
2021-09-03,7,1,0
2021-09-04,1,0,0
2021-09-05,1,8,0
2021-09-06,13,4,0
2021-09-07,18,3,4
2021-09-08,6,3,10
2021-09-09,8,5,1
2021-09-10,4,10,0
2021-09-11,3,0,0
2021-09-12,1,0,0
2021-09-13,14,1,1
2021-09-14,5,1,0
2021-09-15,11,0,0
2021-09-16,18,0,2
2021-09-17,13,1,5
2021-09-18,2,0,2
2021-09-19,2,0,0
2021-09-20,7,2,2
2021-09-21,19,6,4
2021-09-22,9,5,0
2021-09-23,4,4,0
2021-09-24,6,1,1
2021-09-25,0,2,1
2021-09-26,2,0,0
2021-09-27,6,2,2
2021-09-28,10,1,4
2021-09-29,10,10,0
2021-09-30,9,1,0
2021-10-01,8,0,0
2021-10-02,1,21,0
2021-10-03,2,0,0
2021-10-04,6,1,0
2021-10-05,16,12,0
2021-10-06,14,8,2
2021-10-07,5,10,11
2021-10-08,6,3,6
2021-10-09,6,0,4
2021-10-10,10,0,2
2021-10-11,21,20,1
2021-10-12,6,55,3
2021-10-13,17,32,4
2021-10-14,9,11,4
2021-10-15,16,4,0
2021-10-16,5,0,0
2021-10-17,7,0,0
