,rust-lang/rust-analyzer,intellij-rust/intellij-rust,rust-lang/rls
2018-03-21,0,6,0
2018-03-22,0,0,6
2018-03-23,0,0,1
2018-03-24,0,0,0
2018-03-25,0,8,1
2018-03-26,0,4,6
2018-03-27,0,0,7
2018-03-28,0,5,6
2018-03-29,0,3,2
2018-03-30,0,5,2
2018-03-31,0,1,0
2018-04-01,0,4,0
2018-04-02,0,7,0
2018-04-03,0,2,1
2018-04-04,0,1,1
2018-04-05,0,3,3
2018-04-06,0,0,0
2018-04-07,0,3,1
2018-04-08,0,2,3
2018-04-09,0,5,1
2018-04-10,0,3,1
2018-04-11,0,0,0
2018-04-12,0,0,0
2018-04-13,0,2,3
2018-04-14,0,4,1
2018-04-15,0,0,2
2018-04-16,0,7,2
2018-04-17,0,0,0
2018-04-18,0,1,0
2018-04-19,0,6,8
2018-04-20,0,2,1
2018-04-21,0,1,0
2018-04-22,0,0,2
2018-04-23,0,3,0
2018-04-24,0,0,0
2018-04-25,0,0,0
2018-04-26,0,1,0
2018-04-27,0,0,0
2018-04-28,0,2,0
2018-04-29,0,0,0
2018-04-30,0,2,1
2018-05-01,0,3,4
2018-05-02,0,0,2
2018-05-03,0,0,3
2018-05-04,0,2,3
2018-05-05,0,4,1
2018-05-06,0,3,3
2018-05-07,0,7,6
2018-05-08,0,0,5
2018-05-09,0,0,7
2018-05-10,0,0,0
2018-05-11,0,0,3
2018-05-12,0,1,2
2018-05-13,0,2,3
2018-05-14,0,0,1
2018-05-15,0,0,5
2018-05-16,0,1,1
2018-05-17,0,0,4
2018-05-18,0,1,0
2018-05-19,0,2,1
2018-05-20,0,0,1
2018-05-21,0,1,0
2018-05-22,0,0,0
2018-05-23,0,0,3
2018-05-24,0,0,1
2018-05-25,0,1,2
2018-05-26,0,0,2
2018-05-27,0,0,2
2018-05-28,0,0,5
2018-05-29,0,0,2
2018-05-30,0,1,1
2018-05-31,0,1,0
2018-06-01,0,1,2
2018-06-02,0,0,1
2018-06-03,0,1,0
2018-06-04,0,2,4
2018-06-05,0,1,1
2018-06-06,0,1,2
2018-06-07,0,0,0
2018-06-08,0,0,2
2018-06-09,0,0,3
2018-06-10,0,0,1
2018-06-11,0,0,0
2018-06-12,0,0,3
2018-06-13,0,2,0
2018-06-14,0,1,1
2018-06-15,0,4,2
2018-06-16,0,1,0
2018-06-17,0,2,1
2018-06-18,0,4,2
2018-06-19,0,7,0
2018-06-20,0,1,0
2018-06-21,0,2,3
2018-06-22,0,0,0
2018-06-23,0,0,0
2018-06-24,0,7,1
2018-06-25,0,10,0
2018-06-26,0,3,0
2018-06-27,0,0,2
2018-06-28,0,2,2
2018-06-29,0,2,3
2018-06-30,0,0,4
2018-07-01,0,3,3
2018-07-02,0,8,0
2018-07-03,0,0,1
2018-07-04,0,2,1
2018-07-05,0,1,1
2018-07-06,0,9,0
2018-07-07,0,7,1
2018-07-08,0,0,1
2018-07-09,0,1,1
2018-07-10,0,8,1
2018-07-11,0,1,4
2018-07-12,0,0,1
2018-07-13,0,3,0
2018-07-14,0,0,3
2018-07-15,0,1,0
2018-07-16,0,3,11
2018-07-17,0,2,5
2018-07-18,0,1,5
2018-07-19,0,1,1
2018-07-20,0,3,7
2018-07-21,0,9,1
2018-07-22,0,0,2
2018-07-23,0,10,0
2018-07-24,0,7,0
2018-07-25,0,1,0
2018-07-26,0,1,2
2018-07-27,0,3,11
2018-07-28,2,0,2
2018-07-29,8,1,3
2018-07-30,24,6,1
2018-07-31,38,6,2
2018-08-01,7,3,16
2018-08-02,0,3,4
2018-08-03,0,5,2
2018-08-04,8,3,2
2018-08-05,12,4,0
2018-08-06,0,3,1
2018-08-07,15,2,5
2018-08-08,15,0,0
2018-08-09,5,1,2
2018-08-10,15,0,0
2018-08-11,14,0,0
2018-08-12,10,3,0
2018-08-13,19,7,0
2018-08-14,6,1,3
2018-08-15,4,3,0
2018-08-16,7,0,5
2018-08-17,6,0,5
2018-08-18,2,0,0
2018-08-19,0,0,5
2018-08-20,0,0,0
2018-08-21,2,2,2
2018-08-22,9,0,4
2018-08-23,11,3,5
2018-08-24,9,3,2
2018-08-25,18,2,0
2018-08-26,5,5,1
2018-08-27,12,2,16
2018-08-28,20,1,8
2018-08-29,10,2,7
2018-08-30,9,1,4
2018-08-31,9,4,0
2018-09-01,7,0,0
2018-09-02,11,2,0
2018-09-03,9,1,2
2018-09-04,8,2,2
2018-09-05,8,0,7
2018-09-06,1,0,2
2018-09-07,3,2,2
2018-09-08,16,10,2
2018-09-09,0,0,1
2018-09-10,3,1,2
2018-09-11,0,4,0
2018-09-12,2,1,0
2018-09-13,1,3,0
2018-09-14,5,2,0
2018-09-15,24,1,3
2018-09-16,6,2,0
2018-09-17,0,2,1
2018-09-18,4,1,0
2018-09-19,1,0,1
2018-09-20,0,0,1
2018-09-21,2,0,0
2018-09-22,0,3,6
2018-09-23,2,0,1
2018-09-24,4,10,2
2018-09-25,1,0,1
2018-09-26,1,3,0
2018-09-27,0,3,0
2018-09-28,0,0,3
2018-09-29,3,0,0
