,definitelytyped/definitelytyped,sindresorhus/type-fest,microsoft/TypeScript
2019-03-13,39,2,22
2019-03-14,46,2,16
2019-03-15,34,4,10
2019-03-16,12,0,2
2019-03-17,14,0,0
2019-03-18,71,4,12
2019-03-19,51,1,10
2019-03-20,50,2,6
2019-03-21,86,2,4
2019-03-22,60,0,5
2019-03-23,13,0,2
2019-03-24,11,0,37
2019-03-25,72,0,2
2019-03-26,69,0,9
2019-03-27,57,0,8
2019-03-28,32,0,7
2019-03-29,50,0,6
2019-03-30,56,0,1
2019-03-31,24,0,2
2019-04-01,54,0,5
2019-04-02,61,1,17
2019-04-03,103,0,15
2019-04-04,101,0,19
2019-04-05,47,0,9
2019-04-06,20,0,7
2019-04-07,25,0,2
2019-04-08,88,0,18
2019-04-09,56,0,2
2019-04-10,104,2,4
2019-04-11,84,0,9
2019-04-12,60,0,8
2019-04-13,6,0,3
2019-04-14,32,0,0
2019-04-15,68,0,8
2019-04-16,49,0,15
2019-04-17,29,0,25
2019-04-18,18,0,34
2019-04-19,17,2,16
2019-04-20,4,0,0
2019-04-21,6,2,0
2019-04-22,13,2,4
2019-04-23,19,0,20
2019-04-24,12,0,22
2019-04-25,12,0,26
2019-04-26,40,1,12
2019-04-27,2,0,9
2019-04-28,2,0,5
2019-04-29,44,0,29
2019-04-30,14,0,23
2019-05-01,27,0,19
2019-05-02,13,0,14
2019-05-03,20,0,6
2019-05-04,9,0,0
2019-05-05,1,0,3
2019-05-06,25,0,6
2019-05-07,15,1,10
2019-05-08,11,0,10
2019-05-09,12,0,4
2019-05-10,4,0,7
2019-05-11,0,0,4
2019-05-12,0,4,2
2019-05-13,58,0,11
2019-05-14,67,0,7
2019-05-15,34,3,7
2019-05-16,17,0,4
2019-05-17,14,0,5
2019-05-18,0,0,0
2019-05-19,1,0,0
2019-05-20,37,0,11
2019-05-21,16,0,13
2019-05-22,21,0,17
2019-05-23,2,0,15
2019-05-24,38,0,14
2019-05-25,1,0,0
2019-05-26,0,3,0
2019-05-27,1,0,1
2019-05-28,56,0,6
2019-05-29,0,0,5
2019-05-30,32,0,14
2019-05-31,19,0,33
2019-06-01,0,0,4
2019-06-02,0,0,3
2019-06-03,15,0,7
2019-06-04,30,0,6
2019-06-05,25,0,18
2019-06-06,14,0,22
2019-06-07,4,1,9
2019-06-08,12,0,2
2019-06-09,0,0,7
2019-06-10,12,0,3
2019-06-11,18,0,7
2019-06-12,22,0,6
2019-06-13,16,0,4
2019-06-14,14,2,32
2019-06-15,0,0,1
2019-06-16,27,0,0
2019-06-17,16,0,9
2019-06-18,8,0,8
2019-06-19,29,0,23
2019-06-20,9,0,20
2019-06-21,21,0,19
2019-06-22,4,0,6
2019-06-23,0,0,5
2019-06-24,31,0,8
2019-06-25,3,0,15
2019-06-26,43,0,19
2019-06-27,35,0,17
2019-06-28,33,0,18
2019-06-29,3,0,7
2019-06-30,0,0,8
2019-07-01,58,0,27
2019-07-02,18,0,7
2019-07-03,30,1,14
2019-07-04,0,0,2
2019-07-05,2,4,9
2019-07-06,0,0,0
2019-07-07,0,0,1
2019-07-08,41,0,15
2019-07-09,29,0,5
2019-07-10,41,0,11
2019-07-11,30,0,16
2019-07-12,9,0,17
2019-07-13,1,0,2
2019-07-14,0,0,0
2019-07-15,26,0,11
2019-07-16,25,0,14
2019-07-17,27,0,19
2019-07-18,18,0,11
2019-07-19,18,0,8
2019-07-20,0,0,6
2019-07-21,0,0,1
2019-07-22,44,0,5
2019-07-23,20,0,7
2019-07-24,17,0,5
2019-07-25,18,0,14
2019-07-26,14,1,9
2019-07-27,0,0,1
2019-07-28,0,0,3
2019-07-29,15,0,14
2019-07-30,20,0,9
2019-07-31,24,0,7
2019-08-01,25,0,10
2019-08-02,24,0,16
2019-08-03,0,5,5
2019-08-04,0,0,6
2019-08-05,46,0,9
2019-08-06,22,0,22
2019-08-07,23,0,10
2019-08-08,26,0,11
2019-08-09,19,0,37
2019-08-10,0,0,8
2019-08-11,1,0,0
2019-08-12,29,0,7
2019-08-13,20,0,7
2019-08-14,17,0,16
2019-08-15,27,0,22
2019-08-16,22,0,23
2019-08-17,3,0,4
2019-08-18,0,0,2
2019-08-19,65,0,14
2019-08-20,26,0,10
2019-08-21,23,0,7
2019-08-22,26,0,6
2019-08-23,25,0,9
2019-08-24,2,0,1
2019-08-25,2,0,0
2019-08-26,32,0,11
2019-08-27,17,0,13
2019-08-28,2,0,8
2019-08-29,5,0,7
2019-08-30,18,0,10
2019-08-31,0,0,5
2019-09-01,0,0,0
2019-09-02,1,0,4
2019-09-03,24,0,8
2019-09-04,26,0,18
2019-09-05,15,0,14
2019-09-06,15,0,7
2019-09-07,15,0,3
2019-09-08,0,0,0
2019-09-09,18,0,11
2019-09-10,16,1,8
2019-09-11,30,0,19
2019-09-12,4,0,11
2019-09-13,3,0,7
2019-09-14,0,3,3
2019-09-15,0,0,5
2019-09-16,24,5,9
2019-09-17,15,0,12
2019-09-18,12,0,13
2019-09-19,9,0,6
2019-09-20,1,0,12
2019-09-21,0,0,8
2019-09-22,0,1,0
2019-09-23,25,0,15
2019-09-24,77,0,30
2019-09-25,67,2,18
2019-09-26,28,0,13
2019-09-27,33,0,23
2019-09-28,1,0,0
2019-09-29,0,0,0
2019-09-30,6,0,17
2019-10-01,20,0,14
2019-10-02,51,0,8
2019-10-03,45,0,12
2019-10-04,4,0,16
2019-10-05,0,0,5
2019-10-06,0,0,7
2019-10-07,36,0,3
2019-10-08,30,2,3
2019-10-09,29,0,10
2019-10-10,26,0,7
2019-10-11,5,0,0
2019-10-12,0,0,1
2019-10-13,0,0,6
2019-10-14,47,0,7
2019-10-15,26,0,16
2019-10-16,29,0,29
2019-10-17,18,0,30
2019-10-18,14,0,23
2019-10-19,1,0,8
2019-10-20,0,0,0
2019-10-21,3,0,14
2019-10-22,83,0,8
2019-10-23,19,0,5
2019-10-24,25,0,6
2019-10-25,28,0,5
2019-10-26,4,0,1
2019-10-27,1,0,0
2019-10-28,39,0,6
2019-10-29,73,0,6
2019-10-30,32,0,7
2019-10-31,3,0,4
2019-11-01,96,0,2
2019-11-02,0,0,0
2019-11-03,1,0,0
2019-11-04,56,0,3
2019-11-05,78,0,4
2019-11-06,31,0,2
2019-11-07,45,0,4
2019-11-08,17,0,1
2019-11-09,1,0,1
2019-11-10,0,1,0
2019-11-11,35,0,1
2019-11-12,31,0,3
2019-11-13,19,0,2
2019-11-14,13,0,2
2019-11-15,38,0,5
2019-11-16,9,0,0
2019-11-17,0,0,0
2019-11-18,46,0,3
2019-11-19,36,0,7
2019-11-20,24,0,5
2019-11-21,3,0,8
2019-11-22,33,0,11
2019-11-23,7,0,1
2019-11-24,0,0,0
2019-11-25,16,0,3
2019-11-26,28,0,0
2019-11-27,32,0,7
2019-11-28,0,0,1
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,1,0
2019-12-02,10,0,5
2019-12-03,17,0,2
2019-12-04,14,0,3
2019-12-05,5,0,5
2019-12-06,20,0,4
2019-12-07,20,0,0
2019-12-08,1,0,0
2019-12-09,11,0,2
2019-12-10,39,0,4
2019-12-11,1,0,8
2019-12-12,1,0,1
2019-12-13,22,0,6
2019-12-14,0,0,0
2019-12-15,0,0,1
2019-12-16,28,0,2
2019-12-17,15,0,2
2019-12-18,31,0,13
2019-12-19,1,0,3
2019-12-20,37,0,7
2019-12-21,0,0,4
2019-12-22,1,0,2
2019-12-23,52,0,6
2019-12-24,1,0,1
2019-12-25,0,0,0
2019-12-26,45,0,0
2019-12-27,21,0,1
2019-12-28,1,0,0
2019-12-29,0,0,0
2019-12-30,7,0,1
2019-12-31,12,0,1
2020-01-01,0,0,0
2020-01-02,33,0,3
2020-01-03,34,0,11
2020-01-04,0,0,2
2020-01-05,0,0,0
2020-01-06,15,0,4
2020-01-07,17,0,10
2020-01-08,31,0,8
2020-01-09,22,0,3
2020-01-10,14,0,8
2020-01-11,5,0,0
2020-01-12,0,0,0
2020-01-13,19,0,3
2020-01-14,4,0,2
2020-01-15,33,0,5
2020-01-16,28,0,5
2020-01-17,36,0,9
2020-01-18,4,0,3
2020-01-19,0,0,0
2020-01-20,17,0,0
2020-01-21,33,1,8
2020-01-22,35,0,8
2020-01-23,22,0,9
2020-01-24,1,2,14
2020-01-25,19,0,7
2020-01-26,1,0,0
2020-01-27,42,0,6
2020-01-28,28,0,10
2020-01-29,24,0,14
2020-01-30,24,0,6
2020-01-31,23,3,15
2020-02-01,3,0,0
2020-02-02,1,0,0
2020-02-03,17,0,3
2020-02-04,16,0,3
2020-02-05,25,0,9
2020-02-06,32,1,4
2020-02-07,27,0,4
2020-02-08,3,0,0
2020-02-09,2,0,0
2020-02-10,43,3,2
2020-02-11,16,0,6
2020-02-12,27,0,9
2020-02-13,12,0,4
2020-02-14,31,3,8
2020-02-15,0,0,2
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,40,0,2
2020-02-19,23,0,8
2020-02-20,26,2,15
2020-02-21,15,0,17
2020-02-22,7,0,1
2020-02-23,1,0,0
2020-02-24,2,1,11
