,sveltejs/svelte,vuejs/core,facebook/react
2018-10-19,3,0,8
2018-10-20,6,0,11
2018-10-21,0,0,5
2018-10-22,0,0,1
2018-10-23,2,3,23
2018-10-24,7,0,2
2018-10-25,0,0,0
2018-10-26,0,5,0
2018-10-27,13,0,3
2018-10-28,25,16,0
2018-10-29,4,1,23
2018-10-30,2,3,3
2018-10-31,0,0,3
2018-11-01,0,0,2
2018-11-02,0,12,5
2018-11-03,0,0,0
2018-11-04,5,0,0
2018-11-05,1,0,9
2018-11-06,1,0,9
2018-11-07,0,0,15
2018-11-08,1,6,4
2018-11-09,1,4,14
2018-11-10,0,1,2
2018-11-11,0,0,0
2018-11-12,0,3,1
2018-11-13,1,7,4
2018-11-14,1,0,3
2018-11-15,0,0,1
2018-11-16,0,0,1
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,0,0,5
2018-11-20,3,0,2
2018-11-21,0,0,0
2018-11-22,0,0,5
2018-11-23,0,0,3
2018-11-24,0,0,1
2018-11-25,0,0,0
2018-11-26,0,0,2
2018-11-27,0,0,4
2018-11-28,0,0,2
2018-11-29,0,0,1
2018-11-30,0,0,3
2018-12-01,0,2,1
2018-12-02,1,0,2
2018-12-03,0,0,3
2018-12-04,0,0,2
2018-12-05,0,0,2
2018-12-06,0,0,2
2018-12-07,0,0,2
2018-12-08,2,0,0
2018-12-09,1,0,0
2018-12-10,0,0,0
2018-12-11,0,0,0
2018-12-12,0,0,2
2018-12-13,0,0,2
2018-12-14,0,0,2
2018-12-15,8,0,0
2018-12-16,4,0,0
2018-12-17,2,0,0
2018-12-18,0,0,3
2018-12-19,0,1,0
2018-12-20,0,0,3
2018-12-21,1,0,0
2018-12-22,13,0,0
2018-12-23,37,0,0
2018-12-24,21,0,0
2018-12-25,9,0,1
2018-12-26,8,0,0
2018-12-27,1,0,0
2018-12-28,7,0,0
2018-12-29,19,0,0
2018-12-30,1,0,0
2018-12-31,14,0,0
2019-01-01,21,0,0
2019-01-02,6,0,1
2019-01-03,10,0,0
2019-01-04,4,0,0
2019-01-05,14,0,0
2019-01-06,0,0,0
2019-01-07,0,0,1
2019-01-08,0,0,2
2019-01-09,5,0,1
2019-01-10,3,0,2
2019-01-11,5,0,0
2019-01-12,1,0,1
2019-01-13,12,0,0
2019-01-14,5,0,2
2019-01-15,4,0,5
2019-01-16,4,0,2
2019-01-17,2,0,5
2019-01-18,1,0,10
2019-01-19,12,0,1
2019-01-20,2,0,0
2019-01-21,0,0,10
2019-01-22,0,1,3
2019-01-23,1,1,11
2019-01-24,0,1,4
2019-01-25,2,0,2
2019-01-26,10,0,0
2019-01-27,7,0,3
2019-01-28,0,0,2
2019-01-29,6,0,3
2019-01-30,24,0,9
2019-01-31,3,0,8
2019-02-01,2,0,3
2019-02-02,0,0,1
2019-02-03,5,0,0
2019-02-04,6,0,5
2019-02-05,3,0,10
2019-02-06,4,0,14
2019-02-07,12,0,2
2019-02-08,2,0,6
2019-02-09,4,0,2
2019-02-10,1,0,2
2019-02-11,0,0,3
2019-02-12,0,0,3
2019-02-13,0,0,11
2019-02-14,3,0,17
2019-02-15,1,0,4
2019-02-16,0,0,3
2019-02-17,24,0,1
2019-02-18,9,0,0
2019-02-19,9,0,10
2019-02-20,12,0,6
2019-02-21,1,0,21
2019-02-22,11,0,8
2019-02-23,3,0,4
2019-02-24,2,0,1
2019-02-25,3,1,5
2019-02-26,1,2,3
2019-02-27,3,3,10
2019-02-28,3,2,14
2019-03-01,1,5,8
2019-03-02,5,0,0
2019-03-03,1,0,3
2019-03-04,0,0,3
2019-03-05,3,1,4
2019-03-06,2,0,5
2019-03-07,10,0,10
2019-03-08,3,0,0
2019-03-09,13,1,5
2019-03-10,35,0,2
2019-03-11,6,0,9
2019-03-12,1,0,1
2019-03-13,0,0,5
2019-03-14,0,0,4
2019-03-15,12,0,12
2019-03-16,39,0,5
2019-03-17,24,0,4
2019-03-18,28,0,14
2019-03-19,6,0,7
2019-03-20,6,0,8
2019-03-21,3,0,6
2019-03-22,0,0,8
2019-03-23,1,0,0
2019-03-24,1,0,5
2019-03-25,27,0,4
2019-03-26,7,0,6
2019-03-27,6,0,4
2019-03-28,10,0,5
2019-03-29,12,0,8
2019-03-30,7,0,6
2019-03-31,0,0,0
2019-04-01,1,0,12
2019-04-02,5,0,12
2019-04-03,1,0,20
2019-04-04,0,0,34
2019-04-05,0,0,20
2019-04-06,10,0,11
2019-04-07,20,0,27
2019-04-08,7,0,30
2019-04-09,22,0,22
2019-04-10,0,0,52
2019-04-11,5,0,12
2019-04-12,7,0,45
2019-04-13,14,0,20
2019-04-14,29,0,2
2019-04-15,24,0,11
2019-04-16,11,0,18
2019-04-17,9,0,12
2019-04-18,12,0,21
2019-04-19,8,0,24
2019-04-20,29,0,15
2019-04-21,44,0,7
2019-04-22,46,0,19
2019-04-23,21,0,13
2019-04-24,8,0,21
2019-04-25,24,0,27
2019-04-26,14,0,14
2019-04-27,4,0,0
2019-04-28,7,0,8
2019-04-29,5,0,5
2019-04-30,4,0,16
2019-05-01,8,0,20
2019-05-02,11,0,6
2019-05-03,1,0,16
2019-05-04,40,0,3
2019-05-05,8,0,2
2019-05-06,15,0,9
2019-05-07,2,0,7
2019-05-08,3,0,14
2019-05-09,7,0,9
2019-05-10,1,0,14
2019-05-11,2,0,0
2019-05-12,27,0,3
2019-05-13,2,0,14
2019-05-14,2,0,4
2019-05-15,22,0,5
2019-05-16,11,0,8
2019-05-17,8,0,3
2019-05-18,2,0,1
2019-05-19,2,0,0
2019-05-20,3,0,10
2019-05-21,18,0,7
2019-05-22,5,0,26
2019-05-23,0,0,23
2019-05-24,4,0,8
2019-05-25,4,1,2
2019-05-26,23,2,3
2019-05-27,30,4,1
2019-05-28,12,9,10
2019-05-29,3,14,10
2019-05-30,5,7,8
2019-05-31,0,4,9
2019-06-01,3,3,9
2019-06-02,5,3,8
2019-06-03,7,6,16
2019-06-04,5,0,12
2019-06-05,5,1,11
2019-06-06,15,5,3
2019-06-07,5,1,8
2019-06-08,0,0,9
2019-06-09,20,0,11
2019-06-10,10,0,8
2019-06-11,0,2,4
2019-06-12,4,2,12
2019-06-13,4,1,4
2019-06-14,1,0,6
2019-06-15,1,0,4
2019-06-16,24,0,0
2019-06-17,0,0,7
2019-06-18,3,0,12
2019-06-19,5,5,11
2019-06-20,0,2,8
2019-06-21,4,0,8
2019-06-22,3,0,8
2019-06-23,9,0,0
2019-06-24,27,0,9
2019-06-25,29,0,3
2019-06-26,9,0,4
2019-06-27,7,0,3
2019-06-28,9,0,2
2019-06-29,10,0,0
2019-06-30,10,0,0
2019-07-01,15,0,5
2019-07-02,12,0,5
2019-07-03,10,0,4
2019-07-04,4,0,3
2019-07-05,1,0,2
2019-07-06,7,0,1
2019-07-07,7,0,0
2019-07-08,1,0,5
2019-07-09,8,0,1
2019-07-10,9,0,2
2019-07-11,0,0,4
2019-07-12,2,0,3
2019-07-13,1,0,2
2019-07-14,4,0,1
2019-07-15,1,0,2
2019-07-16,0,0,2
2019-07-17,0,0,4
2019-07-18,1,0,5
2019-07-19,2,0,5
2019-07-20,2,0,3
2019-07-21,1,0,0
2019-07-22,0,0,5
2019-07-23,13,0,8
2019-07-24,3,0,15
2019-07-25,0,0,11
2019-07-26,10,0,8
2019-07-27,2,0,3
2019-07-28,2,0,2
2019-07-29,1,0,4
2019-07-30,9,0,5
2019-07-31,2,0,10
2019-08-01,2,0,3
2019-08-02,8,0,8
2019-08-03,35,0,1
2019-08-04,18,0,2
2019-08-05,5,0,6
2019-08-06,4,0,7
2019-08-07,1,0,4
2019-08-08,4,0,7
2019-08-09,0,0,9
2019-08-10,1,0,2
2019-08-11,10,0,0
2019-08-12,5,0,13
2019-08-13,2,5,14
2019-08-14,0,0,26
2019-08-15,8,0,17
2019-08-16,11,4,11
2019-08-17,3,0,4
2019-08-18,8,0,5
2019-08-19,16,8,11
2019-08-20,10,9,11
2019-08-21,5,6,9
2019-08-22,9,4,6
2019-08-23,0,9,1
2019-08-24,0,0,1
2019-08-25,0,3,0
2019-08-26,2,4,10
2019-08-27,0,6,14
2019-08-28,0,1,9
2019-08-29,1,4,12
2019-08-30,10,11,1
2019-08-31,2,3,0
2019-09-01,2,2,0
2019-09-02,0,4,1
2019-09-03,2,8,2
2019-09-04,17,9,6
2019-09-05,7,5,8
2019-09-06,5,7,6
2019-09-07,22,2,0
2019-09-08,30,0,0
2019-09-09,7,0,7
2019-09-10,5,0,10
2019-09-11,3,23,19
2019-09-12,0,6,5
2019-09-13,0,0,7
2019-09-14,0,4,1
2019-09-15,0,0,0
2019-09-16,2,7,4
2019-09-17,6,5,10
2019-09-18,1,0,4
2019-09-19,0,7,6
2019-09-20,2,10,2
2019-09-21,3,3,0
2019-09-22,0,4,0
2019-09-23,0,14,12
2019-09-24,1,8,5
2019-09-25,0,13,10
2019-09-26,0,6,8
2019-09-27,0,3,5
2019-09-28,0,10,6
2019-09-29,0,0,2
2019-09-30,0,5,6
2019-10-01,1,9,3
2019-10-02,0,17,4
2019-10-03,0,9,10
2019-10-04,6,11,1
2019-10-05,0,22,0
2019-10-06,1,15,0
2019-10-07,0,8,6
2019-10-08,0,15,2
2019-10-09,11,20,1
2019-10-10,0,20,0
2019-10-11,3,22,2
2019-10-12,10,19,0
2019-10-13,2,2,0
