,jashkenas/underscore,lodash/lodash,ramda/ramda
2013-07-21,0,3,0
2013-07-22,0,6,0
2013-07-23,2,2,0
2013-07-24,12,1,0
2013-07-25,7,4,0
2013-07-26,0,2,0
2013-07-27,3,4,0
2013-07-28,6,4,0
2013-07-29,0,2,0
2013-07-30,0,2,0
2013-07-31,2,3,0
2013-08-01,1,4,0
2013-08-02,1,3,0
2013-08-03,0,6,0
2013-08-04,0,8,0
2013-08-05,0,0,0
2013-08-06,0,5,0
2013-08-07,3,3,0
2013-08-08,0,2,0
2013-08-09,2,9,0
2013-08-10,0,9,0
2013-08-11,2,1,1
2013-08-12,1,1,0
2013-08-13,0,0,5
2013-08-14,0,2,3
2013-08-15,3,3,0
2013-08-16,0,3,0
2013-08-17,0,2,0
2013-08-18,0,1,0
2013-08-19,2,1,1
2013-08-20,0,2,3
2013-08-21,0,1,1
2013-08-22,2,2,2
2013-08-23,0,1,0
2013-08-24,0,1,0
2013-08-25,0,6,0
2013-08-26,0,6,0
2013-08-27,0,5,1
2013-08-28,0,4,2
2013-08-29,0,3,1
2013-08-30,0,13,0
2013-08-31,0,2,0
2013-09-01,0,1,0
2013-09-02,0,4,1
2013-09-03,0,0,5
2013-09-04,4,6,4
2013-09-05,0,2,0
2013-09-06,0,2,2
2013-09-07,10,3,0
2013-09-08,0,4,1
2013-09-09,2,4,0
2013-09-10,0,1,0
2013-09-11,0,2,0
2013-09-12,0,1,0
2013-09-13,0,5,0
2013-09-14,0,6,0
2013-09-15,0,0,0
2013-09-16,0,5,0
2013-09-17,0,6,0
2013-09-18,0,6,0
2013-09-19,0,6,0
2013-09-20,1,5,0
2013-09-21,0,3,0
2013-09-22,0,1,0
2013-09-23,1,3,0
2013-09-24,2,1,0
2013-09-25,0,3,0
2013-09-26,0,4,0
2013-09-27,0,4,0
2013-09-28,0,2,0
2013-09-29,0,7,0
2013-09-30,0,3,0
2013-10-01,0,4,0
2013-10-02,0,2,0
2013-10-03,0,5,0
2013-10-04,0,1,0
2013-10-05,0,3,0
2013-10-06,0,1,1
2013-10-07,0,1,0
2013-10-08,0,4,1
2013-10-09,0,1,0
2013-10-10,0,1,0
2013-10-11,2,1,0
2013-10-12,0,2,0
2013-10-13,0,7,0
2013-10-14,0,4,1
2013-10-15,1,3,0
