,plotly/plotly.js,apache/echarts,highcharts/highcharts
2013-06-30,0,0.0,0
2013-07-01,0,5.0,4
2013-07-02,0,4.0,3
2013-07-03,3,6.0,3
2013-07-04,2,0.0,1
2013-07-05,0,0.0,1
2013-07-06,0,0.0,0
2013-07-07,0,0.0,0
2013-07-08,0,1.0,0
2013-07-09,7,2.0,0
2013-07-10,3,1.0,0
2013-07-11,3,0.0,0
2013-07-12,0,0.0,0
2013-07-13,3,0.0,0
2013-07-14,4,0.0,0
2013-07-15,5,0.0,0
2013-07-16,1,1.0,0
2013-07-17,0,1.0,0
2013-07-18,2,0.0,0
2013-07-19,0,0.0,0
2013-07-20,0,0.0,0
2013-07-21,0,0.0,0
2013-07-22,0,0.0,4
2013-07-23,6,1.0,7
2013-07-24,0,1.0,7
2013-07-25,0,2.0,3
2013-07-26,0,2.0,12
2013-07-27,1,0.0,0
2013-07-28,0,0.0,0
2013-07-29,0,2.0,8
2013-07-30,0,3.0,5
2013-07-31,1,1.0,6
2013-08-01,2,2.0,7
2013-08-02,0,3.0,17
2013-08-03,0,0.0,2
2013-08-04,2,0.0,0
2013-08-05,0,0.0,0
2013-08-06,0,0.0,2
2013-08-07,1,0.0,3
2013-08-08,4,3.0,7
2013-08-09,8,7.0,13
2013-08-10,0,0.0,1
2013-08-11,3,0.0,0
2013-08-12,8,2.0,7
2013-08-13,7,2.0,4
2013-08-14,7,1.0,3
2013-08-15,7,1.0,6
2013-08-16,9,0.0,0
2013-08-17,5,0.0,0
2013-08-18,5,0.0,0
2013-08-19,3,4.0,1
2013-08-20,10,0.0,6
2013-08-21,6,1.0,2
2013-08-22,1,2.0,0
2013-08-23,0,3.0,4
2013-08-24,0,0.0,0
2013-08-25,0,0.0,0
2013-08-26,6,1.0,6
2013-08-27,2,1.0,3
2013-08-28,2,5.0,7
2013-08-29,2,1.0,5
2013-08-30,0,3.0,18
2013-08-31,4,0.0,0
2013-09-01,1,0.0,2
2013-09-02,5,0.0,11
2013-09-03,4,3.0,9
2013-09-04,2,1.0,35
2013-09-05,5,0.0,9
2013-09-06,2,3.0,3
2013-09-07,2,0.0,3
2013-09-08,2,0.0,0
