,grafana/grafana,getsentry/sentry,elastic/kibana
2021-06-22,10,33,60
2021-06-23,15,34,62
2021-06-24,13,25,69
2021-06-25,6,14,10
2021-06-26,1,0,1
2021-06-27,2,0,1
2021-06-28,13,21,59
2021-06-29,12,31,81
2021-06-30,12,48,86
2021-07-01,17,30,48
2021-07-02,13,20,3
2021-07-03,0,0,1
2021-07-04,1,0,0
2021-07-05,14,13,17
2021-07-06,13,38,46
2021-07-07,24,34,42
2021-07-08,15,28,51
2021-07-09,14,35,41
2021-07-10,2,2,4
2021-07-11,2,0,0
2021-07-12,19,42,33
2021-07-13,20,34,43
2021-07-14,19,46,39
2021-07-15,17,38,36
2021-07-16,18,22,35
2021-07-17,2,0,1
2021-07-18,0,0,2
2021-07-19,17,34,31
2021-07-20,16,35,38
2021-07-21,27,40,34
2021-07-22,23,40,43
2021-07-23,11,31,4
2021-07-24,1,1,0
2021-07-25,0,0,2
2021-07-26,18,15,41
2021-07-27,10,28,38
2021-07-28,5,28,48
2021-07-29,22,33,41
2021-07-30,13,23,33
2021-07-31,0,0,1
2021-08-01,0,0,0
2021-08-02,9,18,40
2021-08-03,13,24,46
2021-08-04,26,23,26
2021-08-05,15,25,29
2021-08-06,10,33,5
2021-08-07,0,2,1
2021-08-08,0,0,0
2021-08-09,15,4,32
2021-08-10,16,1,56
2021-08-11,11,2,46
2021-08-12,12,1,45
2021-08-13,18,0,47
2021-08-14,2,1,9
2021-08-15,2,3,4
2021-08-16,11,0,61
2021-08-17,20,15,78
2021-08-18,23,17,44
2021-08-19,20,15,44
2021-08-20,11,9,36
2021-08-21,0,0,2
2021-08-22,0,0,4
2021-08-23,21,16,48
2021-08-24,19,17,47
2021-08-25,15,23,47
2021-08-26,15,32,55
2021-08-27,23,20,15
2021-08-28,1,0,0
2021-08-29,2,0,0
2021-08-30,9,26,38
2021-08-31,16,42,44
2021-09-01,25,30,47
2021-09-02,17,24,26
2021-09-03,5,2,46
2021-09-04,0,0,0
2021-09-05,0,0,1
2021-09-06,12,0,19
2021-09-07,20,28,41
2021-09-08,19,17,53
2021-09-09,23,23,43
2021-09-10,21,16,26
2021-09-11,0,0,0
2021-09-12,1,0,1
2021-09-13,26,31,41
2021-09-14,18,25,41
2021-09-15,25,29,46
2021-09-16,17,20,31
2021-09-17,22,18,6
2021-09-18,0,0,3
2021-09-19,1,0,5
2021-09-20,23,31,25
2021-09-21,15,33,31
2021-09-22,14,34,39
2021-09-23,24,29,45
2021-09-24,2,18,3
2021-09-25,2,0,0
2021-09-26,0,0,3
2021-09-27,17,26,35
2021-09-28,18,35,39
2021-09-29,26,38,41
2021-09-30,21,25,32
2021-10-01,21,18,28
2021-10-02,0,3,2
2021-10-03,0,0,1
2021-10-04,14,28,58
2021-10-05,12,20,59
2021-10-06,22,44,61
2021-10-07,19,31,51
2021-10-08,15,52,12
2021-10-09,0,0,2
2021-10-10,0,0,2
2021-10-11,18,14,42
2021-10-12,27,33,64
2021-10-13,15,25,57
2021-10-14,23,25,56
2021-10-15,15,24,51
2021-10-16,1,0,6
2021-10-17,0,0,5
2021-10-18,21,34,57
2021-10-19,22,27,80
2021-10-20,27,25,69
2021-10-21,22,22,68
2021-10-22,18,30,5
2021-10-23,0,1,1
2021-10-24,0,0,0
2021-10-25,15,20,48
2021-10-26,26,22,75
2021-10-27,24,26,33
2021-10-28,18,24,39
2021-10-29,21,28,46
2021-10-30,0,0,8
2021-10-31,0,0,0
2021-11-01,16,19,38
2021-11-02,36,16,70
2021-11-03,21,30,53
2021-11-04,17,41,44
2021-11-05,20,21,41
2021-11-06,2,1,2
2021-11-07,1,0,2
2021-11-08,16,18,36
2021-11-09,28,31,54
2021-11-10,25,32,43
2021-11-11,27,29,69
2021-11-12,20,19,8
2021-11-13,1,3,1
2021-11-14,2,0,0
2021-11-15,26,31,47
2021-11-16,23,16,60
2021-11-17,36,13,35
2021-11-18,31,18,39
2021-11-19,36,14,40
2021-11-20,2,1,1
2021-11-21,0,0,2
2021-11-22,17,19,36
2021-11-23,25,31,49
2021-11-24,36,34,45
2021-11-25,16,14,25
2021-11-26,20,9,6
2021-11-27,0,0,2
2021-11-28,0,0,1
2021-11-29,31,21,40
2021-11-30,16,26,48
2021-12-01,25,30,49
2021-12-02,21,35,38
2021-12-03,14,21,40
2021-12-04,0,0,3
2021-12-05,0,0,0
2021-12-06,14,37,36
2021-12-07,10,14,59
2021-12-08,10,13,47
2021-12-09,10,36,40
2021-12-10,4,21,10
2021-12-11,0,1,0
2021-12-12,0,0,0
2021-12-13,18,9,40
2021-12-14,27,45,37
2021-12-15,20,39,37
2021-12-16,18,45,34
2021-12-17,17,17,35
2021-12-18,2,0,1
2021-12-19,1,0,0
2021-12-20,23,12,31
2021-12-21,20,13,49
2021-12-22,11,11,36
2021-12-23,9,14,25
2021-12-24,2,0,3
2021-12-25,0,0,0
2021-12-26,0,0,2
2021-12-27,4,0,12
2021-12-28,6,1,13
2021-12-29,1,4,4
2021-12-30,4,1,5
2021-12-31,0,0,2
2022-01-01,0,0,2
2022-01-02,0,0,0
2022-01-03,8,18,4
2022-01-04,24,24,25
2022-01-05,19,26,28
2022-01-06,14,24,23
2022-01-07,26,21,4
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,21,32,36
2022-01-11,18,25,37
2022-01-12,15,27,45
2022-01-13,19,26,29
2022-01-14,14,18,27
2022-01-15,0,1,2
2022-01-16,0,0,0
2022-01-17,19,14,24
2022-01-18,15,19,44
2022-01-19,19,28,28
2022-01-20,19,27,45
2022-01-21,22,24,3
2022-01-22,1,1,0
2022-01-23,1,0,3
2022-01-24,17,17,28
2022-01-25,17,39,45
2022-01-26,15,27,27
2022-01-27,21,43,41
2022-01-28,17,25,35
2022-01-29,1,0,0
2022-01-30,0,0,1
2022-01-31,30,22,57
2022-02-01,22,26,65
2022-02-02,25,27,36
2022-02-03,33,23,33
2022-02-04,26,21,34
2022-02-05,1,2,2
2022-02-06,0,0,0
2022-02-07,25,22,32
2022-02-08,39,25,34
2022-02-09,40,19,35
2022-02-10,36,20,49
2022-02-11,33,18,41
2022-02-12,0,0,2
2022-02-13,0,0,0
2022-02-14,1,31,35
2022-02-15,27,38,43
2022-02-16,25,28,48
2022-02-17,30,21,43
2022-02-18,28,17,2
2022-02-19,2,0,0
2022-02-20,0,0,0
2022-02-21,17,9,14
2022-02-22,13,24,22
2022-02-23,20,50,37
2022-02-24,25,27,34
2022-02-25,22,25,4
2022-02-26,1,1,0
2022-02-27,0,0,1
2022-02-28,17,27,30
2022-03-01,18,40,34
2022-03-02,27,43,24
2022-03-03,33,41,40
2022-03-04,23,38,32
2022-03-05,0,3,0
2022-03-06,0,0,1
2022-03-07,8,46,39
2022-03-08,11,30,41
2022-03-09,11,29,59
2022-03-10,12,23,46
2022-03-11,11,28,3
2022-03-12,1,3,0
2022-03-13,0,0,0
2022-03-14,17,36,37
2022-03-15,18,44,61
2022-03-16,21,32,56
2022-03-17,19,34,38
2022-03-18,17,32,42
2022-03-19,1,0,2
2022-03-20,0,0,1
2022-03-21,25,21,51
2022-03-22,19,23,36
2022-03-23,22,28,39
2022-03-24,18,29,64
2022-03-25,12,22,9
2022-03-26,4,1,0
2022-03-27,0,0,3
