,jetbrains/kotlin,scala/scala,apache/groovy
2019-08-22,47,11,0
2019-08-23,31,7,3
2019-08-24,1,1,0
2019-08-25,2,0,0
2019-08-26,6,7,2
2019-08-27,86,6,1
2019-08-28,15,9,0
2019-08-29,17,6,0
2019-08-30,91,3,5
2019-08-31,0,3,1
2019-09-01,9,1,1
2019-09-02,64,5,0
2019-09-03,51,14,1
2019-09-04,6,9,1
2019-09-05,40,0,0
2019-09-06,35,2,1
2019-09-07,2,2,0
2019-09-08,1,6,0
2019-09-09,16,9,1
2019-09-10,27,5,4
2019-09-11,25,8,1
2019-09-12,12,3,2
2019-09-13,45,3,1
2019-09-14,0,0,0
2019-09-15,1,1,0
2019-09-16,63,4,0
2019-09-17,39,3,2
2019-09-18,51,5,9
2019-09-19,17,4,6
2019-09-20,25,2,0
2019-09-21,1,1,1
2019-09-22,1,2,0
2019-09-23,30,14,2
2019-09-24,53,1,0
2019-09-25,44,21,0
2019-09-26,17,5,9
2019-09-27,66,0,7
2019-09-28,5,0,5
2019-09-29,27,0,4
2019-09-30,44,7,1
2019-10-01,33,7,5
2019-10-02,46,2,0
2019-10-03,35,4,1
2019-10-04,37,2,1
2019-10-05,6,0,2
2019-10-06,0,1,0
2019-10-07,12,0,4
2019-10-08,69,1,1
2019-10-09,25,6,0
2019-10-10,42,3,6
2019-10-11,49,3,22
2019-10-12,6,0,2
2019-10-13,3,0,1
2019-10-14,41,2,0
2019-10-15,10,6,1
2019-10-16,22,7,0
2019-10-17,50,7,1
2019-10-18,40,0,4
2019-10-19,3,2,0
2019-10-20,1,0,2
2019-10-21,71,8,3
2019-10-22,10,10,10
2019-10-23,43,8,3
2019-10-24,52,3,0
2019-10-25,23,4,5
2019-10-26,3,0,6
2019-10-27,1,3,4
2019-10-28,50,4,6
2019-10-29,87,7,8
2019-10-30,32,5,7
2019-10-31,59,4,4
2019-11-01,61,5,6
2019-11-02,0,0,13
2019-11-03,0,1,22
2019-11-04,5,0,6
2019-11-05,34,1,4
2019-11-06,29,5,4
2019-11-07,40,7,2
2019-11-08,59,6,0
2019-11-09,2,1,10
2019-11-10,4,0,2
2019-11-11,47,3,7
2019-11-12,39,6,1
2019-11-13,31,0,0
2019-11-14,49,0,3
2019-11-15,12,4,9
2019-11-16,1,0,0
2019-11-17,1,1,5
2019-11-18,29,4,4
2019-11-19,70,10,1
2019-11-20,46,2,4
2019-11-21,41,3,5
2019-11-22,42,2,10
2019-11-23,4,3,9
2019-11-24,0,0,2
2019-11-25,57,4,5
2019-11-26,48,6,4
2019-11-27,59,5,2
2019-11-28,45,5,0
2019-11-29,75,0,8
2019-11-30,3,2,8
2019-12-01,2,1,5
2019-12-02,40,8,8
2019-12-03,48,4,8
2019-12-04,13,3,3
2019-12-05,26,4,2
2019-12-06,15,2,0
2019-12-07,0,0,7
2019-12-08,0,2,0
2019-12-09,23,10,1
2019-12-10,39,17,4
2019-12-11,45,4,8
2019-12-12,51,10,8
2019-12-13,29,3,6
2019-12-14,1,1,3
2019-12-15,3,1,2
2019-12-16,70,3,5
2019-12-17,67,5,3
2019-12-18,45,0,2
2019-12-19,58,3,6
2019-12-20,23,1,7
2019-12-21,3,0,5
2019-12-22,1,2,5
2019-12-23,22,0,4
2019-12-24,28,1,2
2019-12-25,76,0,2
2019-12-26,40,2,4
2019-12-27,55,0,8
2019-12-28,3,0,5
2019-12-29,1,0,4
2019-12-30,18,0,1
2019-12-31,5,1,5
2020-01-01,0,3,1
2020-01-02,3,2,1
2020-01-03,8,2,2
2020-01-04,0,0,8
2020-01-05,0,1,0
2020-01-06,2,0,0
2020-01-07,5,3,1
2020-01-08,15,5,1
2020-01-09,64,5,0
2020-01-10,45,4,7
2020-01-11,1,0,14
2020-01-12,1,3,5
2020-01-13,28,11,1
