,microsoft/typescript,google/closure-compiler,rescript-lang/rescript-compiler
2014-08-08,24,7,0
2014-08-09,6,0,0
2014-08-10,1,0,0
2014-08-11,9,14,0
2014-08-12,16,13,0
2014-08-13,16,13,0
2014-08-14,42,1,0
2014-08-15,49,7,0
2014-08-16,9,4,0
2014-08-17,2,0,0
2014-08-18,31,4,0
2014-08-19,13,5,0
2014-08-20,12,13,0
2014-08-21,18,18,0
2014-08-22,18,5,0
2014-08-23,4,1,0
2014-08-24,0,0,0
2014-08-25,5,6,0
2014-08-26,10,11,0
2014-08-27,12,12,0
2014-08-28,13,1,0
2014-08-29,17,5,0
2014-08-30,5,1,0
2014-08-31,0,0,0
2014-09-01,0,0,0
2014-09-02,3,11,0
2014-09-03,15,8,0
2014-09-04,22,7,2
2014-09-05,14,8,0
2014-09-06,6,0,1
2014-09-07,3,0,0
2014-09-08,12,5,0
2014-09-09,21,6,0
2014-09-10,31,3,0
2014-09-11,21,9,0
2014-09-12,18,7,0
2014-09-13,3,0,0
2014-09-14,0,1,0
2014-09-15,28,2,0
2014-09-16,21,15,1
2014-09-17,21,12,0
2014-09-18,27,13,12
2014-09-19,22,12,4
2014-09-20,8,2,0
2014-09-21,3,1,0
2014-09-22,46,10,1
2014-09-23,27,7,0
2014-09-24,32,4,0
2014-09-25,33,7,0
2014-09-26,19,14,0
2014-09-27,0,0,0
2014-09-28,0,1,1
2014-09-29,11,6,0
2014-09-30,20,18,0
2014-10-01,40,9,0
2014-10-02,4,1,0
2014-10-03,24,10,0
2014-10-04,11,3,0
2014-10-05,1,3,0
2014-10-06,25,9,0
2014-10-07,29,15,0
2014-10-08,26,7,0
2014-10-09,35,9,0
2014-10-10,19,13,0
2014-10-11,7,1,0
2014-10-12,0,0,0
2014-10-13,21,3,0
2014-10-14,22,9,0
2014-10-15,28,4,0
2014-10-16,14,5,0
2014-10-17,18,4,0
2014-10-18,6,4,0
2014-10-19,6,0,0
2014-10-20,18,4,0
2014-10-21,39,6,0
2014-10-22,18,4,0
2014-10-23,32,17,0
2014-10-24,18,4,1
2014-10-25,5,0,1
2014-10-26,4,0,1
2014-10-27,19,6,2
2014-10-28,26,9,1
2014-10-29,33,9,0
2014-10-30,23,10,3
2014-10-31,13,2,1
2014-11-01,18,0,2
2014-11-02,13,0,0
2014-11-03,24,10,1
2014-11-04,42,6,0
2014-11-05,22,8,0
2014-11-06,39,9,0
2014-11-07,33,9,0
2014-11-08,14,0,4
2014-11-09,11,0,5
2014-11-10,25,8,3
2014-11-11,54,11,4
2014-11-12,31,6,6
2014-11-13,19,3,0
2014-11-14,14,3,5
2014-11-15,15,0,0
2014-11-16,2,1,0
2014-11-17,25,2,2
2014-11-18,27,4,14
2014-11-19,64,5,0
2014-11-20,47,5,0
2014-11-21,39,6,3
2014-11-22,27,3,6
2014-11-23,9,0,15
2014-11-24,8,4,4
2014-11-25,44,5,0
2014-11-26,33,7,0
2014-11-27,12,0,0
2014-11-28,15,0,0
2014-11-29,16,0,0
2014-11-30,19,0,0
2014-12-01,57,2,0
2014-12-02,60,2,6
2014-12-03,34,10,2
2014-12-04,39,6,7
2014-12-05,15,4,0
2014-12-06,13,2,0
2014-12-07,4,3,2
2014-12-08,16,3,1
2014-12-09,24,1,1
2014-12-10,105,4,0
2014-12-11,70,4,2
2014-12-12,91,4,0
2014-12-13,7,1,0
2014-12-14,16,0,0
2014-12-15,27,4,0
2014-12-16,56,0,0
2014-12-17,60,11,0
2014-12-18,9,14,1
2014-12-19,8,17,0
2014-12-20,0,7,1
2014-12-21,0,0,0
2014-12-22,3,8,1
2014-12-23,0,7,0
2014-12-24,0,2,0
2014-12-25,0,0,1
2014-12-26,1,0,0
2014-12-27,1,0,0
2014-12-28,1,0,0
2014-12-29,1,2,0
2014-12-30,7,0,0
2014-12-31,3,0,1
2015-01-01,0,0,0
2015-01-02,2,0,0
2015-01-03,0,1,0
2015-01-04,3,2,5
2015-01-05,7,13,0
2015-01-06,8,4,0
2015-01-07,8,3,0
2015-01-08,5,4,0
2015-01-09,11,2,0
2015-01-10,3,0,1
2015-01-11,3,0,0
2015-01-12,11,6,0
2015-01-13,9,7,0
2015-01-14,19,2,1
2015-01-15,18,5,0
2015-01-16,12,5,0
2015-01-17,4,3,0
2015-01-18,0,0,0
2015-01-19,15,1,1
2015-01-20,41,7,2
2015-01-21,21,5,2
2015-01-22,17,10,0
2015-01-23,10,7,0
2015-01-24,11,4,1
2015-01-25,2,0,0
2015-01-26,5,4,0
2015-01-27,20,8,0
2015-01-28,21,0,0
2015-01-29,26,13,1
2015-01-30,19,2,0
2015-01-31,10,0,0
2015-02-01,5,2,0
2015-02-02,19,1,0
2015-02-03,33,5,2
2015-02-04,27,13,0
2015-02-05,27,8,0
2015-02-06,27,7,1
2015-02-07,43,2,1
2015-02-08,5,0,0
2015-02-09,28,8,0
2015-02-10,15,2,0
2015-02-11,16,6,0
2015-02-12,26,2,0
2015-02-13,32,4,0
2015-02-14,5,0,0
2015-02-15,11,0,0
2015-02-16,33,0,0
2015-02-17,26,4,0
2015-02-18,24,6,0
2015-02-19,17,1,0
2015-02-20,15,2,0
2015-02-21,29,4,0
2015-02-22,13,0,0
2015-02-23,35,5,0
2015-02-24,40,5,0
2015-02-25,27,7,0
2015-02-26,23,0,0
2015-02-27,51,10,0
2015-02-28,10,3,1
2015-03-01,4,0,1
2015-03-02,22,0,0
2015-03-03,11,8,0
2015-03-04,18,5,0
2015-03-05,20,6,0
2015-03-06,17,5,0
2015-03-07,23,5,1
2015-03-08,10,0,2
2015-03-09,25,4,9
2015-03-10,14,7,3
2015-03-11,21,6,0
2015-03-12,35,2,2
2015-03-13,57,5,0
2015-03-14,18,0,0
2015-03-15,10,0,2
2015-03-16,28,1,0
2015-03-17,77,6,1
2015-03-18,35,4,2
2015-03-19,9,8,7
2015-03-20,6,2,0
2015-03-21,9,0,4
2015-03-22,7,0,0
2015-03-23,19,2,0
2015-03-24,44,1,5
2015-03-25,29,2,3
2015-03-26,39,7,0
2015-03-27,13,1,0
2015-03-28,2,0,0
2015-03-29,5,0,0
2015-03-30,19,2,0
2015-03-31,43,4,2
2015-04-01,42,3,6
2015-04-02,27,8,0
2015-04-03,16,5,0
2015-04-04,5,1,0
2015-04-05,0,0,0
2015-04-06,20,3,0
2015-04-07,7,11,0
2015-04-08,22,6,2
2015-04-09,59,4,2
2015-04-10,29,1,0
2015-04-11,17,13,0
2015-04-12,14,0,0
2015-04-13,24,5,0
2015-04-14,36,6,0
2015-04-15,27,11,0
2015-04-16,48,7,0
2015-04-17,41,7,1
2015-04-18,8,0,0
2015-04-19,22,0,1
2015-04-20,19,10,0
2015-04-21,32,7,0
2015-04-22,22,5,0
2015-04-23,40,1,1
2015-04-24,9,1,4
2015-04-25,1,17,0
2015-04-26,3,0,0
2015-04-27,15,4,2
2015-04-28,5,2,0
2015-04-29,20,17,1
2015-04-30,25,3,0
2015-05-01,33,7,0
2015-05-02,17,0,1
2015-05-03,13,0,0
2015-05-04,50,0,0
2015-05-05,30,7,0
2015-05-06,27,6,0
2015-05-07,25,5,0
2015-05-08,21,0,0
2015-05-09,8,0,0
2015-05-10,0,0,0
2015-05-11,11,8,0
2015-05-12,15,7,0
2015-05-13,29,6,0
2015-05-14,7,3,0
2015-05-15,23,3,1
2015-05-16,8,1,0
2015-05-17,1,0,0
2015-05-18,1,11,0
2015-05-19,38,6,0
2015-05-20,12,0,0
2015-05-21,6,7,0
2015-05-22,2,5,0
2015-05-23,6,0,0
2015-05-24,3,0,0
2015-05-25,1,0,0
2015-05-26,6,2,2
2015-05-27,14,6,0
2015-05-28,9,4,0
2015-05-29,7,10,0
2015-05-30,15,0,0
2015-05-31,5,0,0
2015-06-01,16,0,0
2015-06-02,45,0,0
2015-06-03,87,3,0
2015-06-04,46,2,0
