,netdata/netdata,grafana/grafana,cacti/cacti
2018-05-24,0,11,0
2018-05-25,6,10,0
2018-05-26,8,3,0
2018-05-27,2,4,0
2018-05-28,5,23,0
2018-05-29,15,24,0
2018-05-30,1,18,2
2018-05-31,12,15,0
2018-06-01,43,8,0
2018-06-02,0,1,13
2018-06-03,0,0,5
2018-06-04,15,48,1
2018-06-05,8,19,0
2018-06-06,5,10,3
2018-06-07,3,15,0
2018-06-08,1,5,0
2018-06-09,0,2,6
2018-06-10,15,0,5
2018-06-11,20,1,0
2018-06-12,0,8,1
2018-06-13,2,11,0
2018-06-14,2,40,0
2018-06-15,2,38,0
2018-06-16,6,4,0
2018-06-17,2,0,4
2018-06-18,5,20,0
2018-06-19,3,18,0
2018-06-20,11,17,0
2018-06-21,13,12,0
2018-06-22,15,2,0
2018-06-23,3,1,0
2018-06-24,7,0,0
2018-06-25,11,22,0
2018-06-26,12,24,0
2018-06-27,5,6,0
2018-06-28,13,14,0
2018-06-29,1,23,0
2018-06-30,2,4,0
2018-07-01,8,6,0
2018-07-02,2,12,0
2018-07-03,9,8,0
2018-07-04,4,30,3
2018-07-05,3,8,0
2018-07-06,12,17,0
2018-07-07,8,9,0
2018-07-08,10,8,0
2018-07-09,3,23,0
2018-07-10,11,12,0
2018-07-11,4,23,3
2018-07-12,4,9,0
2018-07-13,1,10,0
2018-07-14,0,5,9
2018-07-15,0,13,5
2018-07-16,2,12,0
2018-07-17,4,11,0
2018-07-18,15,12,0
2018-07-19,0,0,1
2018-07-20,0,5,0
2018-07-21,0,2,9
2018-07-22,1,5,2
2018-07-23,1,24,5
2018-07-24,3,31,1
2018-07-25,7,16,3
2018-07-26,0,12,4
2018-07-27,4,36,9
2018-07-28,2,3,8
2018-07-29,0,4,18
2018-07-30,0,18,0
2018-07-31,0,10,5
2018-08-01,1,15,1
2018-08-02,8,39,3
2018-08-03,5,12,3
2018-08-04,0,0,0
2018-08-05,3,13,3
2018-08-06,1,21,7
2018-08-07,0,19,11
2018-08-08,0,20,6
2018-08-09,0,17,6
2018-08-10,0,13,1
2018-08-11,0,0,10
2018-08-12,2,4,1
2018-08-13,3,36,1
2018-08-14,4,49,3
2018-08-15,0,8,4
2018-08-16,0,8,7
2018-08-17,1,18,7
2018-08-18,0,8,23
2018-08-19,0,0,10
2018-08-20,0,11,7
2018-08-21,0,15,5
2018-08-22,1,4,2
2018-08-23,0,10,2
2018-08-24,0,8,4
2018-08-25,8,7,2
2018-08-26,0,5,9
2018-08-27,0,8,0
2018-08-28,0,9,1
2018-08-29,2,18,0
2018-08-30,0,33,3
2018-08-31,0,22,2
2018-09-01,0,1,2
2018-09-02,0,5,18
2018-09-03,0,20,6
2018-09-04,0,27,4
2018-09-05,3,29,0
2018-09-06,0,23,1
2018-09-07,0,15,4
2018-09-08,21,1,8
2018-09-09,6,0,2
2018-09-10,14,34,2
2018-09-11,9,25,0
2018-09-12,16,11,0
2018-09-13,5,26,2
2018-09-14,5,89,0
2018-09-15,0,5,3
2018-09-16,3,2,1
2018-09-17,14,31,3
2018-09-18,2,14,4
2018-09-19,2,14,3
2018-09-20,8,16,3
2018-09-21,5,22,6
2018-09-22,12,3,4
2018-09-23,7,4,22
2018-09-24,8,17,28
2018-09-25,2,27,9
2018-09-26,7,34,1
2018-09-27,8,60,3
2018-09-28,5,47,5
2018-09-29,4,1,2
2018-09-30,4,3,13
2018-10-01,5,25,6
2018-10-02,3,36,0
2018-10-03,2,43,0
2018-10-04,4,24,0
2018-10-05,1,16,0
2018-10-06,1,7,12
2018-10-07,0,1,14
2018-10-08,0,29,3
2018-10-09,0,20,15
2018-10-10,0,71,31
2018-10-11,4,51,14
2018-10-12,3,20,8
2018-10-13,2,11,9
2018-10-14,0,14,12
2018-10-15,2,24,2
2018-10-16,9,30,4
2018-10-17,8,38,1
2018-10-18,3,28,4
2018-10-19,2,26,3
2018-10-20,0,1,12
2018-10-21,0,1,11
2018-10-22,11,62,0
2018-10-23,5,31,5
2018-10-24,6,33,0
2018-10-25,9,27,0
2018-10-26,1,15,2
2018-10-27,4,9,1
2018-10-28,0,17,1
2018-10-29,3,27,3
2018-10-30,4,26,0
2018-10-31,5,41,0
2018-11-01,4,23,3
2018-11-02,8,9,0
2018-11-03,0,3,0
2018-11-04,3,3,0
2018-11-05,2,51,1
2018-11-06,2,54,6
2018-11-07,6,25,0
2018-11-08,6,17,0
2018-11-09,3,84,7
2018-11-10,5,4,8
2018-11-11,4,4,0
2018-11-12,12,22,3
2018-11-13,16,40,4
2018-11-14,4,37,1
2018-11-15,6,48,0
2018-11-16,4,33,1
2018-11-17,0,3,13
2018-11-18,3,2,31
2018-11-19,2,97,2
2018-11-20,1,42,0
2018-11-21,8,28,5
2018-11-22,10,20,1
2018-11-23,5,38,1
2018-11-24,2,1,0
2018-11-25,6,0,0
2018-11-26,9,15,2
2018-11-27,5,15,1
2018-11-28,10,15,0
2018-11-29,5,32,1
2018-11-30,13,53,1
2018-12-01,1,0,2
2018-12-02,6,0,0
2018-12-03,10,32,1
2018-12-04,8,51,0
2018-12-05,6,37,3
2018-12-06,8,33,0
2018-12-07,8,39,0
2018-12-08,2,7,2
2018-12-09,4,14,1
2018-12-10,2,34,0
2018-12-11,4,34,1
2018-12-12,9,32,0
2018-12-13,5,23,0
2018-12-14,3,36,0
2018-12-15,2,7,4
2018-12-16,1,7,10
2018-12-17,10,34,1
2018-12-18,8,53,4
2018-12-19,6,42,3
2018-12-20,5,10,2
2018-12-21,1,17,3
2018-12-22,0,7,0
2018-12-23,1,12,10
2018-12-24,1,4,5
2018-12-25,0,7,1
2018-12-26,1,2,0
2018-12-27,1,5,8
2018-12-28,9,2,1
2018-12-29,0,0,6
2018-12-30,4,1,7
2018-12-31,6,19,8
2019-01-01,1,4,1
2019-01-02,4,52,4
2019-01-03,9,18,7
2019-01-04,4,14,9
2019-01-05,2,5,3
2019-01-06,2,3,0
2019-01-07,2,59,11
2019-01-08,5,32,4
2019-01-09,4,55,0
2019-01-10,8,24,8
2019-01-11,2,29,9
2019-01-12,1,5,32
2019-01-13,1,8,5
2019-01-14,6,32,1
2019-01-15,5,38,8
2019-01-16,5,67,3
2019-01-17,8,46,2
2019-01-18,5,37,1
2019-01-19,3,5,22
2019-01-20,4,0,14
2019-01-21,3,33,1
2019-01-22,6,74,0
2019-01-23,5,48,2
2019-01-24,8,28,0
2019-01-25,0,25,5
2019-01-26,0,11,16
2019-01-27,3,3,8
2019-01-28,4,109,2
2019-01-29,8,65,0
2019-01-30,4,40,3
2019-01-31,4,36,5
2019-02-01,3,45,0
2019-02-02,3,8,8
2019-02-03,0,10,3
2019-02-04,6,56,1
2019-02-05,8,66,6
2019-02-06,7,42,3
2019-02-07,3,35,4
2019-02-08,5,19,5
2019-02-09,0,6,6
2019-02-10,0,7,4
2019-02-11,6,101,4
2019-02-12,3,56,2
2019-02-13,7,41,0
2019-02-14,3,29,2
2019-02-15,2,18,4
2019-02-16,1,16,0
2019-02-17,0,4,1
2019-02-18,7,38,2
2019-02-19,5,36,9
2019-02-20,11,17,4
2019-02-21,13,50,11
2019-02-22,6,12,1
2019-02-23,0,9,18
2019-02-24,3,5,6
2019-02-25,8,18,0
2019-02-26,3,7,7
2019-02-27,0,9,1
2019-02-28,8,3,13
2019-03-01,2,5,6
2019-03-02,0,10,4
2019-03-03,0,1,3
2019-03-04,7,25,3
2019-03-05,3,58,0
2019-03-06,4,73,0
2019-03-07,3,35,2
2019-03-08,3,48,3
2019-03-09,2,16,4
2019-03-10,4,15,14
2019-03-11,4,60,3
2019-03-12,5,51,1
2019-03-13,7,66,7
2019-03-14,5,59,0
2019-03-15,2,31,7
2019-03-16,1,1,8
2019-03-17,0,4,2
2019-03-18,4,23,3
2019-03-19,6,104,1
2019-03-20,0,49,0
2019-03-21,4,25,3
2019-03-22,3,38,2
2019-03-23,6,7,4
2019-03-24,3,11,6
2019-03-25,4,28,1
2019-03-26,3,10,6
2019-03-27,4,18,6
2019-03-28,2,13,3
2019-03-29,8,12,2
2019-03-30,10,2,2
2019-03-31,3,1,4
2019-04-01,8,3,0
2019-04-02,8,6,0
2019-04-03,9,12,0
2019-04-04,4,6,1
2019-04-05,6,7,0
2019-04-06,0,0,0
2019-04-07,0,6,0
2019-04-08,0,11,0
2019-04-09,3,12,0
2019-04-10,0,9,9
2019-04-11,6,9,1
2019-04-12,2,16,0
2019-04-13,2,0,0
2019-04-14,0,0,0
2019-04-15,2,17,0
2019-04-16,0,11,0
2019-04-17,7,10,5
2019-04-18,15,6,2
2019-04-19,0,6,0
2019-04-20,5,2,0
2019-04-21,0,1,0
2019-04-22,0,3,0
2019-04-23,2,8,7
2019-04-24,0,9,2
2019-04-25,2,10,2
2019-04-26,1,10,8
2019-04-27,3,1,5
2019-04-28,2,3,6
2019-04-29,2,9,7
2019-04-30,3,11,0
2019-05-01,1,7,0
2019-05-02,3,5,0
2019-05-03,3,14,0
2019-05-04,0,1,0
2019-05-05,1,0,4
2019-05-06,3,12,0
2019-05-07,2,15,0
2019-05-08,1,12,5
2019-05-09,1,13,1
2019-05-10,2,15,0
2019-05-11,2,1,28
2019-05-12,2,3,3
2019-05-13,7,11,1
2019-05-14,3,17,0
2019-05-15,7,9,0
2019-05-16,5,8,0
2019-05-17,6,5,0
2019-05-18,2,1,27
2019-05-19,7,0,1
2019-05-20,3,11,1
2019-05-21,4,15,0
2019-05-22,9,14,4
2019-05-23,10,9,1
2019-05-24,4,4,4
2019-05-25,0,2,1
2019-05-26,0,0,25
2019-05-27,9,15,1
2019-05-28,7,9,2
2019-05-29,2,7,2
2019-05-30,2,2,3
2019-05-31,7,2,0
2019-06-01,0,0,0
2019-06-02,0,0,1
2019-06-03,11,12,0
2019-06-04,10,8,0
2019-06-05,3,8,0
2019-06-06,4,6,0
2019-06-07,9,3,7
2019-06-08,0,0,1
2019-06-09,4,0,4
2019-06-10,2,8,4
2019-06-11,1,6,3
2019-06-12,1,10,0
2019-06-13,7,19,0
2019-06-14,3,4,0
2019-06-15,1,3,0
2019-06-16,0,0,0
2019-06-17,3,7,0
2019-06-18,3,16,0
2019-06-19,2,6,0
2019-06-20,5,4,0
2019-06-21,3,1,0
2019-06-22,0,2,32
2019-06-23,0,1,53
2019-06-24,5,10,4
2019-06-25,3,17,12
2019-06-26,1,12,0
2019-06-27,4,6,4
2019-06-28,3,8,3
2019-06-29,1,0,8
2019-06-30,2,0,11
2019-07-01,3,9,6
2019-07-02,2,8,3
2019-07-03,3,14,0
2019-07-04,4,7,0
2019-07-05,5,17,3
2019-07-06,2,4,7
2019-07-07,2,0,2
2019-07-08,8,7,2
2019-07-09,9,9,2
2019-07-10,20,12,1
2019-07-11,4,12,9
2019-07-12,4,6,5
2019-07-13,0,0,5
2019-07-14,0,1,1
2019-07-15,8,5,1
2019-07-16,6,9,1
2019-07-17,7,6,1
2019-07-18,3,8,0
2019-07-19,3,6,5
2019-07-20,0,3,1
2019-07-21,3,0,0
2019-07-22,5,4,0
2019-07-23,4,7,0
2019-07-24,2,13,5
2019-07-25,8,4,3
2019-07-26,4,5,0
2019-07-27,3,0,1
2019-07-28,2,2,0
2019-07-29,5,1,0
2019-07-30,1,4,0
2019-07-31,3,4,0
2019-08-01,1,4,5
2019-08-02,3,16,0
2019-08-03,0,8,0
2019-08-04,0,0,2
2019-08-05,0,6,0
2019-08-06,5,15,0
2019-08-07,2,11,0
2019-08-08,2,6,0
2019-08-09,10,7,0
2019-08-10,0,0,0
2019-08-11,0,0,11
2019-08-12,9,7,2
2019-08-13,4,7,0
2019-08-14,3,8,0
2019-08-15,9,6,0
2019-08-16,18,10,5
2019-08-17,0,0,0
2019-08-18,0,3,0
2019-08-19,2,5,1
2019-08-20,7,5,0
2019-08-21,5,6,2
2019-08-22,4,6,3
2019-08-23,3,5,0
2019-08-24,3,0,0
2019-08-25,4,2,1
2019-08-26,1,8,0
2019-08-27,5,3,0
2019-08-28,16,7,0
2019-08-29,12,7,4
2019-08-30,5,9,2
2019-08-31,5,0,1
2019-09-01,8,1,4
2019-09-02,11,9,1
2019-09-03,17,18,0
2019-09-04,7,11,0
2019-09-05,6,7,2
2019-09-06,4,3,2
2019-09-07,3,0,0
2019-09-08,3,1,7
2019-09-09,4,12,15
2019-09-10,3,8,0
2019-09-11,7,7,5
2019-09-12,14,17,2
2019-09-13,10,14,0
2019-09-14,4,0,0
2019-09-15,5,4,7
2019-09-16,10,13,2
2019-09-17,19,24,0
2019-09-18,11,8,2
2019-09-19,6,10,3
2019-09-20,13,15,0
2019-09-21,0,0,3
2019-09-22,12,1,11
2019-09-23,4,19,2
2019-09-24,17,18,1
2019-09-25,4,21,6
2019-09-26,0,7,10
2019-09-27,7,8,4
2019-09-28,6,1,9
2019-09-29,9,0,9
2019-09-30,5,15,0
2019-10-01,6,11,2
2019-10-02,7,14,2
2019-10-03,13,9,0
2019-10-04,6,4,1
2019-10-05,6,0,1
2019-10-06,8,0,0
2019-10-07,8,16,1
2019-10-08,7,25,0
2019-10-09,7,10,0
2019-10-10,11,6,0
2019-10-11,6,14,1
2019-10-12,5,3,6
2019-10-13,0,0,8
2019-10-14,9,8,0
2019-10-15,9,12,0
2019-10-16,10,13,1
2019-10-17,13,5,1
2019-10-18,10,5,0
2019-10-19,5,1,1
2019-10-20,1,0,0
2019-10-21,4,4,2
2019-10-22,4,21,0
2019-10-23,1,4,0
2019-10-24,3,4,0
2019-10-25,3,4,0
2019-10-26,0,1,0
2019-10-27,0,0,0
2019-10-28,3,2,0
2019-10-29,2,7,0
2019-10-30,7,4,0
2019-10-31,3,18,0
2019-11-01,7,17,0
2019-11-02,5,2,0
2019-11-03,5,0,0
2019-11-04,7,6,0
2019-11-05,8,7,0
2019-11-06,9,21,0
2019-11-07,7,20,0
2019-11-08,6,15,0
2019-11-09,5,0,24
2019-11-10,6,0,14
2019-11-11,7,12,0
2019-11-12,5,6,0
2019-11-13,2,11,0
2019-11-14,2,9,0
2019-11-15,1,8,0
2019-11-16,5,0,0
2019-11-17,1,1,2
2019-11-18,8,11,0
2019-11-19,5,11,0
2019-11-20,9,11,0
2019-11-21,9,23,0
2019-11-22,5,11,0
2019-11-23,4,2,0
2019-11-24,5,2,0
2019-11-25,7,14,0
2019-11-26,5,10,1
2019-11-27,11,15,4
2019-11-28,4,3,7
2019-11-29,1,4,11
2019-11-30,5,1,8
2019-12-01,5,2,6
2019-12-02,10,19,3
2019-12-03,7,11,0
2019-12-04,11,17,0
2019-12-05,6,14,0
2019-12-06,8,12,2
2019-12-07,7,0,2
2019-12-08,6,1,0
2019-12-09,9,14,0
2019-12-10,6,16,0
2019-12-11,5,12,1
2019-12-12,8,11,0
2019-12-13,10,15,0
2019-12-14,5,2,0
2019-12-15,6,0,0
2019-12-16,5,5,0
2019-12-17,15,5,2
2019-12-18,5,17,0
2019-12-19,8,8,3
2019-12-20,6,9,3
2019-12-21,6,1,0
2019-12-22,5,0,0
2019-12-23,6,13,0
2019-12-24,7,3,5
2019-12-25,5,1,0
2019-12-26,5,1,0
2019-12-27,6,2,1
2019-12-28,5,0,0
2019-12-29,6,1,0
2019-12-30,5,9,0
2019-12-31,6,4,1
2020-01-01,5,0,0
2020-01-02,8,6,1
2020-01-03,7,8,0
2020-01-04,3,1,7
2020-01-05,1,0,1
2020-01-06,3,7,0
2020-01-07,5,11,0
2020-01-08,10,6,2
2020-01-09,12,6,1
2020-01-10,6,16,0
2020-01-11,5,0,2
2020-01-12,5,1,6
2020-01-13,7,12,0
2020-01-14,11,9,0
2020-01-15,9,15,3
2020-01-16,13,14,4
2020-01-17,9,26,4
2020-01-18,2,1,3
2020-01-19,1,2,4
2020-01-20,3,14,3
2020-01-21,2,12,0
2020-01-22,7,10,1
2020-01-23,4,8,7
2020-01-24,8,13,1
2020-01-25,2,2,0
2020-01-26,1,1,0
2020-01-27,6,14,1
2020-01-28,6,17,0
2020-01-29,5,12,1
2020-01-30,6,23,0
2020-01-31,10,2,0
2020-02-01,1,0,4
2020-02-02,0,0,6
2020-02-03,12,7,0
2020-02-04,11,9,4
2020-02-05,8,7,0
2020-02-06,11,12,2
2020-02-07,9,3,0
2020-02-08,9,11,2
2020-02-09,4,16,0
2020-02-10,8,13,4
2020-02-11,10,22,0
2020-02-12,12,12,0
2020-02-13,10,19,0
2020-02-14,6,15,0
2020-02-15,5,2,0
2020-02-16,0,3,0
2020-02-17,7,11,0
2020-02-18,2,13,0
2020-02-19,6,18,0
2020-02-20,4,15,0
2020-02-21,8,3,4
2020-02-22,9,5,11
2020-02-23,5,0,11
2020-02-24,14,4,4
2020-02-25,7,10,0
2020-02-26,8,8,1
2020-02-27,8,5,2
2020-02-28,3,15,0
2020-02-29,0,1,0
2020-03-01,2,0,3
2020-03-02,6,7,0
2020-03-03,2,12,0
2020-03-04,6,12,2
2020-03-05,10,10,0
2020-03-06,16,10,2
2020-03-07,1,0,4
2020-03-08,0,0,13
2020-03-09,15,6,0
2020-03-10,10,23,3
2020-03-11,6,26,0
2020-03-12,14,10,6
2020-03-13,5,13,3
2020-03-14,7,1,12
2020-03-15,6,2,9
2020-03-16,7,19,1
2020-03-17,6,24,8
2020-03-18,6,19,1
2020-03-19,9,14,3
2020-03-20,5,14,1
2020-03-21,5,0,12
2020-03-22,6,0,16
2020-03-23,8,15,3
2020-03-24,6,26,6
2020-03-25,13,28,9
2020-03-26,11,21,1
2020-03-27,5,13,4
2020-03-28,4,5,5
2020-03-29,4,1,6
2020-03-30,16,17,2
2020-03-31,12,9,1
2020-04-01,8,22,1
2020-04-02,5,25,1
2020-04-03,18,17,2
2020-04-04,9,8,8
2020-04-05,0,4,9
2020-04-06,12,14,6
2020-04-07,2,24,2
2020-04-08,3,20,1
2020-04-09,4,26,3
2020-04-10,1,16,7
2020-04-11,0,6,1
2020-04-12,0,3,0
2020-04-13,8,6,0
2020-04-14,6,24,0
2020-04-15,9,22,1
2020-04-16,8,13,6
2020-04-17,8,13,2
2020-04-18,4,5,2
2020-04-19,4,5,5
2020-04-20,14,23,2
2020-04-21,6,23,0
2020-04-22,10,23,0
2020-04-23,4,25,3
2020-04-24,5,29,4
2020-04-25,4,13,6
2020-04-26,6,10,6
2020-04-27,6,47,0
2020-04-28,5,17,0
2020-04-29,5,21,3
2020-04-30,7,27,0
2020-05-01,4,14,0
2020-05-02,4,5,0
2020-05-03,4,3,5
2020-05-04,5,34,1
2020-05-05,4,35,4
2020-05-06,7,31,0
2020-05-07,7,24,0
2020-05-08,5,15,0
2020-05-09,4,5,0
2020-05-10,4,6,0
2020-05-11,14,36,2
2020-05-12,14,24,4
2020-05-13,13,34,0
2020-05-14,16,44,5
2020-05-15,10,14,0
2020-05-16,5,0,0
2020-05-17,4,1,0
2020-05-18,7,21,1
2020-05-19,15,15,2
2020-05-20,9,26,1
2020-05-21,13,11,5
2020-05-22,8,6,2
2020-05-23,5,1,1
2020-05-24,4,1,4
2020-05-25,10,21,0
2020-05-26,20,13,0
2020-05-27,8,9,0
2020-05-28,12,8,0
2020-05-29,7,8,3
2020-05-30,5,0,2
2020-05-31,4,2,3
2020-06-01,5,10,0
2020-06-02,6,9,0
2020-06-03,8,14,0
2020-06-04,8,10,2
2020-06-05,8,13,0
2020-06-06,4,0,0
2020-06-07,4,0,3
2020-06-08,11,15,1
2020-06-09,7,14,1
2020-06-10,8,9,0
2020-06-11,8,13,0
2020-06-12,12,1,0
2020-06-13,4,1,9
2020-06-14,4,0,2
2020-06-15,7,11,1
2020-06-16,11,18,3
2020-06-17,4,16,0
2020-06-18,5,9,3
2020-06-19,6,0,1
2020-06-20,5,0,2
2020-06-21,4,0,1
2020-06-22,7,16,1
2020-06-23,7,12,0
