,grafana/grafana,getsentry/sentry,elastic/kibana
2017-06-22,17,6,18
2017-06-23,15,14,12
2017-06-24,1,1,0
2017-06-25,3,1,0
2017-06-26,1,27,9
2017-06-27,9,21,16
2017-06-28,5,19,12
2017-06-29,5,17,13
2017-06-30,1,13,15
2017-07-01,0,0,2
2017-07-02,0,0,0
2017-07-03,7,11,7
2017-07-04,10,0,0
2017-07-05,12,11,7
2017-07-06,5,21,11
2017-07-07,4,5,8
2017-07-08,0,2,0
2017-07-09,1,0,1
2017-07-10,3,1,14
2017-07-11,1,9,20
2017-07-12,10,14,14
2017-07-13,1,12,13
2017-07-14,2,4,19
2017-07-15,0,0,0
2017-07-16,0,0,1
2017-07-17,1,3,10
2017-07-18,4,12,23
2017-07-19,3,12,13
2017-07-20,2,2,16
2017-07-21,3,7,22
2017-07-22,0,0,1
2017-07-23,0,0,0
2017-07-24,13,9,16
2017-07-25,1,6,9
2017-07-26,1,13,18
2017-07-27,2,21,7
2017-07-28,1,10,12
2017-07-29,1,0,1
2017-07-30,0,0,0
2017-07-31,25,7,13
2017-08-01,16,3,27
2017-08-02,14,2,16
2017-08-03,9,9,12
2017-08-04,10,6,14
2017-08-05,1,2,1
2017-08-06,0,0,0
2017-08-07,26,10,14
2017-08-08,26,8,16
2017-08-09,17,9,20
2017-08-10,16,5,16
2017-08-11,6,3,7
2017-08-12,0,0,1
2017-08-13,0,0,0
2017-08-14,10,9,11
2017-08-15,15,4,5
2017-08-16,5,9,14
2017-08-17,9,5,20
2017-08-18,11,7,18
2017-08-19,3,0,2
2017-08-20,2,2,0
2017-08-21,10,10,11
2017-08-22,1,20,9
2017-08-23,7,16,10
2017-08-24,14,17,16
2017-08-25,4,6,25
2017-08-26,5,1,0
2017-08-27,0,0,0
2017-08-28,13,14,14
2017-08-29,8,7,9
2017-08-30,2,9,16
2017-08-31,5,9,7
2017-09-01,6,6,7
2017-09-02,1,1,0
2017-09-03,0,0,3
2017-09-04,14,0,2
2017-09-05,8,8,9
2017-09-06,4,4,7
2017-09-07,18,10,24
2017-09-08,10,10,14
2017-09-09,0,0,0
2017-09-10,0,0,0
2017-09-11,5,6,22
2017-09-12,18,16,24
2017-09-13,17,9,18
2017-09-14,27,6,29
2017-09-15,23,8,18
2017-09-16,0,0,0
2017-09-17,0,1,0
2017-09-18,40,6,5
2017-09-19,8,5,16
2017-09-20,4,15,21
2017-09-21,30,2,12
2017-09-22,16,23,15
2017-09-23,0,0,0
2017-09-24,9,1,0
2017-09-25,1,5,0
2017-09-26,7,12,20
2017-09-27,11,8,3
2017-09-28,15,14,20
2017-09-29,54,8,4
2017-09-30,0,1,1
2017-10-01,4,0,0
2017-10-02,20,8,10
2017-10-03,11,8,16
2017-10-04,14,9,8
2017-10-05,42,7,10
2017-10-06,6,5,17
2017-10-07,3,1,0
2017-10-08,2,0,1
2017-10-09,11,13,10
2017-10-10,17,9,9
2017-10-11,31,13,9
2017-10-12,41,4,9
2017-10-13,16,12,4
2017-10-14,3,0,9
2017-10-15,2,0,1
2017-10-16,18,6,0
2017-10-17,24,4,0
2017-10-18,18,10,11
2017-10-19,6,20,1
2017-10-20,7,13,0
2017-10-21,0,0,0
2017-10-22,14,0,1
2017-10-23,19,8,20
2017-10-24,32,7,15
2017-10-25,12,11,19
2017-10-26,22,10,44
2017-10-27,6,4,15
2017-10-28,5,0,0
2017-10-29,5,0,0
2017-10-30,8,11,11
2017-10-31,30,12,15
2017-11-01,21,10,16
2017-11-02,8,5,29
2017-11-03,8,6,15
2017-11-04,1,0,1
2017-11-05,0,0,0
2017-11-06,3,1,33
2017-11-07,1,2,12
2017-11-08,4,2,13
2017-11-09,4,0,14
2017-11-10,1,0,5
2017-11-11,2,4,1
2017-11-12,0,0,0
2017-11-13,14,12,10
2017-11-14,10,14,8
2017-11-15,41,19,12
2017-11-16,22,7,11
2017-11-17,23,9,18
2017-11-18,0,0,1
2017-11-19,0,1,0
2017-11-20,18,5,9
2017-11-21,24,9,21
2017-11-22,14,3,19
2017-11-23,20,0,3
2017-11-24,8,0,0
2017-11-25,0,0,0
2017-11-26,1,0,0
2017-11-27,18,5,12
2017-11-28,11,8,15
2017-11-29,15,9,17
2017-11-30,15,6,15
2017-12-01,25,8,18
2017-12-02,7,1,1
2017-12-03,5,0,0
2017-12-04,13,6,24
2017-12-05,22,5,11
2017-12-06,20,6,18
2017-12-07,52,5,11
2017-12-08,39,8,9
2017-12-09,8,1,1
2017-12-10,9,0,0
2017-12-11,35,8,14
2017-12-12,39,11,25
2017-12-13,69,11,22
2017-12-14,36,10,10
2017-12-15,32,5,26
2017-12-16,1,0,3
2017-12-17,0,0,0
2017-12-18,11,25,12
2017-12-19,38,19,10
2017-12-20,18,10,8
2017-12-21,7,22,9
2017-12-22,9,2,3
2017-12-23,2,0,1
2017-12-24,0,0,3
2017-12-25,2,0,5
2017-12-26,7,0,1
2017-12-27,10,0,0
2017-12-28,16,0,2
2017-12-29,3,0,1
2017-12-30,0,0,1
2017-12-31,6,1,0
2018-01-01,3,0,0
2018-01-02,3,17,6
2018-01-03,9,6,6
2018-01-04,6,10,10
2018-01-05,5,18,7
2018-01-06,0,2,2
2018-01-07,0,0,1
2018-01-08,6,6,13
2018-01-09,41,18,16
2018-01-10,18,11,18
2018-01-11,10,11,9
2018-01-12,4,6,9
2018-01-13,0,0,1
2018-01-14,2,0,0
2018-01-15,11,0,4
2018-01-16,31,5,22
2018-01-17,7,17,9
2018-01-18,20,20,11
2018-01-19,10,6,22
2018-01-20,3,1,0
2018-01-21,2,0,0
2018-01-22,13,12,9
2018-01-23,13,9,10
2018-01-24,18,16,6
2018-01-25,35,20,9
2018-01-26,19,14,6
2018-01-27,3,0,3
2018-01-28,1,0,0
2018-01-29,22,6,12
2018-01-30,45,8,17
2018-01-31,58,17,11
2018-02-01,41,13,11
2018-02-02,11,14,14
2018-02-03,6,1,3
2018-02-04,3,0,1
2018-02-05,41,5,11
2018-02-06,13,11,8
2018-02-07,8,12,11
2018-02-08,14,16,25
2018-02-09,17,6,10
2018-02-10,1,1,0
2018-02-11,0,0,1
2018-02-12,16,9,7
2018-02-13,6,18,16
2018-02-14,30,7,13
2018-02-15,21,16,2
2018-02-16,23,22,5
2018-02-17,2,2,0
2018-02-18,2,0,0
2018-02-19,13,0,3
2018-02-20,19,10,4
2018-02-21,29,16,13
2018-02-22,26,16,9
2018-02-23,6,7,17
2018-02-24,1,0,0
2018-02-25,1,0,2
2018-02-26,9,7,2
2018-02-27,13,24,3
2018-02-28,12,14,0
2018-03-01,8,11,0
2018-03-02,2,15,2
2018-03-03,4,0,3
2018-03-04,6,0,7
2018-03-05,6,22,2
2018-03-06,26,30,2
2018-03-07,39,25,9
2018-03-08,14,23,10
2018-03-09,9,26,15
2018-03-10,2,0,1
2018-03-11,1,0,1
2018-03-12,20,16,11
2018-03-13,37,21,7
2018-03-14,26,27,7
2018-03-15,22,24,9
2018-03-16,18,25,17
2018-03-17,1,0,1
2018-03-18,1,0,0
2018-03-19,29,15,10
2018-03-20,38,19,13
2018-03-21,11,16,9
2018-03-22,32,17,15
2018-03-23,38,12,7
2018-03-24,6,1,3
2018-03-25,2,0,2
2018-03-26,14,15,6
2018-03-27,21,21,2
2018-03-28,24,17,18
2018-03-29,6,27,8
2018-03-30,6,5,9
2018-03-31,0,0,0
2018-04-01,0,0,0
2018-04-02,5,23,6
2018-04-03,20,15,10
2018-04-04,19,9,11
2018-04-05,21,30,5
2018-04-06,11,10,5
2018-04-07,1,0,0
2018-04-08,6,0,0
2018-04-09,22,16,6
2018-04-10,24,21,11
2018-04-11,14,5,16
2018-04-12,19,21,11
2018-04-13,29,16,4
2018-04-14,5,0,0
2018-04-15,5,0,0
2018-04-16,56,15,8
2018-04-17,56,16,12
2018-04-18,22,14,16
2018-04-19,21,16,5
2018-04-20,19,7,11
2018-04-21,1,1,0
2018-04-22,5,0,0
2018-04-23,19,17,3
2018-04-24,16,19,3
2018-04-25,10,13,14
2018-04-26,11,29,5
2018-04-27,24,13,9
2018-04-28,2,1,0
2018-04-29,0,0,0
2018-04-30,12,14,14
2018-05-01,3,16,7
2018-05-02,19,25,20
2018-05-03,10,9,13
2018-05-04,4,19,18
2018-05-05,2,1,1
2018-05-06,1,0,0
2018-05-07,23,21,13
2018-05-08,38,18,20
2018-05-09,3,14,13
2018-05-10,2,16,21
2018-05-11,4,14,7
2018-05-12,1,0,0
2018-05-13,0,0,0
2018-05-14,8,12,8
2018-05-15,5,14,17
2018-05-16,10,14,15
2018-05-17,4,20,11
2018-05-18,11,3,24
2018-05-19,3,0,2
2018-05-20,2,0,1
2018-05-21,21,9,9
2018-05-22,2,13,26
2018-05-23,15,17,9
2018-05-24,11,13,21
2018-05-25,10,15,8
2018-05-26,3,0,0
2018-05-27,4,0,0
2018-05-28,23,0,2
2018-05-29,24,8,20
2018-05-30,18,20,24
2018-05-31,15,18,10
2018-06-01,8,12,7
2018-06-02,1,1,0
2018-06-03,0,2,1
2018-06-04,48,9,7
2018-06-05,19,8,12
2018-06-06,10,9,9
2018-06-07,15,13,6
2018-06-08,5,3,17
2018-06-09,2,0,0
2018-06-10,0,0,0
2018-06-11,1,14,4
2018-06-12,8,8,13
2018-06-13,11,8,14
2018-06-14,40,11,25
2018-06-15,38,8,11
2018-06-16,4,0,1
2018-06-17,0,0,0
2018-06-18,20,7,16
2018-06-19,18,8,16
2018-06-20,17,18,13
2018-06-21,12,10,8
2018-06-22,2,24,11
2018-06-23,1,2,0
2018-06-24,0,0,0
2018-06-25,22,9,15
2018-06-26,24,13,12
2018-06-27,6,11,11
2018-06-28,14,7,14
2018-06-29,23,9,11
2018-06-30,4,0,1
2018-07-01,6,0,2
2018-07-02,12,16,10
2018-07-03,8,15,16
2018-07-04,30,2,9
2018-07-05,8,20,8
2018-07-06,17,16,17
2018-07-07,9,2,0
2018-07-08,8,0,0
2018-07-09,23,21,19
2018-07-10,12,9,14
2018-07-11,23,8,19
2018-07-12,9,18,21
2018-07-13,10,11,16
2018-07-14,5,1,2
2018-07-15,13,0,1
2018-07-16,12,16,18
2018-07-17,11,15,30
2018-07-18,12,11,22
2018-07-19,0,21,26
2018-07-20,5,10,16
2018-07-21,2,0,18
2018-07-22,5,0,2
2018-07-23,24,15,19
2018-07-24,31,17,36
2018-07-25,16,24,29
2018-07-26,12,16,22
2018-07-27,36,13,32
2018-07-28,3,1,3
2018-07-29,4,0,1
2018-07-30,18,9,29
2018-07-31,10,12,18
2018-08-01,15,19,28
2018-08-02,39,12,16
2018-08-03,12,13,11
2018-08-04,0,0,1
2018-08-05,13,0,0
2018-08-06,21,4,13
2018-08-07,19,0,18
2018-08-08,20,3,24
2018-08-09,17,0,23
2018-08-10,13,4,18
2018-08-11,0,0,1
2018-08-12,4,0,2
2018-08-13,36,11,15
2018-08-14,49,12,13
2018-08-15,8,21,26
2018-08-16,8,18,35
2018-08-17,18,7,19
2018-08-18,8,0,3
2018-08-19,0,0,0
2018-08-20,11,14,17
2018-08-21,15,22,9
2018-08-22,4,11,16
2018-08-23,10,16,21
2018-08-24,8,16,14
2018-08-25,7,1,1
2018-08-26,5,0,1
2018-08-27,8,19,14
2018-08-28,9,13,23
2018-08-29,18,13,22
2018-08-30,33,30,20
2018-08-31,22,15,17
2018-09-01,1,0,2
2018-09-02,5,0,0
2018-09-03,20,0,5
2018-09-04,27,20,21
2018-09-05,29,52,22
2018-09-06,23,18,13
2018-09-07,15,23,18
2018-09-08,1,0,5
2018-09-09,0,0,0
2018-09-10,34,18,12
2018-09-11,25,27,14
2018-09-12,11,14,16
2018-09-13,26,26,33
2018-09-14,89,14,14
2018-09-15,5,1,0
2018-09-16,2,0,1
2018-09-17,31,11,12
2018-09-18,14,7,13
2018-09-19,14,17,9
2018-09-20,16,17,14
2018-09-21,22,10,10
2018-09-22,3,0,0
2018-09-23,4,0,0
2018-09-24,17,13,12
2018-09-25,27,9,10
2018-09-26,34,11,9
2018-09-27,60,19,18
2018-09-28,47,14,9
2018-09-29,1,0,0
2018-09-30,3,0,0
2018-10-01,25,16,3
2018-10-02,36,19,20
2018-10-03,43,23,21
2018-10-04,24,17,10
2018-10-05,16,5,11
2018-10-06,7,0,0
2018-10-07,1,0,0
2018-10-08,29,9,7
2018-10-09,20,16,1
2018-10-10,71,11,7
2018-10-11,51,23,3
2018-10-12,20,17,0
2018-10-13,11,1,0
2018-10-14,14,0,0
2018-10-15,24,10,8
2018-10-16,30,16,11
2018-10-17,38,14,16
2018-10-18,28,24,22
2018-10-19,26,16,20
2018-10-20,1,0,5
2018-10-21,1,0,1
2018-10-22,62,7,31
2018-10-23,31,14,35
2018-10-24,33,21,44
2018-10-25,27,15,21
2018-10-26,15,8,22
2018-10-27,9,0,0
2018-10-28,17,0,0
2018-10-29,27,27,28
2018-10-30,26,23,28
2018-10-31,41,22,25
2018-11-01,23,18,21
2018-11-02,9,13,17
2018-11-03,3,1,6
2018-11-04,3,0,0
2018-11-05,51,21,14
2018-11-06,54,18,34
2018-11-07,25,20,37
2018-11-08,17,25,30
2018-11-09,84,22,13
2018-11-10,4,1,2
2018-11-11,4,0,0
2018-11-12,22,19,7
2018-11-13,40,26,19
2018-11-14,37,22,16
2018-11-15,48,26,18
2018-11-16,33,18,25
2018-11-17,3,1,7
2018-11-18,2,0,1
2018-11-19,97,21,15
2018-11-20,42,19,16
2018-11-21,28,20,23
2018-11-22,20,8,16
2018-11-23,38,14,14
2018-11-24,1,0,0
2018-11-25,0,0,1
2018-11-26,15,22,21
2018-11-27,15,27,27
2018-11-28,15,21,24
2018-11-29,32,23,17
2018-11-30,53,27,11
2018-12-01,0,1,0
2018-12-02,0,0,0
2018-12-03,32,22,42
2018-12-04,51,13,74
2018-12-05,37,18,29
2018-12-06,33,17,24
2018-12-07,39,21,16
2018-12-08,7,2,4
2018-12-09,14,0,1
2018-12-10,34,13,20
2018-12-11,34,20,25
2018-12-12,32,11,28
2018-12-13,23,14,18
2018-12-14,36,6,34
2018-12-15,7,1,3
2018-12-16,7,0,0
