,godotengine/godot,MonoGame/MonoGame,4ian/GDevelop
2021-09-16,41,0,3
2021-09-17,26,1,0
2021-09-18,9,3,2
2021-09-19,6,0,4
2021-09-20,41,0,1
2021-09-21,51,0,1
2021-09-22,31,0,7
2021-09-23,17,0,6
2021-09-24,43,0,8
2021-09-25,18,0,0
2021-09-26,13,0,0
2021-09-27,34,0,0
2021-09-28,35,0,0
2021-09-29,50,0,5
2021-09-30,44,0,6
2021-10-01,42,0,8
2021-10-02,7,0,0
2021-10-03,8,0,2
2021-10-04,47,0,4
2021-10-05,43,0,4
2021-10-06,34,0,2
2021-10-07,48,0,8
2021-10-08,30,0,4
2021-10-09,23,0,0
2021-10-10,7,0,0
2021-10-11,29,0,2
2021-10-12,43,0,0
2021-10-13,33,3,0
2021-10-14,35,2,3
2021-10-15,35,0,1
2021-10-16,15,0,0
2021-10-17,9,1,0
2021-10-18,32,2,1
2021-10-19,28,0,0
2021-10-20,27,0,2
2021-10-21,33,0,3
2021-10-22,31,0,2
2021-10-23,19,0,0
2021-10-24,13,3,1
2021-10-25,20,0,4
2021-10-26,26,3,0
2021-10-27,24,0,2
2021-10-28,30,0,4
2021-10-29,34,0,1
2021-10-30,15,0,0
2021-10-31,15,0,0
2021-11-01,29,0,3
2021-11-02,22,0,1
2021-11-03,25,0,0
2021-11-04,23,0,2
2021-11-05,12,0,0
2021-11-06,14,0,0
2021-11-07,17,0,4
2021-11-08,29,0,1
2021-11-09,26,0,2
2021-11-10,28,0,1
2021-11-11,25,0,3
2021-11-12,28,0,2
2021-11-13,10,0,0
2021-11-14,5,0,0
2021-11-15,23,0,1
2021-11-16,15,0,5
2021-11-17,26,0,0
2021-11-18,27,0,0
2021-11-19,33,0,2
2021-11-20,22,0,3
2021-11-21,12,0,2
2021-11-22,28,0,0
2021-11-23,31,0,4
2021-11-24,14,0,8
2021-11-25,26,0,1
2021-11-26,19,0,0
2021-11-27,7,0,2
2021-11-28,7,0,0
2021-11-29,24,0,2
2021-11-30,26,0,2
2021-12-01,28,0,3
2021-12-02,27,0,5
2021-12-03,32,0,4
2021-12-04,6,0,0
2021-12-05,11,0,1
2021-12-06,39,0,0
2021-12-07,18,0,1
2021-12-08,14,0,1
2021-12-09,23,0,1
2021-12-10,44,0,5
2021-12-11,13,0,1
2021-12-12,15,0,1
2021-12-13,14,0,0
2021-12-14,12,0,2
2021-12-15,34,0,6
2021-12-16,23,0,1
2021-12-17,11,0,4
2021-12-18,7,0,0
2021-12-19,1,0,0
2021-12-20,9,0,0
2021-12-21,24,0,2
2021-12-22,7,0,2
2021-12-23,13,0,4
2021-12-24,9,0,2
2021-12-25,2,0,1
2021-12-26,6,0,1
2021-12-27,4,0,4
2021-12-28,9,0,4
2021-12-29,6,0,1
2021-12-30,10,0,1
2021-12-31,8,0,0
2022-01-01,3,0,0
2022-01-02,13,0,2
2022-01-03,20,0,2
2022-01-04,46,0,2
2022-01-05,51,0,1
2022-01-06,58,0,3
2022-01-07,35,0,3
2022-01-08,22,0,1
2022-01-09,15,0,1
2022-01-10,32,0,10
2022-01-11,22,1,3
2022-01-12,48,0,4
2022-01-13,32,0,3
2022-01-14,34,0,4
2022-01-15,15,0,1
2022-01-16,16,0,1
2022-01-17,41,0,1
2022-01-18,45,0,1
2022-01-19,40,0,3
2022-01-20,37,0,1
2022-01-21,21,0,1
2022-01-22,29,0,6
2022-01-23,29,0,8
2022-01-24,31,0,1
2022-01-25,28,0,1
2022-01-26,18,3,2
2022-01-27,24,0,7
2022-01-28,42,0,2
2022-01-29,10,0,2
2022-01-30,12,0,0
2022-01-31,31,0,3
2022-02-01,26,0,3
2022-02-02,23,0,4
2022-02-03,39,0,2
2022-02-04,36,0,2
2022-02-05,35,0,0
2022-02-06,33,0,0
2022-02-07,38,0,1
2022-02-08,65,0,0
2022-02-09,37,0,2
2022-02-10,47,0,2
2022-02-11,38,0,4
2022-02-12,41,0,0
2022-02-13,10,0,3
2022-02-14,37,0,1
2022-02-15,30,0,0
2022-02-16,40,0,4
2022-02-17,27,0,4
2022-02-18,25,0,2
2022-02-19,23,0,1
2022-02-20,16,0,1
2022-02-21,21,0,3
2022-02-22,22,0,6
2022-02-23,21,0,1
2022-02-24,14,0,2
2022-02-25,10,0,3
2022-02-26,8,0,0
2022-02-27,8,0,0
2022-02-28,22,0,1
2022-03-01,20,0,4
2022-03-02,17,0,3
2022-03-03,20,0,2
2022-03-04,56,0,5
2022-03-05,23,0,0
2022-03-06,21,0,0
2022-03-07,28,0,2
2022-03-08,24,0,2
2022-03-09,31,0,2
2022-03-10,27,0,3
2022-03-11,23,0,4
2022-03-12,20,0,0
2022-03-13,31,0,1
2022-03-14,21,0,0
2022-03-15,25,0,1
2022-03-16,25,0,4
2022-03-17,33,0,2
2022-03-18,41,0,0
2022-03-19,7,0,0
2022-03-20,18,0,0
2022-03-21,25,0,4
2022-03-22,27,0,0
2022-03-23,14,0,1
2022-03-24,16,0,1
2022-03-25,28,0,1
2022-03-26,14,0,0
2022-03-27,25,0,1
2022-03-28,51,0,2
2022-03-29,31,0,1
2022-03-30,30,0,0
2022-03-31,36,0,0
2022-04-01,27,0,4
2022-04-02,2,0,0
2022-04-03,8,0,0
2022-04-04,38,0,1
2022-04-05,26,0,1
2022-04-06,20,0,5
2022-04-07,13,0,0
2022-04-08,16,0,1
2022-04-09,8,0,0
2022-04-10,8,0,0
2022-04-11,36,0,1
2022-04-12,35,0,1
2022-04-13,36,0,1
2022-04-14,9,0,3
2022-04-15,5,0,2
2022-04-16,8,0,0
2022-04-17,12,0,0
2022-04-18,1,0,0
2022-04-19,15,0,2
2022-04-20,11,2,2
2022-04-21,3,0,2
2022-04-22,17,1,1
2022-04-23,6,2,2
2022-04-24,14,4,2
2022-04-25,34,2,1
2022-04-26,31,7,1
2022-04-27,41,3,3
2022-04-28,31,1,3
2022-04-29,25,2,2
2022-04-30,18,4,0
2022-05-01,13,1,0
2022-05-02,21,0,3
2022-05-03,27,2,0
2022-05-04,24,1,2
2022-05-05,48,2,3
2022-05-06,19,1,3
2022-05-07,7,0,1
2022-05-08,8,0,1
2022-05-09,17,0,0
2022-05-10,33,0,3
2022-05-11,18,0,1
2022-05-12,39,6,4
2022-05-13,23,1,6
2022-05-14,5,1,0
2022-05-15,6,0,0
2022-05-16,53,0,8
2022-05-17,48,0,0
2022-05-18,33,0,4
2022-05-19,15,0,5
2022-05-20,30,0,4
2022-05-21,11,1,2
2022-05-22,13,0,1
2022-05-23,32,0,4
2022-05-24,33,0,4
2022-05-25,34,0,10
2022-05-26,15,0,0
2022-05-27,15,0,4
2022-05-28,8,0,0
2022-05-29,7,0,0
2022-05-30,9,0,1
2022-05-31,21,0,1
2022-06-01,21,0,8
2022-06-02,17,0,2
2022-06-03,26,0,7
2022-06-04,10,0,0
2022-06-05,13,0,0
2022-06-06,12,0,2
2022-06-07,29,0,2
2022-06-08,27,0,6
2022-06-09,21,0,2
2022-06-10,35,0,0
2022-06-11,12,0,0
2022-06-12,18,1,1
2022-06-13,25,1,4
2022-06-14,35,1,1
2022-06-15,32,0,2
2022-06-16,30,0,4
2022-06-17,29,0,0
2022-06-18,9,0,0
2022-06-19,23,0,0
2022-06-20,20,0,0
2022-06-21,12,0,3
2022-06-22,27,1,0
2022-06-23,52,0,0
2022-06-24,23,0,0
2022-06-25,16,2,0
2022-06-26,14,0,0
2022-06-27,23,0,4
2022-06-28,35,0,2
2022-06-29,19,0,0
2022-06-30,26,4,4
2022-07-01,28,0,1
2022-07-02,16,0,1
2022-07-03,19,0,2
2022-07-04,23,0,0
2022-07-05,25,0,2
2022-07-06,33,0,5
2022-07-07,26,0,1
2022-07-08,23,0,2
2022-07-09,5,0,0
2022-07-10,9,0,0
2022-07-11,7,0,3
2022-07-12,7,0,2
2022-07-13,32,0,8
2022-07-14,12,1,0
2022-07-15,9,0,0
2022-07-16,13,0,0
2022-07-17,24,0,0
2022-07-18,34,0,7
2022-07-19,24,0,0
2022-07-20,30,0,0
2022-07-21,31,0,1
2022-07-22,32,0,4
2022-07-23,12,0,0
2022-07-24,26,9,4
2022-07-25,33,9,4
2022-07-26,45,14,5
2022-07-27,62,0,2
2022-07-28,40,0,2
2022-07-29,54,0,7
2022-07-30,34,0,0
2022-07-31,48,0,0
2022-08-01,42,0,3
2022-08-02,54,0,1
2022-08-03,37,1,6
2022-08-04,62,0,3
2022-08-05,49,0,7
2022-08-06,19,0,0
2022-08-07,32,0,0
2022-08-08,46,0,2
2022-08-09,31,0,2
2022-08-10,36,0,2
2022-08-11,16,1,4
2022-08-12,21,0,7
2022-08-13,8,0,0
2022-08-14,8,0,0
2022-08-15,26,0,0
2022-08-16,10,0,5
2022-08-17,15,0,3
2022-08-18,44,0,2
2022-08-19,30,0,0
2022-08-20,15,0,0
2022-08-21,5,0,2
2022-08-22,89,0,3
2022-08-23,65,1,0
2022-08-24,58,0,1
2022-08-25,69,0,3
2022-08-26,56,0,3
2022-08-27,39,0,0
2022-08-28,26,1,3
2022-08-29,47,0,2
2022-08-30,72,0,6
2022-08-31,38,0,2
2022-09-01,60,0,2
2022-09-02,46,0,1
2022-09-03,25,0,0
2022-09-04,14,0,0
2022-09-05,43,0,4
2022-09-06,46,0,1
2022-09-07,65,0,0
2022-09-08,35,0,0
2022-09-09,23,0,3
2022-09-10,15,1,0
2022-09-11,9,0,0
2022-09-12,30,3,2
2022-09-13,44,8,3
2022-09-14,47,0,7
2022-09-15,29,0,2
2022-09-16,47,0,4
2022-09-17,32,0,0
2022-09-18,25,2,0
2022-09-19,55,0,2
2022-09-20,38,0,1
2022-09-21,47,0,2
2022-09-22,19,0,2
2022-09-23,26,0,3
2022-09-24,17,0,0
2022-09-25,26,0,0
2022-09-26,39,0,0
2022-09-27,30,0,3
2022-09-28,43,0,5
2022-09-29,19,0,5
2022-09-30,35,0,3
2022-10-01,7,0,0
2022-10-02,12,0,0
2022-10-03,62,0,1
2022-10-04,54,0,5
2022-10-05,63,0,1
2022-10-06,35,0,4
2022-10-07,36,0,4
2022-10-08,23,0,0
2022-10-09,23,0,0
2022-10-10,42,0,0
2022-10-11,55,0,1
2022-10-12,27,0,5
2022-10-13,46,0,5
2022-10-14,25,0,3
2022-10-15,17,0,0
2022-10-16,17,0,2
2022-10-17,30,0,1
2022-10-18,24,0,2
2022-10-19,30,0,2
2022-10-20,19,0,2
2022-10-21,20,0,7
2022-10-22,16,0,1
2022-10-23,13,0,0
2022-10-24,23,0,4
2022-10-25,15,0,3
2022-10-26,13,0,2
2022-10-27,30,0,3
2022-10-28,25,0,3
2022-10-29,15,0,3
2022-10-30,12,0,2
2022-10-31,81,0,3
2022-11-01,24,0,0
2022-11-02,73,0,3
2022-11-03,25,0,3
2022-11-04,25,0,3
2022-11-05,11,0,1
2022-11-06,21,0,0
2022-11-07,19,0,7
2022-11-08,19,0,2
2022-11-09,15,0,4
2022-11-10,13,0,5
2022-11-11,41,0,0
2022-11-12,20,0,0
2022-11-13,21,0,0
2022-11-14,53,0,2
2022-11-15,52,0,6
2022-11-16,24,0,1
2022-11-17,46,0,0
2022-11-18,31,0,3
2022-11-19,20,0,0
2022-11-20,37,0,0
2022-11-21,27,0,1
2022-11-22,40,0,1
2022-11-23,41,0,3
2022-11-24,53,0,2
2022-11-25,38,0,4
2022-11-26,8,0,0
2022-11-27,11,0,1
2022-11-28,39,0,6
2022-11-29,35,0,1
2022-11-30,35,0,5
2022-12-01,29,0,3
2022-12-02,30,0,6
2022-12-03,19,0,0
2022-12-04,28,0,2
2022-12-05,45,0,2
2022-12-06,57,0,4
2022-12-07,51,0,6
2022-12-08,17,0,8
2022-12-09,29,0,7
2022-12-10,32,0,0
2022-12-11,33,0,0
2022-12-12,49,0,13
2022-12-13,40,0,7
2022-12-14,23,0,2
2022-12-15,54,0,1
2022-12-16,27,0,3
2022-12-17,51,0,0
2022-12-18,12,0,0
2022-12-19,29,0,6
2022-12-20,35,0,5
2022-12-21,59,0,6
2022-12-22,22,0,7
2022-12-23,42,0,9
2022-12-24,10,0,2
2022-12-25,3,0,0
2022-12-26,10,0,5
2022-12-27,8,0,3
2022-12-28,9,0,0
2022-12-29,14,0,1
2022-12-30,10,0,3
2022-12-31,4,0,0
2023-01-01,10,0,0
2023-01-02,8,0,2
2023-01-03,54,0,4
2023-01-04,9,0,1
2023-01-05,30,0,4
2023-01-06,28,0,1
2023-01-07,22,0,0
2023-01-08,33,0,1
2023-01-09,45,0,7
2023-01-10,34,0,3
2023-01-11,46,0,3
2023-01-12,67,0,3
2023-01-13,58,0,2
2023-01-14,27,0,3
2023-01-15,25,0,2
2023-01-16,67,0,7
2023-01-17,40,0,5
2023-01-18,52,0,5
2023-01-19,57,0,1
2023-01-20,52,0,7
2023-01-21,49,0,3
2023-01-22,36,1,3
2023-01-23,70,0,0
2023-01-24,36,0,3
2023-01-25,60,0,0
2023-01-26,81,0,0
2023-01-27,63,0,2
2023-01-28,33,0,2
2023-01-29,33,0,0
2023-01-30,65,0,3
2023-01-31,85,0,4
2023-02-01,70,0,5
2023-02-02,58,0,10
2023-02-03,43,0,2
2023-02-04,14,0,0
2023-02-05,5,0,0
2023-02-06,66,0,3
2023-02-07,45,0,1
2023-02-08,28,0,2
2023-02-09,35,0,4
2023-02-10,42,0,4
2023-02-11,59,0,0
2023-02-12,30,0,0
2023-02-13,62,0,3
2023-02-14,39,0,6
2023-02-15,35,0,4
2023-02-16,65,0,6
2023-02-17,53,0,2
2023-02-18,12,0,1
2023-02-19,17,0,1
2023-02-20,44,0,5
2023-02-21,55,0,6
2023-02-22,44,0,3
2023-02-23,29,0,6
2023-02-24,30,0,12
2023-02-25,13,3,2
2023-02-26,32,0,0
2023-02-27,30,0,6
2023-02-28,10,0,4
2023-03-01,12,0,8
2023-03-02,28,0,4
2023-03-03,31,0,2
2023-03-04,11,0,0
2023-03-05,21,0,0
2023-03-06,46,0,0
2023-03-07,34,0,5
2023-03-08,30,0,2
2023-03-09,28,0,7
2023-03-10,36,0,6
2023-03-11,5,0,0
2023-03-12,8,0,0
2023-03-13,5,0,2
2023-03-14,9,0,4
2023-03-15,35,0,0
2023-03-16,34,0,4
2023-03-17,4,0,3
2023-03-18,4,0,0
2023-03-19,7,0,2
2023-03-20,25,0,7
2023-03-21,16,0,4
2023-03-22,8,0,1
2023-03-23,5,0,4
2023-03-24,3,0,7
2023-03-25,27,0,0
2023-03-26,7,0,3
2023-03-27,26,0,5
2023-03-28,8,0,3
2023-03-29,7,0,3
2023-03-30,15,0,2
2023-03-31,15,0,5
2023-04-01,5,0,0
2023-04-02,13,0,0
2023-04-03,46,0,2
2023-04-04,10,0,6
2023-04-05,26,0,3
2023-04-06,11,0,1
2023-04-07,25,0,3
2023-04-08,19,0,0
2023-04-09,6,1,1
2023-04-10,31,0,0
2023-04-11,43,0,4
2023-04-12,34,0,2
2023-04-13,30,0,7
2023-04-14,9,0,0
2023-04-15,6,0,1
2023-04-16,9,0,0
2023-04-17,28,0,0
2023-04-18,41,15,3
2023-04-19,14,3,2
2023-04-20,26,4,3
2023-04-21,13,0,3
2023-04-22,10,0,0
2023-04-23,10,0,0
2023-04-24,27,0,0
2023-04-25,36,0,2
2023-04-26,28,0,1
2023-04-27,31,0,0
2023-04-28,21,1,2
2023-04-29,8,0,0
2023-04-30,4,0,0
2023-05-01,11,0,1
2023-05-02,8,0,2
2023-05-03,20,0,1
2023-05-04,4,0,1
2023-05-05,27,1,0
2023-05-06,11,0,0
2023-05-07,11,1,0
2023-05-08,51,0,0
2023-05-09,34,0,1
2023-05-10,33,0,0
2023-05-11,34,0,1
2023-05-12,56,0,3
2023-05-13,9,0,1
2023-05-14,9,0,1
2023-05-15,42,0,1
2023-05-16,20,0,3
2023-05-17,33,0,4
2023-05-18,25,0,3
2023-05-19,24,0,9
2023-05-20,13,0,0
2023-05-21,8,0,0
2023-05-22,49,0,5
2023-05-23,30,0,10
2023-05-24,45,0,4
2023-05-25,17,0,5
2023-05-26,30,0,1
2023-05-27,23,0,0
2023-05-28,8,0,0
2023-05-29,52,0,0
2023-05-30,47,0,1
2023-05-31,35,0,1
2023-06-01,13,0,3
2023-06-02,39,0,1
2023-06-03,9,0,1
2023-06-04,4,0,0
2023-06-05,31,0,0
2023-06-06,29,0,2
2023-06-07,42,0,4
2023-06-08,29,0,2
2023-06-09,47,0,5
2023-06-10,15,0,0
2023-06-11,9,0,1
2023-06-12,70,0,2
2023-06-13,38,0,2
2023-06-14,39,0,7
2023-06-15,60,0,2
2023-06-16,45,0,2
2023-06-17,6,0,0
2023-06-18,32,0,0
2023-06-19,54,0,1
2023-06-20,56,0,2
2023-06-21,45,0,7
2023-06-22,42,0,5
2023-06-23,33,0,1
2023-06-24,8,0,0
2023-06-25,7,0,0
2023-06-26,35,0,2
2023-06-27,12,0,0
2023-06-28,18,0,1
2023-06-29,17,0,2
2023-06-30,2,0,1
2023-07-01,8,0,0
2023-07-02,10,0,0
2023-07-03,23,0,3
2023-07-04,6,0,0
2023-07-05,17,0,1
2023-07-06,12,0,0
2023-07-07,52,0,2
2023-07-08,33,0,0
2023-07-09,14,0,1
2023-07-10,26,0,1
2023-07-11,18,0,2
2023-07-12,80,0,2
2023-07-13,6,0,2
2023-07-14,43,0,0
2023-07-15,6,0,0
2023-07-16,6,0,0
2023-07-17,31,0,1
2023-07-18,35,0,4
2023-07-19,10,0,0
2023-07-20,19,0,0
2023-07-21,40,0,0
2023-07-22,6,0,0
2023-07-23,10,0,0
2023-07-24,43,0,2
2023-07-25,33,0,1
2023-07-26,43,0,3
2023-07-27,25,0,5
2023-07-28,12,0,4
2023-07-29,4,0,0
2023-07-30,9,0,0
2023-07-31,25,0,2
2023-08-01,47,0,0
2023-08-02,46,0,5
2023-08-03,47,0,1
2023-08-04,27,0,1
2023-08-05,8,0,0
2023-08-06,5,0,0
2023-08-07,61,0,0
2023-08-08,34,0,2
2023-08-09,30,0,2
2023-08-10,20,0,2
2023-08-11,16,0,4
2023-08-12,11,0,1
2023-08-13,8,0,2
2023-08-14,26,0,1
2023-08-15,14,0,0
2023-08-16,42,0,2
2023-08-17,63,0,3
2023-08-18,13,0,2
2023-08-19,15,0,0
2023-08-20,7,0,0
2023-08-21,33,0,0
2023-08-22,8,0,3
2023-08-23,7,0,6
2023-08-24,10,0,3
2023-08-25,32,0,3
2023-08-26,4,0,0
2023-08-27,11,0,0
2023-08-28,66,0,1
2023-08-29,61,0,5
2023-08-30,29,0,1
2023-08-31,18,0,4
2023-09-01,20,0,5
2023-09-02,20,0,1
2023-09-03,12,0,0
2023-09-04,17,0,1
2023-09-05,26,0,3
2023-09-06,30,0,5
2023-09-07,39,0,5
2023-09-08,29,0,1
2023-09-09,6,0,0
2023-09-10,4,11,0
2023-09-11,35,0,1
2023-09-12,31,0,0
2023-09-13,12,1,2
2023-09-14,29,0,0
2023-09-15,29,0,2
2023-09-16,25,0,1
2023-09-17,13,1,0
2023-09-18,18,0,3
2023-09-19,24,0,2
2023-09-20,42,0,0
2023-09-21,23,0,2
2023-09-22,20,2,1
2023-09-23,10,0,3
2023-09-24,32,0,0
2023-09-25,49,0,1
2023-09-26,86,0,0
2023-09-27,35,0,5
2023-09-28,25,0,0
2023-09-29,31,1,4
2023-09-30,18,0,0
2023-10-01,11,0,0
2023-10-02,42,0,3
2023-10-03,51,0,3
2023-10-04,37,1,4
2023-10-05,48,0,2
2023-10-06,32,0,5
2023-10-07,7,0,0
2023-10-08,12,0,3
2023-10-09,51,0,2
2023-10-10,39,0,8
2023-10-11,35,0,4
2023-10-12,11,0,12
2023-10-13,56,0,2
2023-10-14,7,0,0
2023-10-15,9,0,0
2023-10-16,58,1,5
2023-10-17,36,0,7
2023-10-18,27,0,9
2023-10-19,12,0,8
2023-10-20,43,0,5
2023-10-21,20,0,0
2023-10-22,21,0,0
2023-10-23,39,0,3
2023-10-24,33,0,0
2023-10-25,36,1,6
2023-10-26,47,0,3
2023-10-27,38,0,1
2023-10-28,30,0,1
2023-10-29,6,0,1
2023-10-30,49,0,6
2023-10-31,27,0,1
2023-11-01,38,0,0
2023-11-02,24,0,6
2023-11-03,14,0,4
2023-11-04,7,0,0
2023-11-05,3,0,0
2023-11-06,28,0,2
2023-11-07,20,0,1
2023-11-08,18,0,1
2023-11-09,46,0,1
2023-11-10,42,0,2
2023-11-11,16,0,0
2023-11-12,26,0,1
2023-11-13,20,0,4
2023-11-14,32,0,0
2023-11-15,23,0,2
2023-11-16,20,0,3
2023-11-17,8,0,3
2023-11-18,4,0,0
2023-11-19,6,0,1
2023-11-20,14,0,1
2023-11-21,16,0,5
2023-11-22,24,0,7
2023-11-23,18,3,3
2023-11-24,9,1,1
2023-11-25,6,0,0
2023-11-26,6,0,0
2023-11-27,11,0,2
2023-11-28,22,0,7
2023-11-29,15,4,4
2023-11-30,7,0,1
2023-12-01,8,1,4
2023-12-02,9,0,0
2023-12-03,1,0,0
2023-12-04,63,0,8
2023-12-05,31,0,3
2023-12-06,16,0,1
2023-12-07,11,0,5
2023-12-08,46,0,1
2023-12-09,7,0,0
2023-12-10,5,10,0
2023-12-11,27,0,4
2023-12-12,24,0,2
2023-12-13,23,0,6
2023-12-14,33,0,2
2023-12-15,9,1,5
2023-12-16,24,1,0
2023-12-17,8,0,0
2023-12-18,28,1,3
2023-12-19,50,0,3
2023-12-20,25,0,4
2023-12-21,14,0,2
2023-12-22,15,0,1
2023-12-23,2,0,0
2023-12-24,3,0,0
2023-12-25,6,0,0
2023-12-26,5,0,1
2023-12-27,6,0,2
2023-12-28,3,0,0
2023-12-29,2,0,0
2023-12-30,8,0,0
2023-12-31,5,3,0
2024-01-01,3,0,0
2024-01-02,50,0,1
2024-01-03,44,0,1
2024-01-04,55,0,4
2024-01-05,33,0,3
2024-01-06,22,0,0
2024-01-07,11,0,0
2024-01-08,62,0,4
2024-01-09,44,0,3
2024-01-10,25,1,2
2024-01-11,45,1,1
2024-01-12,12,0,4
2024-01-13,4,0,0
2024-01-14,9,0,0
2024-01-15,41,0,3
2024-01-16,43,0,1
2024-01-17,35,0,3
2024-01-18,37,0,6
2024-01-19,15,0,0
2024-01-20,6,0,0
2024-01-21,4,0,1
2024-01-22,36,2,3
2024-01-23,12,0,3
2024-01-24,36,0,2
2024-01-25,26,0,7
2024-01-26,46,0,9
2024-01-27,3,0,0
2024-01-28,9,1,0
2024-01-29,59,1,7
2024-01-30,31,0,5
2024-01-31,38,3,1
2024-02-01,10,0,2
2024-02-02,28,0,2
2024-02-03,32,0,1
2024-02-04,18,1,0
2024-02-05,45,6,2
2024-02-06,17,0,0
2024-02-07,42,0,3
2024-02-08,35,0,5
2024-02-09,38,0,6
2024-02-10,5,1,0
2024-02-11,16,0,0
2024-02-12,57,0,1
2024-02-13,94,4,2
2024-02-14,38,0,1
2024-02-15,43,1,1
2024-02-16,40,0,3
2024-02-17,33,0,0
2024-02-18,43,0,0
2024-02-19,47,0,7
2024-02-20,50,1,1
2024-02-21,30,0,1
2024-02-22,61,0,3
2024-02-23,55,0,7
2024-02-24,8,0,0
2024-02-25,18,1,0
2024-02-26,40,0,1
2024-02-27,75,0,4
2024-02-28,25,0,8
2024-02-29,49,0,2
2024-03-01,47,2,4
2024-03-02,9,0,0
2024-03-03,9,0,0
2024-03-04,69,0,2
2024-03-05,49,3,5
2024-03-06,34,1,4
2024-03-07,21,1,2
2024-03-08,45,0,5
2024-03-09,34,0,1
2024-03-10,20,0,0
2024-03-11,28,0,1
2024-03-12,18,13,1
2024-03-13,30,6,1
2024-03-14,32,4,11
2024-03-15,37,0,0
2024-03-16,11,0,0
2024-03-17,7,0,0
2024-03-18,10,0,0
2024-03-19,8,0,0
2024-03-20,12,0,0
2024-03-21,12,2,1
2024-03-22,4,2,3
2024-03-23,12,0,0
2024-03-24,76,0,0
2024-03-25,28,0,1
2024-03-26,30,0,3
2024-03-27,12,0,7
2024-03-28,25,0,3
2024-03-29,6,0,0
2024-03-30,8,0,0
2024-03-31,9,0,0
2024-04-01,8,1,0
2024-04-02,5,0,3
2024-04-03,7,0,3
2024-04-04,102,0,1
2024-04-05,54,0,2
2024-04-06,29,0,0
2024-04-07,6,0,0
2024-04-08,92,1,1
2024-04-09,39,0,2
2024-04-10,67,0,0
2024-04-11,21,0,0
2024-04-12,34,3,0
2024-04-13,39,0,0
2024-04-14,8,0,0
2024-04-15,38,0,2
