,bitcoin/bitcoin,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system
2023-08-19,0,0,0
2023-08-20,0,0,1
2023-08-21,5,0,0
2023-08-22,17,0,0
2023-08-23,30,15,0
2023-08-24,30,0,0
2023-08-25,11,10,0
2023-08-26,2,0,0
2023-08-27,8,0,0
2023-08-28,8,0,0
2023-08-29,9,0,0
2023-08-30,10,0,0
2023-08-31,7,0,0
2023-09-01,8,9,0
2023-09-02,1,5,0
2023-09-03,1,0,0
2023-09-04,5,0,0
2023-09-05,14,3,0
2023-09-06,9,1,0
2023-09-07,19,6,0
2023-09-08,7,0,0
2023-09-09,2,0,0
2023-09-10,5,0,0
2023-09-11,3,0,0
2023-09-12,23,23,0
2023-09-13,28,0,0
2023-09-14,21,8,0
2023-09-15,16,0,0
2023-09-16,2,9,0
2023-09-17,0,0,0
2023-09-18,1,0,0
2023-09-19,16,1,0
2023-09-20,16,0,0
2023-09-21,6,7,0
2023-09-22,3,0,0
2023-09-23,2,0,0
2023-09-24,1,0,0
2023-09-25,1,7,0
2023-09-26,2,0,0
2023-09-27,13,0,0
2023-09-28,6,0,0
2023-09-29,10,0,0
2023-09-30,24,6,0
2023-10-01,0,6,0
2023-10-02,32,8,0
2023-10-03,29,1,0
2023-10-04,31,0,0
2023-10-05,29,1,0
2023-10-06,14,0,0
2023-10-07,2,0,0
2023-10-08,31,0,0
2023-10-09,18,1,0
2023-10-10,12,0,0
2023-10-11,8,1,0
2023-10-12,15,1,0
2023-10-13,27,0,0
2023-10-14,0,0,0
2023-10-15,3,1,0
2023-10-16,10,0,0
2023-10-17,11,0,0
2023-10-18,7,0,0
2023-10-19,14,0,0
2023-10-20,25,0,0
2023-10-21,0,0,0
2023-10-22,0,0,0
2023-10-23,17,0,0
2023-10-24,18,13,0
2023-10-25,8,0,0
2023-10-26,10,0,0
2023-10-27,2,0,0
2023-10-28,0,0,0
2023-10-29,3,0,0
2023-10-30,18,0,0
2023-10-31,11,0,0
2023-11-01,12,0,0
2023-11-02,11,0,0
2023-11-03,21,0,0
2023-11-04,1,0,0
2023-11-05,6,0,0
2023-11-06,7,0,0
2023-11-07,16,0,0
2023-11-08,17,0,0
2023-11-09,15,0,0
2023-11-10,18,2,0
2023-11-11,1,0,0
2023-11-12,0,0,0
2023-11-13,25,0,0
2023-11-14,11,0,0
2023-11-15,6,0,0
2023-11-16,20,2,0
2023-11-17,17,0,0
2023-11-18,0,0,0
2023-11-19,1,3,0
2023-11-20,6,0,0
2023-11-21,4,1,0
2023-11-22,23,0,0
2023-11-23,10,0,0
2023-11-24,6,0,0
2023-11-25,4,0,0
2023-11-26,2,0,0
2023-11-27,2,0,0
2023-11-28,21,0,0
2023-11-29,13,0,0
2023-11-30,14,0,0
2023-12-01,7,0,0
2023-12-02,1,0,0
2023-12-03,1,0,0
2023-12-04,20,0,0
2023-12-05,14,1,0
2023-12-06,11,0,0
2023-12-07,15,0,0
2023-12-08,22,1,0
2023-12-09,6,0,0
2023-12-10,1,0,0
2023-12-11,20,0,0
2023-12-12,14,0,0
2023-12-13,10,0,0
2023-12-14,12,0,0
2023-12-15,13,0,0
2023-12-16,0,0,0
2023-12-17,1,0,0
2023-12-18,6,4,0
2023-12-19,3,2,0
2023-12-20,4,3,0
2023-12-21,9,0,0
