,microsoft/typescript,rescript-lang/rescript-compiler,google/closure-compiler
2018-10-08,21,3,2
2018-10-09,15,9,5
2018-10-10,11,12,2
2018-10-11,16,6,4
2018-10-12,4,2,6
2018-10-13,0,2,0
2018-10-14,0,0,0
2018-10-15,10,0,2
2018-10-16,10,0,3
2018-10-17,5,0,3
2018-10-18,8,0,0
2018-10-19,7,11,11
2018-10-20,4,4,0
2018-10-21,6,3,0
2018-10-22,16,7,0
2018-10-23,9,5,5
2018-10-24,9,2,4
2018-10-25,12,6,0
2018-10-26,15,7,0
2018-10-27,1,2,0
2018-10-28,3,6,0
2018-10-29,14,4,0
2018-10-30,22,9,29
2018-10-31,46,1,5
2018-11-01,16,3,0
2018-11-02,15,3,7
2018-11-03,4,8,3
2018-11-04,0,2,0
2018-11-05,31,2,4
2018-11-06,17,1,0
2018-11-07,17,0,10
2018-11-08,19,0,6
2018-11-09,31,8,0
2018-11-10,14,1,0
2018-11-11,1,9,0
2018-11-12,23,6,12
2018-11-13,11,5,6
2018-11-14,4,0,5
2018-11-15,17,0,3
2018-11-16,16,0,0
2018-11-17,6,3,9
2018-11-18,0,10,0
2018-11-19,13,0,9
2018-11-20,13,8,4
2018-11-21,8,1,3
2018-11-22,1,8,0
2018-11-23,0,8,0
2018-11-24,0,3,0
2018-11-25,0,12,0
2018-11-26,4,7,5
2018-11-27,0,2,0
2018-11-28,8,8,6
2018-11-29,4,3,0
2018-11-30,9,11,8
2018-12-01,9,2,0
2018-12-02,0,16,0
2018-12-03,7,10,0
2018-12-04,13,5,7
2018-12-05,13,3,0
2018-12-06,26,0,2
2018-12-07,6,1,17
2018-12-08,9,0,1
2018-12-09,5,1,0
2018-12-10,11,6,0
2018-12-11,20,0,2
2018-12-12,5,5,0
2018-12-13,7,9,11
2018-12-14,3,5,0
2018-12-15,0,3,6
2018-12-16,4,1,0
2018-12-17,9,8,9
2018-12-18,19,0,5
2018-12-19,11,0,9
2018-12-20,25,0,0
2018-12-21,14,5,17
2018-12-22,1,3,0
2018-12-23,1,0,0
2018-12-24,0,0,0
2018-12-25,1,2,0
2018-12-26,3,0,5
2018-12-27,3,12,0
2018-12-28,10,11,2
2018-12-29,1,10,0
2018-12-30,0,2,0
2018-12-31,14,5,0
2019-01-01,4,11,0
2019-01-02,1,6,0
2019-01-03,15,1,2
2019-01-04,4,18,3
2019-01-05,0,3,0
2019-01-06,1,11,0
2019-01-07,4,0,7
2019-01-08,5,0,6
2019-01-09,13,15,5
2019-01-10,13,2,2
2019-01-11,18,7,12
2019-01-12,2,0,0
2019-01-13,1,0,0
2019-01-14,11,18,10
2019-01-15,18,6,7
2019-01-16,15,9,5
2019-01-17,19,5,7
2019-01-18,8,6,8
2019-01-19,12,0,0
2019-01-20,4,17,0
2019-01-21,0,10,0
2019-01-22,7,16,13
2019-01-23,7,10,7
