,mermaid-js/mermaid,yuzutech/kroki,plantuml/plantuml
2019-04-10,0,0,0.0
2019-04-11,0,0,0.0
2019-04-12,0,0,0.0
2019-04-13,0,0,0.0
2019-04-14,0,0,0.0
2019-04-15,0,0,0.0
2019-04-16,0,0,0.0
2019-04-17,0,0,0.0
2019-04-18,2,0,0.0
2019-04-19,0,0,0.0
2019-04-20,0,0,0.0
2019-04-21,0,0,1.0
2019-04-22,0,0,-0.6000000000000001
2019-04-23,0,0,-0.12
2019-04-24,1,1,-0.055999999999999994
2019-04-25,0,1,-0.03359999999999997
2019-04-26,2,0,-0.022848000000000004
2019-04-27,0,0,-0.01675520000000001
2019-04-28,0,0,-0.012925440000000009
2019-04-29,0,0,-0.01034035200000001
2019-04-30,0,0,1.9914979328
2019-05-01,0,0,-1.2000000000000002
2019-05-02,1,0,-0.24
2019-05-03,0,0,-0.11199999999999999
2019-05-04,0,0,-0.06719999999999994
2019-05-05,0,0,-0.04569600000000001
2019-05-06,0,0,-0.03351040000000002
2019-05-07,1,0,-0.025850880000000017
2019-05-08,0,0,-0.02068070400000002
2019-05-09,0,0,-0.01700413440000002
2019-05-10,0,0,0.0
2019-05-11,0,0,0.0
2019-05-12,0,0,0.0
2019-05-13,0,0,0.0
2019-05-14,1,0,0.0
2019-05-15,0,0,0.0
2019-05-16,0,0,0.0
2019-05-17,0,0,0.0
2019-05-18,0,0,0.0
2019-05-19,0,0,0.0
2019-05-20,0,0,0.0
2019-05-21,0,0,0.0
2019-05-22,0,0,0.0
2019-05-23,0,0,0.0
2019-05-24,1,0,1.0
2019-05-25,0,0,1.4
2019-05-26,0,0,-1.3200000000000003
2019-05-27,0,0,-0.296
2019-05-28,6,0,-0.14559999999999995
2019-05-29,0,0,-0.09004799999999995
2019-05-30,2,0,-0.06245120000000001
2019-05-31,2,0,-0.04643584000000003
2019-06-01,2,0,-0.036191232000000025
2019-06-02,0,0,-0.029182771200000027
2019-06-03,0,0,-0.01700413440000002
2019-06-04,5,0,0.0
2019-06-05,0,0,0.0
2019-06-06,0,0,0.0
2019-06-07,1,0,0.0
2019-06-08,2,0,0.0
2019-06-09,9,0,0.0
2019-06-10,1,0,0.0
2019-06-11,7,0,0.0
2019-06-12,0,0,0.0
2019-06-13,1,0,0.0
2019-06-14,3,0,0.0
2019-06-15,3,0,0.0
2019-06-16,1,0,0.0
2019-06-17,0,0,0.0
2019-06-18,0,0,0.0
2019-06-19,0,0,0.0
2019-06-20,0,0,0.0
2019-06-21,0,0,0.0
2019-06-22,0,0,0.0
2019-06-23,0,0,0.0
2019-06-24,1,0,0.0
2019-06-25,2,0,0.0
2019-06-26,4,0,1.0
2019-06-27,0,0,-0.6000000000000001
2019-06-28,3,0,-0.12
2019-06-29,7,0,-0.055999999999999994
2019-06-30,2,0,-0.03359999999999997
2019-07-01,0,0,0.977152
2019-07-02,0,0,-0.6167552000000001
2019-07-03,0,0,-0.13292544
2019-07-04,0,0,0.933659648
2019-07-05,0,0,-0.6421020672000001
2019-07-06,9,0,-0.142848
2019-07-07,10,0,-0.0727552
2019-07-08,1,0,-0.04652543999999998
2019-07-09,0,0,-0.03318835200000001
2019-07-10,1,0,-0.025257267200000016
2019-07-11,1,0,-0.012925440000000009
2019-07-12,3,0,-0.01034035200000001
2019-07-13,3,0,-0.00850206720000001
2019-07-14,10,0,1.0
2019-07-15,1,0,-0.6000000000000001
2019-07-16,3,0,-0.12
2019-07-17,1,0,-0.055999999999999994
2019-07-18,0,0,-0.03359999999999997
2019-07-19,0,0,-0.022848000000000004
2019-07-20,0,0,-0.01675520000000001
2019-07-21,12,0,-0.012925440000000009
2019-07-22,4,0,-0.01034035200000001
2019-07-23,9,0,-0.00850206720000001
2019-07-24,6,0,0.0
2019-07-25,3,0,0.0
2019-07-26,0,0,0.0
2019-07-27,0,0,0.0
2019-07-28,0,0,0.0
2019-07-29,0,0,0.0
2019-07-30,0,0,0.0
2019-07-31,1,0,0.0
2019-08-01,0,0,0.0
2019-08-02,1,0,0.0
2019-08-03,2,0,0.0
2019-08-04,1,0,0.0
2019-08-05,0,0,0.0
2019-08-06,0,0,0.0
2019-08-07,1,0,0.0
2019-08-08,2,0,0.0
2019-08-09,0,0,0.0
2019-08-10,0,0,0.0
2019-08-11,1,0,0.0
2019-08-12,0,0,0.0
2019-08-13,0,0,0.0
2019-08-14,5,0,0.0
2019-08-15,1,0,0.0
2019-08-16,4,0,0.0
2019-08-17,0,0,0.0
2019-08-18,0,0,0.0
2019-08-19,0,0,2.0
2019-08-20,2,0,-1.2000000000000002
2019-08-21,0,0,-0.24
2019-08-22,1,0,0.888
2019-08-23,0,0,-0.6672
2019-08-24,0,0,-0.165696
2019-08-25,1,0,-0.08951040000000002
2019-08-26,2,0,0.94054912
2019-08-27,1,0,-0.6435287040000001
2019-08-28,17,0,-0.15375933440000003
2019-08-29,3,0,-0.06892544
2019-08-30,0,0,-0.04394035199999998
2019-08-31,0,0,-0.03135006720000001
2019-09-01,4,0,-0.01675520000000001
2019-09-02,0,0,-0.012925440000000009
2019-09-03,1,0,-0.01034035200000001
2019-09-04,0,9,-0.00850206720000001
2019-09-05,0,0,0.0
2019-09-06,0,0,0.0
2019-09-07,0,0,0.0
2019-09-08,3,0,0.0
2019-09-09,0,0,0.0
2019-09-10,0,0,0.0
2019-09-11,14,0,0.0
2019-09-12,15,0,1.0
2019-09-13,1,0,-0.6000000000000001
2019-09-14,0,0,0.88
2019-09-15,0,0,-0.6560000000000001
2019-09-16,0,0,-0.15359999999999996
2019-09-17,0,0,-0.078848
2019-09-18,9,0,-0.050355199999999975
2019-09-19,10,1,-0.03577344000000001
2019-09-20,0,0,-0.027095552000000016
2019-09-21,5,1,-0.02142750720000002
2019-09-22,3,0,0.989659648
2019-09-23,9,0,-0.6085020672000001
2019-09-24,4,0,-0.12
2019-09-25,9,0,-0.055999999999999994
2019-09-26,3,0,-0.03359999999999997
2019-09-27,5,0,-0.022848000000000004
2019-09-28,1,0,-0.01675520000000001
2019-09-29,2,0,-0.012925440000000009
2019-09-30,1,0,-0.01034035200000001
2019-10-01,6,2,-0.00850206720000001
2019-10-02,7,1,0.0
2019-10-03,15,2,0.0
2019-10-04,7,0,3.0
2019-10-05,12,0,-1.8000000000000003
2019-10-06,9,0,-0.36
2019-10-07,1,0,-0.16799999999999998
2019-10-08,14,0,-0.10079999999999992
2019-10-09,5,5,-0.06854400000000001
2019-10-10,3,0,0.9497344
2019-10-11,6,3,-0.6387763200000001
2019-10-12,2,0,-0.15102105600000001
2019-10-13,1,0,-0.08150620160000002
2019-10-14,4,0,-0.03359999999999997
2019-10-15,22,0,-0.022848000000000004
2019-10-16,16,0,-0.01675520000000001
2019-10-17,2,0,-0.012925440000000009
2019-10-18,3,0,-0.01034035200000001
2019-10-19,6,0,-0.00850206720000001
2019-10-20,0,0,0.0
2019-10-21,12,0,0.0
2019-10-22,0,0,0.0
2019-10-23,7,2,0.0
2019-10-24,6,7,0.0
2019-10-25,0,0,0.0
2019-10-26,0,0,0.0
