,ansible/ansible,cfengine/core,saltstack/salt
2016-05-05,12,0,32
2016-05-06,10,0,24
2016-05-07,2,0,1
2016-05-08,0,0,0
2016-05-09,9,4,20
2016-05-10,14,2,24
2016-05-11,11,7,12
2016-05-12,33,3,27
2016-05-13,22,0,24
2016-05-14,8,0,0
2016-05-15,1,0,3
2016-05-16,19,1,32
2016-05-17,11,0,26
2016-05-18,25,2,11
2016-05-19,13,0,41
2016-05-20,8,0,27
2016-05-21,3,0,0
2016-05-22,1,0,0
2016-05-23,11,1,75
2016-05-24,14,2,40
2016-05-25,12,17,53
2016-05-26,10,2,50
2016-05-27,8,0,49
2016-05-28,2,0,8
2016-05-29,0,0,15
2016-05-30,0,1,19
2016-05-31,15,0,53
2016-06-01,32,1,63
2016-06-02,27,2,76
2016-06-03,13,1,60
2016-06-04,13,0,5
2016-06-05,1,0,12
2016-06-06,21,2,50
2016-06-07,14,0,32
2016-06-08,8,8,46
2016-06-09,9,0,47
2016-06-10,9,11,29
2016-06-11,0,1,8
2016-06-12,0,0,6
2016-06-13,11,4,54
2016-06-14,20,1,62
2016-06-15,18,0,43
2016-06-16,7,2,28
2016-06-17,15,0,33
2016-06-18,4,0,4
2016-06-19,1,0,0
2016-06-20,11,0,34
2016-06-21,4,0,47
2016-06-22,10,0,43
2016-06-23,14,6,34
2016-06-24,9,6,41
2016-06-25,1,0,11
2016-06-26,0,0,0
2016-06-27,9,1,29
2016-06-28,15,4,46
2016-06-29,8,5,31
2016-06-30,8,0,39
2016-07-01,10,1,14
2016-07-02,5,0,4
2016-07-03,3,0,0
2016-07-04,4,6,3
2016-07-05,21,3,37
2016-07-06,21,4,131
2016-07-07,19,1,49
2016-07-08,10,9,39
2016-07-09,10,0,6
2016-07-10,3,0,2
2016-07-11,9,2,40
2016-07-12,7,5,37
2016-07-13,2,4,49
2016-07-14,10,2,46
2016-07-15,12,3,42
2016-07-16,0,0,25
2016-07-17,0,0,12
2016-07-18,3,1,64
2016-07-19,1,0,44
2016-07-20,5,2,103
2016-07-21,7,0,50
2016-07-22,3,5,56
2016-07-23,8,0,5
2016-07-24,4,0,20
2016-07-25,8,0,49
2016-07-26,6,5,71
2016-07-27,1,4,75
2016-07-28,4,0,52
2016-07-29,7,0,39
2016-07-30,1,1,15
2016-07-31,1,0,7
2016-08-01,3,0,67
2016-08-02,4,0,99
2016-08-03,2,0,33
