,emberjs/ember.js,angular/angular,facebook/react
2018-09-18,1,15.0,11
2018-09-19,2,17.0,4
2018-09-20,0,4.0,0
2018-09-21,4,21.0,0
2018-09-22,6,2.0,0
2018-09-23,2,0.0,1
2018-09-24,6,20.0,0
2018-09-25,10,3.0,6
2018-09-26,5,48.0,4
2018-09-27,2,30.0,2
2018-09-28,1,5.0,2
2018-09-29,2,0.0,0
2018-09-30,1,0.0,0
2018-10-01,5,23.0,2
2018-10-02,4,1.0,1
2018-10-03,10,3.0,2
2018-10-04,7,19.0,9
2018-10-05,10,17.0,1
2018-10-06,2,0.0,0
2018-10-07,3,0.0,0
2018-10-08,6,17.0,0
2018-10-09,2,7.0,2
2018-10-10,1,18.0,7
2018-10-11,1,24.0,2
2018-10-12,3,15.0,8
2018-10-13,3,0.0,0
2018-10-14,9,0.0,1
2018-10-15,4,11.0,1
2018-10-16,1,8.0,1
2018-10-17,2,29.0,1
2018-10-18,12,14.0,4
2018-10-19,11,36.0,8
2018-10-20,4,17.0,11
2018-10-21,0,2.0,5
2018-10-22,2,3.0,1
2018-10-23,7,28.0,23
2018-10-24,5,14.0,2
2018-10-25,0,6.0,0
2018-10-26,2,33.0,0
2018-10-27,0,0.0,3
2018-10-28,0,0.0,0
2018-10-29,4,16.0,23
2018-10-30,1,15.0,3
2018-10-31,5,17.0,3
2018-11-01,1,40.0,2
2018-11-02,1,14.0,5
2018-11-03,1,0.0,0
2018-11-04,0,0.0,0
2018-11-05,4,8.0,9
2018-11-06,3,6.0,9
2018-11-07,2,7.0,15
2018-11-08,4,10.0,4
2018-11-09,6,10.0,14
2018-11-10,0,0.0,2
2018-11-11,6,0.0,0
2018-11-12,3,9.0,1
2018-11-13,3,14.0,4
2018-11-14,0,10.0,3
2018-11-15,1,1.0,1
2018-11-16,0,10.0,1
2018-11-17,0,5.0,0
2018-11-18,0,0.0,0
2018-11-19,4,3.0,5
2018-11-20,1,11.0,2
2018-11-21,3,9.0,0
2018-11-22,4,0.0,5
2018-11-23,3,0.0,3
2018-11-24,0,0.0,1
2018-11-25,0,0.0,0
2018-11-26,5,10.0,2
2018-11-27,0,23.0,4
2018-11-28,9,9.0,2
2018-11-29,2,2.0,1
2018-11-30,2,56.0,3
2018-12-01,0,1.0,1
2018-12-02,0,0.0,2
2018-12-03,0,14.0,3
2018-12-04,22,12.0,2
2018-12-05,39,52.0,2
2018-12-06,56,31.0,2
2018-12-07,35,16.0,2
2018-12-08,32,0.0,0
2018-12-09,30,0.0,0
2018-12-10,16,6.0,0
2018-12-11,12,12.0,0
2018-12-12,32,10.0,2
2018-12-13,0,16.0,2
2018-12-14,10,26.0,2
