,getpelican/pelican,jekyll/jekyll,middleman/middleman
2010-08-14,1.0,0,0.0
2010-08-15,0.0,0,0.0
2010-08-16,0.0,0,0.0
2010-08-17,7.0,0,0.0
2010-08-18,11.0,0,0.0
2010-08-19,8.0,0,0.0
2010-08-20,0.0,0,0.0
2010-08-21,0.0,0,0.0
2010-08-22,0.0,0,0.0
2010-08-23,0.0,0,0.0
2010-08-24,0.0,5,0.0
2010-08-25,0.0,0,0.0
2010-08-26,0.0,0,0.0
2010-08-27,0.0,0,0.0
2010-08-28,0.0,0,0.0
2010-08-29,1.0,0,0.0
2010-08-30,0.0,5,0.0
2010-08-31,0.0,1,0.0
2010-09-01,0.0,0,0.0
2010-09-02,0.0,1,0.0
2010-09-03,0.0,0,0.0
2010-09-04,0.0,0,1.0
2010-09-05,0.0,1,3.6
2010-09-06,0.0,0,3.2800000000000002
2010-09-07,0.0,0,-1.5439999999999996
2010-09-08,0.0,0,-1.2975999999999999
2010-09-09,0.0,2,-0.6363520000000001
2010-09-10,0.0,0,-0.4147712000000003
2010-09-11,0.0,0,1.6984166399999998
2010-09-12,0.0,3,-1.0334059519999998
2010-09-13,0.0,0,-0.42823700479999993
2010-09-14,0.0,0,-0.27334174719999993
2010-09-15,9.0,0,-0.16234649600000006
2010-09-16,2.0,0,-0.07270215680000003
2010-09-17,0.0,0,-0.04592640000000001
2010-09-18,0.0,0,-0.03674111999999999
2010-09-19,2.0,0,-0.030311423999999986
2010-09-20,0.0,0,-0.025596313599999993
2010-09-21,0.0,0,0.0
2010-09-22,0.0,0,2.0
2010-09-23,0.0,0,-0.7999999999999998
2010-09-24,1.0,0,0.76
2010-09-25,0.0,0,0.4720000000000001
2010-09-26,0.0,0,-0.6032
2010-09-27,3.0,0,-0.24390400000000004
2010-09-28,6.0,0,-0.15152640000000006
2010-09-29,0.0,0,-0.10829312000000005
2010-09-30,0.0,0,-0.08322662400000001
2010-10-01,0.0,0,-0.06693007359999999
2010-10-02,0.0,0,-0.03352627199999999
2010-10-03,0.0,0,-0.02795386879999999
2010-10-04,0.0,0,-0.012798156799999997
2010-10-05,0.0,0,0.0
2010-10-06,0.0,0,0.0
2010-10-07,0.0,0,0.0
2010-10-08,0.0,0,0.0
2010-10-09,0.0,0,0.0
2010-10-10,0.0,0,0.0
2010-10-11,0.0,0,0.0
2010-10-12,0.0,0,0.0
2010-10-13,3.0,0,0.0
2010-10-14,5.0,0,0.0
2010-10-15,1.0,0,0.0
2010-10-16,5.0,0,1.0
2010-10-17,4.0,0,-0.3999999999999999
2010-10-18,0.0,0,-0.12
2010-10-19,0.0,0,-0.064
2010-10-20,0.0,0,0.9583999999999999
2010-10-21,0.0,0,-0.42995199999999995
2010-10-22,0.0,0,-0.1429632
2010-10-23,0.0,0,-0.08237056
2010-10-24,0.0,0,-0.05675571200000004
2010-10-25,0.0,0,-0.042750156800000015
2010-10-26,0.0,0,-0.022963200000000007
2010-10-27,0.0,0,-0.018370559999999994
2010-10-28,0.0,0,-0.015155711999999993
2010-10-29,8.0,0,-0.012798156799999997
2010-10-30,18.0,0,0.0
2010-10-31,3.0,0,0.0
2010-11-01,0.0,0,3.0
2010-11-02,0.0,0,-1.1999999999999997
2010-11-03,1.0,0,-0.36
2010-11-04,0.0,0,-0.192
2010-11-05,2.0,0,-0.12480000000000013
2010-11-06,10.0,0,-0.08985600000000005
2010-11-07,7.0,0,-0.06888960000000002
2010-11-08,5.0,0,-0.05511167999999998
2010-11-09,0.0,0,-0.04546713599999998
2010-11-10,0.0,0,-0.03839447039999999
2010-11-11,4.0,0,0.0
2010-11-12,6.0,1,0.0
2010-11-13,0.0,0,0.0
2010-11-14,1.0,0,0.0
2010-11-15,7.0,0,0.0
2010-11-16,3.0,0,0.0
2010-11-17,2.0,8,0.0
2010-11-18,2.0,3,0.0
2010-11-19,1.0,2,0.0
2010-11-20,8.0,1,0.0
2010-11-21,1.0,3,0.0
2010-11-22,0.0,0,0.0
2010-11-23,0.0,3,0.0
2010-11-24,2.0,0,0.0
2010-11-25,0.0,0,0.0
2010-11-26,1.0,0,0.0
2010-11-27,1.0,0,0.0
2010-11-28,0.0,0,0.0
2010-11-29,0.0,0,0.0
2010-11-30,0.0,1,0.0
2010-12-01,4.0,1,0.0
2010-12-02,1.0,0,0.0
2010-12-03,1.0,0,0.0
2010-12-04,0.0,0,0.0
2010-12-05,3.0,0,0.0
2010-12-06,2.0,0,0.0
2010-12-07,0.0,0,0.0
2010-12-08,0.0,0,0.0
2010-12-09,0.0,0,0.0
2010-12-10,2.0,0,0.0
2010-12-11,0.0,2,0.0
2010-12-12,2.0,0,0.0
2010-12-13,3.0,0,0.0
2010-12-14,4.0,5,0.0
2010-12-15,9.0,2,0.0
2010-12-16,7.0,0,0.0
2010-12-17,5.0,2,0.0
2010-12-18,11.0,0,0.0
2010-12-19,4.0,2,0.0
2010-12-20,5.0,0,0.0
2010-12-21,2.0,0,0.0
2010-12-22,3.0,0,0.0
2010-12-23,0.0,0,0.0
2010-12-24,0.0,0,2.0
2010-12-25,2.0,0,-0.7999999999999998
2010-12-26,1.0,0,-0.24
2010-12-27,1.0,0,-0.128
2010-12-28,0.0,0,-0.0832000000000001
2010-12-29,4.0,0,-0.059904000000000034
2010-12-30,0.0,0,-0.04592640000000001
2010-12-31,0.0,1,-0.03674111999999999
2011-01-01,2.0,0,1.969688576
2011-01-02,0.0,0,0.17440368640000015
2011-01-03,0.0,0,-0.6399999999999999
2011-01-04,0.0,0,-0.248
2011-01-05,9.0,0,1.8527999999999998
2011-01-06,2.0,0,1.0984960000000001
2011-01-07,0.0,0,-1.1158783999999997
2011-01-08,0.0,0,-0.42770431999999997
2011-01-09,0.0,0,-0.25988198400000007
2011-01-10,0.0,0,0.8161439743999999
2011-01-11,1.0,0,-0.5186285568
2011-01-12,6.0,0,-0.20266752
2011-01-13,0.0,1,-0.131052544
2011-01-14,0.0,0,-0.09750773760000003
2011-01-15,0.0,0,-0.05554831360000001
2011-01-16,0.0,0,-0.022963200000000007
2011-01-17,0.0,0,-0.018370559999999994
2011-01-18,0.0,0,0.984844288
2011-01-19,2.0,0,-0.4127981567999999
2011-01-20,1.0,0,-0.12
2011-01-21,0.0,0,-0.064
2011-01-22,0.0,1,1.9584
2011-01-23,1.0,4,-0.8299519999999998
2011-01-24,7.0,0,-0.2629632
2011-01-25,8.0,0,-0.14637055999999998
2011-01-26,1.0,0,-0.09835571200000008
2011-01-27,0.0,4,-0.07270215680000003
2011-01-28,0.0,0,-0.04592640000000001
2011-01-29,0.0,0,-0.03674111999999999
2011-01-30,0.0,0,2.969688576
2011-01-31,0.0,0,-1.2255963135999997
2011-02-01,8.0,0,-0.36
2011-02-02,0.0,0,-0.192
2011-02-03,0.0,0,-0.12480000000000013
2011-02-04,0.0,0,-0.08985600000000005
2011-02-05,0.0,1,2.9311104
2011-02-06,0.0,0,-0.25511167999999973
2011-02-07,0.0,0,-0.8054671359999999
2011-02-08,0.0,0,-0.3503944704
2011-02-09,2.0,1,-0.18880000000000013
2011-02-10,2.0,0,-0.1314560000000001
2011-02-11,2.0,0,1.9011584
2011-02-12,0.0,0,-0.8780748799999998
2011-02-13,0.0,0,0.696162304
2011-02-14,7.0,0,-0.5815501823999999
2011-02-15,12.0,0,-0.2159981568000001
2011-02-16,6.0,0,0.876096
2011-02-17,5.0,0,-0.48752639999999997
2011-02-18,4.0,0,-0.18669312
2011-02-19,0.0,0,1.882725376
2011-02-20,0.0,0,-0.8855668735999999
2011-02-21,0.0,0,3.714892288
2011-02-22,5.0,0,-1.7637613567999997
2011-02-23,0.0,0,-0.5815705600000001
2011-02-24,2.0,0,-0.33105971200000006
2011-02-25,0.0,0,-0.2251245568000002
2011-02-26,1.0,0,-0.15654912000000004
2011-02-27,2.0,0,-0.12216422400000002
