,angular/angular,sveltejs/svelte,facebook/react
2020-11-16,20.0,1,2
2020-11-17,12.0,1,2
2020-11-18,28.0,5,3
2020-11-19,23.0,2,0
2020-11-20,19.0,0,4
2020-11-21,1.0,0,0
2020-11-22,0.0,0,0
2020-11-23,13.0,8,0
2020-11-24,26.0,4,0
2020-11-25,16.0,0,0
2020-11-26,0.0,0,0
2020-11-27,0.0,1,0
2020-11-28,0.0,1,0
2020-11-29,0.0,0,0
2020-11-30,15.0,3,2
2020-12-01,11.0,1,4
2020-12-02,26.0,3,1
2020-12-03,14.0,0,2
2020-12-04,7.0,0,6
2020-12-05,4.0,0,1
2020-12-06,2.0,1,1
2020-12-07,7.0,1,6
2020-12-08,34.0,0,8
2020-12-09,17.0,2,8
2020-12-10,23.0,0,5
2020-12-11,3.0,1,2
2020-12-12,1.0,0,0
2020-12-13,2.0,0,1
2020-12-14,19.0,3,2
2020-12-15,11.0,0,1
2020-12-16,6.0,1,1
2020-12-17,6.0,0,2
2020-12-18,1.0,0,9
2020-12-19,0.0,0,0
2020-12-20,0.0,1,0
2020-12-21,15.0,0,1
2020-12-22,7.0,0,2
2020-12-23,5.0,0,0
2020-12-24,0.0,3,0
2020-12-25,2.0,0,0
2020-12-26,0.0,0,0
2020-12-27,0.0,0,0
2020-12-28,0.0,0,0
2020-12-29,0.0,1,0
2020-12-30,0.0,1,0
2020-12-31,0.0,1,0
2021-01-01,0.0,0,0
2021-01-02,0.0,13,0
2021-01-03,0.0,0,0
2021-01-04,0.0,6,3
2021-01-05,24.0,0,0
2021-01-06,26.0,0,0
2021-01-07,26.0,0,0
2021-01-08,18.0,0,0
2021-01-09,1.0,0,0
2021-01-10,1.0,0,0
2021-01-11,36.0,0,1
2021-01-12,0.0,0,3
2021-01-13,14.0,0,2
2021-01-14,12.0,0,3
2021-01-15,8.0,0,2
2021-01-16,1.0,0,0
2021-01-17,0.0,0,0
2021-01-18,1.0,3,1
2021-01-19,12.0,1,9
2021-01-20,3.0,1,4
2021-01-21,23.0,0,1
2021-01-22,6.0,1,4
2021-01-23,2.0,1,0
2021-01-24,2.0,0,0
