,akka/akka,lightbend/kalix-jvm-sdk,lagom/lagom
2019-07-29,2,1,0.0
2019-07-30,6,0,2.0
2019-07-31,2,0,3.8
2019-08-01,2,0,3.51
2019-08-02,3,0,8.363
2019-08-03,0,0,-0.2353250000000009
2019-08-04,1,0,-0.7338835
2019-08-05,0,0,0.5250589750000003
2019-08-06,3,0,-0.453764942499999
2019-08-07,0,0,0.6731272889687508
2019-08-08,3,0,0.6374793953656255
2019-08-09,3,0,-0.35053644095624953
2019-08-10,0,0,1.7795793264656252
2019-08-11,0,0,0.6525175016609377
2019-08-12,5,0,3.7537282012140625
2019-08-13,1,0,5.459152924484375
2019-08-14,4,0,15.117520438714061
2019-08-15,4,11,-1.0575580092656263
2019-08-16,8,0,0.8659420594484373
2019-08-17,1,0,14.066809742464063
2019-08-18,0,0,-2.1286788722812497
2019-08-19,3,5,0.8397566219125008
2019-08-20,1,5,1.9912317679015632
2019-08-21,2,7,5.986162559262501
2019-08-22,4,5,10.625344905284376
2019-08-23,7,4,0.9946074664093749
2019-08-24,0,0,-1.3276619223171875
2019-08-25,0,0,-0.8566341753062492
2019-08-26,1,3,-0.6339234680390607
2019-08-27,11,2,5.600059697718751
2019-08-28,11,0,1.0705470821312506
2019-08-29,6,0,0.2652148587828129
2019-08-30,6,0,3.4321071873109377
2019-08-31,0,0,-0.7554661694781246
2019-09-01,0,0,0.6282779423921878
2019-09-02,3,2,1.6541319250000002
2019-09-03,15,1,-0.4366529524999996
2019-09-04,7,3,17.72427371690625
2019-09-05,12,0,8.989066012503123
2019-09-06,13,0,2.961817446912499
2019-09-07,0,0,-0.6000676170984385
2019-09-08,1,0,-1.0814381313937491
2019-09-09,5,1,-0.7366447055156232
2019-09-10,11,0,1.4264515464328142
2019-09-11,3,0,1.3374873749281262
2019-09-12,1,0,2.3338128944687506
2019-09-13,6,0,11.22793871743125
2019-09-14,0,0,-1.584647639223438
2019-09-15,0,0,-0.7506210756953126
2019-09-16,4,0,4.529056122464063
2019-09-17,7,1,-0.8448116674999993
2019-09-18,4,0,-0.4992110560312494
2019-09-19,19,0,4.630340430146876
2019-09-20,1,0,3.2180605008812506
2019-09-21,0,0,0.15439993620468762
2019-09-22,0,0,-0.5890962929312499
2019-09-23,1,0,0.6822190187500003
2019-09-24,1,0,0.6604246849218756
2019-09-25,0,0,11.662066174820312
2019-09-26,19,0,0.6022667187499993
2019-09-27,6,0,9.105459137421875
2019-09-28,0,0,0.4398595390078117
2019-09-29,3,0,-1.0273924856593744
2019-09-30,8,0,6.357619438714063
2019-10-01,25,0,3.8255353407343757
2019-10-02,4,0,2.805091954448438
2019-10-03,19,0,-1.1337596262234373
2019-10-04,16,0,-0.724321343962499
2019-10-05,2,0,-0.46479797772812403
2019-10-06,0,0,-0.35849298889062386
2019-10-07,15,0,0.7752693586781256
2019-10-08,20,0,0.7249052776406254
2019-10-09,19,0,3.703991682170313
2019-10-10,12,0,1.4462324852578123
2019-10-11,10,0,3.53724208985625
2019-10-12,0,0,3.3592207499999995
2019-10-13,0,0,-0.7489287625000002
2019-10-14,11,0,10.575952291250001
2019-10-15,20,0,0.5978064407343746
2019-10-16,4,0,2.0692170244484376
2019-10-17,12,1,4.1105254529015625
2019-10-18,2,0,6.930957628825
2019-10-19,1,0,0.571445007865625
2019-10-20,0,0,-1.0133717997062497
2019-10-21,1,0,1.3483871561062508
2019-10-22,2,0,4.330191376828126
2019-10-23,3,1,6.029125844823438
2019-10-24,3,0,11.77949927463125
2019-10-25,6,0,11.01306328231406
2019-10-26,1,0,-2.3607741593046883
2019-10-27,0,0,-1.2933727213187496
2019-10-28,3,0,-0.8567249100718737
2019-10-29,0,0,8.355130555218752
2019-10-30,0,0,9.5770809436
2019-10-31,4,0,15.070703332460937
2019-11-01,2,0,1.2211019117953112
2019-11-02,0,0,-1.8980356521703123
2019-11-03,0,0,-1.1460233329671865
2019-11-04,1,0,5.238995137500002
2019-11-05,6,0,4.798739846250001
2019-11-06,14,0,24.633633311609376
2019-11-07,2,0,-1.4630820022453142
2019-11-08,7,0,0.03560151583906257
2019-11-09,0,0,-1.432729245173437
2019-11-10,0,0,-0.8934929851437475
2019-11-11,0,0,-0.6628947524999981
2019-11-12,1,0,0.4602571194062516
2019-11-13,2,0,0.44520337919062625
2019-11-14,0,0,-0.4926806711218742
2019-11-15,0,0,-0.33319418446562443
2019-11-16,0,0,2.914903168896875
2019-11-17,0,0,-0.3535769550718751
2019-11-18,5,0,4.8357212375
2019-11-19,14,0,2.3902442912499997
2019-11-20,10,0,4.3923504907343744
2019-11-21,5,0,3.156182584448437
2019-11-22,8,0,1.1383026099640623
2019-11-23,0,0,-0.6983523387499998
2019-11-24,0,0,-0.45017775154687434
2019-11-25,14,0,1.6596151736421882
2019-11-26,21,0,2.5472752836718757
2019-11-27,8,0,2.398950767023438
2019-11-28,5,0,0.36426306731406255
2019-11-29,10,0,-0.4642799072421874
2019-11-30,0,0,-0.2774530361749996
2019-12-01,0,0,-0.1819594800718745
2019-12-02,6,0,0.8693138200000003
2019-12-03,3,0,1.7919794977187502
2019-12-04,6,0,5.66305425463125
2019-12-05,12,0,-0.7834951929046879
2019-12-06,5,0,2.6175726293765624
2019-12-07,0,0,-0.5368406025359377
2019-12-08,0,0,-0.30437051249999947
2019-12-09,3,0,-0.21961822124999963
2019-12-10,3,1,2.8272847194843758
2019-12-11,10,0,5.557552093932813
2019-12-12,7,0,5.1513063793343745
2019-12-13,3,0,4.960825796034374
2019-12-14,0,0,-1.1316924390468754
2019-12-15,0,0,-0.6385218076078121
2019-12-16,8,0,1.568838462500001
2019-12-17,8,0,3.467071336250001
2019-12-18,6,2,0.23906030845312531
2019-12-19,7,1,-0.5651406882015622
2019-12-20,4,0,-0.3746901708093745
2019-12-21,0,0,0.7488135066906256
2019-12-22,0,0,0.7381533597843755
2019-12-23,0,0,-0.23595219249999985
2019-12-24,0,0,-0.15017342353124985
2019-12-25,0,0,-0.11532715338437477
2019-12-26,1,0,-0.07994297315937476
2019-12-27,0,0,-0.03767761503593739
2019-12-28,0,0,-0.024255708749999928
2019-12-29,0,0,-0.02066200926562494
2019-12-30,0,0,-0.017967165551562456
2019-12-31,0,0,-0.008398852535937478
2020-01-01,0,0,0.0
2020-01-02,2,0,1.0
2020-01-03,3,0,1.9
2020-01-04,0,0,-0.24500000000000022
2020-01-05,0,0,-0.11850000000000009
2020-01-06,1,0,-0.07766249999999997
2020-01-07,11,0,-0.05744174999999979
2020-01-08,8,0,-0.04539551249999985
2020-01-09,1,0,1.96258227875
2020-01-10,3,0,5.768244294484375
2020-01-11,1,0,1.282464521432812
2020-01-12,0,0,-0.5437977050718754
2020-01-13,6,0,2.697675
2020-01-14,18,0,-0.5132084999999997
2020-01-15,5,0,0.7006504750000004
2020-01-16,1,0,-0.31889296749999974
2020-01-17,6,0,-0.2190103285312495
2020-01-18,0,0,-0.1732452256656246
2020-01-19,0,0,-0.12967827874687463
2020-01-20,4,0,0.9338044561781252
2020-01-21,4,0,-0.14186695154687498
2020-01-22,4,0,-0.08129025385781244
2020-01-23,1,0,-0.038068313015624994
2020-01-24,5,0,-0.029061352535937404
2020-01-25,0,0,-0.016116749999999947
2020-01-26,0,0,-0.01316201249999996
2020-01-27,4,0,1.98890630375
2020-01-28,3,0,1.7904316869843748
2020-01-29,3,0,0.7016011474640622
2020-01-30,3,0,-0.2470000000000002
2020-01-31,5,0,0.8566750000000001
2020-02-01,0,0,-0.20205849999999986
2020-02-02,0,0,0.8757799750000002
2020-02-03,1,0,0.8068718325
2020-02-04,11,0,1.7798514689687501
2020-02-05,7,0,-0.33664477735312504
2020-02-06,6,0,-0.1786905305874999
2020-02-07,4,0,-0.11327179878593736
2020-02-08,0,0,-0.08017207551562473
2020-02-09,0,0,-0.0648880612859373
2020-02-10,3,0,1.953013965734375
2020-02-11,9,0,-0.24015455805156255
2020-02-12,9,0,0.8824645214328125
2020-02-13,2,0,-0.17379770507187509
2020-02-14,2,0,-0.08632499999999987
2020-02-15,0,0,-0.06073349999999991
2020-02-16,0,0,-0.04698652499999985
2020-02-17,1,0,-0.03830414249999988
2020-02-18,2,0,-0.03229863853124991
2020-02-19,1,0,5.972108598678125
2020-02-20,3,0,-0.6095683130156255
2020-02-21,2,0,2.7216011474640625
2020-02-22,0,0,-0.4710000000000004
2020-02-23,0,0,-0.2589749999999996
2020-02-24,0,0,2.8177995000000005
2020-02-25,2,0,1.559040425
2020-02-26,3,0,-0.44991242749999993
2020-02-27,3,0,-0.27239591559374987
2020-02-28,3,0,-0.2026617039656246
2020-02-29,0,0,-0.11838018904687463
2020-03-01,0,1,-0.09691609510781221
2020-03-02,7,0,-0.05960511374999983
2020-03-03,8,0,0.9491076684531251
2020-03-04,4,0,-0.14433318363906247
2020-03-05,2,0,-0.061797705071874987
2020-03-06,1,0,1.9715
2020-03-07,0,0,-0.2206625000000001
2020-03-08,0,0,-0.10611675000000001
2020-03-09,6,0,-0.07016201250000001
2020-03-10,7,0,-0.05241869624999981
2020-03-11,5,0,-0.04180181301562487
2020-03-12,7,0,-0.0347228775359374
2020-03-13,8,0,-0.022187392499999934
2020-03-14,0,0,-0.01913662603124995
2020-03-15,0,0,-0.016797705071874957
2020-03-16,3,0,0.0
2020-03-17,2,0,0.0
2020-03-18,3,0,0.0
2020-03-19,4,0,4.0
2020-03-20,4,0,-0.40000000000000036
