,canonical/lxd,containerd/containerd,moby/moby
2023-12-05,49,4,11.0
2023-12-06,11,8,9.0
2023-12-07,14,4,7.0
2023-12-08,13,2,8.0
2023-12-09,0,4,4.0
2023-12-10,0,2,0.0
2023-12-11,14,1,3.0
2023-12-12,10,9,12.0
2023-12-13,2,16,5.0
2023-12-14,6,8,5.0
2023-12-15,1,5,10.0
2023-12-16,0,0,1.0
2023-12-17,2,0,0.0
2023-12-18,0,2,19.0
2023-12-19,1,3,18.0
2023-12-20,1,4,4.0
2023-12-21,0,0,7.0
2023-12-22,0,1,1.0
2023-12-23,0,1,0.0
2023-12-24,0,0,0.0
2023-12-25,0,1,0.0
2023-12-26,0,0,0.0
2023-12-27,0,2,1.0
2023-12-28,0,5,4.0
2023-12-29,0,1,5.0
2023-12-30,0,1,0.0
2023-12-31,0,0,0.0
2024-01-01,0,0,0.0
2024-01-02,0,2,14.0
2024-01-03,7,4,14.0
2024-01-04,1,3,10.0
2024-01-05,0,6,13.0
2024-01-06,0,1,2.0
2024-01-07,0,1,0.0
2024-01-08,16,3,9.0
2024-01-09,14,5,8.0
2024-01-10,1,6,5.0
2024-01-11,2,10,2.0
2024-01-12,0,5,10.0
2024-01-13,0,0,0.0
2024-01-14,0,0,0.0
2024-01-15,1,2,11.0
2024-01-16,3,6,18.0
2024-01-17,14,57,30.0
2024-01-18,84,8,11.0
2024-01-19,48,6,29.0
2024-01-20,0,5,14.0
2024-01-21,0,0,7.0
2024-01-22,6,0,26.0
2024-01-23,34,8,23.0
2024-01-24,4,7,15.0
2024-01-25,3,9,14.0
2024-01-26,1,11,11.0
2024-01-27,0,1,1.0
2024-01-28,0,4,1.0
2024-01-29,9,9,8.0
2024-01-30,32,10,6.0
2024-01-31,1,7,20.0
2024-02-01,12,4,17.0
2024-02-02,4,7,13.0
2024-02-03,4,10,4.0
2024-02-04,0,3,3.0
2024-02-05,13,7,5.0
2024-02-06,22,9,37.0
2024-02-07,64,21,5.0
2024-02-08,40,5,4.0
2024-02-09,23,9,4.0
2024-02-10,13,4,0.0
2024-02-11,0,8,0.0
2024-02-12,67,6,9.0
2024-02-13,41,9,1.0
2024-02-14,52,6,10.0
2024-02-15,51,8,1.0
2024-02-16,5,13,2.0
2024-02-17,0,2,0.0
2024-02-18,0,1,0.0
2024-02-19,24,3,0.0
2024-02-20,96,9,4.0
2024-02-21,47,9,3.0
2024-02-22,34,13,12.0
2024-02-23,5,3,8.0
2024-02-24,2,2,0.0
2024-02-25,0,1,0.0
2024-02-26,27,4,5.0
2024-02-27,56,8,26.0
2024-02-28,28,4,11.0
2024-02-29,7,4,13.0
2024-03-01,24,6,8.0
2024-03-02,2,1,0.0
2024-03-03,0,0,0.0
2024-03-04,24,5,3.0
2024-03-05,37,8,8.0
2024-03-06,114,4,12.0
2024-03-07,47,6,26.0
2024-03-08,62,7,2.0
2024-03-09,1,1,1.0
2024-03-10,0,0,0.0
2024-03-11,21,0,1.0
2024-03-12,22,5,3.0
2024-03-13,21,4,11.0
2024-03-14,49,1,11.0
2024-03-15,18,1,7.0
2024-03-16,2,0,5.0
2024-03-17,1,1,1.0
2024-03-18,15,3,16.0
2024-03-19,6,7,8.0
2024-03-20,4,3,6.0
2024-03-21,11,1,8.0
2024-03-22,23,2,5.0
2024-03-23,2,0,0.0
2024-03-24,0,0,0.0
2024-03-25,15,2,1.0
2024-03-26,6,5,0.0
2024-03-27,29,5,4.0
2024-03-28,28,1,5.0
2024-03-29,0,2,1.0
2024-03-30,1,1,1.0
2024-03-31,0,1,0.0
2024-04-01,7,1,1.0
2024-04-02,22,7,2.0
2024-04-03,14,1,5.0
2024-04-04,18,1,4.0
2024-04-05,27,2,4.0
