,seleniumhq/selenium,DevExpress/testcafe,cypress-io/cypress
2023-05-20,0,0.0,0
2023-05-21,0,0.0,0
2023-05-22,5,0.0,4
2023-05-23,8,1.0,5
2023-05-24,2,1.8,4
2023-05-25,3,1.52,2
2023-05-26,0,0.3919999999999999,2
2023-05-27,3,-0.4896000000000002,0
2023-05-28,1,-0.2687360000000002,0
2023-05-29,6,1.8132991999999999,0
2023-05-30,5,1.4575436800000001,1
2023-05-31,7,1.325365248,2
2023-06-01,5,4.2484729856,3
2023-06-02,5,-1.3938408447999997,7
2023-06-03,6,-0.6535984128000003,0
2023-06-04,2,2.5884010496,0
2023-06-05,17,1.10621696,8
2023-06-06,13,0.12883353599999992,6
2023-06-07,15,4.3062884352,2
2023-06-08,10,2.5848522752000003,5
2023-06-09,3,-1.4886852607999999,5
2023-06-10,0,-0.7683051520000004,0
2023-06-11,0,-0.47717376000000034,0
2023-06-12,4,-0.359525376,3
2023-06-13,0,3.7126018048000002,7
2023-06-14,2,1.9943247872000003,11
2023-06-15,3,1.9278852096,4
2023-06-16,9,-1.1518975999999999,3
2023-06-17,1,-0.5682774016000002,0
2023-06-18,1,-0.34694400000000014,0
2023-06-19,27,-0.2591232000000001,0
2023-06-20,6,-0.2056012800000001,3
2023-06-21,1,1.8303825920000003,3
2023-06-22,0,0.4561793024000004,1
2023-06-23,6,3.5594288128000002,1
2023-06-24,0,-1.0134080511999999,1
2023-06-25,0,-0.43520000000000036,0
2023-06-26,0,1.7233279999999997,6
2023-06-27,15,1.3992064,1
2023-06-28,16,0.2835737599999999,6
2023-06-29,4,0.4165826559999999,5
2023-06-30,0,2.4497667072000002,9
2023-07-01,2,-0.9162921983999998,0
2023-07-02,6,-0.46340700160000015,0
2023-07-03,1,2.72215296,0
2023-07-04,3,1.190606336,0
2023-07-05,1,-0.8076776448,3
2023-07-06,1,1.5784604671999998,2
2023-07-07,0,0.3255627776000001,4
2023-07-08,0,-0.5594404864,0
2023-07-09,0,-0.3257664512000001,0
2023-07-10,3,-0.20683776000000012,2
2023-07-11,3,-0.1616885759999999,1
2023-07-12,12,3.8674229248,5
2023-07-13,4,1.1207790592000002,2
2023-07-14,2,0.23429785599999997,1
2023-07-15,0,-0.5913264128000001,0
2023-07-16,1,-0.32286935040000014,0
2023-07-17,2,0.7826559999999999,4
2023-07-18,0,0.6336128,5
2023-07-19,5,-0.4141004800000001,4
2023-07-20,2,0.7601669120000001,2
2023-07-21,16,0.6228204544000002,2
2023-07-22,1,-0.3784624127999999,0
2023-07-23,3,-0.1864341504000001,0
2023-07-24,27,1.88104448,1
2023-07-25,11,-0.4904504319999999,5
2023-07-26,6,-0.23282186240000008,3
2023-07-27,9,0.8541751296,3
2023-07-28,3,-0.29851443199999994,0
2023-07-29,3,1.8420709376,0
2023-07-30,4,-0.5013269504,0
2023-07-31,13,0.7725465599999999,3
2023-08-01,23,-0.3503114239999999,2
2023-08-02,5,2.8074324992,0
2023-08-03,3,1.28400128,0
2023-08-04,3,-0.7288453120000001,5
2023-08-05,8,-0.37585879040000025,0
2023-08-06,1,-0.246004224,1
2023-08-07,8,3.8143265792,5
2023-08-08,13,0.07325388800000021,3
2023-08-09,10,-0.6241071104000002,1
2023-08-10,4,-0.349016576,4
2023-08-11,10,-0.24858347519999985,9
2023-08-12,2,-0.1606827008,0
2023-08-13,0,-0.10725120000000006,0
2023-08-14,20,3.91186432,9
2023-08-15,9,-0.8744775679999996,13
2023-08-16,12,2.6157348864,5
2023-08-17,0,3.1955306496,2
2023-08-18,1,4.8256,4
2023-08-19,1,-1.7661440000000002,0
2023-08-20,0,0.1454847999999993,1
2023-08-21,2,2.2332851199999997,7
2023-08-22,4,4.897418752,9
2023-08-23,11,0.17641123840000006,1
2023-08-24,3,-1.2910428160000005,4
2023-08-25,2,2.2291447808,12
2023-08-26,8,-1.1308404735999995,2
2023-08-27,7,-0.6134452224000002,1
2023-08-28,10,-0.3828126720000002,28
2023-08-29,11,0.7011495936000001,23
2023-08-30,6,1.5658042368000005,3
2023-08-31,17,3.3551220736000005,6
2023-09-01,7,-1.0837188608,0
2023-09-02,3,-0.4927631360000002,0
2023-09-03,0,-0.3221440512000001,0
2023-09-04,12,-0.20590080000000008,0
2023-09-05,8,0.8400716799999999,1
2023-09-06,3,0.670043648,2
2023-09-07,2,-0.3889516543999999,6
2023-09-08,3,-0.2104895487999998,1
2023-09-09,1,-0.1314774015999999,0
2023-09-10,1,-0.05913600000000002,0
2023-09-11,7,3.9540352,2
2023-09-12,1,4.16264448,3
2023-09-13,4,0.6486855679999999,0
2023-09-14,1,-0.0188570624000004,1
2023-09-15,3,-0.7468693504000004,4
2023-09-16,13,-0.44614400000000026,0
2023-09-17,17,-0.3245952000000002,0
2023-09-18,6,-0.2545228800000001,0
2023-09-19,4,0.7914219520000002,2
2023-09-20,3,-0.3760982015999995,4
2023-09-21,1,-0.1880488959999998,3
2023-09-22,3,0.9126735872000001,1
2023-09-23,6,-0.24606935039999994,0
2023-09-24,6,-0.10553600000000009,0
2023-09-25,16,-0.06842880000000004,3
2023-09-26,16,-0.050526720000000025,0
2023-09-27,8,-0.03992371199999995,3
2023-09-28,0,-0.03289815039999998,1
2023-09-29,1,-0.01692672000000001,1
2023-09-30,4,-0.01438771199999994,0
2023-10-01,0,-0.012469350399999964,0
2023-10-02,2,0.0,2
2023-10-03,4,0.0,2
2023-10-04,5,0.0,3
2023-10-05,10,0.0,2
2023-10-06,11,0.0,2
2023-10-07,6,0.0,0
2023-10-08,3,0.0,0
2023-10-09,12,0.0,1
2023-10-10,19,0.0,2
2023-10-11,15,0.0,5
2023-10-12,7,3.0,0
2023-10-13,1,-0.5999999999999999,1
2023-10-14,2,-0.2400000000000002,0
2023-10-15,1,-0.1440000000000001,0
2023-10-16,9,2.8992,4
2023-10-17,17,0.3233920000000001,2
2023-10-18,3,-0.5012864000000001,3
2023-10-19,3,-0.2747801600000002,0
2023-10-20,2,0.8080368640000001,0
2023-10-21,0,-0.3476160511999999,0
2023-10-22,3,-0.16682240000000012,0
2023-10-23,16,-0.11920896000000009,2
2023-10-24,4,0.9063101440000001,4
2023-10-25,4,-0.2773317631999998,1
2023-10-26,8,0.8871018495999999,4
2023-10-27,12,1.73507328,5
2023-10-28,0,-0.5279877119999999,0
2023-10-29,0,-0.24600535040000016,0
2023-10-30,10,0.8499711999999999,1
2023-10-31,16,0.69033728,2
2023-11-01,24,-0.365888512,1
2023-11-02,10,0.8017463295999999,2
2023-11-03,10,-0.32984115199999997,3
2023-11-04,1,-0.18038077439999994,0
2023-11-05,3,-0.11890350079999998,0
2023-11-06,6,-0.07095552000000002,4
2023-11-07,0,-0.056850431999999965,5
2023-11-08,4,-0.04728586239999991,1
2023-11-09,9,3.9706039296,0
2023-11-10,22,0.1856122880000003,0
2023-11-11,0,-0.5324693504000002,0
2023-11-12,2,-0.27200000000000024,0
2023-11-13,10,-0.1824000000000001,2
2023-11-14,7,-0.13574400000000006,3
2023-11-15,1,-0.10725120000000006,0
2023-11-16,2,0.91186432,5
2023-11-17,2,-0.2744775679999997,0
2023-11-18,0,-0.14426511359999988,0
2023-11-19,0,-0.060469350399999997,0
2023-11-20,1,0.9664,4
2023-11-21,3,0.774464,4
2023-11-22,2,0.6995712,4
2023-11-23,3,-0.3449267200000001,0
2023-11-24,2,0.8240122879999999,0
2023-11-25,1,-0.3196053504,0
2023-11-26,8,-0.15956480000000012,0
2023-11-27,6,-0.11089152000000008,2
2023-11-28,0,-0.08534323199999996,2
2023-11-29,6,0.9306802176000001,4
2023-11-30,0,-0.24728586239999986,1
2023-12-01,12,-0.10939607040000005,0
2023-12-02,1,-0.06238771199999998,0
2023-12-03,4,-0.04606935039999997,0
2023-12-04,5,-0.025536000000000014,0
2023-12-05,9,-0.02042880000000001,4
2023-12-06,17,1.98307328,0
2023-12-07,13,1.585612288,0
2023-12-08,11,-0.5724693504,0
2023-12-09,3,-0.2560000000000002,0
2023-12-10,0,-0.1632000000000001,0
2023-12-11,8,0.881728,1
2023-12-12,4,-0.2919296,1
2023-12-13,7,0.8452889599999999,1
2023-12-14,4,-0.3106288639999999,3
2023-12-15,3,-0.16731412479999988,1
2023-12-16,2,-0.09847470079999998,0
2023-12-17,0,-0.05402880000000002,0
2023-12-18,12,-0.04246272000000002,0
2023-12-19,11,3.965183488,4
2023-12-20,11,0.17060392960000015,0
2023-12-21,6,-0.5343877120000002,0
2023-12-22,15,1.7155306495999998,2
2023-12-23,9,-0.5824,0
2023-12-24,0,-0.29574400000000023,0
2023-12-25,0,-0.20325120000000013,0
2023-12-26,7,-0.1553356800000001,5
2023-12-27,11,0.8744504320000002,0
2023-12-28,8,-0.30512271359999976,5
2023-12-29,1,-0.12632279040000005,4
2023-12-30,1,-0.07677542399999991,0
2023-12-31,2,-0.05853870079999994,0
2024-01-01,7,-0.025536000000000014,0
2024-01-02,1,-0.02042880000000001,3
2024-01-03,9,-0.01692672000000001,3
2024-01-04,3,-0.01438771199999994,1
2024-01-05,4,-0.012469350399999964,4
2024-01-06,2,0.0,1
2024-01-07,4,0.0,0
2024-01-08,4,1.0,1
2024-01-09,9,-0.19999999999999996,5
2024-01-10,8,0.9199999999999999,5
2024-01-11,3,-0.248,4
2024-01-12,5,0.8863999999999999,6
2024-01-13,0,-0.273536,0
2024-01-14,1,-0.1340288000000001,0
2024-01-15,1,0.9095372799999999,0
2024-01-16,2,-0.26841651199999994,4
2024-01-17,7,-0.13493207040000005,2
2024-01-18,13,-0.08281651199999998,3
2024-01-19,5,-0.06299607039999999,2
2024-01-20,9,-0.03992371199999995,0
2024-01-21,9,-0.03289815039999998,0
2024-01-22,7,-0.01692672000000001,5
2024-01-23,20,-0.01438771199999994,3
2024-01-24,5,-0.012469350399999964,2
2024-01-25,13,0.0,0
2024-01-26,7,0.0,0
2024-01-27,1,0.0,0
2024-01-28,0,0.0,0
2024-01-29,1,0.0,1
2024-01-30,5,0.0,4
2024-01-31,0,0.0,0
2024-02-01,1,0.0,2
2024-02-02,2,0.0,2
2024-02-03,0,0.0,0
2024-02-04,0,0.0,0
2024-02-05,2,0.0,2
2024-02-06,4,0.0,4
2024-02-07,9,0.0,0
2024-02-08,7,0.0,4
2024-02-09,0,0.0,4
2024-02-10,0,0.0,0
2024-02-11,1,0.0,0
2024-02-12,1,0.0,0
2024-02-13,8,0.0,1
2024-02-14,5,0.0,1
2024-02-15,5,0.0,4
2024-02-16,3,3.0,1
2024-02-17,8,0.40000000000000013,0
2024-02-18,2,-0.44000000000000017,0
2024-02-19,10,0.7759999999999998,1
2024-02-20,3,0.6512,3
2024-02-21,1,-0.3902080000000001,1
2024-02-22,0,-0.21482240000000016,6
2024-02-23,2,-0.1528089600000001,1
2024-02-24,0,-0.11922585599999985,0
2024-02-25,0,-0.09776056319999986,0
2024-02-26,2,-0.049824870399999985,0
2024-02-27,0,-0.03131443199999995,1
2024-02-28,0,-0.026857062399999902,0
2024-02-29,1,0.9875306496,1
2024-03-01,2,-0.19999999999999996,0
2024-03-02,0,-0.08000000000000007,0
2024-03-03,1,-0.048000000000000036,0
2024-03-04,2,-0.03360000000000001,1
2024-03-05,1,-0.025536000000000014,1
2024-03-06,0,-0.02042880000000001,1
2024-03-07,1,-0.01692672000000001,0
2024-03-08,3,-0.01438771199999994,2
2024-03-09,1,-0.012469350399999964,0
2024-03-10,2,0.0,0
2024-03-11,6,0.0,4
2024-03-12,0,0.0,9
2024-03-13,4,0.0,1
2024-03-14,7,0.0,1
2024-03-15,15,1.0,0
2024-03-16,0,-0.19999999999999996,0
2024-03-17,1,-0.08000000000000007,0
2024-03-18,7,-0.048000000000000036,3
2024-03-19,3,-0.03360000000000001,0
2024-03-20,6,-0.025536000000000014,1
2024-03-21,5,-0.02042880000000001,3
2024-03-22,2,-0.01692672000000001,0
2024-03-23,9,-0.01438771199999994,0
2024-03-24,0,-0.012469350399999964,0
2024-03-25,30,0.0,1
2024-03-26,14,0.0,1
2024-03-27,12,1.0,1
2024-03-28,3,-0.19999999999999996,0
2024-03-29,5,0.9199999999999999,4
2024-03-30,1,-0.248,0
2024-03-31,0,-0.11360000000000009,0
2024-04-01,4,0.926464,0
2024-04-02,4,-0.2540288,4
2024-04-03,5,-0.1224627200000001,2
2024-04-04,2,-0.08281651199999998,0
2024-04-05,3,-0.06299607039999999,0
2024-04-06,2,-0.03992371199999995,0
2024-04-07,1,-0.03289815039999998,0
2024-04-08,3,-0.01692672000000001,0
2024-04-09,4,1.985612288,1
2024-04-10,5,-0.4124693503999999,3
2024-04-11,1,-0.16000000000000014,3
2024-04-12,4,-0.09600000000000007,1
2024-04-13,0,-0.06720000000000002,0
2024-04-14,3,-0.05107200000000003,0
2024-04-15,0,-0.04085760000000002,1
2024-04-16,0,-0.03385344000000002,1
2024-04-17,0,-0.02877542399999988,3
2024-04-18,0,-0.02493870079999993,4
2024-04-19,0,0.0,1
2024-04-20,0,0.0,0
2024-04-21,0,0.0,0
2024-04-22,0,1.0,2
2024-04-23,0,0.8,5
2024-04-24,0,-0.28,1
2024-04-25,0,1.8719999999999999,1
2024-04-26,0,-0.4816,1
2024-04-27,0,-0.21913600000000016,0
2024-04-28,0,-0.1419648000000001,0
2024-04-29,0,0.89544448,1
2024-04-30,0,0.7176135680000001,5
2024-05-01,0,-0.34771466239999993,2
2024-05-02,0,-0.1743227904000001,7
2024-05-03,0,-0.11037542399999992,0
2024-05-04,0,-0.08407470079999996,0
2024-05-05,0,-0.04596480000000003,0
2024-05-06,0,-0.03735552000000002,6
2024-05-07,0,-0.03131443199999995,4
2024-05-08,0,-0.026857062399999902,2
2024-05-09,0,-0.012469350399999964,1
2024-05-10,0,0.0,3
2024-05-11,0,0.0,0
2024-05-12,0,0.0,0
2024-05-13,0,0.0,1
2024-05-14,0,0.0,0
2024-05-15,0,0.0,1
2024-05-16,0,0.0,0
2024-05-17,0,0.0,3
2024-05-18,0,0.0,0
2024-05-19,0,0.0,0
