,seleniumhq/selenium,gocolly/colly,puppeteer/puppeteer
2021-10-28,1,0,1.0
2021-10-29,3,0,0.8999999999999999
2021-10-30,0,0,-0.14500000000000013
2021-10-31,1,0,-0.07350000000000005
2021-11-01,0,0,-0.04916249999999994
2021-11-02,2,0,0.9632207500000001
2021-11-03,8,0,0.8707212375
2021-11-04,4,0,-0.16925570875000004
2021-11-05,8,0,-0.094162009265625
2021-11-06,0,0,-0.0671296655515624
2021-11-07,0,0,-0.04517810253593735
2021-11-08,2,0,-0.02927876249999991
2021-11-09,6,0,0.9757442912500001
2021-11-10,0,0,0.879337990734375
2021-11-11,0,0,1.8370328344484375
2021-11-12,0,0,-0.2818988525359377
2021-11-13,0,0,-0.13916250000000002
2021-11-14,0,0,-0.09377924999999993
2021-11-15,3,0,1.9293962375000002
2021-11-16,10,0,0.74351079125
2021-11-17,17,0,-0.23698603426562503
2021-11-18,12,0,-0.14215455805156246
2021-11-19,5,0,0.9026395214328127
2021-11-20,0,0,-0.16969370507187487
2021-11-21,0,0,-0.0874407749999999
2021-11-22,9,0,-0.06384940499999991
2021-11-23,6,0,0.9491071777187502
2021-11-24,3,0,-0.14248276808749996
2021-11-25,0,0,-0.06656086503593747
2021-11-26,7,0,1.96040630375
2021-11-27,4,0,-0.2302308130156251
2021-11-28,1,0,-0.11451560253593748
2021-11-29,6,0,3.9298379875
2021-11-30,7,0,-0.4524186962500002
2021-12-01,21,0,-0.22180181301562502
2021-12-02,3,0,-0.1487228775359375
2021-12-03,3,0,0.8951626075000003
2021-12-04,0,0,-0.18360362603124983
2021-12-05,0,0,-0.11444575507187482
2021-12-06,0,0,-0.07287478499999989
2021-12-07,0,0,1.9410642479375002
2021-12-08,2,0,-0.24971216014375003
2021-12-09,2,0,3.8968379875
2021-12-10,3,0,2.5319063037499996
2021-12-11,0,0,-0.5308933130156253
2021-12-12,4,0,-0.28963235253593755
2021-12-13,6,0,0.8055259750000003
2021-12-14,3,0,-0.24864189249999957
2021-12-15,1,0,1.8348650739687504
2021-12-16,3,0,-0.3291585275718749
2021-12-17,4,2,-0.18221684081249978
2021-12-18,0,1,-0.13541709919062483
2021-12-19,0,0,-0.07968357010781224
2021-12-20,4,0,-0.04332719624999986
2021-12-21,0,0,0.9641076619843751
2021-12-22,0,0,1.8694137549640626
2021-12-23,1,0,-0.26413662603125015
