,ossu/computer-science,exercism/exercism,freecodecamp/freecodecamp
2022-08-13,0.0,0,0
2022-08-14,0.0,0,2
2022-08-15,0.0,0,4
2022-08-16,0.0,0,4
2022-08-17,0.0,0,3
2022-08-18,0.0,0,2
2022-08-19,0.0,0,10
2022-08-20,0.0,0,3
2022-08-21,0.0,0,0
2022-08-22,0.0,0,9
2022-08-23,1.0,0,4
2022-08-24,-0.10000000000000009,0,6
2022-08-25,-0.04500000000000003,0,4
2022-08-26,-0.028500000000000022,0,3
2022-08-27,-0.020662499999999924,0,1
2022-08-28,-0.016116749999999947,0,0
2022-08-29,-0.01316201249999996,0,6
2022-08-30,-0.011093696249999967,0,5
2022-08-31,-0.009568313015624975,0,4
2022-09-01,-0.008398852535937478,0,3
2022-09-02,0.0,0,3
2022-09-03,0.0,0,0
2022-09-04,0.0,0,2
2022-09-05,0.0,0,0
2022-09-06,0.0,0,1
2022-09-07,0.0,0,6
2022-09-08,0.0,0,3
2022-09-09,1.0,0,1
2022-09-10,-0.10000000000000009,0,1
2022-09-11,-0.04500000000000003,0,0
2022-09-12,-0.028500000000000022,0,8
2022-09-13,-0.020662499999999924,0,3
2022-09-14,-0.016116749999999947,0,1
2022-09-15,-0.01316201249999996,0,8
2022-09-16,1.98890630375,0,5
2022-09-17,-0.20956831301562515,0,0
2022-09-18,-0.09839885253593754,0,1
2022-09-19,-0.057000000000000044,0,3
2022-09-20,-0.04132499999999985,0,6
2022-09-21,-0.032233499999999894,0,7
2022-09-22,-0.02632402499999992,0,6
2022-09-23,-0.022187392499999934,0,4
2022-09-24,-0.01913662603124995,0,0
2022-09-25,0.983202294928125,0,1
2022-09-26,-0.10000000000000009,0,3
2022-09-27,-0.04500000000000003,0,8
2022-09-28,-0.028500000000000022,0,8
2022-09-29,-0.020662499999999924,0,8
2022-09-30,-0.016116749999999947,0,7
2022-10-01,-0.01316201249999996,0,6
2022-10-02,0.98890630375,0,1
2022-10-03,-0.10956831301562506,0,7
2022-10-04,-0.05339885253593751,0,12
2022-10-05,-0.028500000000000022,0,12
2022-10-06,-0.020662499999999924,0,8
2022-10-07,-0.016116749999999947,0,6
2022-10-08,-0.01316201249999996,0,3
2022-10-09,-0.011093696249999967,0,3
2022-10-10,-0.009568313015624975,0,11
2022-10-11,-0.008398852535937478,0,17
2022-10-12,1.0,0,12
2022-10-13,0.8999999999999999,0,4
2022-10-14,-0.14500000000000013,0,7
2022-10-15,-0.07350000000000005,0,4
2022-10-16,-0.04916249999999994,0,0
2022-10-17,-0.036779249999999875,0,8
2022-10-18,-0.02927876249999991,0,7
2022-10-19,-0.024255708749999928,0,12
2022-10-20,-0.02066200926562494,0,6
2022-10-21,-0.017967165551562456,0,12
2022-10-22,-0.008398852535937478,0,3
2022-10-23,0.0,0,2
2022-10-24,0.0,0,7
2022-10-25,0.0,0,4
2022-10-26,1.0,1,10
2022-10-27,-0.10000000000000009,0,11
2022-10-28,-0.04500000000000003,0,5
2022-10-29,-0.028500000000000022,0,8
2022-10-30,-0.020662499999999924,1,0
2022-10-31,-0.016116749999999947,0,8
2022-11-01,-0.01316201249999996,0,6
2022-11-02,-0.011093696249999967,0,3
2022-11-03,-0.009568313015624975,0,4
2022-11-04,-0.008398852535937478,0,8
2022-11-05,0.0,0,0
2022-11-06,0.0,0,0
2022-11-07,0.0,0,5
2022-11-08,0.0,0,5
2022-11-09,0.0,0,7
2022-11-10,0.0,0,5
2022-11-11,0.0,0,8
2022-11-12,0.0,0,0
2022-11-13,2.0,0,0
2022-11-14,-0.20000000000000018,0,9
2022-11-15,-0.09000000000000007,0,3
2022-11-16,-0.057000000000000044,0,3
2022-11-17,-0.04132499999999985,0,3
2022-11-18,-0.032233499999999894,0,2
2022-11-19,-0.02632402499999992,0,0
2022-11-20,-0.022187392499999934,0,0
2022-11-21,-0.01913662603124995,0,2
2022-11-22,0.983202294928125,0,3
2022-11-23,-0.10000000000000009,1,1
2022-11-24,-0.04500000000000003,0,3
2022-11-25,-0.028500000000000022,0,9
2022-11-26,-0.020662499999999924,0,0
2022-11-27,1.98388325,0,1
2022-11-28,-0.21316201250000014,0,5
2022-11-29,-0.10109369625000003,0,1
2022-11-30,3.933431686984375,0,5
2022-12-01,-0.44972385253593766,0,3
2022-12-02,-0.21223350000000002,1,9
2022-12-03,1.859675975,0,0
2022-12-04,-0.3048373924999998,0,0
2022-12-05,-0.1736036260312498,0,7
2022-12-06,-0.12644575507187483,0,7
2022-12-07,-0.08569978499999972,0,4
2022-12-08,1.9294932479375002,0,3
2022-12-09,-0.25991943514375004,0,7
2022-12-10,-0.1121873925,0,2
2022-12-11,-0.07613662603124999,0,1
2022-12-12,-0.05812270507187481,0,10
2022-12-13,0.9677665000000001,1,2
2022-12-14,-0.126324025,0,8
2022-12-15,-0.06718739249999997,0,4
2022-12-16,-0.047636626031249976,0,7
2022-12-17,-0.03746020507187488,0,0
2022-12-18,3.98388325,0,0
2022-12-19,1.5868379874999996,0,7
2022-12-20,-0.3910936962500003,0,8
2022-12-21,-0.21356831301562512,0,4
2022-12-22,-0.14804885253593722,0,7
2022-12-23,-0.10579199999999964,0,6
2022-12-24,-0.08488154999999974,0,1
2022-12-25,-0.07069880999999979,0,0
2022-12-26,-0.06046064456249983,0,0
2022-12-27,-0.052732036174999865,0,0
2022-12-28,-0.016797705071874957,0,1
2022-12-29,0.0,0,0
2022-12-30,0.0,0,1
2022-12-31,0.0,0,3
2023-01-01,0.0,0,0
2023-01-02,0.0,0,12
2023-01-03,0.0,0,10
2023-01-04,0.0,0,7
2023-01-05,0.0,0,5
2023-01-06,0.0,0,7
2023-01-07,0.0,0,6
2023-01-08,0.0,0,3
2023-01-09,0.0,0,6
2023-01-10,0.0,0,9
2023-01-11,2.0,0,8
2023-01-12,-0.20000000000000018,0,3
2023-01-13,-0.09000000000000007,0,3
2023-01-14,-0.057000000000000044,0,0
2023-01-15,1.9586750000000002,0,0
2023-01-16,-0.23223350000000006,0,2
2023-01-17,-0.11632402499999998,0,6
2023-01-18,-0.07918739249999998,0,2
2023-01-19,-0.0604616260312498,0,8
2023-01-20,-0.04903120507187485,0,3
2023-01-21,1.9736759750000001,0,1
2023-01-22,-0.2221873925000001,0,0
2023-01-23,-0.10913662603125002,0,11
2023-01-24,-0.073797705071875,0,1
2023-01-25,-0.04132499999999985,0,10
2023-01-26,-0.032233499999999894,0,7
2023-01-27,-0.02632402499999992,0,6
2023-01-28,-0.022187392499999934,0,0
2023-01-29,-0.01913662603124995,0,1
2023-01-30,-0.016797705071874957,0,7
2023-01-31,0.0,0,3
2023-02-01,0.0,0,6
2023-02-02,0.0,0,7
2023-02-03,0.0,0,2
2023-02-04,0.0,0,0
2023-02-05,0.0,0,1
2023-02-06,1.0,0,2
2023-02-07,-0.10000000000000009,0,2
2023-02-08,-0.04500000000000003,0,8
2023-02-09,-0.028500000000000022,0,6
2023-02-10,-0.020662499999999924,1,11
2023-02-11,-0.016116749999999947,0,4
2023-02-12,-0.01316201249999996,0,0
2023-02-13,-0.011093696249999967,0,7
2023-02-14,-0.009568313015624975,0,3
2023-02-15,-0.008398852535937478,0,0
2023-02-16,0.0,0,7
2023-02-17,0.0,0,5
2023-02-18,0.0,0,15
2023-02-19,0.0,0,3
2023-02-20,0.0,0,6
2023-02-21,0.0,0,10
2023-02-22,0.0,0,4
2023-02-23,0.0,0,8
2023-02-24,0.0,0,9
2023-02-25,0.0,0,0
2023-02-26,0.0,0,0
2023-02-27,0.0,0,5
2023-02-28,0.0,0,14
2023-03-01,0.0,0,2
2023-03-02,0.0,0,4
2023-03-03,0.0,0,2
2023-03-04,0.0,0,0
2023-03-05,0.0,0,0
2023-03-06,0.0,0,11
2023-03-07,0.0,0,8
2023-03-08,0.0,0,8
2023-03-09,0.0,0,6
2023-03-10,0.0,0,12
2023-03-11,0.0,0,3
2023-03-12,0.0,0,1
2023-03-13,0.0,0,8
2023-03-14,0.0,0,6
2023-03-15,0.0,0,6
2023-03-16,0.0,0,9
2023-03-17,0.0,0,5
2023-03-18,0.0,0,5
2023-03-19,0.0,0,1
2023-03-20,0.0,0,5
2023-03-21,0.0,0,14
2023-03-22,0.0,0,3
2023-03-23,0.0,0,9
2023-03-24,0.0,0,13
2023-03-25,0.0,0,2
2023-03-26,0.0,0,0
2023-03-27,0.0,0,5
2023-03-28,0.0,0,4
2023-03-29,0.0,0,3
2023-03-30,0.0,0,13
2023-03-31,0.0,0,5
2023-04-01,0.0,0,1
2023-04-02,0.0,0,1
2023-04-03,0.0,0,12
2023-04-04,1.0,0,3
2023-04-05,1.9,0,10
2023-04-06,-0.24500000000000022,0,7
2023-04-07,-0.11850000000000009,0,3
2023-04-08,-0.07766249999999997,0,2
2023-04-09,0.9425582500000003,0,0
2023-04-10,-0.14539551249999993,0,9
2023-04-11,-0.08241772124999992,0,4
2023-04-12,-0.06025570551562494,0,6
2023-04-13,-0.048197978567187355,0,5
2023-04-14,-0.032914455071874904,0,2
2023-04-15,-0.01316201249999996,0,0
2023-04-16,-0.011093696249999967,0,0
2023-04-17,-0.009568313015624975,0,15
2023-04-18,-0.008398852535937478,0,6
2023-04-19,0.0,0,10
2023-04-20,0.0,0,13
2023-04-21,0.0,0,4
2023-04-22,0.0,0,1
2023-04-23,0.0,0,1
2023-04-24,0.0,0,11
2023-04-25,0.0,0,8
2023-04-26,1.0,0,11
2023-04-27,-0.10000000000000009,0,8
2023-04-28,-0.04500000000000003,0,7
2023-04-29,-0.028500000000000022,0,1
2023-04-30,-0.020662499999999924,0,1
2023-05-01,-0.016116749999999947,0,6
2023-05-02,-0.01316201249999996,0,7
2023-05-03,-0.011093696249999967,0,7
2023-05-04,-0.009568313015624975,0,5
2023-05-05,0.9916011474640625,0,9
2023-05-06,-0.10000000000000009,0,0
2023-05-07,-0.04500000000000003,0,0
2023-05-08,-0.028500000000000022,0,6
2023-05-09,-0.020662499999999924,0,14
2023-05-10,-0.016116749999999947,0,8
2023-05-11,-0.01316201249999996,0,2
2023-05-12,-0.011093696249999967,0,6
2023-05-13,-0.009568313015624975,0,0
2023-05-14,-0.008398852535937478,0,0
2023-05-15,0.0,0,4
2023-05-16,0.0,0,8
2023-05-17,0.0,0,7
2023-05-18,0.0,0,9
2023-05-19,0.0,0,5
2023-05-20,0.0,0,1
2023-05-21,0.0,0,0
2023-05-22,0.0,0,5
2023-05-23,0.0,0,5
2023-05-24,0.0,0,14
2023-05-25,0.0,0,5
2023-05-26,0.0,0,7
2023-05-27,0.0,0,1
2023-05-28,0.0,0,2
2023-05-29,0.0,0,1
2023-05-30,0.0,0,6
2023-05-31,0.0,0,6
2023-06-01,0.0,0,8
2023-06-02,0.0,0,6
2023-06-03,0.0,0,2
2023-06-04,0.0,0,2
2023-06-05,0.0,0,3
2023-06-06,0.0,0,4
2023-06-07,0.0,0,7
2023-06-08,0.0,0,1
2023-06-09,0.0,0,4
2023-06-10,0.0,0,0
2023-06-11,0.0,0,0
2023-06-12,0.0,0,4
2023-06-13,0.0,0,2
2023-06-14,0.0,0,9
2023-06-15,0.0,0,5
2023-06-16,0.0,0,6
2023-06-17,0.0,0,2
2023-06-18,0.0,0,0
2023-06-19,0.0,0,1
2023-06-20,0.0,0,8
2023-06-21,0.0,0,4
2023-06-22,0.0,0,10
2023-06-23,0.0,0,2
2023-06-24,0.0,0,1
2023-06-25,0.0,0,1
2023-06-26,0.0,0,3
2023-06-27,0.0,0,4
2023-06-28,0.0,0,1
2023-06-29,0.0,0,14
2023-06-30,0.0,0,6
2023-07-01,0.0,0,1
2023-07-02,0.0,0,0
2023-07-03,0.0,0,6
2023-07-04,0.0,0,2
2023-07-05,0.0,0,7
2023-07-06,0.0,0,12
2023-07-07,0.0,0,3
2023-07-08,0.0,0,1
2023-07-09,0.0,0,0
2023-07-10,0.0,0,8
2023-07-11,0.0,1,14
2023-07-12,0.0,0,6
2023-07-13,0.0,0,2
2023-07-14,0.0,0,6
2023-07-15,0.0,0,0
2023-07-16,0.0,0,1
2023-07-17,0.0,0,2
2023-07-18,0.0,0,7
2023-07-19,0.0,0,5
2023-07-20,0.0,0,8
2023-07-21,0.0,0,5
2023-07-22,0.0,0,0
2023-07-23,0.0,0,1
2023-07-24,0.0,0,4
2023-07-25,0.0,0,6
2023-07-26,0.0,0,11
2023-07-27,0.0,0,2
2023-07-28,0.0,0,6
2023-07-29,0.0,0,1
2023-07-30,0.0,0,1
2023-07-31,0.0,0,4
2023-08-01,0.0,0,5
2023-08-02,0.0,0,6
2023-08-03,0.0,0,5
2023-08-04,0.0,0,3
2023-08-05,0.0,0,2
2023-08-06,0.0,0,1
2023-08-07,0.0,0,8
2023-08-08,0.0,0,5
2023-08-09,0.0,0,4
2023-08-10,0.0,0,7
2023-08-11,0.0,0,2
2023-08-12,0.0,0,4
