,decaporg/decap-cms,TryGhost/Ghost,strapi/strapi
2016-03-25,0,5,4
2016-03-26,0,2,0
2016-03-27,0,0,1
2016-03-28,0,1,2
2016-03-29,0,7,1
2016-03-30,0,4,0
2016-03-31,0,13,1
2016-04-01,0,2,0
2016-04-02,0,1,0
2016-04-03,0,2,0
2016-04-04,0,16,4
2016-04-05,0,2,1
2016-04-06,0,4,0
2016-04-07,0,0,4
2016-04-08,0,30,0
2016-04-09,0,5,0
2016-04-10,0,6,0
2016-04-11,0,6,0
2016-04-12,0,4,3
2016-04-13,0,11,0
2016-04-14,0,26,3
2016-04-15,0,6,1
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,0,5,0
2016-04-19,0,18,3
2016-04-20,0,7,0
2016-04-21,0,3,5
2016-04-22,0,0,1
2016-04-23,0,0,0
2016-04-24,0,0,0
2016-04-25,0,2,0
2016-04-26,0,16,2
2016-04-27,0,1,0
2016-04-28,0,19,0
2016-04-29,0,1,0
2016-04-30,0,0,0
2016-05-01,0,0,0
2016-05-02,0,1,0
2016-05-03,0,4,1
2016-05-04,0,1,0
2016-05-05,0,6,0
2016-05-06,0,1,0
2016-05-07,0,6,0
2016-05-08,0,17,0
2016-05-09,0,4,0
2016-05-10,0,0,0
2016-05-11,0,34,0
2016-05-12,0,13,0
2016-05-13,0,11,0
2016-05-14,0,3,2
2016-05-15,0,2,0
2016-05-16,0,9,0
2016-05-17,0,9,0
2016-05-18,0,10,0
2016-05-19,0,8,0
2016-05-20,0,23,0
2016-05-21,0,4,0
2016-05-22,0,9,0
2016-05-23,0,10,0
2016-05-24,0,8,0
2016-05-25,0,5,0
2016-05-26,0,0,5
2016-05-27,0,8,0
2016-05-28,0,3,0
2016-05-29,0,2,0
2016-05-30,1,6,0
2016-05-31,2,2,0
2016-06-01,0,9,0
2016-06-02,0,9,0
2016-06-03,0,12,0
2016-06-04,0,7,0
2016-06-05,2,1,0
2016-06-06,8,7,0
2016-06-07,4,6,0
2016-06-08,4,8,0
2016-06-09,0,27,0
2016-06-10,3,25,0
2016-06-11,0,12,0
2016-06-12,0,0,0
2016-06-13,0,16,0
2016-06-14,0,14,0
2016-06-15,0,15,0
2016-06-16,4,6,0
2016-06-17,4,6,0
2016-06-18,6,12,0
2016-06-19,0,1,0
2016-06-20,0,6,0
2016-06-21,0,10,0
2016-06-22,3,3,0
2016-06-23,0,6,0
2016-06-24,0,0,0
2016-06-25,0,0,0
2016-06-26,0,2,0
2016-06-27,0,3,0
2016-06-28,0,7,0
2016-06-29,0,11,4
2016-06-30,9,6,2
2016-07-01,0,1,0
2016-07-02,0,1,0
2016-07-03,0,0,0
2016-07-04,0,2,4
2016-07-05,2,4,5
2016-07-06,13,2,2
2016-07-07,10,1,1
2016-07-08,13,3,0
2016-07-09,0,4,0
2016-07-10,0,0,0
2016-07-11,3,2,1
2016-07-12,5,3,4
2016-07-13,5,1,0
2016-07-14,1,9,3
2016-07-15,2,15,0
2016-07-16,0,0,0
2016-07-17,0,0,0
2016-07-18,3,5,0
2016-07-19,6,6,0
2016-07-20,3,3,0
2016-07-21,1,6,0
2016-07-22,0,7,0
2016-07-23,0,0,0
2016-07-24,0,1,0
2016-07-25,0,2,1
2016-07-26,0,10,2
2016-07-27,0,3,0
2016-07-28,1,6,0
2016-07-29,0,5,0
2016-07-30,0,1,0
2016-07-31,0,3,0
2016-08-01,3,6,0
2016-08-02,1,1,0
2016-08-03,5,1,0
2016-08-04,2,1,1
2016-08-05,1,0,1
2016-08-06,4,14,0
2016-08-07,0,4,0
2016-08-08,2,1,2
2016-08-09,0,0,2
2016-08-10,1,11,3
2016-08-11,4,5,1
2016-08-12,0,5,1
2016-08-13,0,4,0
2016-08-14,0,0,0
2016-08-15,0,2,1
2016-08-16,0,0,3
2016-08-17,2,4,2
2016-08-18,6,8,4
2016-08-19,0,7,9
2016-08-20,0,1,0
2016-08-21,0,0,0
2016-08-22,0,10,15
2016-08-23,1,13,5
2016-08-24,0,8,1
2016-08-25,2,12,6
2016-08-26,0,4,14
2016-08-27,0,0,0
2016-08-28,0,0,0
2016-08-29,3,6,0
2016-08-30,2,2,5
2016-08-31,20,0,8
2016-09-01,0,9,3
2016-09-02,0,0,6
2016-09-03,0,0,0
2016-09-04,3,0,0
2016-09-05,10,0,4
2016-09-06,3,8,3
2016-09-07,0,0,0
2016-09-08,4,0,1
2016-09-09,4,0,3
2016-09-10,0,0,0
2016-09-11,3,0,0
2016-09-12,3,0,0
2016-09-13,32,0,0
2016-09-14,3,35,0
2016-09-15,11,4,0
2016-09-16,6,0,0
2016-09-17,0,0,0
2016-09-18,0,0,0
2016-09-19,5,14,0
2016-09-20,2,53,0
2016-09-21,0,3,0
2016-09-22,15,1,0
2016-09-23,1,5,1
2016-09-24,0,2,0
2016-09-25,0,0,3
2016-09-26,4,19,2
2016-09-27,7,2,2
2016-09-28,5,2,8
2016-09-29,6,1,0
2016-09-30,3,8,2
2016-10-01,0,2,0
2016-10-02,0,1,0
2016-10-03,9,10,0
2016-10-04,1,3,4
2016-10-05,11,6,9
2016-10-06,18,5,0
2016-10-07,2,16,0
2016-10-08,0,1,0
2016-10-09,0,0,0
2016-10-10,6,31,0
2016-10-11,10,8,0
2016-10-12,7,4,3
2016-10-13,13,6,3
2016-10-14,3,7,1
2016-10-15,0,0,0
2016-10-16,0,0,0
2016-10-17,3,14,0
2016-10-18,6,5,0
2016-10-19,3,3,0
2016-10-20,8,0,2
2016-10-21,6,14,6
2016-10-22,8,2,0
2016-10-23,1,0,0
2016-10-24,4,7,8
2016-10-25,1,3,2
2016-10-26,4,2,0
2016-10-27,12,1,0
2016-10-28,5,10,0
2016-10-29,0,0,0
2016-10-30,2,0,0
2016-10-31,8,9,11
2016-11-01,6,0,0
2016-11-02,5,2,0
2016-11-03,0,10,0
2016-11-04,1,0,9
2016-11-05,0,6,0
2016-11-06,0,1,0
2016-11-07,0,10,3
2016-11-08,0,7,3
2016-11-09,0,7,1
2016-11-10,0,4,0
2016-11-11,13,0,0
2016-11-12,5,0,0
2016-11-13,0,0,0
2016-11-14,0,25,0
2016-11-15,0,5,0
2016-11-16,2,8,0
2016-11-17,6,7,0
2016-11-18,0,0,4
2016-11-19,0,0,0
2016-11-20,0,0,0
2016-11-21,2,1,0
2016-11-22,0,0,6
2016-11-23,9,0,1
2016-11-24,0,0,9
2016-11-25,0,0,3
2016-11-26,0,7,0
2016-11-27,0,5,0
2016-11-28,0,2,2
2016-11-29,7,0,0
2016-11-30,3,0,0
2016-12-01,5,2,5
2016-12-02,4,0,11
2016-12-03,0,2,0
2016-12-04,0,0,0
2016-12-05,0,0,11
2016-12-06,0,0,0
2016-12-07,3,0,6
2016-12-08,0,0,0
2016-12-09,0,4,1
2016-12-10,0,0,0
2016-12-11,0,0,1
2016-12-12,3,0,0
2016-12-13,0,0,0
2016-12-14,0,0,0
2016-12-15,3,0,0
2016-12-16,0,0,0
2016-12-17,0,0,0
2016-12-18,0,0,4
2016-12-19,0,0,0
2016-12-20,1,1,3
2016-12-21,0,1,0
2016-12-22,0,0,0
2016-12-23,9,0,0
2016-12-24,0,0,0
2016-12-25,0,2,0
2016-12-26,0,0,0
2016-12-27,3,0,0
2016-12-28,9,0,0
2016-12-29,2,0,0
2016-12-30,10,0,0
2016-12-31,0,0,0
2017-01-01,0,0,0
2017-01-02,3,0,0
2017-01-03,0,0,0
2017-01-04,0,45,7
2017-01-05,1,1,2
2017-01-06,0,1,6
2017-01-07,0,0,0
2017-01-08,0,2,0
2017-01-09,0,3,9
2017-01-10,0,4,0
2017-01-11,6,6,2
2017-01-12,2,1,1
2017-01-13,5,9,0
2017-01-14,0,0,1
2017-01-15,0,1,7
2017-01-16,5,4,0
2017-01-17,0,4,3
2017-01-18,2,1,1
2017-01-19,8,7,1
2017-01-20,0,6,3
2017-01-21,1,0,0
2017-01-22,3,2,0
2017-01-23,1,8,5
2017-01-24,2,9,3
2017-01-25,0,11,0
2017-01-26,3,14,2
2017-01-27,0,0,0
2017-01-28,0,0,1
2017-01-29,0,0,0
2017-01-30,0,10,5
2017-01-31,2,4,0
2017-02-01,0,9,2
2017-02-02,1,2,0
2017-02-03,1,6,5
2017-02-04,0,10,0
2017-02-05,0,0,0
2017-02-06,0,9,1
2017-02-07,1,4,0
2017-02-08,4,19,0
2017-02-09,0,2,0
2017-02-10,0,6,0
2017-02-11,0,6,0
2017-02-12,0,0,0
2017-02-13,0,2,0
2017-02-14,0,3,5
2017-02-15,0,4,2
2017-02-16,0,4,0
2017-02-17,0,19,0
2017-02-18,1,5,0
2017-02-19,0,2,0
2017-02-20,0,0,0
2017-02-21,1,10,0
2017-02-22,8,2,0
2017-02-23,0,5,0
2017-02-24,1,3,0
2017-02-25,0,0,0
2017-02-26,0,0,0
2017-02-27,0,6,0
2017-02-28,0,4,0
2017-03-01,0,23,0
2017-03-02,0,32,6
2017-03-03,0,23,2
2017-03-04,0,0,0
2017-03-05,0,0,0
2017-03-06,5,2,2
2017-03-07,1,3,3
2017-03-08,0,23,0
2017-03-09,2,4,4
2017-03-10,0,3,0
2017-03-11,2,1,0
2017-03-12,0,0,0
2017-03-13,0,13,0
2017-03-14,2,26,10
2017-03-15,9,6,3
2017-03-16,8,2,0
2017-03-17,4,1,0
2017-03-18,0,0,3
2017-03-19,0,0,0
2017-03-20,6,12,1
2017-03-21,4,6,0
2017-03-22,2,5,0
2017-03-23,1,5,0
2017-03-24,0,5,1
2017-03-25,0,0,0
2017-03-26,0,1,0
2017-03-27,0,0,0
2017-03-28,2,3,0
2017-03-29,1,5,0
2017-03-30,0,5,0
2017-03-31,3,0,0
2017-04-01,0,0,0
2017-04-02,0,0,0
2017-04-03,1,5,2
2017-04-04,2,27,0
2017-04-05,4,22,0
2017-04-06,1,11,0
2017-04-07,1,9,3
2017-04-08,1,1,0
2017-04-09,2,0,0
2017-04-10,1,7,2
2017-04-11,5,18,15
2017-04-12,0,0,1
2017-04-13,4,5,0
2017-04-14,15,4,0
2017-04-15,0,4,0
2017-04-16,0,0,0
2017-04-17,2,7,0
2017-04-18,5,1,0
2017-04-19,6,12,0
2017-04-20,1,4,1
2017-04-21,5,0,6
2017-04-22,0,0,0
2017-04-23,0,0,0
2017-04-24,21,17,0
2017-04-25,3,8,2
2017-04-26,3,0,0
2017-04-27,0,0,0
2017-04-28,1,0,0
2017-04-29,0,0,0
2017-04-30,0,0,0
2017-05-01,1,0,0
2017-05-02,1,2,0
2017-05-03,1,0,8
2017-05-04,4,0,2
2017-05-05,14,0,1
2017-05-06,0,0,4
2017-05-07,1,2,0
2017-05-08,1,3,0
2017-05-09,1,3,4
2017-05-10,2,7,6
2017-05-11,4,1,9
2017-05-12,0,9,3
2017-05-13,1,0,0
2017-05-14,0,0,0
2017-05-15,1,8,0
2017-05-16,2,1,1
2017-05-17,3,3,10
2017-05-18,5,3,0
2017-05-19,0,0,0
2017-05-20,0,0,0
2017-05-21,0,1,0
2017-05-22,3,4,0
2017-05-23,0,10,0
2017-05-24,0,6,0
2017-05-25,4,0,0
2017-05-26,0,0,0
2017-05-27,0,0,0
2017-05-28,0,0,0
2017-05-29,0,4,1
2017-05-30,0,9,0
2017-05-31,0,7,0
2017-06-01,7,8,0
2017-06-02,0,0,0
2017-06-03,0,0,0
2017-06-04,0,2,0
2017-06-05,5,1,0
2017-06-06,0,6,3
2017-06-07,3,5,0
2017-06-08,6,13,1
2017-06-09,2,0,6
2017-06-10,0,0,0
2017-06-11,0,0,0
2017-06-12,1,2,0
2017-06-13,1,4,0
2017-06-14,3,1,0
2017-06-15,1,7,4
2017-06-16,1,0,0
2017-06-17,0,0,4
2017-06-18,0,0,1
2017-06-19,1,6,3
2017-06-20,2,3,10
2017-06-21,0,4,1
2017-06-22,4,11,0
2017-06-23,1,4,2
2017-06-24,3,0,0
2017-06-25,1,0,1
2017-06-26,0,0,0
2017-06-27,0,1,0
2017-06-28,1,0,2
2017-06-29,0,1,0
2017-06-30,1,0,0
2017-07-01,2,0,5
2017-07-02,0,0,0
2017-07-03,0,0,0
2017-07-04,2,3,2
2017-07-05,0,4,0
2017-07-06,0,4,11
2017-07-07,0,2,2
2017-07-08,0,0,0
2017-07-09,0,2,0
2017-07-10,13,11,7
2017-07-11,0,9,8
2017-07-12,0,0,12
2017-07-13,0,1,17
2017-07-14,0,0,1
2017-07-15,0,0,0
2017-07-16,0,0,0
2017-07-17,0,0,19
2017-07-18,0,5,9
2017-07-19,0,0,23
2017-07-20,0,16,10
2017-07-21,0,7,13
2017-07-22,1,5,0
2017-07-23,1,0,0
2017-07-24,0,0,23
2017-07-25,2,2,9
2017-07-26,0,5,22
2017-07-27,5,10,9
2017-07-28,0,5,10
2017-07-29,0,0,1
2017-07-30,0,0,0
2017-07-31,0,19,21
2017-08-01,1,16,11
2017-08-02,2,13,12
2017-08-03,0,13,16
2017-08-04,0,1,7
2017-08-05,0,3,1
2017-08-06,0,0,2
2017-08-07,0,0,8
2017-08-08,0,7,17
2017-08-09,1,2,14
2017-08-10,0,10,10
2017-08-11,2,1,12
2017-08-12,0,0,0
2017-08-13,0,0,0
2017-08-14,0,2,16
2017-08-15,2,18,0
2017-08-16,2,5,26
2017-08-17,10,11,24
2017-08-18,0,2,15
2017-08-19,0,0,2
2017-08-20,4,0,0
2017-08-21,0,2,10
2017-08-22,0,14,16
2017-08-23,0,0,30
2017-08-24,0,7,16
2017-08-25,80,1,15
2017-08-26,0,0,0
2017-08-27,0,0,0
2017-08-28,0,1,5
2017-08-29,3,12,11
2017-08-30,2,2,9
2017-08-31,2,7,11
2017-09-01,6,1,4
2017-09-02,0,2,0
2017-09-03,1,0,0
2017-09-04,0,2,7
2017-09-05,6,11,6
2017-09-06,5,1,7
2017-09-07,7,13,9
2017-09-08,1,0,18
2017-09-09,3,0,16
2017-09-10,2,1,0
2017-09-11,2,5,1
2017-09-12,0,10,15
2017-09-13,1,1,10
2017-09-14,0,5,12
2017-09-15,6,0,8
2017-09-16,8,0,0
2017-09-17,0,0,0
2017-09-18,3,4,17
2017-09-19,1,6,18
2017-09-20,1,6,18
2017-09-21,1,9,25
2017-09-22,2,2,1
2017-09-23,0,0,0
2017-09-24,0,0,0
2017-09-25,1,12,14
2017-09-26,15,12,16
2017-09-27,0,4,26
2017-09-28,1,15,10
2017-09-29,9,0,12
2017-09-30,0,0,13
2017-10-01,3,0,1
2017-10-02,8,1,8
2017-10-03,23,12,2
2017-10-04,25,13,1
2017-10-05,12,8,0
2017-10-06,3,3,1
2017-10-07,1,0,0
2017-10-08,0,0,0
2017-10-09,3,6,2
2017-10-10,3,6,24
2017-10-11,6,2,32
2017-10-12,0,3,34
2017-10-13,3,7,17
2017-10-14,1,0,0
2017-10-15,0,0,0
2017-10-16,1,0,23
2017-10-17,0,4,14
2017-10-18,3,4,11
2017-10-19,3,7,1
2017-10-20,1,0,2
2017-10-21,0,0,4
2017-10-22,0,0,0
2017-10-23,3,2,27
2017-10-24,4,5,2
2017-10-25,2,3,12
2017-10-26,18,11,6
2017-10-27,1,0,13
2017-10-28,0,1,0
2017-10-29,0,0,0
2017-10-30,3,3,16
2017-10-31,0,11,13
2017-11-01,0,6,5
2017-11-02,0,5,13
2017-11-03,0,1,24
2017-11-04,0,0,0
2017-11-05,0,1,0
2017-11-06,0,3,12
2017-11-07,3,12,13
2017-11-08,4,6,10
2017-11-09,3,13,8
2017-11-10,0,8,7
2017-11-11,13,0,3
2017-11-12,7,0,0
2017-11-13,1,1,6
2017-11-14,0,11,21
2017-11-15,6,0,10
2017-11-16,0,9,10
2017-11-17,0,3,20
2017-11-18,0,0,0
2017-11-19,2,0,0
2017-11-20,0,0,19
2017-11-21,0,8,4
2017-11-22,0,3,1
2017-11-23,0,0,14
2017-11-24,0,2,1
2017-11-25,0,4,1
2017-11-26,0,0,0
2017-11-27,20,1,20
2017-11-28,11,9,25
2017-11-29,0,11,22
2017-11-30,1,7,12
2017-12-01,3,0,7
2017-12-02,0,1,4
2017-12-03,0,0,0
2017-12-04,1,5,18
2017-12-05,2,8,24
2017-12-06,10,4,28
2017-12-07,27,4,40
2017-12-08,2,0,10
2017-12-09,7,0,0
2017-12-10,2,0,0
2017-12-11,1,4,15
2017-12-12,1,7,16
2017-12-13,5,17,32
2017-12-14,14,29,10
2017-12-15,0,3,20
2017-12-16,0,0,14
2017-12-17,0,0,0
2017-12-18,0,1,17
2017-12-19,6,0,5
2017-12-20,2,0,9
2017-12-21,2,0,10
2017-12-22,4,1,1
2017-12-23,0,0,1
2017-12-24,2,0,0
2017-12-25,0,0,0
2017-12-26,0,0,0
2017-12-27,0,1,0
2017-12-28,0,0,0
2017-12-29,0,0,0
2017-12-30,0,0,0
2017-12-31,0,0,1
2018-01-01,1,0,0
2018-01-02,0,17,0
2018-01-03,7,12,0
2018-01-04,2,7,12
2018-01-05,13,2,10
2018-01-06,0,0,1
2018-01-07,0,1,0
2018-01-08,1,6,18
2018-01-09,0,14,15
2018-01-10,2,0,36
2018-01-11,1,5,25
2018-01-12,3,12,20
2018-01-13,0,0,0
2018-01-14,0,0,0
2018-01-15,0,0,19
2018-01-16,0,4,12
2018-01-17,11,6,34
2018-01-18,0,3,40
2018-01-19,1,0,26
2018-01-20,0,0,0
2018-01-21,0,0,0
2018-01-22,1,1,19
2018-01-23,3,6,32
2018-01-24,2,2,13
2018-01-25,3,4,43
2018-01-26,1,0,21
2018-01-27,2,2,2
2018-01-28,0,4,2
2018-01-29,3,4,19
2018-01-30,0,6,1
2018-01-31,0,3,15
2018-02-01,0,7,16
2018-02-02,0,2,19
2018-02-03,2,5,0
2018-02-04,0,2,1
2018-02-05,1,0,23
2018-02-06,0,1,69
2018-02-07,4,11,20
2018-02-08,1,0,15
2018-02-09,1,0,33
2018-02-10,0,0,0
2018-02-11,0,0,0
2018-02-12,0,0,25
2018-02-13,1,1,16
2018-02-14,0,7,5
2018-02-15,1,13,18
2018-02-16,0,0,20
2018-02-17,1,1,4
2018-02-18,0,0,7
2018-02-19,2,2,23
2018-02-20,0,11,21
2018-02-21,9,10,19
2018-02-22,6,3,25
2018-02-23,3,0,20
2018-02-24,1,0,3
2018-02-25,0,0,0
2018-02-26,4,0,24
2018-02-27,13,0,18
2018-02-28,6,4,20
2018-03-01,0,0,31
2018-03-02,0,0,13
2018-03-03,1,0,1
2018-03-04,10,1,1
2018-03-05,1,6,21
2018-03-06,12,4,17
2018-03-07,0,1,24
2018-03-08,0,0,15
2018-03-09,0,2,9
2018-03-10,0,0,0
2018-03-11,0,0,3
2018-03-12,0,1,18
2018-03-13,0,3,13
2018-03-14,1,11,23
2018-03-15,2,8,21
2018-03-16,0,5,12
2018-03-17,0,0,2
2018-03-18,0,0,2
2018-03-19,0,20,31
2018-03-20,0,3,19
2018-03-21,0,2,3
2018-03-22,0,2,8
2018-03-23,0,1,23
2018-03-24,0,0,6
