,jashkenas/underscore,ramda/ramda,lodash/lodash
2013-07-21,0,0,3
2013-07-22,0,0,6
2013-07-23,2,0,2
2013-07-24,12,0,1
2013-07-25,7,0,4
2013-07-26,0,0,2
2013-07-27,3,0,4
2013-07-28,6,0,4
2013-07-29,0,0,2
2013-07-30,0,0,2
2013-07-31,2,0,3
2013-08-01,1,0,4
2013-08-02,1,0,3
2013-08-03,0,0,6
2013-08-04,0,0,8
2013-08-05,0,0,0
2013-08-06,0,0,5
2013-08-07,3,0,3
2013-08-08,0,0,2
2013-08-09,2,0,9
2013-08-10,0,0,9
2013-08-11,2,1,1
2013-08-12,1,0,1
2013-08-13,0,5,0
2013-08-14,0,3,2
2013-08-15,3,0,3
2013-08-16,0,0,3
2013-08-17,0,0,2
2013-08-18,0,0,1
2013-08-19,2,1,1
2013-08-20,0,3,2
2013-08-21,0,1,1
2013-08-22,2,2,2
2013-08-23,0,0,1
2013-08-24,0,0,1
2013-08-25,0,0,6
2013-08-26,0,0,6
2013-08-27,0,1,5
2013-08-28,0,2,4
2013-08-29,0,1,3
2013-08-30,0,0,13
2013-08-31,0,0,2
2013-09-01,0,0,1
2013-09-02,0,1,4
2013-09-03,0,5,0
2013-09-04,4,4,6
2013-09-05,0,0,2
2013-09-06,0,2,2
2013-09-07,10,0,3
2013-09-08,0,1,4
2013-09-09,2,0,4
2013-09-10,0,0,1
2013-09-11,0,0,2
2013-09-12,0,0,1
2013-09-13,0,0,5
2013-09-14,0,0,6
2013-09-15,0,0,0
2013-09-16,0,0,5
2013-09-17,0,0,6
2013-09-18,0,0,6
2013-09-19,0,0,6
2013-09-20,1,0,5
2013-09-21,0,0,3
2013-09-22,0,0,1
2013-09-23,1,0,3
2013-09-24,2,0,1
2013-09-25,0,0,3
2013-09-26,0,0,4
2013-09-27,0,0,4
2013-09-28,0,0,2
2013-09-29,0,0,7
2013-09-30,0,0,3
2013-10-01,0,0,4
2013-10-02,0,0,2
2013-10-03,0,0,5
2013-10-04,0,0,1
2013-10-05,0,0,3
2013-10-06,0,1,1
2013-10-07,0,0,1
2013-10-08,0,1,4
2013-10-09,0,0,1
2013-10-10,0,0,1
2013-10-11,2,0,1
2013-10-12,0,0,2
2013-10-13,0,0,7
2013-10-14,0,1,4
2013-10-15,1,0,3
2013-10-16,0,1,1
2013-10-17,0,0,2
2013-10-18,0,0,3
2013-10-19,0,0,7
2013-10-20,0,0,1
2013-10-21,0,0,8
2013-10-22,0,0,4
2013-10-23,0,0,2
2013-10-24,0,0,5
2013-10-25,0,0,4
2013-10-26,0,0,3
2013-10-27,0,0,1
2013-10-28,0,0,11
2013-10-29,2,0,9
2013-10-30,0,0,8
2013-10-31,0,0,8
2013-11-01,0,0,1
2013-11-02,0,0,14
2013-11-03,0,0,12
2013-11-04,0,0,7
2013-11-05,0,0,10
2013-11-06,10,0,14
2013-11-07,6,0,7
2013-11-08,0,0,8
2013-11-09,0,0,2
2013-11-10,0,0,5
2013-11-11,0,0,5
2013-11-12,0,0,5
2013-11-13,0,0,6
2013-11-14,0,0,5
2013-11-15,0,0,3
2013-11-16,0,0,8
2013-11-17,0,0,1
2013-11-18,8,0,3
2013-11-19,6,0,3
2013-11-20,3,0,5
2013-11-21,0,0,5
2013-11-22,0,0,4
2013-11-23,0,0,3
2013-11-24,0,0,4
2013-11-25,0,0,1
2013-11-26,0,0,3
2013-11-27,0,0,3
2013-11-28,0,0,1
2013-11-29,0,0,4
2013-11-30,0,0,11
2013-12-01,0,0,4
2013-12-02,0,0,5
2013-12-03,2,0,3
2013-12-04,0,0,3
2013-12-05,0,2,7
2013-12-06,0,0,3
2013-12-07,0,0,4
2013-12-08,0,0,7
2013-12-09,0,0,3
2013-12-10,0,0,0
2013-12-11,0,0,4
2013-12-12,0,1,1
2013-12-13,0,0,3
2013-12-14,0,2,8
2013-12-15,0,0,1
2013-12-16,0,1,16
2013-12-17,0,0,7
2013-12-18,3,0,0
2013-12-19,0,0,6
2013-12-20,0,0,4
2013-12-21,2,3,7
2013-12-22,1,0,1
2013-12-23,0,0,4
2013-12-24,0,1,1
2013-12-25,0,0,1
2013-12-26,0,0,1
2013-12-27,0,2,1
2013-12-28,0,1,0
2013-12-29,0,0,2
2013-12-30,0,0,0
2013-12-31,0,0,2
2014-01-01,1,2,3
2014-01-02,1,0,1
2014-01-03,4,0,5
2014-01-04,0,0,0
2014-01-05,0,0,5
2014-01-06,0,0,0
2014-01-07,0,0,2
2014-01-08,0,0,0
2014-01-09,0,0,5
2014-01-10,0,1,2
2014-01-11,0,1,1
2014-01-12,0,0,5
2014-01-13,0,0,3
2014-01-14,0,0,2
2014-01-15,1,0,1
2014-01-16,2,0,4
2014-01-17,0,0,6
2014-01-18,0,0,1
2014-01-19,0,0,5
2014-01-20,2,0,6
2014-01-21,7,0,0
2014-01-22,2,0,9
2014-01-23,1,0,8
2014-01-24,2,0,4
2014-01-25,0,0,6
2014-01-26,2,0,9
2014-01-27,7,0,0
2014-01-28,0,0,5
2014-01-29,1,0,16
2014-01-30,1,0,6
2014-01-31,7,0,3
2014-02-01,9,0,0
