,microsoft/vscode,atom/atom,adobe/brackets
2019-12-13,54,0,0
2019-12-14,9,0,0
2019-12-15,2,0,0
2019-12-16,54,3,0
2019-12-17,54,0,0
2019-12-18,77,4,0
2019-12-19,48,8,0
2019-12-20,31,3,0
2019-12-21,2,0,0
2019-12-22,1,0,0
2019-12-23,19,0,0
2019-12-24,15,0,0
2019-12-25,2,0,0
2019-12-26,3,0,0
2019-12-27,6,0,0
2019-12-28,2,0,0
2019-12-29,2,0,0
2019-12-30,36,0,0
2019-12-31,31,0,0
2020-01-01,0,3,0
2020-01-02,19,0,0
2020-01-03,16,0,0
2020-01-04,1,0,0
2020-01-05,5,0,0
2020-01-06,58,0,0
2020-01-07,61,7,0
2020-01-08,51,2,0
2020-01-09,59,2,0
2020-01-10,77,1,0
2020-01-11,11,0,0
2020-01-12,13,0,0
2020-01-13,80,0,0
2020-01-14,67,0,0
2020-01-15,75,0,0
2020-01-16,61,0,0
2020-01-17,68,0,0
2020-01-18,8,0,0
2020-01-19,18,0,0
2020-01-20,41,0,2
2020-01-21,88,1,0
2020-01-22,61,0,0
2020-01-23,68,5,0
2020-01-24,58,13,0
2020-01-25,6,2,0
2020-01-26,20,0,0
2020-01-27,94,1,0
2020-01-28,29,0,0
2020-01-29,88,1,0
2020-01-30,49,2,0
2020-01-31,26,1,0
2020-02-01,4,0,0
2020-02-02,4,0,0
2020-02-03,41,0,0
2020-02-04,106,1,0
2020-02-05,110,1,0
2020-02-06,101,1,0
2020-02-07,108,3,0
2020-02-08,9,1,0
2020-02-09,9,0,0
2020-02-10,89,7,0
2020-02-11,83,1,0
2020-02-12,60,1,4
2020-02-13,75,5,0
2020-02-14,59,2,0
2020-02-15,13,0,0
2020-02-16,2,0,0
2020-02-17,66,2,3
2020-02-18,61,0,1
2020-02-19,88,0,2
2020-02-20,102,4,0
2020-02-21,77,0,0
2020-02-22,14,0,0
2020-02-23,31,0,0
2020-02-24,25,1,0
2020-02-25,35,7,0
2020-02-26,88,5,0
2020-02-27,71,5,0
2020-02-28,59,5,0
2020-02-29,4,1,0
2020-03-01,7,0,0
2020-03-02,72,1,0
2020-03-03,52,2,0
2020-03-04,86,3,0
2020-03-05,70,0,3
2020-03-06,62,1,0
2020-03-07,19,0,0
2020-03-08,8,0,0
2020-03-09,65,0,0
