,microsoft/TypeScript,sindresorhus/type-fest,definitelytyped/definitelytyped
2019-04-13,3,0,6
2019-04-14,0,0,32
2019-04-15,8,0,68
2019-04-16,15,0,49
2019-04-17,25,0,29
2019-04-18,34,0,18
2019-04-19,16,2,17
2019-04-20,0,0,4
2019-04-21,0,2,6
2019-04-22,4,2,13
2019-04-23,20,0,19
2019-04-24,22,0,12
2019-04-25,26,0,12
2019-04-26,12,1,40
2019-04-27,9,0,2
2019-04-28,5,0,2
2019-04-29,29,0,44
2019-04-30,23,0,14
2019-05-01,19,0,27
2019-05-02,14,0,13
2019-05-03,6,0,20
2019-05-04,0,0,9
2019-05-05,3,0,1
2019-05-06,6,0,25
2019-05-07,10,1,15
2019-05-08,10,0,11
2019-05-09,4,0,12
2019-05-10,7,0,4
2019-05-11,4,0,0
2019-05-12,2,4,0
2019-05-13,11,0,58
2019-05-14,7,0,67
2019-05-15,7,3,34
2019-05-16,4,0,17
2019-05-17,5,0,14
2019-05-18,0,0,0
2019-05-19,0,0,1
2019-05-20,11,0,37
2019-05-21,13,0,16
2019-05-22,17,0,21
2019-05-23,15,0,2
2019-05-24,14,0,38
2019-05-25,0,0,1
2019-05-26,0,3,0
2019-05-27,1,0,1
2019-05-28,6,0,56
2019-05-29,5,0,0
2019-05-30,14,0,32
2019-05-31,33,0,19
2019-06-01,4,0,0
2019-06-02,3,0,0
2019-06-03,7,0,15
2019-06-04,6,0,30
2019-06-05,18,0,25
2019-06-06,22,0,14
2019-06-07,9,1,4
2019-06-08,2,0,12
2019-06-09,7,0,0
2019-06-10,3,0,12
2019-06-11,7,0,18
2019-06-12,6,0,22
2019-06-13,4,0,16
2019-06-14,32,2,14
2019-06-15,1,0,0
2019-06-16,0,0,27
2019-06-17,9,0,16
2019-06-18,8,0,8
2019-06-19,23,0,29
2019-06-20,20,0,9
2019-06-21,19,0,21
2019-06-22,6,0,4
2019-06-23,5,0,0
2019-06-24,8,0,31
2019-06-25,15,0,3
2019-06-26,19,0,43
2019-06-27,17,0,35
2019-06-28,18,0,33
2019-06-29,7,0,3
2019-06-30,8,0,0
2019-07-01,27,0,58
2019-07-02,7,0,18
2019-07-03,14,1,30
