,apache/groovy,jetbrains/kotlin,scala/scala
2023-09-22,0,47,0
2023-09-23,1,7,0
2023-09-24,0,6,0
2023-09-25,0,1,1
2023-09-26,0,4,9
2023-09-27,0,1,5
2023-09-28,4,4,1
2023-09-29,1,1,0
2023-09-30,2,0,0
2023-10-01,0,0,0
2023-10-02,0,29,0
2023-10-03,7,21,0
2023-10-04,2,19,0
2023-10-05,1,41,1
2023-10-06,0,29,0
2023-10-07,0,0,0
2023-10-08,0,1,2
2023-10-09,0,21,0
2023-10-10,0,41,0
2023-10-11,0,16,1
2023-10-12,0,69,0
2023-10-13,0,47,0
2023-10-14,0,0,1
2023-10-15,0,0,0
2023-10-16,1,48,2
2023-10-17,6,51,3
2023-10-18,1,72,10
2023-10-19,1,61,0
2023-10-20,0,47,0
2023-10-21,1,0,0
2023-10-22,0,0,0
2023-10-23,2,26,1
2023-10-24,0,51,1
2023-10-25,4,40,0
2023-10-26,2,36,1
2023-10-27,0,29,3
2023-10-28,2,0,2
2023-10-29,0,0,0
2023-10-30,0,25,1
2023-10-31,1,15,0
2023-11-01,0,22,4
2023-11-02,1,39,4
2023-11-03,2,9,0
2023-11-04,1,0,1
2023-11-05,0,6,3
2023-11-06,11,52,9
2023-11-07,3,38,6
2023-11-08,0,36,2
2023-11-09,0,45,2
2023-11-10,0,41,0
2023-11-11,0,2,1
2023-11-12,0,0,0
2023-11-13,4,31,0
2023-11-14,1,56,5
2023-11-15,1,49,7
2023-11-16,0,87,0
2023-11-17,0,28,0
2023-11-18,10,2,0
2023-11-19,1,0,0
2023-11-20,0,69,0
2023-11-21,5,40,0
2023-11-22,1,42,2
2023-11-23,3,42,6
2023-11-24,4,32,3
2023-11-25,0,1,0
2023-11-26,5,7,0
2023-11-27,0,29,4
2023-11-28,3,53,0
2023-11-29,5,28,6
2023-11-30,0,37,2
2023-12-01,2,41,2
2023-12-02,0,0,0
2023-12-03,0,0,0
2023-12-04,0,41,2
2023-12-05,0,82,6
2023-12-06,2,18,7
2023-12-07,1,72,3
2023-12-08,0,37,3
2023-12-09,3,1,0
2023-12-10,0,0,0
2023-12-11,0,10,4
2023-12-12,0,57,2
2023-12-13,2,70,5
2023-12-14,5,29,3
2023-12-15,1,27,2
2023-12-16,5,3,0
2023-12-17,0,3,2
2023-12-18,3,41,7
2023-12-19,0,86,13
2023-12-20,4,29,2
2023-12-21,3,67,0
2023-12-22,3,2,5
2023-12-23,1,0,0
2023-12-24,1,1,2
2023-12-25,0,0,0
2023-12-26,2,2,0
2023-12-27,1,3,0
2023-12-28,0,11,1
2023-12-29,1,4,0
2023-12-30,6,0,0
2023-12-31,1,0,0
2024-01-01,1,0,0
2024-01-02,1,30,0
2024-01-03,0,35,2
2024-01-04,2,36,4
2024-01-05,4,56,4
2024-01-06,1,3,0
2024-01-07,0,0,0
2024-01-08,1,51,3
2024-01-09,5,43,0
2024-01-10,1,57,0
2024-01-11,6,33,4
2024-01-12,7,48,1
2024-01-13,5,0,7
2024-01-14,1,1,3
2024-01-15,4,39,6
2024-01-16,1,55,14
2024-01-17,0,59,1
2024-01-18,2,46,12
2024-01-19,0,55,4
2024-01-20,2,1,0
2024-01-21,3,0,0
2024-01-22,1,42,2
2024-01-23,2,39,2
2024-01-24,1,43,1
2024-01-25,5,22,3
2024-01-26,3,46,7
2024-01-27,1,1,1
2024-01-28,1,1,0
2024-01-29,3,45,1
2024-01-30,6,49,7
2024-01-31,1,52,2
2024-02-01,0,24,0
2024-02-02,0,23,4
2024-02-03,0,0,0
2024-02-04,2,0,0
2024-02-05,1,29,1
2024-02-06,0,23,3
2024-02-07,1,27,2
2024-02-08,0,47,6
2024-02-09,0,64,0
2024-02-10,0,4,0
2024-02-11,1,10,0
2024-02-12,0,52,20
2024-02-13,0,54,3
2024-02-14,3,53,2
2024-02-15,2,58,0
2024-02-16,0,17,0
2024-02-17,0,0,0
2024-02-18,0,7,0
2024-02-19,0,67,3
2024-02-20,0,42,0
2024-02-21,3,49,3
2024-02-22,12,40,4
2024-02-23,5,46,6
2024-02-24,3,0,2
2024-02-25,1,10,0
2024-02-26,4,61,2
2024-02-27,2,69,0
2024-02-28,0,98,0
2024-02-29,1,41,0
2024-03-01,0,31,2
