,fffaraz/awesome-cpp,rust-unofficial/awesome-rust,avelino/awesome-go
2018-09-17,0,0,1
2018-09-18,0,0,0
2018-09-19,0,0,0
2018-09-20,0,0,0
2018-09-21,0,1,0
2018-09-22,2,0,2
2018-09-23,0,1,0
2018-09-24,0,0,3
2018-09-25,0,1,0
2018-09-26,0,0,0
2018-09-27,0,0,0
2018-09-28,0,0,0
2018-09-29,3,0,0
2018-09-30,1,0,0
2018-10-01,0,1,2
2018-10-02,11,1,1
2018-10-03,0,0,12
2018-10-04,0,8,0
2018-10-05,1,0,8
2018-10-06,0,2,3
2018-10-07,0,4,1
2018-10-08,2,3,2
2018-10-09,0,1,0
2018-10-10,0,0,0
2018-10-11,2,1,1
2018-10-12,5,2,1
2018-10-13,0,0,5
2018-10-14,0,1,0
2018-10-15,0,0,0
2018-10-16,0,0,2
2018-10-17,2,0,4
2018-10-18,2,3,4
2018-10-19,0,0,3
2018-10-20,1,0,0
2018-10-21,1,0,0
2018-10-22,0,2,3
2018-10-23,0,3,0
2018-10-24,2,2,4
2018-10-25,2,1,0
2018-10-26,0,1,0
2018-10-27,0,0,3
2018-10-28,0,0,0
2018-10-29,2,1,2
2018-10-30,3,11,0
2018-10-31,1,2,0
2018-11-01,4,0,0
2018-11-02,0,0,0
2018-11-03,0,4,0
2018-11-04,10,1,0
2018-11-05,3,2,0
2018-11-06,0,0,7
2018-11-07,2,0,1
2018-11-08,0,2,0
2018-11-09,0,0,3
2018-11-10,0,0,0
2018-11-11,0,0,2
2018-11-12,0,0,0
2018-11-13,2,0,0
2018-11-14,4,0,4
2018-11-15,0,2,0
2018-11-16,3,1,5
2018-11-17,1,5,2
2018-11-18,3,0,0
2018-11-19,2,0,1
2018-11-20,2,0,0
2018-11-21,2,0,7
2018-11-22,2,0,0
2018-11-23,0,0,0
2018-11-24,4,0,0
2018-11-25,0,0,0
2018-11-26,4,0,1
2018-11-27,0,8,2
2018-11-28,0,1,0
2018-11-29,2,0,0
2018-11-30,0,0,0
2018-12-01,0,1,0
2018-12-02,0,0,0
2018-12-03,0,2,4
2018-12-04,0,0,0
2018-12-05,0,0,2
2018-12-06,0,2,20
2018-12-07,0,4,0
2018-12-08,1,0,0
2018-12-09,2,0,0
2018-12-10,1,0,1
2018-12-11,8,3,1
2018-12-12,3,0,0
2018-12-13,0,0,0
2018-12-14,0,1,4
2018-12-15,0,3,0
2018-12-16,0,0,0
2018-12-17,0,3,0
2018-12-18,0,3,4
2018-12-19,0,0,2
2018-12-20,3,3,0
2018-12-21,4,0,5
2018-12-22,1,2,0
2018-12-23,5,0,0
2018-12-24,0,0,0
2018-12-25,1,1,0
2018-12-26,0,0,0
2018-12-27,0,1,0
2018-12-28,0,0,0
2018-12-29,1,2,0
2018-12-30,0,0,0
2018-12-31,1,1,0
2019-01-01,1,0,0
2019-01-02,0,0,0
2019-01-03,0,4,0
2019-01-04,0,11,0
2019-01-05,1,5,4
2019-01-06,0,0,2
2019-01-07,1,1,2
2019-01-08,0,6,6
2019-01-09,0,0,1
2019-01-10,0,1,1
2019-01-11,0,2,0
2019-01-12,1,0,0
2019-01-13,1,3,0
2019-01-14,0,1,6
2019-01-15,0,0,1
2019-01-16,1,0,3
2019-01-17,0,9,0
2019-01-18,0,2,0
2019-01-19,0,0,0
2019-01-20,0,1,0
2019-01-21,2,1,0
2019-01-22,2,0,0
2019-01-23,0,0,0
2019-01-24,0,0,6
2019-01-25,0,1,0
2019-01-26,0,0,0
2019-01-27,0,0,0
2019-01-28,0,0,0
2019-01-29,0,1,0
2019-01-30,0,0,5
2019-01-31,0,0,2
2019-02-01,0,0,0
2019-02-02,0,0,0
2019-02-03,0,0,0
2019-02-04,0,0,2
2019-02-05,0,0,2
2019-02-06,0,0,1
2019-02-07,2,1,0
2019-02-08,0,5,3
2019-02-09,0,0,0
2019-02-10,0,0,0
2019-02-11,0,0,0
2019-02-12,0,2,2
2019-02-13,0,0,0
2019-02-14,2,0,0
2019-02-15,2,8,0
2019-02-16,0,1,0
2019-02-17,3,5,0
2019-02-18,0,1,0
2019-02-19,0,1,0
2019-02-20,0,3,10
2019-02-21,0,0,1
2019-02-22,0,1,0
2019-02-23,0,0,0
2019-02-24,1,0,1
2019-02-25,2,0,4
2019-02-26,0,14,4
2019-02-27,0,0,0
2019-02-28,0,3,0
2019-03-01,0,0,0
2019-03-02,0,0,0
2019-03-03,0,0,0
2019-03-04,0,0,0
2019-03-05,4,0,0
2019-03-06,0,0,2
2019-03-07,2,0,6
2019-03-08,0,0,2
2019-03-09,1,0,0
2019-03-10,1,0,0
2019-03-11,1,0,0
2019-03-12,2,0,1
2019-03-13,0,0,1
2019-03-14,7,0,0
2019-03-15,1,0,0
2019-03-16,0,0,3
2019-03-17,4,0,0
2019-03-18,0,0,0
2019-03-19,1,0,6
2019-03-20,1,0,1
2019-03-21,2,0,2
2019-03-22,3,0,0
2019-03-23,0,0,3
2019-03-24,0,0,4
2019-03-25,2,0,0
2019-03-26,2,0,0
2019-03-27,0,0,1
2019-03-28,0,0,1
2019-03-29,0,10,0
2019-03-30,5,0,0
2019-03-31,0,0,1
2019-04-01,0,0,1
2019-04-02,0,0,4
2019-04-03,1,0,8
2019-04-04,1,0,1
2019-04-05,0,4,3
2019-04-06,0,0,0
2019-04-07,0,0,0
2019-04-08,0,0,1
2019-04-09,2,16,3
