,cacti/cacti,netdata/netdata,grafana/grafana
2021-08-17,0,2,20
2021-08-18,1,4,23
2021-08-19,0,3,20
2021-08-20,0,1,11
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,0,1,21
2021-08-24,0,4,19
2021-08-25,0,4,15
2021-08-26,0,5,15
2021-08-27,2,3,23
2021-08-28,6,1,1
2021-08-29,2,0,2
2021-08-30,0,1,9
2021-08-31,3,2,16
2021-09-01,1,1,25
2021-09-02,0,0,17
2021-09-03,0,1,5
2021-09-04,0,2,0
2021-09-05,4,1,0
2021-09-06,1,1,12
2021-09-07,2,2,20
2021-09-08,3,5,19
2021-09-09,0,3,23
2021-09-10,1,1,21
2021-09-11,0,0,0
2021-09-12,0,0,1
2021-09-13,0,0,26
2021-09-14,0,3,18
2021-09-15,4,9,25
2021-09-16,0,4,17
2021-09-17,0,4,22
2021-09-18,0,0,0
2021-09-19,2,2,1
2021-09-20,0,11,23
2021-09-21,0,10,15
2021-09-22,0,4,14
2021-09-23,0,8,24
2021-09-24,0,5,2
2021-09-25,8,2,2
2021-09-26,0,1,0
2021-09-27,0,5,17
2021-09-28,0,10,18
2021-09-29,0,5,26
2021-09-30,3,4,21
2021-10-01,0,4,21
2021-10-02,3,1,0
2021-10-03,1,0,0
2021-10-04,0,4,14
2021-10-05,0,7,12
2021-10-06,2,6,22
2021-10-07,0,6,19
2021-10-08,1,5,15
2021-10-09,0,1,0
2021-10-10,26,0,0
2021-10-11,5,3,18
2021-10-12,0,8,27
2021-10-13,0,3,15
2021-10-14,0,2,23
2021-10-15,2,5,15
2021-10-16,11,2,1
2021-10-17,0,1,0
2021-10-18,0,4,21
2021-10-19,51,7,22
2021-10-20,2,5,27
2021-10-21,6,8,22
2021-10-22,4,10,18
2021-10-23,2,1,0
2021-10-24,1,1,0
2021-10-25,4,3,15
2021-10-26,5,7,26
2021-10-27,3,8,24
2021-10-28,0,2,18
2021-10-29,0,3,21
2021-10-30,0,0,0
2021-10-31,0,0,0
2021-11-01,2,6,16
2021-11-02,0,3,36
2021-11-03,0,7,21
2021-11-04,0,5,17
2021-11-05,0,3,20
2021-11-06,0,2,2
2021-11-07,3,0,1
2021-11-08,0,5,16
2021-11-09,0,6,28
2021-11-10,0,2,25
2021-11-11,0,8,27
2021-11-12,0,2,20
2021-11-13,0,0,1
2021-11-14,4,0,2
2021-11-15,1,7,26
2021-11-16,0,5,23
2021-11-17,1,7,36
2021-11-18,2,4,31
2021-11-19,0,3,36
2021-11-20,1,0,2
2021-11-21,0,0,0
2021-11-22,1,5,17
2021-11-23,0,0,25
2021-11-24,0,2,36
2021-11-25,1,3,16
2021-11-26,0,3,20
2021-11-27,6,0,0
2021-11-28,7,0,0
2021-11-29,3,4,31
2021-11-30,2,5,16
2021-12-01,0,5,25
2021-12-02,0,2,21
2021-12-03,0,0,14
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,1,3,14
2021-12-07,0,5,10
2021-12-08,0,2,10
2021-12-09,27,4,10
2021-12-10,26,3,4
2021-12-11,1,0,0
2021-12-12,0,0,0
2021-12-13,0,5,18
2021-12-14,3,4,27
2021-12-15,1,3,20
2021-12-16,1,0,18
2021-12-17,0,3,17
2021-12-18,0,0,2
2021-12-19,23,0,1
2021-12-20,0,6,23
2021-12-21,6,4,20
2021-12-22,0,7,11
2021-12-23,1,6,9
2021-12-24,0,0,2
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,4
2021-12-28,0,0,6
2021-12-29,3,0,1
2021-12-30,1,0,4
2021-12-31,1,2,0
2022-01-01,0,0,0
2022-01-02,3,0,0
2022-01-03,3,0,8
2022-01-04,1,4,24
2022-01-05,0,1,19
2022-01-06,0,0,14
2022-01-07,0,0,26
2022-01-08,2,0,0
2022-01-09,0,0,0
2022-01-10,0,12,21
2022-01-11,0,8,18
2022-01-12,0,5,15
2022-01-13,0,8,19
2022-01-14,0,5,14
2022-01-15,0,1,0
2022-01-16,0,0,0
2022-01-17,1,3,19
2022-01-18,0,13,15
2022-01-19,0,15,19
2022-01-20,0,6,19
2022-01-21,0,5,22
2022-01-22,0,1,1
2022-01-23,0,0,1
2022-01-24,2,2,17
2022-01-25,45,2,17
2022-01-26,0,4,15
2022-01-27,0,4,21
2022-01-28,0,4,17
2022-01-29,27,1,1
2022-01-30,69,0,0
2022-01-31,2,1,30
2022-02-01,0,2,22
2022-02-02,0,5,25
2022-02-03,2,3,33
2022-02-04,27,4,26
2022-02-05,3,1,1
2022-02-06,29,0,0
2022-02-07,0,2,25
2022-02-08,3,5,39
2022-02-09,2,2,40
2022-02-10,0,8,36
2022-02-11,0,6,33
2022-02-12,1,1,0
2022-02-13,6,0,0
2022-02-14,1,4,1
2022-02-15,15,4,27
2022-02-16,2,5,25
2022-02-17,0,11,30
2022-02-18,2,7,28
2022-02-19,13,2,2
2022-02-20,12,1,0
2022-02-21,35,10,17
2022-02-22,5,12,13
2022-02-23,8,7,20
2022-02-24,30,7,25
2022-02-25,2,6,22
2022-02-26,0,2,1
2022-02-27,27,1,0
2022-02-28,3,7,17
2022-03-01,18,7,18
2022-03-02,14,6,27
2022-03-03,4,8,33
2022-03-04,1,4,23
2022-03-05,0,0,0
2022-03-06,0,2,0
2022-03-07,0,4,8
2022-03-08,0,11,11
2022-03-09,2,9,11
2022-03-10,6,6,12
2022-03-11,11,6,11
2022-03-12,3,1,1
2022-03-13,7,1,0
2022-03-14,3,11,17
2022-03-15,25,12,18
2022-03-16,13,12,21
2022-03-17,4,7,19
2022-03-18,2,8,17
2022-03-19,3,1,1
2022-03-20,2,0,0
2022-03-21,1,5,25
2022-03-22,2,5,19
2022-03-23,0,7,22
2022-03-24,0,10,18
2022-03-25,2,3,12
2022-03-26,0,1,4
2022-03-27,0,0,0
