,iced-rs/iced,emilk/egui,pistondevelopers/conrod
2019-07-29,0,0.0,0
2019-07-30,0,0.0,0
2019-07-31,0,0.0,0
2019-08-01,1,0.0,0
2019-08-02,0,0.0,0
2019-08-03,0,0.0,0
2019-08-04,0,0.0,0
2019-08-05,0,0.0,0
2019-08-06,0,0.0,0
2019-08-07,0,0.0,0
2019-08-08,0,0.0,0
2019-08-09,0,0.0,0
2019-08-10,0,0.0,0
2019-08-11,0,0.0,0
2019-08-12,0,0.0,0
2019-08-13,0,0.0,0
2019-08-14,0,0.0,0
2019-08-15,0,0.0,0
2019-08-16,0,0.0,0
2019-08-17,0,0.0,0
2019-08-18,0,0.0,3
2019-08-19,0,0.0,0
2019-08-20,0,0.0,0
2019-08-21,0,0.0,0
2019-08-22,1,0.0,0
2019-08-23,1,0.0,0
2019-08-24,1,0.0,0
2019-08-25,3,0.0,0
2019-08-26,2,0.0,0
2019-08-27,6,0.0,0
2019-08-28,5,0.0,0
2019-08-29,4,0.0,0
2019-08-30,3,0.0,0
2019-08-31,4,0.0,0
2019-09-01,4,0.0,0
2019-09-02,5,0.0,0
2019-09-03,7,0.0,0
2019-09-04,2,0.0,0
2019-09-05,14,0.0,0
2019-09-06,0,0.0,0
2019-09-07,0,0.0,0
2019-09-08,0,0.0,0
2019-09-09,0,0.0,0
2019-09-10,2,0.0,0
2019-09-11,0,0.0,0
2019-09-12,0,0.0,0
2019-09-13,0,0.0,0
2019-09-14,3,0.0,0
2019-09-15,2,0.0,0
2019-09-16,5,0.0,0
2019-09-17,0,0.0,0
2019-09-18,0,0.0,0
2019-09-19,2,0.0,0
2019-09-20,2,0.0,0
2019-09-21,3,0.0,0
2019-09-22,0,0.0,0
2019-09-23,0,0.0,0
2019-09-24,8,0.0,0
2019-09-25,0,0.0,0
2019-09-26,0,0.0,0
2019-09-27,0,0.0,0
2019-09-28,0,0.0,0
2019-09-29,0,0.0,1
2019-09-30,0,0.0,0
2019-10-01,0,0.0,0
2019-10-02,5,0.0,0
2019-10-03,0,0.0,0
2019-10-04,1,0.0,0
2019-10-05,8,0.0,0
2019-10-06,2,0.0,0
2019-10-07,6,0.0,0
2019-10-08,3,0.0,0
2019-10-09,1,0.0,0
2019-10-10,5,0.0,0
2019-10-11,4,0.0,0
2019-10-12,4,0.0,5
2019-10-13,5,0.0,3
2019-10-14,0,0.0,2
2019-10-15,0,0.0,0
2019-10-16,0,0.0,0
2019-10-17,0,0.0,1
2019-10-18,0,0.0,0
2019-10-19,0,0.0,0
2019-10-20,1,0.0,0
2019-10-21,0,0.0,0
2019-10-22,3,0.0,0
2019-10-23,10,0.0,2
2019-10-24,0,0.0,0
2019-10-25,3,0.0,0
2019-10-26,6,0.0,0
2019-10-27,6,0.0,0
2019-10-28,1,0.0,0
2019-10-29,9,0.0,0
2019-10-30,4,0.0,0
2019-10-31,4,0.0,0
2019-11-01,0,0.0,0
2019-11-02,9,2.0,0
2019-11-03,7,-0.7999999999999998,9
2019-11-04,0,-0.24,0
2019-11-05,12,-0.128,0
2019-11-06,5,-0.0832000000000001,0
2019-11-07,12,-0.059904000000000034,0
2019-11-08,1,-0.04592640000000001,0
2019-11-09,2,-0.03674111999999999,0
2019-11-10,1,-0.030311423999999986,0
2019-11-11,7,-0.025596313599999993,0
2019-11-12,0,0.0,0
2019-11-13,8,0.0,0
2019-11-14,13,0.0,0
2019-11-15,4,0.0,0
2019-11-16,1,0.0,0
2019-11-17,6,0.0,0
2019-11-18,3,1.0,0
2019-11-19,1,-0.3999999999999999,0
2019-11-20,12,-0.12,0
2019-11-21,5,-0.064,0
2019-11-22,8,-0.04160000000000005,0
2019-11-23,3,-0.029952000000000017,0
2019-11-24,23,1.9770368,0
2019-11-25,5,-0.8183705599999999,0
2019-11-26,3,-0.255155712,0
2019-11-27,0,-0.1407981568,0
2019-11-28,1,-0.0832000000000001,0
2019-11-29,1,-0.059904000000000034,0
2019-11-30,8,-0.04592640000000001,0
2019-12-01,9,-0.03674111999999999,0
