,twbs/bootstrap,Semantic-Org/Semantic-UI,olefredrik/foundationpress
2018-02-05,1,1,0
2018-02-06,0,0,0
2018-02-07,1,0,0
2018-02-08,0,0,0
2018-02-09,1,0,0
2018-02-10,0,0,1
2018-02-11,9,0,0
2018-02-12,2,0,0
2018-02-13,1,0,0
2018-02-14,1,0,0
2018-02-15,0,0,0
2018-02-16,2,0,0
2018-02-17,0,0,0
2018-02-18,0,0,0
2018-02-19,6,21,0
2018-02-20,2,39,0
2018-02-21,1,1,0
2018-02-22,0,2,4
2018-02-23,0,14,0
2018-02-24,8,3,0
2018-02-25,1,0,0
2018-02-26,0,1,0
2018-02-27,0,5,0
2018-02-28,0,0,2
2018-03-01,1,1,0
2018-03-02,1,0,0
2018-03-03,4,0,0
2018-03-04,2,0,0
2018-03-05,2,0,0
2018-03-06,1,0,0
2018-03-07,0,0,0
2018-03-08,3,1,0
2018-03-09,0,0,0
2018-03-10,0,0,0
2018-03-11,0,0,0
2018-03-12,14,1,0
2018-03-13,8,0,0
2018-03-14,3,0,0
2018-03-15,1,0,1
2018-03-16,2,1,2
2018-03-17,1,1,0
2018-03-18,0,18,0
2018-03-19,0,23,3
2018-03-20,2,0,0
2018-03-21,11,0,0
2018-03-22,0,0,2
2018-03-23,0,0,1
2018-03-24,0,0,0
2018-03-25,0,0,1
2018-03-26,1,0,0
2018-03-27,1,0,0
2018-03-28,0,0,1
2018-03-29,1,0,0
2018-03-30,5,0,0
2018-03-31,3,0,0
2018-04-01,15,0,3
2018-04-02,7,0,1
2018-04-03,0,0,0
2018-04-04,0,0,0
2018-04-05,4,1,2
2018-04-06,0,0,0
2018-04-07,1,0,0
2018-04-08,1,0,0
2018-04-09,2,0,0
2018-04-10,4,0,0
2018-04-11,1,0,0
2018-04-12,3,0,0
2018-04-13,1,0,0
2018-04-14,1,0,0
2018-04-15,1,0,0
2018-04-16,5,0,0
2018-04-17,3,0,0
2018-04-18,0,0,0
2018-04-19,1,0,0
2018-04-20,0,0,0
2018-04-21,0,0,0
2018-04-22,1,0,0
2018-04-23,0,0,0
2018-04-24,6,0,0
2018-04-25,0,0,0
2018-04-26,1,0,0
2018-04-27,2,0,0
2018-04-28,0,0,0
2018-04-29,2,0,0
2018-04-30,3,0,0
2018-05-01,1,0,0
2018-05-02,0,0,0
2018-05-03,0,0,0
2018-05-04,0,0,0
2018-05-05,0,0,0
2018-05-06,0,0,0
2018-05-07,1,0,0
2018-05-08,0,0,0
2018-05-09,0,0,0
2018-05-10,0,0,0
2018-05-11,2,0,0
2018-05-12,0,0,0
2018-05-13,0,0,0
2018-05-14,0,0,0
2018-05-15,2,0,0
2018-05-16,0,1,0
2018-05-17,0,0,0
2018-05-18,1,0,0
2018-05-19,0,0,0
2018-05-20,1,0,0
2018-05-21,0,0,0
2018-05-22,7,0,0
2018-05-23,4,1,0
2018-05-24,0,0,0
2018-05-25,0,0,0
2018-05-26,0,0,0
2018-05-27,1,0,0
2018-05-28,0,0,0
2018-05-29,0,0,0
2018-05-30,0,0,0
2018-05-31,3,0,0
2018-06-01,7,0,0
2018-06-02,1,0,0
2018-06-03,2,0,0
2018-06-04,0,0,0
2018-06-05,2,1,0
2018-06-06,0,0,0
2018-06-07,1,0,2
2018-06-08,0,0,0
2018-06-09,0,0,0
2018-06-10,0,0,0
2018-06-11,2,0,0
2018-06-12,0,1,2
2018-06-13,0,0,0
2018-06-14,0,0,0
2018-06-15,0,0,0
2018-06-16,0,0,0
2018-06-17,0,0,0
2018-06-18,0,17,0
2018-06-19,0,0,1
2018-06-20,0,0,0
2018-06-21,7,2,0
2018-06-22,1,0,0
2018-06-23,1,0,0
2018-06-24,4,0,0
2018-06-25,3,0,2
2018-06-26,0,0,1
2018-06-27,0,0,0
2018-06-28,0,0,0
2018-06-29,0,0,0
2018-06-30,0,0,0
2018-07-01,2,0,0
2018-07-02,2,0,0
2018-07-03,2,0,0
2018-07-04,1,0,0
2018-07-05,1,0,0
2018-07-06,2,0,0
2018-07-07,1,0,0
2018-07-08,6,1,0
2018-07-09,5,7,0
2018-07-10,3,0,0
2018-07-11,2,0,0
2018-07-12,18,0,0
2018-07-13,2,0,0
2018-07-14,3,0,0
2018-07-15,6,0,0
2018-07-16,3,0,0
2018-07-17,0,0,0
2018-07-18,0,0,0
2018-07-19,1,0,0
2018-07-20,10,0,0
2018-07-21,3,0,0
2018-07-22,0,0,0
2018-07-23,0,1,0
2018-07-24,3,0,2
2018-07-25,8,0,1
2018-07-26,1,0,2
2018-07-27,0,0,0
2018-07-28,1,0,0
2018-07-29,6,0,0
2018-07-30,0,0,0
2018-07-31,0,1,0
2018-08-01,0,0,0
2018-08-02,7,0,0
2018-08-03,0,0,0
2018-08-04,0,0,0
2018-08-05,0,0,0
2018-08-06,0,0,0
2018-08-07,1,0,0
2018-08-08,0,0,0
2018-08-09,0,0,0
2018-08-10,0,0,0
2018-08-11,0,0,0
2018-08-12,13,0,0
2018-08-13,4,0,0
2018-08-14,0,0,0
2018-08-15,0,0,0
2018-08-16,0,0,0
2018-08-17,0,0,0
2018-08-18,1,0,0
2018-08-19,5,0,0
2018-08-20,2,4,0
2018-08-21,0,0,0
2018-08-22,0,0,0
2018-08-23,0,0,0
2018-08-24,0,0,0
2018-08-25,5,0,0
2018-08-26,3,0,0
2018-08-27,1,0,0
2018-08-28,1,0,0
2018-08-29,1,0,0
2018-08-30,1,0,0
2018-08-31,1,0,0
2018-09-01,0,0,0
2018-09-02,8,0,0
2018-09-03,1,4,0
2018-09-04,0,4,1
2018-09-05,0,2,0
2018-09-06,0,0,0
2018-09-07,0,0,0
2018-09-08,0,0,0
2018-09-09,1,0,0
2018-09-10,2,14,0
2018-09-11,0,0,0
2018-09-12,0,0,0
2018-09-13,4,0,0
2018-09-14,4,0,0
2018-09-15,6,0,0
2018-09-16,3,5,0
2018-09-17,7,23,0
2018-09-18,9,0,0
2018-09-19,7,0,0
2018-09-20,2,0,0
2018-09-21,0,0,0
2018-09-22,0,0,0
2018-09-23,0,0,0
2018-09-24,0,0,0
2018-09-25,2,0,0
2018-09-26,7,0,0
2018-09-27,0,0,0
2018-09-28,0,0,0
2018-09-29,0,0,0
2018-09-30,0,0,0
2018-10-01,0,0,1
2018-10-02,1,0,0
2018-10-03,0,0,0
2018-10-04,0,0,0
2018-10-05,0,0,0
2018-10-06,1,0,0
2018-10-07,3,0,0
2018-10-08,0,0,0
2018-10-09,0,0,0
2018-10-10,0,0,0
2018-10-11,1,0,0
2018-10-12,1,0,2
2018-10-13,1,17,0
2018-10-14,12,0,0
2018-10-15,8,0,0
2018-10-16,0,0,0
2018-10-17,6,0,0
2018-10-18,4,0,0
2018-10-19,5,0,0
2018-10-20,24,0,0
2018-10-21,19,5,0
2018-10-22,4,0,0
2018-10-23,6,0,0
2018-10-24,0,0,0
2018-10-25,0,0,0
2018-10-26,0,0,0
2018-10-27,0,0,0
2018-10-28,1,0,0
2018-10-29,8,0,1
2018-10-30,12,0,3
2018-10-31,2,0,1
2018-11-01,1,0,0
2018-11-02,3,0,0
2018-11-03,2,0,0
2018-11-04,16,0,0
2018-11-05,10,0,0
2018-11-06,1,0,0
2018-11-07,1,0,0
2018-11-08,1,0,3
2018-11-09,4,0,2
2018-11-10,0,0,1
2018-11-11,6,0,0
2018-11-12,2,0,0
2018-11-13,15,0,0
2018-11-14,1,0,0
2018-11-15,1,0,0
2018-11-16,2,0,0
2018-11-17,3,0,0
2018-11-18,3,0,0
2018-11-19,1,0,0
2018-11-20,12,0,0
2018-11-21,5,0,0
2018-11-22,3,0,0
2018-11-23,3,0,0
2018-11-24,1,0,0
2018-11-25,5,0,0
2018-11-26,3,0,0
2018-11-27,6,0,0
2018-11-28,7,0,0
2018-11-29,1,0,0
2018-11-30,0,0,1
2018-12-01,0,0,0
2018-12-02,0,0,0
2018-12-03,0,0,0
2018-12-04,3,0,0
2018-12-05,6,0,0
2018-12-06,5,0,0
2018-12-07,0,0,0
2018-12-08,0,0,0
2018-12-09,0,0,0
2018-12-10,6,0,0
2018-12-11,1,0,0
2018-12-12,4,0,0
2018-12-13,3,0,1
2018-12-14,6,0,0
2018-12-15,13,0,0
2018-12-16,5,0,1
2018-12-17,3,0,0
2018-12-18,0,0,0
2018-12-19,0,0,0
2018-12-20,0,0,0
2018-12-21,24,0,0
2018-12-22,9,0,0
2018-12-23,8,0,0
2018-12-24,1,0,0
2018-12-25,0,0,0
2018-12-26,0,0,0
2018-12-27,3,0,0
2018-12-28,1,0,0
2018-12-29,3,0,0
2018-12-30,0,0,0
2018-12-31,1,0,0
2019-01-01,0,0,0
2019-01-02,1,0,0
2019-01-03,1,0,0
2019-01-04,7,0,0
2019-01-05,4,0,0
2019-01-06,1,0,0
2019-01-07,12,0,0
2019-01-08,7,0,0
2019-01-09,0,0,1
2019-01-10,2,0,4
2019-01-11,2,0,0
2019-01-12,0,0,0
2019-01-13,5,0,0
2019-01-14,15,0,4
2019-01-15,3,0,5
2019-01-16,0,0,0
2019-01-17,1,0,2
2019-01-18,0,0,0
2019-01-19,0,0,0
2019-01-20,3,0,0
2019-01-21,2,0,0
2019-01-22,1,0,4
2019-01-23,1,0,1
2019-01-24,3,0,1
2019-01-25,2,0,0
2019-01-26,0,0,0
2019-01-27,0,0,0
2019-01-28,0,0,0
2019-01-29,6,0,0
2019-01-30,1,0,2
2019-01-31,0,0,0
2019-02-01,0,0,0
2019-02-02,0,0,2
2019-02-03,3,0,0
2019-02-04,1,0,0
