,microlinkhq/metascraper,scrapy/scrapy,seleniumhq/selenium
2017-09-01,0,3,25
2017-09-02,0,0,0
2017-09-03,0,0,4
2017-09-04,0,1,5
2017-09-05,0,0,1
2017-09-06,0,0,4
2017-09-07,0,1,9
2017-09-08,0,0,8
2017-09-09,0,1,0
2017-09-10,0,1,8
2017-09-11,0,0,11
2017-09-12,0,1,1
2017-09-13,0,4,4
2017-09-14,0,0,5
2017-09-15,0,0,9
2017-09-16,0,0,0
2017-09-17,0,1,1
2017-09-18,6,0,5
2017-09-19,0,0,63
2017-09-20,0,2,3
2017-09-21,0,0,3
2017-09-22,0,0,12
2017-09-23,0,1,0
2017-09-24,0,0,0
2017-09-25,0,1,6
2017-09-26,0,0,0
2017-09-27,0,0,2
2017-09-28,0,1,6
2017-09-29,0,1,5
2017-09-30,0,0,0
2017-10-01,0,1,0
2017-10-02,0,4,6
2017-10-03,0,0,10
2017-10-04,0,0,15
2017-10-05,0,9,3
2017-10-06,0,1,23
2017-10-07,0,0,0
2017-10-08,0,0,0
2017-10-09,0,1,9
2017-10-10,0,1,0
2017-10-11,0,0,18
2017-10-12,0,0,2
2017-10-13,0,0,2
2017-10-14,0,0,3
2017-10-15,1,0,0
2017-10-16,0,1,0
2017-10-17,0,1,0
2017-10-18,0,0,2
2017-10-19,0,0,3
2017-10-20,0,0,6
2017-10-21,0,0,1
2017-10-22,0,0,4
2017-10-23,0,0,6
2017-10-24,0,0,13
2017-10-25,0,0,23
2017-10-26,0,10,6
2017-10-27,0,1,8
2017-10-28,2,6,7
2017-10-29,0,0,8
2017-10-30,1,0,1
2017-10-31,3,2,9
2017-11-01,0,1,1
2017-11-02,0,2,27
2017-11-03,0,1,16
2017-11-04,0,0,0
2017-11-05,0,0,0
2017-11-06,0,0,8
2017-11-07,0,0,3
2017-11-08,0,0,3
2017-11-09,0,0,3
2017-11-10,0,0,6
2017-11-11,0,1,2
2017-11-12,0,0,3
2017-11-13,0,0,4
2017-11-14,0,0,1
2017-11-15,0,0,4
2017-11-16,0,0,8
2017-11-17,0,0,22
2017-11-18,0,1,6
2017-11-19,0,1,1
2017-11-20,0,1,2
2017-11-21,0,0,3
2017-11-22,0,0,9
2017-11-23,0,1,6
2017-11-24,0,2,1
2017-11-25,0,1,5
2017-11-26,1,2,0
2017-11-27,5,0,10
2017-11-28,2,0,17
2017-11-29,0,1,2
2017-11-30,0,0,10
2017-12-01,0,0,9
2017-12-02,0,0,4
2017-12-03,0,0,4
2017-12-04,0,0,0
2017-12-05,0,0,0
2017-12-06,0,0,10
2017-12-07,0,1,8
2017-12-08,0,1,6
2017-12-09,0,0,0
2017-12-10,11,0,3
2017-12-11,3,0,1
2017-12-12,0,2,1
2017-12-13,1,1,5
2017-12-14,13,0,1
2017-12-15,6,0,3
2017-12-16,0,0,5
2017-12-17,23,0,4
2017-12-18,7,0,2
2017-12-19,4,1,0
2017-12-20,10,3,0
2017-12-21,0,0,5
2017-12-22,0,0,4
2017-12-23,0,0,0
2017-12-24,0,0,0
2017-12-25,0,8,1
2017-12-26,0,1,0
2017-12-27,1,1,1
2017-12-28,2,2,4
2017-12-29,11,5,4
2017-12-30,3,0,5
2017-12-31,2,1,0
2018-01-01,0,2,0
2018-01-02,0,0,0
2018-01-03,0,0,0
2018-01-04,1,0,2
2018-01-05,2,0,0
2018-01-06,0,0,0
2018-01-07,0,0,0
2018-01-08,0,1,13
2018-01-09,1,0,1
2018-01-10,0,2,1
2018-01-11,1,0,9
2018-01-12,0,0,2
2018-01-13,0,0,4
2018-01-14,0,0,0
2018-01-15,0,0,3
2018-01-16,0,0,0
2018-01-17,0,0,16
2018-01-18,0,0,25
2018-01-19,0,0,20
2018-01-20,0,0,4
2018-01-21,0,0,0
2018-01-22,11,0,3
2018-01-23,18,0,0
2018-01-24,0,0,2
2018-01-25,2,2,6
2018-01-26,0,1,8
2018-01-27,0,1,0
2018-01-28,3,0,5
2018-01-29,0,0,0
2018-01-30,3,1,9
2018-01-31,0,0,2
2018-02-01,3,0,1
2018-02-02,0,0,10
2018-02-03,6,0,0
2018-02-04,6,0,0
2018-02-05,0,0,10
2018-02-06,0,1,1
2018-02-07,0,1,7
2018-02-08,7,10,3
2018-02-09,0,0,21
2018-02-10,0,0,2
2018-02-11,7,0,4
2018-02-12,0,0,3
2018-02-13,7,1,15
2018-02-14,0,1,15
2018-02-15,0,1,3
2018-02-16,0,2,5
2018-02-17,3,0,0
2018-02-18,0,0,1
2018-02-19,0,0,4
2018-02-20,0,0,10
2018-02-21,0,1,15
2018-02-22,8,0,6
2018-02-23,0,0,0
2018-02-24,0,0,0
2018-02-25,0,0,0
2018-02-26,0,0,0
2018-02-27,0,0,7
2018-02-28,0,0,2
2018-03-01,0,0,11
2018-03-02,0,2,19
2018-03-03,0,3,7
2018-03-04,0,0,4
2018-03-05,0,3,1
2018-03-06,0,0,32
2018-03-07,0,1,9
2018-03-08,0,0,1
2018-03-09,0,0,7
2018-03-10,0,0,8
2018-03-11,0,0,3
2018-03-12,0,1,11
2018-03-13,0,4,7
2018-03-14,0,2,3
2018-03-15,0,0,2
2018-03-16,0,0,0
2018-03-17,0,2,0
2018-03-18,2,0,0
2018-03-19,0,2,10
2018-03-20,0,0,3
2018-03-21,0,1,4
2018-03-22,0,0,4
2018-03-23,0,0,8
2018-03-24,0,0,1
2018-03-25,0,0,1
2018-03-26,0,0,0
2018-03-27,1,1,11
2018-03-28,0,0,5
2018-03-29,4,0,7
2018-03-30,0,0,1
2018-03-31,0,0,8
