,jackc/pgx,go-pg/pg,lib/pq
2013-07-27,2.0,0,0
2013-07-28,-0.3999999999999999,0,0
2013-07-29,-0.16000000000000014,0,0
2013-07-30,5.904,1,0
2013-07-31,-0.26719999999999966,0,0
2013-08-01,-0.7310720000000004,0,0
2013-08-02,-0.40885760000000027,0,2
2013-08-03,-0.2834534400000001,0,0
2013-08-04,-0.21559142399999998,0,0
2013-08-05,1.8269524992,0,0
2013-08-06,0.47801088,0,0
2013-08-07,-0.46325299199999975,0,0
2013-08-08,-0.26520381439999985,0,0
2013-08-09,1.8723306496,0,0
2013-08-10,-0.48467199999999994,5,0
2013-08-11,-0.2263936000000002,0,0
2013-08-12,-0.1502822400000001,0,0
2013-08-13,-0.11290214399999991,0,3
2013-08-14,-0.0903984127999999,0,0
2013-08-15,-0.05332695039999999,0,0
2013-08-16,-0.03385344000000002,1,0
2013-08-17,-0.02877542399999988,0,0
2013-08-18,-0.02493870079999993,0,0
2013-08-19,0.0,0,0
2013-08-20,0.0,0,0
2013-08-21,0.0,0,0
2013-08-22,0.0,0,0
2013-08-23,0.0,0,1
2013-08-24,0.0,0,2
2013-08-25,0.0,0,0
2013-08-26,0.0,0,0
2013-08-27,0.0,0,0
2013-08-28,0.0,0,1
2013-08-29,0.0,0,2
2013-08-30,0.0,0,0
2013-08-31,0.0,0,0
2013-09-01,0.0,0,0
2013-09-02,0.0,0,0
2013-09-03,0.0,0,0
2013-09-04,0.0,0,0
2013-09-05,0.0,1,0
2013-09-06,0.0,0,0
2013-09-07,0.0,0,0
2013-09-08,0.0,0,0
2013-09-09,0.0,0,0
2013-09-10,0.0,0,0
2013-09-11,0.0,0,0
2013-09-12,0.0,0,0
2013-09-13,0.0,0,1
2013-09-14,0.0,0,0
2013-09-15,0.0,0,5
2013-09-16,0.0,0,0
2013-09-17,0.0,1,0
2013-09-18,0.0,0,2
2013-09-19,0.0,0,0
2013-09-20,0.0,0,0
2013-09-21,0.0,0,0
2013-09-22,0.0,0,3
2013-09-23,0.0,0,0
2013-09-24,0.0,0,3
2013-09-25,0.0,0,0
2013-09-26,0.0,0,1
2013-09-27,1.0,0,1
2013-09-28,-0.19999999999999996,0,0
2013-09-29,-0.08000000000000007,0,0
2013-09-30,0.952,0,0
2013-10-01,-0.23359999999999997,0,0
2013-10-02,-0.10553600000000009,0,0
