,microsoft/TypeScript,definitelytyped/definitelytyped,sindresorhus/type-fest
2019-06-13,4,16,0
2019-06-14,32,14,2
2019-06-15,1,0,0
2019-06-16,0,27,0
2019-06-17,9,16,0
2019-06-18,8,8,0
2019-06-19,23,29,0
2019-06-20,20,9,0
2019-06-21,19,21,0
2019-06-22,6,4,0
2019-06-23,5,0,0
2019-06-24,8,31,0
2019-06-25,15,3,0
2019-06-26,19,43,0
2019-06-27,17,35,0
2019-06-28,18,33,0
2019-06-29,7,3,0
2019-06-30,8,0,0
2019-07-01,27,58,0
2019-07-02,7,18,0
2019-07-03,14,30,1
2019-07-04,2,0,0
2019-07-05,9,2,4
2019-07-06,0,0,0
2019-07-07,1,0,0
2019-07-08,15,41,0
2019-07-09,5,29,0
2019-07-10,11,41,0
2019-07-11,16,30,0
2019-07-12,17,9,0
2019-07-13,2,1,0
2019-07-14,0,0,0
2019-07-15,11,26,0
2019-07-16,14,25,0
2019-07-17,19,27,0
2019-07-18,11,18,0
2019-07-19,8,18,0
2019-07-20,6,0,0
2019-07-21,1,0,0
2019-07-22,5,44,0
2019-07-23,7,20,0
2019-07-24,5,17,0
2019-07-25,14,18,0
2019-07-26,9,14,1
2019-07-27,1,0,0
2019-07-28,3,0,0
2019-07-29,14,15,0
2019-07-30,9,20,0
2019-07-31,7,24,0
2019-08-01,10,25,0
2019-08-02,16,24,0
2019-08-03,5,0,5
2019-08-04,6,0,0
2019-08-05,9,46,0
2019-08-06,22,22,0
2019-08-07,10,23,0
2019-08-08,11,26,0
2019-08-09,37,19,0
2019-08-10,8,0,0
2019-08-11,0,1,0
2019-08-12,7,29,0
2019-08-13,7,20,0
2019-08-14,16,17,0
2019-08-15,22,27,0
2019-08-16,23,22,0
2019-08-17,4,3,0
2019-08-18,2,0,0
2019-08-19,14,65,0
2019-08-20,10,26,0
2019-08-21,7,23,0
2019-08-22,6,26,0
2019-08-23,9,25,0
2019-08-24,1,2,0
2019-08-25,0,2,0
2019-08-26,11,32,0
2019-08-27,13,17,0
2019-08-28,8,2,0
2019-08-29,7,5,0
2019-08-30,10,18,0
2019-08-31,5,0,0
2019-09-01,0,0,0
2019-09-02,4,1,0
2019-09-03,8,24,0
2019-09-04,18,26,0
2019-09-05,14,15,0
2019-09-06,7,15,0
2019-09-07,3,15,0
2019-09-08,0,0,0
2019-09-09,11,18,0
2019-09-10,8,16,1
2019-09-11,19,30,0
2019-09-12,11,4,0
2019-09-13,7,3,0
2019-09-14,3,0,3
2019-09-15,5,0,0
2019-09-16,9,24,5
2019-09-17,12,15,0
2019-09-18,13,12,0
2019-09-19,6,9,0
2019-09-20,12,1,0
2019-09-21,8,0,0
2019-09-22,0,0,1
2019-09-23,15,25,0
2019-09-24,30,77,0
2019-09-25,18,67,2
2019-09-26,13,28,0
2019-09-27,23,33,0
2019-09-28,0,1,0
2019-09-29,0,0,0
2019-09-30,17,6,0
2019-10-01,14,20,0
2019-10-02,8,51,0
2019-10-03,12,45,0
2019-10-04,16,4,0
2019-10-05,5,0,0
2019-10-06,7,0,0
2019-10-07,3,36,0
2019-10-08,3,30,2
2019-10-09,10,29,0
2019-10-10,7,26,0
2019-10-11,0,5,0
2019-10-12,1,0,0
2019-10-13,6,0,0
2019-10-14,7,47,0
2019-10-15,16,26,0
2019-10-16,29,29,0
2019-10-17,30,18,0
2019-10-18,23,14,0
2019-10-19,8,1,0
2019-10-20,0,0,0
2019-10-21,14,3,0
2019-10-22,8,83,0
2019-10-23,5,19,0
2019-10-24,6,25,0
2019-10-25,5,28,0
2019-10-26,1,4,0
2019-10-27,0,1,0
2019-10-28,6,39,0
2019-10-29,6,73,0
2019-10-30,7,32,0
2019-10-31,4,3,0
2019-11-01,2,96,0
2019-11-02,0,0,0
2019-11-03,0,1,0
2019-11-04,3,56,0
2019-11-05,4,78,0
2019-11-06,2,31,0
2019-11-07,4,45,0
2019-11-08,1,17,0
2019-11-09,1,1,0
2019-11-10,0,0,1
2019-11-11,1,35,0
2019-11-12,3,31,0
2019-11-13,2,19,0
2019-11-14,2,13,0
2019-11-15,5,38,0
2019-11-16,0,9,0
2019-11-17,0,0,0
2019-11-18,3,46,0
2019-11-19,7,36,0
2019-11-20,5,24,0
2019-11-21,8,3,0
2019-11-22,11,33,0
2019-11-23,1,7,0
