,handsontable/handsontable,dream-num/univer,dream-num/luckysheet
2022-12-29,0,0.0,0
2022-12-30,0,3.0,0
2022-12-31,0,0.8000000000000003,0
2023-01-01,0,-1.1599999999999997,1
2023-01-02,1,-0.432,0
2023-01-03,0,4.747199999999999,0
2023-01-04,1,-1.1730559999999999,0
2023-01-05,0,0.8712064000000002,1
2023-01-06,0,-1.34103808,2
2023-01-07,0,-0.5942082560000002,0
2023-01-08,0,-0.3880658944000001,0
2023-01-09,1,7.7464356864,1
2023-01-10,1,-3.3747199999999995,0
2023-01-11,1,0.8999244800000001,0
2023-01-12,1,-1.4278876159999998,1
2023-01-13,0,8.3840904192,0
2023-01-14,0,-3.9932123135999995,0
2023-01-15,0,-0.34690560000000015,0
2023-01-16,0,-1.18286848,0
2023-01-17,1,-0.6615720960000003,0
2023-01-18,0,-0.4726943744000001,0
2023-01-19,0,-0.2785802240000001,0
2023-01-20,0,-0.22088335359999994,0
2023-01-21,0,-0.15936460799999996,0
2023-01-22,0,-0.13355397119999995,0
2023-01-23,1,-0.015155711999999993,0
2023-01-24,2,-0.012798156799999997,0
2023-01-25,0,0.0,0
2023-01-26,0,0.0,0
2023-01-27,0,0.0,0
2023-01-28,0,0.0,0
2023-01-29,0,0.0,1
2023-01-30,2,4.0,0
2023-01-31,0,1.4000000000000004,0
2023-02-01,0,-1.6799999999999997,0
2023-02-02,5,-0.616,0
2023-02-03,4,4.6415999999999995,6
2023-02-04,0,17.755392,0
2023-02-05,0,-8.781708799999999,0
2023-02-06,4,3.13762816,0
2023-02-07,2,1.9962654720000002,1
2023-02-08,0,0.8015802367999996,0
2023-02-09,0,2.1437495296,0
2023-02-10,1,-3.1847168000000003,0
2023-02-11,0,-2.31250176,0
2023-02-12,0,-1.3965962240000005,0
2023-02-13,1,4.0326743039999995,0
2023-02-14,0,5.462714368,0
2023-02-15,1,7.7726927872000005,0
2023-02-16,1,-0.3657540607999987,0
2023-02-17,0,11.266704384,0
2023-02-18,0,8.5374953472,0
2023-02-19,0,-9.970430156799999,0
2023-02-20,2,3.0514175999999997,0
2023-02-21,0,3.7683865599999997,0
2023-02-22,2,2.8301055999999996,0
2023-02-23,2,-2.3990723583999998,0
2023-02-24,0,-4.4760155136,1
2023-02-25,0,-2.2716438528000005,0
2023-02-26,0,-1.5231280128000004,0
2023-02-27,0,5.0112006144,0
2023-02-28,0,0.0020981760000005067,0
2023-03-01,0,5.5968236544000005,0
2023-03-02,0,-2.2690670591999993,0
2023-03-03,0,4.6225937408,0
2023-03-04,0,1.0922953728000007,0
2023-03-05,0,-3.5284352,0
2023-03-06,0,-1.5499289600000004,0
2023-03-07,1,2.9991444479999996,0
2023-03-08,0,0.6671890432,0
2023-03-09,1,1.8131163136000001,3
2023-03-10,1,3.4078934016000004,0
2023-03-11,0,-3.4619390975999993,0
2023-03-12,0,-1.3859736576000001,0
2023-03-13,3,-0.7960995840000002,0
2023-03-14,3,0.4882201599999997,1
2023-03-15,2,0.21270067199999998,1
2023-03-16,0,0.17207879680000016,1
2023-03-17,1,2.2067593216,0
2023-03-18,0,-1.5677268991999997,0
2023-03-19,0,-0.5723409408,0
2023-03-20,0,-0.2865152000000001,0
2023-03-21,0,-0.19608576000000016,0
2023-03-22,2,7.853654528,0
2023-03-23,6,0.6847859712000006,1
2023-03-24,2,-2.6430655487999997,0
2023-03-25,0,-1.0502652927999998,0
2023-03-26,0,0.3728055295999997,0
2023-03-27,5,1.1939839999999997,0
2023-03-28,4,-0.22351359999999998,1
2023-03-29,0,4.05718272,1
2023-03-30,0,-2.4843279359999997,0
2023-03-31,0,1.0598398975999999,0
2023-04-01,0,-1.2956598272,0
2023-04-02,0,-0.5422489600000002,0
2023-04-03,0,-0.3526200320000001,0
2023-04-04,0,2.7405038592,0
2023-04-05,0,-1.3925088255999998,0
2023-04-06,1,2.5054968832,0
2023-04-07,0,-1.4927319039999998,0
2023-04-08,0,-0.5151114240000001,0
2023-04-09,0,-0.3074523136,0
2023-04-10,0,0.8063103999999999,9
2023-04-11,1,-0.54496768,3
2023-04-12,2,-0.234356736,4
2023-04-13,1,-0.1575061504,2
2023-04-14,1,0.912932864,0
2023-04-15,0,-0.46834647039999994,0
2023-04-16,0,0.8570367999999999,0
2023-04-17,0,1.51762944,0
2023-04-18,0,5.023244288,7
2023-04-19,0,6.253249843200001,1
2023-04-20,0,-3.512563199999999,0
2023-04-21,0,-1.9955225600000002,0
2023-04-22,0,-1.0436229120000005,0
2023-04-23,0,-0.6952071168000005,0
2023-04-24,0,3.4991559679999997,1
2023-04-25,0,-1.9899537407999996,2
2023-04-26,1,2.2151711744,6
2023-04-27,2,-1.6875609087999996,1
2023-04-28,3,-0.6567391232000002,0
2023-04-29,0,-0.32460615680000005,0
2023-04-30,0,-0.21665280000000015,0
2023-05-01,0,-0.16333824000000002,0
2023-05-02,0,-0.129512448,0
2023-05-03,0,-0.10630430719999998,0
2023-05-04,2,-0.04546713599999998,0
2023-05-05,0,0.9616055296,2
2023-05-06,0,-0.3999999999999999,0
2023-05-07,0,-0.12,9
2023-05-08,1,-0.064,4
2023-05-09,0,-0.04160000000000005,2
2023-05-10,1,-0.029952000000000017,0
2023-05-11,3,-0.022963200000000007,0
2023-05-12,4,-0.018370559999999994,2
2023-05-13,0,-0.015155711999999993,4
2023-05-14,0,-0.012798156799999997,0
2023-05-15,0,0.0,0
2023-05-16,6,0.0,0
2023-05-17,0,0.0,7
2023-05-18,0,0.0,5
2023-05-19,0,0.0,0
2023-05-20,0,0.0,3
2023-05-21,0,0.0,0
2023-05-22,2,0.0,3
2023-05-23,4,0.0,2
2023-05-24,0,0.0,3
2023-05-25,1,0.0,12
2023-05-26,0,0.0,1
2023-05-27,0,0.0,0
2023-05-28,0,0.0,0
2023-05-29,0,0.0,0
2023-05-30,0,0.0,0
2023-05-31,0,0.0,2
2023-06-01,0,0.0,2
2023-06-02,0,0.0,2
2023-06-03,0,0.0,0
2023-06-04,0,0.0,0
2023-06-05,1,0.0,0
2023-06-06,0,0.0,1
2023-06-07,0,2.0,2
2023-06-08,0,1.2000000000000002,0
2023-06-09,1,-1.0399999999999998,0
2023-06-10,0,0.632,0
2023-06-11,0,-0.6112,0
2023-06-12,1,-0.2631040000000001,0
2023-06-13,3,-0.16983040000000005,1
2023-06-14,0,-0.12426752000000005,0
2023-06-15,1,-0.097004544,0
2023-06-16,0,-0.07887093759999998,1
2023-06-17,1,-0.043966873599999984,0
2023-06-18,0,-0.015155711999999993,0
2023-06-19,0,1.9872018432,0
2023-06-20,2,0.20000000000000018,0
2023-06-21,3,0.3600000000000001,0
2023-06-22,6,-0.6479999999999999,0
2023-06-23,1,-0.2672000000000001,0
2023-06-24,0,0.8344959999999999,0
2023-06-25,0,5.4825216,0
2023-06-26,0,-0.6096563199999996,0
2023-06-27,0,12.344354816000001,0
2023-06-28,1,-1.3247225855999991,0
2023-06-29,0,-2.1155058687999997,0
2023-06-30,0,9.4053266432,0
2023-07-01,0,-6.1584537599999996,1
2023-07-02,0,-1.3666334720000002,0
2023-07-03,0,4.1370816512,2
2023-07-04,0,-1.5582082048,0
2023-07-05,0,-0.3189794816,0
2023-07-06,0,7.9671477248,0
2023-07-07,0,0.037699072000000555,0
2023-07-08,0,-3.8213400575999996,0
2023-07-09,0,0.3071683583999998,0
2023-07-10,0,4.232790528,0
2023-07-11,0,3.6660800512000002,1
2023-07-12,0,-0.17123348479999922,0
2023-07-13,0,2.7383706624000004,0
2023-07-14,2,-2.9065102335999997,0
2023-07-15,0,-0.09659852800000035,0
2023-07-16,0,-0.9185751040000003,0
2023-07-17,0,-1.3746851840000003,0
2023-07-18,0,1.1937106944,0
2023-07-19,0,-0.37129236479999994,0
2023-07-20,1,-1.0249005055999998,1
2023-07-21,0,-0.4843758591999999,0
2023-07-22,0,0.7011510271999999,0
2023-07-23,0,-0.5629841408,0
2023-07-24,0,0.7633695744,0
2023-07-25,0,0.46349752320000004,0
2023-07-26,0,-0.610281984,0
2023-07-27,0,-0.2547040256,0
2023-07-28,0,-0.14136135680000006,1
2023-07-29,0,-0.08992256000000007,0
2023-07-30,0,2.931929088,0
