,NLnetLabs/unbound,pi-hole/pi-hole,AdguardTeam/AdGuardHome
2018-11-30,2,0,0
2018-12-01,0,1,0
2018-12-02,0,0,0
2018-12-03,9,0,0
2018-12-04,1,0,0
2018-12-05,0,1,51
2018-12-06,1,3,9
2018-12-07,0,0,2
2018-12-08,0,1,0
2018-12-09,0,1,0
2018-12-10,6,3,0
2018-12-11,2,0,2
2018-12-12,1,1,0
2018-12-13,0,0,0
2018-12-14,0,0,0
2018-12-15,0,0,0
2018-12-16,0,0,0
2018-12-17,0,0,5
2018-12-18,0,2,1
2018-12-19,0,1,1
2018-12-20,0,0,0
2018-12-21,0,1,0
2018-12-22,0,0,0
2018-12-23,0,0,0
2018-12-24,0,0,10
2018-12-25,0,2,1
2018-12-26,0,0,3
2018-12-27,0,1,0
2018-12-28,0,1,30
2018-12-29,0,0,18
2018-12-30,0,0,0
2018-12-31,0,0,4
2019-01-01,0,2,0
2019-01-02,0,3,0
2019-01-03,0,3,0
2019-01-04,0,1,6
2019-01-05,0,1,2
2019-01-06,0,0,0
2019-01-07,3,1,0
2019-01-08,2,0,0
2019-01-09,1,1,1
2019-01-10,0,0,0
2019-01-11,1,0,1
2019-01-12,0,0,0
2019-01-13,0,2,0
2019-01-14,1,0,0
2019-01-15,3,0,5
2019-01-16,1,0,3
2019-01-17,2,0,0
2019-01-18,0,0,0
2019-01-19,0,2,1
2019-01-20,0,3,0
2019-01-21,7,0,0
2019-01-22,7,0,0
2019-01-23,14,0,0
2019-01-24,6,7,0
2019-01-25,6,0,10
2019-01-26,0,0,0
2019-01-27,0,1,0
2019-01-28,4,1,0
2019-01-29,4,1,2
2019-01-30,1,0,4
2019-01-31,9,2,0
2019-02-01,0,3,0
2019-02-02,0,6,0
2019-02-03,0,14,0
2019-02-04,3,0,2
2019-02-05,2,5,8
2019-02-06,0,6,30
2019-02-07,1,0,15
2019-02-08,2,4,1
2019-02-09,0,0,0
2019-02-10,0,1,4
2019-02-11,5,1,7
2019-02-12,0,0,4
2019-02-13,0,0,0
2019-02-14,1,0,0
2019-02-15,0,0,42
2019-02-16,0,1,0
2019-02-17,0,0,0
2019-02-18,3,3,4
2019-02-19,0,1,16
2019-02-20,1,0,11
2019-02-21,3,0,8
2019-02-22,0,4,10
2019-02-23,0,3,0
2019-02-24,0,0,2
2019-02-25,1,0,10
2019-02-26,0,0,2
2019-02-27,4,1,30
2019-02-28,3,0,13
2019-03-01,1,2,2
2019-03-02,7,2,0
2019-03-03,0,1,0
2019-03-04,0,0,0
2019-03-05,1,0,1
2019-03-06,0,0,13
2019-03-07,1,0,6
2019-03-08,0,0,0
2019-03-09,0,0,0
2019-03-10,0,0,0
2019-03-11,0,0,4
2019-03-12,1,0,4
2019-03-13,0,0,1
2019-03-14,0,2,2
2019-03-15,0,2,21
2019-03-16,0,1,0
2019-03-17,0,0,0
2019-03-18,2,0,2
2019-03-19,1,0,18
2019-03-20,0,0,12
2019-03-21,1,0,0
2019-03-22,0,0,7
2019-03-23,0,1,0
2019-03-24,1,1,3
2019-03-25,2,0,0
2019-03-26,0,0,1
2019-03-27,0,0,2
2019-03-28,0,0,7
2019-03-29,0,2,2
2019-03-30,0,0,0
2019-03-31,0,0,0
2019-04-01,0,0,1
2019-04-02,3,0,1
2019-04-03,3,0,1
2019-04-04,1,0,14
2019-04-05,4,0,3
2019-04-06,0,0,0
2019-04-07,0,2,0
2019-04-08,5,0,0
2019-04-09,0,0,0
2019-04-10,1,0,0
2019-04-11,6,0,1
2019-04-12,0,0,0
2019-04-13,0,0,0
2019-04-14,0,1,0
2019-04-15,1,0,5
2019-04-16,2,1,6
2019-04-17,0,1,5
2019-04-18,13,0,2
2019-04-19,0,0,0
2019-04-20,0,0,0
2019-04-21,0,0,0
2019-04-22,0,0,2
2019-04-23,0,3,34
2019-04-24,0,9,5
2019-04-25,7,10,0
2019-04-26,0,12,0
2019-04-27,0,4,0
2019-04-28,0,5,2
2019-04-29,15,3,0
2019-04-30,0,1,0
2019-05-01,12,14,0
2019-05-02,4,1,0
2019-05-03,1,4,0
2019-05-04,2,8,0
2019-05-05,1,2,0
2019-05-06,3,0,2
2019-05-07,2,3,0
2019-05-08,1,2,1
2019-05-09,1,1,0
2019-05-10,0,2,0
2019-05-11,0,3,0
2019-05-12,0,6,0
2019-05-13,2,0,4
2019-05-14,0,3,2
2019-05-15,0,0,6
2019-05-16,2,0,0
2019-05-17,0,1,21
2019-05-18,1,2,0
2019-05-19,0,1,0
2019-05-20,1,0,3
2019-05-21,0,6,0
2019-05-22,0,1,0
2019-05-23,0,0,2
2019-05-24,1,0,5
2019-05-25,0,0,0
2019-05-26,0,0,0
