,apache/cassandra,linkedin/venice,voldemort/voldemort
2014-12-10,5.0,0,0
2014-12-11,4.0,0,0
2014-12-12,26.0,0,0
2014-12-13,0.0,0,3
2014-12-14,0.0,0,0
2014-12-15,9.0,0,1
2014-12-16,14.0,0,0
2014-12-17,8.0,0,1
2014-12-18,8.0,0,4
2014-12-19,30.0,0,1
2014-12-20,0.0,0,0
2014-12-21,0.0,0,0
2014-12-22,4.0,0,0
2014-12-23,0.0,0,5
2014-12-24,3.0,0,0
2014-12-25,1.0,0,0
2014-12-26,0.0,0,0
2014-12-27,2.0,0,0
2014-12-28,4.0,0,0
2014-12-29,0.0,0,0
2014-12-30,1.0,0,1
2014-12-31,0.0,0,0
2015-01-01,0.0,0,0
2015-01-02,6.0,0,0
2015-01-03,0.0,0,1
2015-01-04,0.0,0,0
2015-01-05,5.0,0,0
2015-01-06,11.0,0,0
2015-01-07,22.0,0,6
2015-01-08,15.0,0,1
2015-01-09,16.0,0,2
2015-01-10,5.0,0,1
2015-01-11,0.0,0,0
2015-01-12,10.0,0,1
2015-01-13,6.0,0,0
2015-01-14,27.0,0,0
2015-01-15,6.0,0,0
2015-01-16,2.0,0,0
2015-01-17,6.0,0,1
2015-01-18,0.0,0,0
2015-01-19,7.0,0,0
2015-01-20,8.0,0,0
2015-01-21,13.0,1,1
2015-01-22,14.0,1,1
2015-01-23,7.0,1,1
2015-01-24,2.0,0,0
2015-01-25,1.0,0,0
2015-01-26,6.0,0,0
2015-01-27,6.0,0,0
2015-01-28,27.0,2,1
2015-01-29,14.0,0,0
2015-01-30,9.0,1,0
2015-01-31,1.0,2,2
2015-02-01,3.0,0,0
2015-02-02,2.0,0,1
2015-02-03,1.0,0,2
2015-02-04,9.0,2,0
2015-02-05,12.0,0,0
2015-02-06,7.0,0,0
2015-02-07,0.0,0,0
2015-02-08,0.0,0,0
2015-02-09,5.0,0,0
2015-02-10,16.0,0,0
2015-02-11,20.0,0,0
2015-02-12,15.0,2,0
2015-02-13,18.0,1,0
2015-02-14,0.0,0,1
2015-02-15,2.0,0,0
2015-02-16,0.0,0,0
2015-02-17,7.0,0,3
2015-02-18,7.0,0,0
2015-02-19,21.0,1,2
2015-02-20,4.0,0,0
2015-02-21,0.0,0,0
2015-02-22,0.0,0,0
2015-02-23,0.0,0,0
2015-02-24,6.0,0,1
2015-02-25,5.0,4,0
2015-02-26,7.0,1,1
2015-02-27,5.0,1,2
2015-02-28,0.0,0,1
2015-03-01,0.0,0,0
2015-03-02,3.0,0,0
2015-03-03,24.0,1,0
2015-03-04,31.0,0,2
2015-03-05,19.0,0,0
2015-03-06,4.0,1,1
2015-03-07,0.0,0,0
2015-03-08,0.0,0,0
2015-03-09,5.0,0,0
2015-03-10,21.0,0,0
2015-03-11,16.0,0,1
2015-03-12,4.0,0,0
2015-03-13,9.0,1,0
2015-03-14,0.0,0,2
2015-03-15,1.0,0,0
2015-03-16,6.0,0,0
2015-03-17,17.0,2,3
2015-03-18,27.0,7,21
2015-03-19,6.0,2,0
2015-03-20,10.0,0,0
2015-03-21,2.0,0,0
2015-03-22,4.0,0,2
2015-03-23,9.0,1,0
2015-03-24,22.0,0,1
2015-03-25,13.0,1,0
2015-03-26,7.0,1,1
2015-03-27,14.0,1,1
2015-03-28,5.0,0,0
2015-03-29,3.0,0,0
2015-03-30,11.0,0,3
2015-03-31,27.0,1,2
2015-04-01,29.0,0,0
2015-04-02,3.0,3,0
2015-04-03,24.0,0,0
2015-04-04,1.0,0,0
2015-04-05,0.0,0,0
2015-04-06,4.0,1,2
2015-04-07,13.0,1,2
2015-04-08,11.0,0,2
2015-04-09,10.0,0,3
2015-04-10,4.0,0,1
2015-04-11,0.0,0,0
2015-04-12,0.0,0,0
2015-04-13,3.0,0,1
2015-04-14,17.0,2,0
2015-04-15,34.0,0,0
2015-04-16,0.0,0,6
2015-04-17,16.0,0,0
2015-04-18,1.0,0,0
2015-04-19,0.0,0,0
2015-04-20,3.0,0,2
2015-04-21,13.0,0,1
2015-04-22,7.0,0,0
2015-04-23,1.0,0,1
2015-04-24,3.0,0,1
2015-04-25,1.0,0,3
2015-04-26,0.0,0,0
2015-04-27,11.0,0,1
2015-04-28,1.0,0,0
2015-04-29,12.0,0,0
2015-04-30,18.0,0,3
2015-05-01,19.0,0,2
2015-05-02,1.0,0,0
2015-05-03,6.0,0,0
2015-05-04,13.0,0,0
2015-05-05,14.0,0,0
2015-05-06,11.0,0,1
2015-05-07,15.0,0,0
2015-05-08,26.0,0,0
2015-05-09,2.0,0,0
2015-05-10,0.0,0,0
