,pytorch/pytorch,chainer/chainer,torch/torch7
2017-04-13,12,17,0
2017-04-14,13,21,0
2017-04-15,3,11,0
2017-04-16,3,1,0
2017-04-17,21,38,0
2017-04-18,44,37,0
2017-04-19,32,14,0
2017-04-20,26,24,2
2017-04-21,7,43,1
2017-04-22,8,27,0
2017-04-23,4,16,0
2017-04-24,23,48,0
2017-04-25,23,31,1
2017-04-26,18,28,2
2017-04-27,11,28,0
2017-04-28,40,31,3
2017-04-29,7,16,0
2017-04-30,3,17,0
2017-05-01,68,30,0
2017-05-02,25,16,0
2017-05-03,27,21,0
2017-05-04,18,1,1
2017-05-05,13,17,0
2017-05-06,4,17,0
2017-05-07,4,20,0
2017-05-08,25,27,1
2017-05-09,26,19,2
2017-05-10,24,14,0
2017-05-11,8,16,2
2017-05-12,12,16,1
2017-05-13,1,6,0
2017-05-14,2,0,0
2017-05-15,12,28,0
2017-05-16,9,18,0
2017-05-17,17,4,0
2017-05-18,11,6,0
2017-05-19,15,6,0
2017-05-20,6,0,0
2017-05-21,3,2,0
2017-05-22,6,9,0
2017-05-23,13,19,0
2017-05-24,23,7,0
2017-05-25,32,24,4
2017-05-26,16,19,1
2017-05-27,1,6,0
2017-05-28,1,7,0
2017-05-29,0,55,0
2017-05-30,15,19,0
2017-05-31,15,1,0
2017-06-01,16,17,0
2017-06-02,44,7,0
2017-06-03,5,4,0
2017-06-04,2,1,0
2017-06-05,19,12,0
2017-06-06,24,52,0
2017-06-07,36,3,2
2017-06-08,13,7,0
2017-06-09,10,10,0
2017-06-10,5,7,0
2017-06-11,70,3,12
2017-06-12,8,8,0
2017-06-13,30,12,1
2017-06-14,20,8,0
2017-06-15,29,9,0
2017-06-16,13,8,0
2017-06-17,49,1,0
2017-06-18,0,4,0
2017-06-19,20,24,0
2017-06-20,18,14,0
2017-06-21,29,6,0
2017-06-22,32,30,5
2017-06-23,18,2,0
2017-06-24,13,3,0
2017-06-25,0,0,0
2017-06-26,13,22,0
2017-06-27,16,14,0
2017-06-28,17,3,0
2017-06-29,17,9,0
2017-06-30,10,17,0
2017-07-01,2,8,0
2017-07-02,4,13,0
2017-07-03,17,43,0
2017-07-04,17,6,3
2017-07-05,10,0,0
2017-07-06,7,9,0
2017-07-07,13,2,0
2017-07-08,5,0,0
2017-07-09,3,5,0
2017-07-10,18,22,1
2017-07-11,25,19,1
2017-07-12,30,6,2
2017-07-13,45,17,1
2017-07-14,32,14,3
2017-07-15,4,0,0
2017-07-16,3,6,0
2017-07-17,11,13,0
2017-07-18,20,9,0
2017-07-19,31,24,1
2017-07-20,19,8,1
2017-07-21,19,10,0
2017-07-22,4,1,0
2017-07-23,6,0,0
2017-07-24,10,8,0
2017-07-25,60,1,0
2017-07-26,26,10,0
2017-07-27,24,7,0
2017-07-28,8,13,0
2017-07-29,6,6,0
2017-07-30,2,2,0
2017-07-31,8,25,0
2017-08-01,22,11,0
2017-08-02,16,10,0
2017-08-03,19,8,0
2017-08-04,18,19,1
2017-08-05,0,14,0
2017-08-06,11,10,0
2017-08-07,11,37,0
2017-08-08,13,9,0
2017-08-09,24,10,0
2017-08-10,16,12,0
2017-08-11,7,3,0
2017-08-12,5,2,0
2017-08-13,1,1,0
2017-08-14,18,15,0
2017-08-15,22,23,2
2017-08-16,32,21,1
2017-08-17,19,11,0
2017-08-18,17,18,0
2017-08-19,4,5,0
2017-08-20,1,11,0
2017-08-21,8,45,0
2017-08-22,13,26,0
2017-08-23,19,24,0
2017-08-24,21,46,0
2017-08-25,50,22,3
2017-08-26,14,5,0
2017-08-27,6,3,0
2017-08-28,9,9,1
2017-08-29,13,40,0
2017-08-30,26,8,0
2017-08-31,21,34,0
2017-09-01,16,22,0
2017-09-02,6,41,0
2017-09-03,2,15,0
2017-09-04,3,141,1
2017-09-05,250,29,0
2017-09-06,22,9,0
2017-09-07,44,9,1
2017-09-08,25,16,0
2017-09-09,6,2,0
2017-09-10,9,5,1
2017-09-11,22,54,1
2017-09-12,16,9,0
2017-09-13,38,4,0
2017-09-14,19,7,0
2017-09-15,18,3,0
2017-09-16,2,7,0
2017-09-17,18,14,0
2017-09-18,14,10,0
2017-09-19,38,16,0
2017-09-20,29,11,0
2017-09-21,30,14,0
2017-09-22,21,3,0
2017-09-23,9,2,0
2017-09-24,6,1,0
2017-09-25,19,3,0
2017-09-26,21,9,1
2017-09-27,11,5,0
2017-09-28,30,14,0
2017-09-29,8,8,0
2017-09-30,16,3,0
2017-10-01,1,2,0
2017-10-02,16,13,0
2017-10-03,22,26,0
2017-10-04,17,15,0
2017-10-05,36,36,0
2017-10-06,28,18,0
2017-10-07,11,7,0
2017-10-08,3,8,0
2017-10-09,5,14,0
2017-10-10,32,21,0
2017-10-11,23,16,0
2017-10-12,21,5,0
2017-10-13,26,4,0
2017-10-14,9,21,0
2017-10-15,3,3,0
2017-10-16,22,2,0
2017-10-17,7,16,0
2017-10-18,12,15,0
2017-10-19,18,22,0
2017-10-20,41,1,0
2017-10-21,2,3,0
2017-10-22,4,3,0
2017-10-23,10,25,0
2017-10-24,27,23,0
2017-10-25,13,9,0
2017-10-26,31,21,0
2017-10-27,9,18,0
2017-10-28,19,27,0
2017-10-29,1,8,0
2017-10-30,16,28,0
2017-10-31,25,11,0
2017-11-01,26,22,0
2017-11-02,298,17,0
2017-11-03,20,13,0
2017-11-04,10,6,0
2017-11-05,1,5,0
2017-11-06,16,34,0
2017-11-07,24,36,0
2017-11-08,23,70,0
2017-11-09,21,21,0
2017-11-10,35,28,0
2017-11-11,6,2,0
2017-11-12,3,4,0
2017-11-13,15,22,0
2017-11-14,29,9,0
2017-11-15,26,10,0
2017-11-16,21,33,0
2017-11-17,13,7,0
2017-11-18,7,4,0
2017-11-19,2,2,0
2017-11-20,11,16,0
2017-11-21,17,13,0
2017-11-22,11,14,0
2017-11-23,6,5,0
2017-11-24,7,15,0
2017-11-25,0,0,0
2017-11-26,4,0,0
2017-11-27,12,9,0
2017-11-28,17,13,0
2017-11-29,21,15,0
2017-11-30,19,12,0
2017-12-01,17,22,0
2017-12-02,8,6,0
2017-12-03,4,1,0
2017-12-04,22,78,0
2017-12-05,19,21,0
2017-12-06,16,27,0
2017-12-07,12,27,0
2017-12-08,10,19,0
2017-12-09,2,12,0
2017-12-10,2,3,0
2017-12-11,11,43,0
2017-12-12,8,49,0
2017-12-13,12,53,0
2017-12-14,21,44,0
2017-12-15,26,35,0
2017-12-16,9,0,0
2017-12-17,1,0,0
2017-12-18,32,31,0
2017-12-19,11,48,0
2017-12-20,22,37,0
2017-12-21,18,64,0
2017-12-22,14,29,0
2017-12-23,12,4,0
2017-12-24,1,7,0
