,plantuml/plantuml,mermaid-js/mermaid,yuzutech/kroki
2019-04-10,0,0,0.0
2019-04-11,0,0,0.0
2019-04-12,0,0,0.0
2019-04-13,0,0,0.0
2019-04-14,0,0,0.0
2019-04-15,0,0,0.0
2019-04-16,0,0,0.0
2019-04-17,0,0,0.0
2019-04-18,0,2,0.0
2019-04-19,0,0,0.0
2019-04-20,0,0,0.0
2019-04-21,1,0,0.0
2019-04-22,0,0,0.0
2019-04-23,0,0,0.0
2019-04-24,0,1,1.0
2019-04-25,0,0,0.8999999999999999
2019-04-26,0,2,-0.14500000000000013
2019-04-27,0,0,-0.07350000000000005
2019-04-28,0,0,-0.04916249999999994
2019-04-29,0,0,-0.036779249999999875
2019-04-30,2,0,-0.02927876249999991
2019-05-01,0,0,-0.024255708749999928
2019-05-02,0,1,-0.02066200926562494
2019-05-03,0,0,-0.017967165551562456
2019-05-04,0,0,-0.008398852535937478
2019-05-05,0,0,0.0
2019-05-06,0,0,0.0
2019-05-07,0,1,0.0
2019-05-08,0,0,0.0
2019-05-09,0,0,0.0
2019-05-10,0,0,0.0
2019-05-11,0,0,0.0
2019-05-12,0,0,0.0
2019-05-13,0,0,0.0
2019-05-14,0,1,0.0
2019-05-15,0,0,0.0
2019-05-16,0,0,0.0
2019-05-17,0,0,0.0
2019-05-18,0,0,0.0
2019-05-19,0,0,0.0
2019-05-20,0,0,0.0
2019-05-21,0,0,0.0
2019-05-22,0,0,0.0
2019-05-23,0,0,0.0
2019-05-24,1,1,0.0
2019-05-25,2,0,0.0
2019-05-26,0,0,0.0
2019-05-27,0,0,0.0
2019-05-28,0,6,0.0
2019-05-29,0,0,0.0
2019-05-30,0,2,0.0
2019-05-31,0,2,0.0
2019-06-01,0,2,0.0
2019-06-02,0,0,0.0
2019-06-03,0,0,0.0
2019-06-04,0,5,0.0
2019-06-05,0,0,0.0
2019-06-06,0,0,0.0
2019-06-07,0,1,0.0
2019-06-08,0,2,0.0
2019-06-09,0,9,0.0
2019-06-10,0,1,0.0
2019-06-11,0,7,0.0
2019-06-12,0,0,0.0
2019-06-13,0,1,0.0
2019-06-14,0,3,0.0
2019-06-15,0,3,0.0
2019-06-16,0,1,0.0
2019-06-17,0,0,0.0
2019-06-18,0,0,0.0
2019-06-19,0,0,0.0
2019-06-20,0,0,0.0
2019-06-21,0,0,0.0
2019-06-22,0,0,0.0
2019-06-23,0,0,0.0
2019-06-24,0,1,0.0
2019-06-25,0,2,0.0
2019-06-26,1,4,0.0
2019-06-27,0,0,0.0
2019-06-28,0,3,0.0
2019-06-29,0,7,0.0
2019-06-30,0,2,0.0
2019-07-01,1,0,0.0
2019-07-02,0,0,0.0
2019-07-03,0,0,0.0
2019-07-04,1,0,0.0
2019-07-05,0,0,0.0
2019-07-06,0,9,0.0
2019-07-07,0,10,0.0
2019-07-08,0,1,0.0
2019-07-09,0,0,0.0
2019-07-10,0,1,0.0
2019-07-11,0,1,0.0
2019-07-12,0,3,0.0
2019-07-13,0,3,0.0
2019-07-14,1,10,0.0
2019-07-15,0,1,0.0
2019-07-16,0,3,0.0
2019-07-17,0,1,0.0
2019-07-18,0,0,0.0
2019-07-19,0,0,0.0
2019-07-20,0,0,0.0
2019-07-21,0,12,0.0
2019-07-22,0,4,0.0
2019-07-23,0,9,0.0
2019-07-24,0,6,0.0
2019-07-25,0,3,0.0
2019-07-26,0,0,0.0
2019-07-27,0,0,0.0
2019-07-28,0,0,0.0
2019-07-29,0,0,0.0
2019-07-30,0,0,0.0
2019-07-31,0,1,0.0
2019-08-01,0,0,0.0
2019-08-02,0,1,0.0
2019-08-03,0,2,0.0
2019-08-04,0,1,0.0
2019-08-05,0,0,0.0
2019-08-06,0,0,0.0
2019-08-07,0,1,0.0
2019-08-08,0,2,0.0
2019-08-09,0,0,0.0
2019-08-10,0,0,0.0
2019-08-11,0,1,0.0
2019-08-12,0,0,0.0
2019-08-13,0,0,0.0
2019-08-14,0,5,0.0
2019-08-15,0,1,0.0
2019-08-16,0,4,0.0
2019-08-17,0,0,0.0
2019-08-18,0,0,0.0
2019-08-19,2,0,0.0
2019-08-20,0,2,0.0
2019-08-21,0,0,0.0
2019-08-22,1,1,0.0
2019-08-23,0,0,0.0
2019-08-24,0,0,0.0
2019-08-25,0,1,0.0
2019-08-26,1,2,0.0
2019-08-27,0,1,0.0
2019-08-28,0,17,0.0
2019-08-29,0,3,0.0
2019-08-30,0,0,0.0
2019-08-31,0,0,0.0
2019-09-01,0,4,0.0
2019-09-02,0,0,0.0
2019-09-03,0,1,0.0
2019-09-04,0,0,9.0
2019-09-05,0,0,-0.9000000000000008
2019-09-06,0,0,-0.4050000000000003
2019-09-07,0,0,-0.2565000000000002
2019-09-08,0,3,-0.1859624999999993
2019-09-09,0,0,-0.14505074999999953
2019-09-10,0,0,-0.11845811249999964
2019-09-11,0,14,-0.0998432662499997
2019-09-12,1,15,-0.08611481714062477
2019-09-13,0,1,-0.0755896728234373
2019-09-14,1,0,0.0
2019-09-15,0,0,0.0
2019-09-16,0,0,0.0
2019-09-17,0,0,0.0
2019-09-18,0,9,0.0
2019-09-19,0,10,1.0
2019-09-20,0,0,-0.10000000000000009
2019-09-21,0,5,0.955
2019-09-22,1,3,-0.12850000000000011
2019-09-23,0,9,-0.06566249999999996
2019-09-24,0,4,-0.04461674999999997
2019-09-25,0,9,-0.03382451249999988
2019-09-26,0,3,-0.027210446249999916
2019-09-27,0,5,-0.022730325515624934
2019-09-28,0,1,-0.019492548785937445
2019-09-29,0,2,-0.009568313015624975
2019-09-30,0,1,-0.008398852535937478
2019-10-01,0,6,2.0
2019-10-02,0,7,0.7999999999999998
2019-10-03,0,15,1.8099999999999998
2019-10-04,3,7,-0.30200000000000027
2019-10-05,0,12,-0.15982499999999994
2019-10-06,0,9,-0.10989599999999985
2019-10-07,0,1,-0.08376577499999971
2019-10-08,0,14,-0.06758290499999979
2019-10-09,0,5,4.94344565271875
2019-10-10,1,3,-0.5485534105875003
2019-10-11,0,6,2.7474645214328124
2019-10-12,0,2,-0.4592977050718753
2019-10-13,0,1,-0.2383124999999997
2019-10-14,0,4,-0.1660837499999998
2019-10-15,0,22,-0.12779756249999957
2019-10-16,0,16,-0.10381873124999969
2019-10-17,0,2,-0.08732760257812476
2019-10-18,0,3,-0.0752753514296873
2019-10-19,0,6,-0.028704939046874926
2019-10-20,0,0,-0.025196557607812434
2019-10-21,0,12,0.0
2019-10-22,0,0,0.0
2019-10-23,0,7,2.0
2019-10-24,0,6,6.8
2019-10-25,0,0,-0.7900000000000007
2019-10-26,0,0,-0.3720000000000003
2019-10-27,0,5,-0.240825
2019-10-28,0,1,-0.17687099999999936
2019-10-29,0,4,3.8608587250000004
2019-10-30,0,12,-0.51432148
2019-10-31,0,0,-0.27679249978124987
2019-11-01,0,1,-0.19777589618124988
2019-11-02,0,0,-0.14144196775156204
2019-11-03,1,5,-0.06446699999999979
2019-11-04,0,0,-0.05264804999999984
2019-11-05,0,3,-0.04437478499999987
2019-11-06,0,1,-0.0382732520624999
