,apache/superset,metabase/metabase,getredash/redash
2019-07-02,3,2,0
2019-07-03,4,3,2
2019-07-04,7,0,3
2019-07-05,0,1,1
2019-07-06,0,0,0
2019-07-07,0,0,2
2019-07-08,3,4,2
2019-07-09,4,2,1
2019-07-10,0,5,4
2019-07-11,3,2,2
2019-07-12,5,0,0
2019-07-13,1,2,1
2019-07-14,1,0,1
2019-07-15,2,0,3
2019-07-16,5,1,3
2019-07-17,1,1,3
2019-07-18,7,0,3
2019-07-19,1,1,1
2019-07-20,1,0,1
2019-07-21,0,0,3
2019-07-22,4,3,3
2019-07-23,4,2,1
2019-07-24,2,0,1
2019-07-25,1,1,0
2019-07-26,0,16,2
2019-07-27,2,1,1
2019-07-28,3,0,2
2019-07-29,5,4,2
2019-07-30,1,4,2
2019-07-31,1,2,4
2019-08-01,3,1,1
2019-08-02,2,1,0
2019-08-03,0,0,0
2019-08-04,0,0,3
2019-08-05,5,2,2
2019-08-06,7,4,2
2019-08-07,5,2,1
2019-08-08,4,6,1
2019-08-09,3,9,2
2019-08-10,0,1,0
2019-08-11,1,0,6
2019-08-12,2,6,4
2019-08-13,4,9,3
2019-08-14,3,14,3
2019-08-15,3,8,3
2019-08-16,3,6,1
2019-08-17,0,1,0
2019-08-18,0,0,3
2019-08-19,1,8,0
2019-08-20,5,8,0
2019-08-21,3,7,1
2019-08-22,3,6,1
2019-08-23,8,7,0
2019-08-24,1,1,0
2019-08-25,0,0,1
2019-08-26,4,7,1
2019-08-27,6,2,0
2019-08-28,1,12,0
2019-08-29,1,14,1
2019-08-30,6,3,2
2019-08-31,0,0,0
2019-09-01,0,0,3
2019-09-02,2,2,5
2019-09-03,2,2,1
2019-09-04,2,9,2
2019-09-05,2,4,0
2019-09-06,2,2,0
2019-09-07,0,2,0
2019-09-08,5,1,0
2019-09-09,5,0,6
2019-09-10,7,0,0
2019-09-11,3,3,2
2019-09-12,1,4,2
2019-09-13,2,9,1
2019-09-14,0,0,0
2019-09-15,0,0,2
2019-09-16,0,2,3
2019-09-17,5,2,0
2019-09-18,8,4,2
2019-09-19,5,3,0
2019-09-20,1,16,1
2019-09-21,0,2,0
2019-09-22,2,1,6
2019-09-23,5,2,1
2019-09-24,1,2,2
2019-09-25,1,1,2
2019-09-26,0,3,0
2019-09-27,2,8,1
2019-09-28,1,1,0
2019-09-29,2,0,0
2019-09-30,2,2,1
2019-10-01,4,10,0
2019-10-02,2,10,2
2019-10-03,0,4,1
2019-10-04,6,3,0
2019-10-05,0,1,1
2019-10-06,3,0,6
2019-10-07,0,9,2
2019-10-08,1,7,0
2019-10-09,1,10,0
2019-10-10,3,2,3
2019-10-11,2,0,2
2019-10-12,1,0,0
2019-10-13,0,0,0
2019-10-14,0,0,1
2019-10-15,2,7,5
2019-10-16,1,1,2
