,sveltejs/svelte,angular/angular,facebook/react
2020-11-16,1,20.0,2
2020-11-17,1,12.0,2
2020-11-18,5,28.0,3
2020-11-19,2,23.0,0
2020-11-20,0,19.0,4
2020-11-21,0,1.0,0
2020-11-22,0,0.0,0
2020-11-23,8,13.0,0
2020-11-24,4,26.0,0
2020-11-25,0,16.0,0
2020-11-26,0,0.0,0
2020-11-27,1,0.0,0
2020-11-28,1,0.0,0
2020-11-29,0,0.0,0
2020-11-30,3,15.0,2
2020-12-01,1,11.0,4
2020-12-02,3,26.0,1
2020-12-03,0,14.0,2
2020-12-04,0,7.0,6
2020-12-05,0,4.0,1
2020-12-06,1,2.0,1
2020-12-07,1,7.0,6
2020-12-08,0,34.0,8
2020-12-09,2,17.0,8
2020-12-10,0,23.0,5
2020-12-11,1,3.0,2
2020-12-12,0,1.0,0
2020-12-13,0,2.0,1
2020-12-14,3,19.0,2
2020-12-15,0,11.0,1
2020-12-16,1,6.0,1
2020-12-17,0,6.0,2
2020-12-18,0,1.0,9
2020-12-19,0,0.0,0
2020-12-20,1,0.0,0
2020-12-21,0,15.0,1
2020-12-22,0,7.0,2
2020-12-23,0,5.0,0
2020-12-24,3,0.0,0
2020-12-25,0,2.0,0
2020-12-26,0,0.0,0
2020-12-27,0,0.0,0
2020-12-28,0,0.0,0
2020-12-29,1,0.0,0
2020-12-30,1,0.0,0
2020-12-31,1,0.0,0
2021-01-01,0,0.0,0
2021-01-02,13,0.0,0
2021-01-03,0,0.0,0
2021-01-04,6,0.0,3
2021-01-05,0,24.0,0
2021-01-06,0,26.0,0
2021-01-07,0,26.0,0
2021-01-08,0,18.0,0
2021-01-09,0,1.0,0
2021-01-10,0,1.0,0
2021-01-11,0,36.0,1
2021-01-12,0,0.0,3
2021-01-13,0,14.0,2
2021-01-14,0,12.0,3
2021-01-15,0,8.0,2
2021-01-16,0,1.0,0
2021-01-17,0,0.0,0
2021-01-18,3,1.0,1
2021-01-19,1,12.0,9
2021-01-20,1,3.0,4
2021-01-21,0,23.0,1
2021-01-22,1,6.0,4
2021-01-23,1,2.0,0
2021-01-24,0,2.0,0
2021-01-25,6,17.0,5
2021-01-26,3,8.0,2
2021-01-27,1,18.0,5
2021-01-28,1,18.0,1
2021-01-29,13,8.0,2
2021-01-30,1,0.0,0
2021-01-31,0,0.0,0
2021-02-01,1,0.0,3
2021-02-02,0,12.0,4
2021-02-03,0,11.0,9
2021-02-04,1,5.0,7
2021-02-05,0,3.0,3
2021-02-06,0,0.0,1
2021-02-07,0,0.0,0
2021-02-08,5,1.0,5
2021-02-09,0,65.0,5
2021-02-10,0,15.0,5
2021-02-11,2,21.0,10
2021-02-12,0,9.0,1
2021-02-13,0,12.0,0
2021-02-14,0,4.0,0
2021-02-15,3,0.0,0
2021-02-16,0,33.0,3
2021-02-17,2,14.0,2
2021-02-18,0,6.0,2
2021-02-19,0,25.0,0
2021-02-20,0,0.0,0
2021-02-21,0,0.0,0
2021-02-22,0,11.0,3
2021-02-23,0,14.0,3
2021-02-24,0,25.0,1
2021-02-25,6,0.0,3
2021-02-26,1,27.0,3
2021-02-27,1,0.0,0
2021-02-28,0,0.0,1
2021-03-01,4,13.0,1
2021-03-02,0,1.0,2
2021-03-03,0,20.0,0
2021-03-04,0,15.0,0
2021-03-05,1,6.0,1
2021-03-06,0,3.0,0
2021-03-07,0,2.0,4
2021-03-08,0,24.0,9
2021-03-09,0,20.0,1
2021-03-10,0,6.0,6
2021-03-11,0,9.0,3
2021-03-12,0,15.0,1
2021-03-13,0,0.0,2
2021-03-14,0,2.0,0
2021-03-15,0,12.0,4
2021-03-16,0,11.0,6
2021-03-17,0,12.0,4
2021-03-18,0,13.0,2
2021-03-19,0,9.0,5
2021-03-20,0,1.0,0
2021-03-21,0,0.0,0
2021-03-22,0,12.0,8
2021-03-23,4,17.0,3
2021-03-24,9,6.0,7
2021-03-25,0,0.0,8
2021-03-26,0,0.0,6
2021-03-27,0,0.0,2
2021-03-28,1,0.0,6
2021-03-29,1,8.0,1
2021-03-30,8,17.0,7
2021-03-31,3,1.0,3
2021-04-01,1,25.0,10
2021-04-02,0,10.0,0
2021-04-03,0,0.0,0
2021-04-04,0,0.0,0
2021-04-05,0,9.0,1
2021-04-06,0,15.0,4
2021-04-07,0,26.0,5
2021-04-08,1,4.0,6
2021-04-09,1,6.0,10
2021-04-10,0,0.0,1
2021-04-11,1,0.0,2
2021-04-12,3,21.0,3
2021-04-13,0,34.0,2
2021-04-14,0,41.0,12
2021-04-15,0,13.0,8
2021-04-16,1,17.0,4
2021-04-17,0,6.0,0
2021-04-18,0,0.0,0
2021-04-19,1,41.0,3
2021-04-20,0,18.0,7
2021-04-21,3,11.0,3
2021-04-22,1,19.0,3
2021-04-23,0,9.0,3
2021-04-24,1,1.0,1
2021-04-25,0,2.0,0
2021-04-26,0,38.0,3
2021-04-27,0,19.0,9
2021-04-28,0,17.0,14
2021-04-29,0,18.0,1
2021-04-30,18,16.0,1
2021-05-01,3,1.0,1
2021-05-02,0,0.0,0
2021-05-03,4,26.0,8
2021-05-04,0,9.0,6
2021-05-05,0,22.0,5
2021-05-06,0,21.0,2
2021-05-07,0,16.0,6
2021-05-08,0,0.0,1
2021-05-09,0,2.0,0
2021-05-10,0,24.0,0
2021-05-11,0,11.0,1
2021-05-12,0,5.0,3
2021-05-13,0,10.0,1
2021-05-14,0,9.0,2
2021-05-15,0,0.0,0
2021-05-16,2,0.0,0
2021-05-17,0,5.0,1
2021-05-18,1,21.0,7
2021-05-19,1,16.0,4
2021-05-20,1,9.0,7
2021-05-21,0,11.0,1
2021-05-22,0,0.0,0
2021-05-23,0,6.0,0
2021-05-24,0,17.0,1
2021-05-25,0,47.0,5
2021-05-26,2,25.0,2
2021-05-27,1,27.0,3
2021-05-28,0,4.0,0
2021-05-29,6,0.0,0
2021-05-30,2,0.0,0
2021-05-31,0,0.0,1
2021-06-01,1,19.0,4
2021-06-02,1,16.0,4
2021-06-03,0,29.0,11
2021-06-04,0,8.0,5
2021-06-05,0,0.0,2
2021-06-06,0,0.0,0
2021-06-07,0,16.0,3
2021-06-08,0,29.0,5
2021-06-09,0,9.0,1
2021-06-10,0,8.0,2
2021-06-11,0,2.0,8
2021-06-12,0,0.0,0
2021-06-13,1,0.0,0
2021-06-14,0,18.0,7
2021-06-15,3,1.0,7
2021-06-16,0,20.0,2
2021-06-17,0,8.0,2
2021-06-18,0,15.0,0
2021-06-19,2,0.0,0
2021-06-20,0,0.0,0
2021-06-21,0,13.0,0
2021-06-22,18,7.0,3
2021-06-23,0,2.0,3
2021-06-24,1,18.0,5
2021-06-25,1,3.0,2
2021-06-26,13,0.0,1
2021-06-27,8,0.0,0
2021-06-28,10,11.0,0
2021-06-29,12,6.0,1
2021-06-30,1,10.0,4
2021-07-01,1,4.0,5
2021-07-02,6,10.0,0
2021-07-03,1,1.0,0
2021-07-04,0,0.0,0
2021-07-05,2,0.0,0
2021-07-06,1,0.0,0
2021-07-07,1,10.0,5
2021-07-08,9,20.0,12
2021-07-09,1,12.0,2
2021-07-10,6,0.0,2
2021-07-11,1,0.0,0
2021-07-12,7,41.0,2
2021-07-13,1,5.0,9
2021-07-14,8,5.0,4
2021-07-15,0,12.0,3
2021-07-16,0,9.0,6
2021-07-17,2,0.0,0
2021-07-18,0,0.0,0
2021-07-19,0,0.0,3
2021-07-20,0,21.0,2
2021-07-21,23,8.0,2
2021-07-22,6,7.0,2
2021-07-23,11,9.0,0
2021-07-24,0,1.0,0
2021-07-25,0,0.0,0
2021-07-26,14,5.0,5
2021-07-27,8,5.0,5
2021-07-28,0,9.0,3
2021-07-29,0,1.0,1
2021-07-30,0,4.0,3
2021-07-31,0,0.0,0
2021-08-01,0,0.0,0
2021-08-02,1,19.0,6
2021-08-03,6,15.0,4
2021-08-04,8,6.0,2
2021-08-05,0,2.0,2
2021-08-06,0,2.0,2
2021-08-07,0,0.0,0
2021-08-08,1,0.0,1
2021-08-09,0,5.0,2
2021-08-10,0,15.0,2
2021-08-11,0,3.0,6
2021-08-12,0,5.0,3
2021-08-13,1,2.0,2
2021-08-14,0,0.0,1
2021-08-15,4,0.0,1
2021-08-16,2,21.0,4
2021-08-17,1,8.0,2
2021-08-18,0,7.0,7
2021-08-19,0,8.0,1
2021-08-20,12,1.0,6
2021-08-21,0,0.0,0
2021-08-22,0,0.0,3
