,freecodecamp/freecodecamp,ossu/computer-science,exercism/exercism
2022-07-13,7,0.0,0
2022-07-14,4,0.0,0
2022-07-15,4,0.0,0
2022-07-16,2,3.0,0
2022-07-17,3,-0.30000000000000027,0
2022-07-18,5,-0.1350000000000001,0
2022-07-19,9,-0.08550000000000006,0
2022-07-20,2,-0.06198749999999977,0
2022-07-21,7,-0.048350249999999845,0
2022-07-22,8,-0.03948603749999988,0
2022-07-23,3,-0.0332810887499999,0
2022-07-24,5,-0.028704939046874926,0
2022-07-25,8,-0.025196557607812434,0
2022-07-26,4,0.0,0
2022-07-27,12,0.0,0
2022-07-28,10,0.0,0
2022-07-29,5,0.0,0
2022-07-30,1,0.0,0
2022-07-31,0,0.0,0
2022-08-01,4,1.0,0
2022-08-02,7,-0.10000000000000009,0
2022-08-03,9,1.955,0
2022-08-04,4,-0.2285000000000002,0
2022-08-05,4,-0.1106625,0
2022-08-06,1,-0.07311675,0
2022-08-07,2,-0.05448701249999981,0
2022-08-08,12,-0.04332719624999986,0
2022-08-09,9,-0.0358923380156249,0
2022-08-10,6,-0.03058624503593741,0
2022-08-11,3,-0.01913662603124995,0
2022-08-12,4,-0.016797705071874957,0
2022-08-13,0,0.0,0
2022-08-14,2,0.0,0
2022-08-15,4,0.0,0
2022-08-16,4,0.0,0
2022-08-17,3,0.0,0
2022-08-18,2,0.0,0
2022-08-19,10,0.0,0
2022-08-20,3,0.0,0
2022-08-21,0,0.0,0
2022-08-22,9,0.0,0
2022-08-23,4,1.0,0
2022-08-24,6,-0.10000000000000009,0
2022-08-25,4,-0.04500000000000003,0
2022-08-26,3,-0.028500000000000022,0
2022-08-27,1,-0.020662499999999924,0
2022-08-28,0,-0.016116749999999947,0
2022-08-29,6,-0.01316201249999996,0
2022-08-30,5,-0.011093696249999967,0
2022-08-31,4,-0.009568313015624975,0
2022-09-01,3,-0.008398852535937478,0
2022-09-02,3,0.0,0
2022-09-03,0,0.0,0
2022-09-04,2,0.0,0
2022-09-05,0,0.0,0
2022-09-06,1,0.0,0
2022-09-07,6,0.0,0
2022-09-08,3,0.0,0
2022-09-09,1,1.0,0
2022-09-10,1,-0.10000000000000009,0
2022-09-11,0,-0.04500000000000003,0
2022-09-12,8,-0.028500000000000022,0
2022-09-13,3,-0.020662499999999924,0
2022-09-14,1,-0.016116749999999947,0
2022-09-15,8,-0.01316201249999996,0
2022-09-16,5,1.98890630375,0
2022-09-17,0,-0.20956831301562515,0
2022-09-18,1,-0.09839885253593754,0
2022-09-19,3,-0.057000000000000044,0
2022-09-20,6,-0.04132499999999985,0
2022-09-21,7,-0.032233499999999894,0
2022-09-22,6,-0.02632402499999992,0
2022-09-23,4,-0.022187392499999934,0
2022-09-24,0,-0.01913662603124995,0
2022-09-25,1,0.983202294928125,0
2022-09-26,3,-0.10000000000000009,0
2022-09-27,8,-0.04500000000000003,0
2022-09-28,8,-0.028500000000000022,0
2022-09-29,8,-0.020662499999999924,0
2022-09-30,7,-0.016116749999999947,0
2022-10-01,6,-0.01316201249999996,0
2022-10-02,1,0.98890630375,0
2022-10-03,7,-0.10956831301562506,0
2022-10-04,12,-0.05339885253593751,0
2022-10-05,12,-0.028500000000000022,0
2022-10-06,8,-0.020662499999999924,0
2022-10-07,6,-0.016116749999999947,0
2022-10-08,3,-0.01316201249999996,0
2022-10-09,3,-0.011093696249999967,0
2022-10-10,11,-0.009568313015624975,0
2022-10-11,17,-0.008398852535937478,0
2022-10-12,12,1.0,0
2022-10-13,4,0.8999999999999999,0
2022-10-14,7,-0.14500000000000013,0
2022-10-15,4,-0.07350000000000005,0
2022-10-16,0,-0.04916249999999994,0
2022-10-17,8,-0.036779249999999875,0
2022-10-18,7,-0.02927876249999991,0
2022-10-19,12,-0.024255708749999928,0
2022-10-20,6,-0.02066200926562494,0
2022-10-21,12,-0.017967165551562456,0
2022-10-22,3,-0.008398852535937478,0
2022-10-23,2,0.0,0
2022-10-24,7,0.0,0
2022-10-25,4,0.0,0
2022-10-26,10,1.0,1
2022-10-27,11,-0.10000000000000009,0
2022-10-28,5,-0.04500000000000003,0
2022-10-29,8,-0.028500000000000022,0
2022-10-30,0,-0.020662499999999924,1
2022-10-31,8,-0.016116749999999947,0
2022-11-01,6,-0.01316201249999996,0
2022-11-02,3,-0.011093696249999967,0
2022-11-03,4,-0.009568313015624975,0
2022-11-04,8,-0.008398852535937478,0
2022-11-05,0,0.0,0
2022-11-06,0,0.0,0
2022-11-07,5,0.0,0
2022-11-08,5,0.0,0
2022-11-09,7,0.0,0
2022-11-10,5,0.0,0
